"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Cash2023",""
"","Doug Fister","SP","BOS","1.00","0.83","5.02","4.89","3.00","2.89","2.11","4.61","0.28","0.50","0.00","0.08","0.29","0.00","2.25","$0",""
"","Fernando Rodney","RP","ARI","1.00","0.00","0.91","0.66","0.48","0.43","0.43","1.07","0.08","0.07","0.64","0.02","0.07","0.00","1.40","$0",""
"","Wade LeBlanc","RP","PIT","1.00","0.00","1.36","1.28","0.70","0.68","0.34","1.08","0.10","0.04","0.02","0.02","0.09","0.00","0.98","$0",""
"","David Hernandez","RP","ARI","1.00","0.00","0.86","0.75","0.31","0.30","0.14","0.81","0.05","0.02","0.03","0.02","0.05","0.00","0.89","$0",""
"","Danny Farquhar","RP","CHW","1.00","0.00","0.95","0.75","0.44","0.44","0.54","0.87","0.08","0.04","0.00","0.03","0.08","0.00","0.85","$0",""
"","Mark Leiter Jr.","SP","PHI","1.00","0.41","3.36","3.33","2.19","1.85","1.15","3.11","0.11","0.22","0.00","0.05","0.18","0.00","0.76","$0",""
"","Joe Musgrove","SP","HOU","1.00","0.39","2.88","3.08","1.55","1.53","0.74","2.58","0.18","0.21","0.05","0.03","0.13","0.00","0.71","$20,000,000",""
"","Michael Lorenzen","RP","CIN","1.00","0.00","1.14","1.07","0.59","0.56","0.47","1.10","0.11","0.05","0.03","0.02","0.06","0.00","0.67","$8,500,000",""
"","Matt Belisle","RP","MIN","1.00","0.00","0.97","0.77","0.51","0.44","0.36","0.89","0.03","0.03","0.15","0.02","0.07","0.00","0.65","$0",""
"","Juan Nicasio","RP","STL","1.00","0.00","0.95","0.76","0.29","0.28","0.26","0.95","0.07","0.07","0.08","0.01","0.03","0.00","0.62","$0",""
"","Matt Moore","SP","SF","1.00","0.97","5.45","6.22","3.63","3.34","2.09","4.63","0.19","0.47","0.00","0.05","0.17","0.00","0.61","$7,550,000",""
"","Justin Wilson","RP","CHC","1.00","0.00","0.89","0.62","0.35","0.34","0.54","1.23","0.06","0.06","0.20","0.02","0.05","0.00","0.60","$1,000,000",""
"","Junior Guerra","SP","MIL","1.00","0.67","3.35","2.90","2.10","1.90","2.05","3.19","0.05","0.19","0.00","0.07","0.24","0.00","0.55","$0",""
"","Matthew Bowman","RP","STL","1.00","0.00","0.77","0.68","0.38","0.34","0.24","0.61","0.04","0.08","0.03","0.02","0.05","0.00","0.55","$0",""
"","Liam Hendriks","RP/CL","OAK","1.00","0.00","0.91","0.81","0.49","0.43","0.33","1.11","0.06","0.03","0.01","0.02","0.06","0.00","0.54","$14,000,000",""
"","Paul Sewald","RP/CL","NYM","1.00","0.00","1.15","1.02","0.63","0.58","0.37","1.21","0.00","0.11","0.00","0.02","0.08","0.00","0.52","$4,100,000",""
"","Kirby Yates","RP","SD","1.00","0.00","0.91","0.71","0.45","0.40","0.31","1.42","0.06","0.08","0.02","0.02","0.06","0.00","0.52","$6,000,000",""
"","A.J. Ramos","RP","NYM","1.00","0.00","0.96","0.80","0.44","0.43","0.56","1.18","0.03","0.07","0.44","0.02","0.07","0.00","0.51","$0",""
"","Chris Hatcher","RP","OAK","1.00","0.00","1.22","1.18","0.59","0.57","0.43","1.29","0.02","0.04","0.02","0.03","0.09","0.00","0.49","$0",""
"","James Pazos","RP","SEA","1.00","0.00","0.91","0.86","0.51","0.39","0.41","1.10","0.07","0.08","0.00","0.02","0.07","0.00","0.49","$0",""
"","Ryan Pressly","RP/CL","MIN","1.00","0.00","1.08","0.91","0.60","0.56","0.33","1.07","0.04","0.05","0.00","0.02","0.08","0.00","0.49","$14,000,000",""
"","Seung-Hwan Oh","RP","STL","1.00","0.00","0.96","1.08","0.50","0.44","0.24","0.87","0.02","0.10","0.32","0.02","0.07","0.00","0.42","$0",""
"","Jose Alvarez","RP","LAA","1.00","0.00","0.76","0.78","0.36","0.33","0.19","0.70","0.00","0.05","0.02","0.02","0.06","0.00","0.42","$0",""
"","Dustin McGowan","RP","MIA","1.00","0.00","1.23","1.22","0.67","0.65","0.43","1.02","0.13","0.03","0.00","0.02","0.08","0.00","0.42","$0",""
"","Fernando Salas","RP","LAA","1.00","0.00","0.96","1.10","0.64","0.56","0.36","0.92","0.03","0.03","0.00","0.02","0.09","0.00","0.37","$0",""
"","Koji Uehara","RP","CHC","1.00","0.00","0.88","0.78","0.43","0.39","0.24","1.02","0.06","0.08","0.04","0.02","0.08","0.00","0.36","$0",""
"","Kelvin Herrera","RP","KC","1.00","0.00","0.93","0.94","0.52","0.44","0.31","0.88","0.05","0.05","0.41","0.02","0.07","0.00","0.36","$0",""
"","Carlos Torres","RP","MIL","1.00","0.00","1.08","1.16","0.55","0.51","0.49","0.84","0.06","0.06","0.01","0.02","0.06","0.00","0.33","$0",""
"","Jarlin Garcia","RP","MIA","1.00","0.00","0.78","0.69","0.43","0.41","0.25","0.62","0.01","0.03","0.00","0.02","0.07","0.00","0.32","$2,500,000",""
"","Tony Barnette","RP","TEX","1.00","0.00","1.15","1.28","0.72","0.70","0.44","1.14","0.04","0.02","0.04","0.03","0.11","0.00","0.26","$0",""
"","Oliver Drake","RP","MIL","1.00","0.00","0.88","0.98","0.48","0.45","0.39","0.97","0.05","0.08","0.02","0.02","0.07","0.00","0.25","$0",""
"","Scott Oberg","RP","COL","1.00","0.00","0.88","1.06","0.53","0.48","0.36","0.83","0.00","0.02","0.00","0.02","0.07","0.00","0.21","$0",""
"","Hector Rondon","RP","CHC","1.00","0.00","0.94","0.82","0.49","0.44","0.33","1.13","0.07","0.02","0.00","0.02","0.07","0.00","0.20","$0",""
