"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Cash2023",""
"","Trevor Richards","RP","TOR","1.00","0.00","1.21","0.75","0.49","0.47","0.42","1.47","0.13","0.04","0.02","0.02","0.07","0.00","1.10","$1,500,000",""
"","Tony Watson","RP","SF","1.00","0.00","0.92","0.65","0.42","0.40","0.29","0.71","0.11","0.06","0.00","0.02","0.06","0.00","0.99","$0",""
"","Brady Singer","SP","KC","1.00","1.00","4.75","5.41","3.00","2.59","1.96","4.85","0.19","0.37","0.00","0.06","0.18","0.00","0.96","$2,950,000",""
"","Deolis Guerra","RP","OAK","1.00","0.00","1.24","1.00","0.64","0.57","0.38","1.17","0.08","0.02","0.00","0.02","0.08","0.00","0.84","$0",""
"","Clay Holmes","RP/CL","NYY","1.00","0.00","1.01","0.77","0.46","0.41","0.42","1.13","0.12","0.06","0.00","0.02","0.05","0.00","0.80","$3,300,000",""
"","Jorge Alcala","RP","MIN","1.00","0.00","1.01","0.76","0.49","0.44","0.22","1.03","0.05","0.10","0.02","0.02","0.07","0.00","0.78","$790,000",""
"","Phil Bickford","RP","LAD","1.00","0.00","0.90","0.63","0.32","0.28","0.33","1.04","0.07","0.04","0.02","0.02","0.05","0.00","0.71","$0",""
"","Michael Lorenzen","SP","CIN","1.00","0.00","1.07","0.96","0.67","0.67","0.52","0.78","0.04","0.07","0.15","0.05","0.21","0.00","0.70","$8,500,000",""
"","Ryan Helsley","RP/CL","STL","1.00","0.00","0.93","0.78","0.47","0.47","0.53","0.92","0.12","0.08","0.02","0.03","0.09","0.00","0.57","$2,150,000",""
"","Wandy Peralta","RP","NYY","1.00","0.02","0.91","0.88","0.43","0.34","0.38","0.77","0.09","0.07","0.09","0.02","0.06","0.00","0.56","$3,350,000",""
"","Genesis Cabrera","RP","STL","1.00","0.00","0.99","0.73","0.44","0.41","0.51","1.08","0.06","0.07","0.00","0.02","0.05","0.00","0.53","$950,000",""
"","Codi Heuer","RP","CHC","1.00","0.00","1.04","1.00","0.52","0.49","0.35","0.86","0.11","0.06","0.03","0.02","0.07","0.00","0.52","$785,000",""
"","Jordan Lyles","SP","TEX","1.00","0.94","5.63","6.06","3.25","3.22","1.75","4.56","0.31","0.41","0.00","0.04","0.16","0.00","0.49","$8,500,000",""
"","Kyle Zimmer","RP","KC","1.00","0.04","1.04","0.88","0.62","0.58","0.58","0.88","0.08","0.02","0.04","0.03","0.10","0.00","0.45","$0",""
"","Josh Sborz","RP","TEX","1.00","0.00","0.94","0.83","0.46","0.41","0.51","1.10","0.06","0.05","0.02","0.02","0.06","0.00","0.41","$0",""
"","Zach Pop","RP","MIA","1.00","0.00","1.09","1.08","0.58","0.50","0.48","1.02","0.02","0.00","0.00","0.03","0.08","0.00","0.38","$0",""
"","Patrick Murphy","SP","WSH","1.00","0.00","1.12","1.24","0.72","0.64","0.40","1.16","0.00","0.12","0.00","0.06","0.21","0.00","0.37","$0",""
"","Wil Crowe","SP","PIT","1.00","0.86","4.02","4.34","2.59","2.45","1.97","3.83","0.14","0.28","0.00","0.05","0.19","0.00","0.36","$0",""
"","Carlos Estevez","RP","COL","1.00","0.00","0.96","1.11","0.50","0.47","0.33","0.94","0.05","0.08","0.17","0.02","0.07","0.00","0.34","$6,750,000",""
"","Spencer Howard","SP","TEX","1.00","0.79","2.61","2.79","2.37","2.16","1.42","2.74","0.00","0.32","0.00","0.08","0.39","0.00","0.31","$0",""
"","Austin Adams","RP","SD","1.00","0.00","0.81","0.43","0.43","0.37","0.54","1.17","0.05","0.03","0.00","0.02","0.06","0.00","0.31","$0",""
"","Tyler Kinley","RP","COL","1.00","0.00","1.00","0.84","0.53","0.53","0.37","0.97","0.04","0.03","0.00","0.02","0.07","0.00","0.31","$1,200,000",""
"","Anthony Misiewicz","RP","SEA","1.00","0.00","0.83","0.92","0.45","0.42","0.23","0.80","0.08","0.08","0.00","0.02","0.07","0.00","0.31","$0",""
"","Vincent Velasquez","SP","SD","1.00","0.81","3.63","3.50","2.62","2.54","1.88","3.88","0.15","0.35","0.00","0.06","0.24","0.00","0.29","$3,150,000",""
"","Greg Holland","RP","KC","1.00","0.00","0.98","0.86","0.56","0.53","0.46","0.93","0.05","0.09","0.14","0.02","0.09","0.00","0.29","$0",""
"","Tim Hill","RP","SD","1.00","0.00","0.76","0.65","0.44","0.31","0.29","0.72","0.08","0.08","0.01","0.02","0.05","0.00","0.28","$1,850,000",""
"","Phil Maton","RP","HOU","1.00","0.02","1.03","0.98","0.55","0.54","0.49","1.31","0.09","0.00","0.00","0.02","0.07","0.00","0.27","$2,550,000",""
"","Jorge Lopez","SP","BAL","1.00","0.76","3.69","4.30","2.52","2.48","1.70","3.39","0.09","0.42","0.00","0.05","0.18","0.00","0.24","$3,525,000",""
"","Tanner Scott","RP","BAL","1.00","0.00","0.87","0.77","0.55","0.50","0.60","1.13","0.08","0.06","0.00","0.03","0.08","0.00","0.22","$2,825,000",""
"","Sergio Romo","RP","OAK","1.00","0.00","0.93","0.85","0.50","0.48","0.32","0.91","0.02","0.02","0.05","0.02","0.07","0.00","0.21","$0",""
"","Ross Detwiler","RP","SD","1.00","0.09","0.99","0.83","0.53","0.51","0.38","1.17","0.06","0.02","0.00","0.02","0.09","0.00","0.20","$0",""
"","Garrett Cleavinger","SP","LAD","1.00","0.05","0.82","0.91","0.50","0.27","0.55","0.95","0.09","0.18","0.00","0.08","0.14","0.00","0.19","$0",""
"","Anthony Bass","RP","MIA","1.00","0.01","0.88","0.79","0.47","0.37","0.34","0.83","0.04","0.13","0.00","0.02","0.05","0.00","0.18","$3,000,000",""
"","Brad Hand","RP","NYM","1.00","0.00","0.95","0.82","0.57","0.41","0.38","0.90","0.09","0.10","0.31","0.02","0.06","0.00","0.17","$0",""
"","Dallas Keuchel","SP","CHW","1.00","0.94","5.06","5.91","3.28","2.97","1.84","2.97","0.28","0.28","0.00","0.05","0.17","0.00","0.17","$0",""
"","Kevin Pillar","CF","NYM","1.00","0.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.14","$0",""
"","Joe Mantiply","RP","ARI","1.00","0.00","0.70","0.79","0.42","0.26","0.30","0.67","0.00","0.05","0.00","0.03","0.06","0.00","0.13","$0",""
"","Rex Brothers","RP","CHC","1.00","0.00","0.93","0.72","0.54","0.54","0.61","1.32","0.05","0.04","0.02","0.03","0.09","0.00","0.13","$0",""
"","Harold Castro","3B","DET","1.00","0.75","0.03","0.00","0.00","0.00","0.03","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.11","$0",""
"","Hanser Alberto","2B","KC","1.00","0.54","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.11","$0",""
"","Ronald Torreyes","2B","PHI","1.00","0.73","0.02","0.05","0.04","0.04","0.00","0.01","0.00","0.00","0.00","0.02","0.12","0.00","0.10","$0",""
"","Wilmer Difo","SS","PIT","1.00","0.34","0.02","0.08","0.07","0.07","0.03","0.01","0.00","0.00","0.00","0.05","0.31","0.00","0.09","$0",""
