Acronimo,Agente libre,Altura,Anio,Anio_de_agente_libre,Anio_inicio_de_contrato,Anios_de_contrato,Bateos_pitcher,Bateos_pitcher_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
NYY,No,6.6,2014,2016,2009,7,58,3364,1285714,2,9,31,961,27,729,4.8,23.04,0.024154589371980676,0.0005834441877290019,0.11594202898550725,0.013442554085276203,5.28,27.878400000000003,33,28,New York Yankees,New York,173285714,46.0,2116.0,8,162,64,8,64,C.C. Sabathia,4,16,40,300,50,SP,0.5185185185185185,0,0,48,2304,24285714,23000000,24285714,0.0,0.0,311500000,161000000,84,-0.62,0.3844,1.48,2.1904,27,10,100,3,9,17.005398834194516,16.951004773893423,17.005398834194516
KC,No,6.3,2014,2015,2008,4,224,50176,0,2,4,95,9025,81,6561,4.090909090909091,16.735537190082646,0.021536955457660302,0.0004638404503852439,0.0881057268722467,0.007762619107686934,3.21,10.3041,32,26,Kansas City Royals,Missouri,41094900,227.0,51529.0,34,162,1156,34,1156,James Shields,8,64,3,215,8,SP,0.5493827160493827,0,0,180,32400,13500000,13500000,13500000,81.83,6696.1489,66500000,11250000,89,3.47,12.0409,1.18,1.3923999999999999,1,44,1936,14,196,16.41820024340866,16.41820024340866,16.41820024340866
STL,No,6.6,2014,2016,2010,5,206,42436,700000,2,5,94,8836,84,7056,3.4893617021276597,12.175645088275239,0.026374859708193043,0.0006956332246268648,0.0920314253647587,0.00846978325466915,3.82,14.5924,35,31,St. Louis Cardinals,Missouri,121485000,198.0,39204.0,31,161,961,31,961,John Lackey,10,100,23,235,27,SP,0.5527950310559007,0,0,164,26896,5000000,15250000,16450000,13.86,192.09959999999998,59750000,82500000,89,-0.36,0.1296,1.28,1.6384,11,47,2209,14,196,15.424948470398375,16.540090061017693,16.615836035175654
MIL,No,6.2,2014,2016,2010,5,195,38025,250000,1,7,86,7396,75,5625,2.7037037037037037,7.310013717421125,0.031201248049921994,0.000973517879872761,0.08435892991275207,0.007116429056024615,3.51,12.320099999999998,28,23,Milwaukee Brewers,Wisconsin,31423000,192.3,36979.29,33,162,1089,32,1024,Yovani Gallardo,11,121,1,205,4,RP,0.5061728395061729,0,0,146,21316,11500000,11250000,11500000,44.33,1965.1489,57600000,30100000,82,2.14,4.5796,1.29,1.6641000000000001,0,54,2916,8,64,16.25785759333348,16.235878686614704,16.25785759333348
OAK,No,6.4,2014,2015,2009,5,194,37636,0,5,5,76,5776,60,3600,4.583333333333333,21.006944444444443,0.024275527234107117,0.0005893012224938764,0.11126283315632428,0.012379418041972054,2.46,6.0516,30,24,Oakland Athletics,California,44902403,219.7,48268.09,32,162,1024,32,1024,Jon Lester,11,121,15,240,26,SP,0.5432098765432098,0,0,220,48400,2512295,13000000,13050000,84.81,7192.7361,32800000,30000000,88,2.83,8.0089,1.1,1.2100000000000002,9,48,2304,16,256,14.736707235980855,16.38045991542581,16.384298691732976
COL,No,6.4,2014,2015,2010,4,44,1936,0,1,6,18,324,14,196,2.230769230769231,4.976331360946745,0.03335899409802412,0.001112822487232008,0.07441621760328458,0.005537773442379402,2.91,8.468100000000002,26,21,Colorado Rockies,Colorado,20350000,43.3,1874.8899999999996,8,161,64,8,64,Brett Anderson,3,9,1,230,3,SP,0.4099378881987577,0,0,29,841,6000000,8000000,8000000,0.0,0.0,31250000,12500000,66,1.01,1.0201,1.32,1.7424000000000002,0,13,169,1,1,15.60727002719233,15.89495209964411,15.89495209964411
CHC,No,6.5,2014,0,2010,4,148,21904,0,2,13,81,6561,77,5929,2.1515151515151514,4.6290174471992644,0.032448377581120944,0.0010528972076469922,0.06981317600786627,0.004873879544305315,6.13,37.5769,23,18,Chicago Cubs,Illinois,5700000,113.0,12769.0,28,162,784,18,324,Jacob Turner,11,121,17,215,16,RP,0.4506172839506173,0,0,71,5041,284153,1000000,1000000,0.0,0.0,9650000,5500000,73,-0.59,0.34809999999999997,1.6,2.5600000000000005,2,33,1089,6,36,12.557268104473511,13.815510557964274,13.815510557964274
