Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_inicio_de_contrato_t,Anio_inicio_de_contrato_t_1,Anio,Anios_de_contrato_t,Anios_de_contrato_t_1,Bateos_pitcher_2_t,Bateos_pitcher_2_t_1,Bateos_pitcher_t,Bateos_pitcher_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Edad_t_1,Equipo_anterior,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_iniciados_2_t,Juegos_iniciados_2_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Status,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Valor_promedio_contrato,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
TOR,TOR,6.0,6.0,2018,2016,2016,2015,2016,2,1,17424,17956,132,134,500000,0,13,11,1,1,5329,4489,4624,3969,68,63,73,67,6.44378698224852,5.67305785123967,2.5384615384615383,2.381818181818182,0.001683900239771452,0.0011399431950290184,0.041035353535353536,0.03376304481276857,0.010850694444444446,0.006466963692526608,0.10416666666666667,0.08041743400859423,12.1104,9.796899999999999,3.48,3.13,32,31,32,31,TOR,Toronto Blue Jays,Toronto Blue Jays,Toronto,22406808,10406808,30976.0,32761.0,176.0,181.0,841,1156,841,784,29,28,29,34,161,161,Marco Estrada,81,64,9,8,2,2,180,180,7,6,SP,SP,0.546583850931677,0.577639751552795,0,0,0,0,UFA,27225,17161,165,131,11500000,3900000,11000000,3900000,11500000,3900000,4686.771599999999,6884.0208999999995,68.46,82.97,26000000,65800000,86600000,26000000,3900000,13000000,88,93,13.1769,15.288100000000002,3.63,3.91,1.2544000000000002,1.0816000000000001,1.12,1.04,2,2,4225,3025,65,55,81,169,9,13,16.25785759333348,16.213405830762646,16.25785759333348
KC,PIT,6.3,6.3,2020,2016,2016,2013,2016,3,2,4900,3025,70,55,0,0,10,4,2,2,961,400,900,361,30,19,31,20,6.342935528120714,11.346260387811633,2.5185185185185186,3.3684210526315788,0.002022976517738132,0.0009723997659883596,0.04497751124437781,0.031183325127195138,0.012831609626915121,0.011033100945951028,0.1132766949858404,0.10503856884949941,16.4025,6.400899999999999,4.05,2.53,31,28,32,31,PIT,Kansas City Royals,Pittsburgh Pirates,Missouri,37056500,30056500,4448.89,4583.29,66.7,67.7,4900,5184,0,0,0,0,70,72,161,161,Joakim Soria,64,1,8,1,4,9,205,205,9,17,RP/CL,RP/CL,0.5031055900621118,0.6024844720496895,1,576,1,24,UFA,4624,4096,68,64,7000000,2562841,7000000,2562841,7000000,2562841,23.4256,3810.5928999999996,4.84,61.73,25000000,186750000,50000000,25000000,8000000,8333333,81,97,0.1521,1.0201,0.39,1.01,2.1315999999999997,1.1881000000000002,1.46,1.09,2,5,729,361,27,19,25,9,5,3,15.761420707019587,15.761420707019587,15.761420707019587
BAL,TEX,6.2,6.2,2019,2016,2016,2010,2016,2,5,15876,37249,126,193,0,0,8,14,1,2,5476,5776,5041,4900,71,70,74,76,1.9416823434560602,3.1663062283737022,1.3934426229508197,1.7794117647058822,0.003310427417548827,0.001680668793068887,0.05753631390303716,0.04099596069210828,0.0064277984659474,0.00532151206732733,0.08017355215996981,0.07294869476095737,29.484899999999996,11.696399999999999,5.43,3.42,29,23,30,29,TEX,Baltimore Orioles,Texas Rangers,Maryland,54423000,45423000,13876.84,33966.490000000005,117.8,184.3,576,1089,529,1089,23,33,24,33,161,161,Yovani Gallardo,64,121,8,11,7,2,205,205,14,7,RP,RP,0.546583850931677,0.5403726708074534,0,0,0,0,UFA,7225,14641,85,121,9000000,14000000,9000000,14000000,9000000,14000000,0.0,4745.8321,0.0,68.89,22000000,220260000,13800000,22000000,30100000,11000000,88,87,0.0064,15.4449,0.08,3.93,2.5281000000000002,2.0164,1.59,1.42,3,0,3721,4624,61,68,36,169,6,13,16.012735135300492,16.012735135300492,16.012735135300492
OAK,KC,6.6,6.6,2019,2016,2016,2015,2016,3,1,3969,2209,63,47,166666,0,4,10,5,2,729,289,676,225,26,15,27,17,6.002500000000001,17.760204081632654,2.45,4.214285714285714,0.00117968596110888,0.0005852603553085758,0.03434655675768504,0.024192154829790914,0.007081064981556051,0.010394343351169144,0.08414906405632834,0.10195265249697599,13.1044,4.41,3.62,2.1,35,34,35,34,KC,Oakland Athletics,Kansas City Royals,California,37000000,28750000,4186.09,4134.49,64.7,64.3,3969,4761,0,0,0,0,63,69,161,161,Ryan Madson,49,4,7,2,15,4,234,234,26,9,RP,RP,0.422360248447205,0.5838509316770186,900,9,30,3,UFA,2401,3481,49,59,7916666,850000,6500000,850000,7916666,850000,3512.9329000000002,6538.3396,59.27,80.86,22000000,42250000,69025000,22000000,850000,7333333,68,94,1.7424000000000002,2.9929,1.32,1.73,1.6384,0.9025,1.28,0.95,9,2,400,196,20,14,36,1,6,1,15.884480715566285,15.687312734865866,15.884480715566285
HOU,HOU,6.0,6.0,2019,2016,2016,2015,2016,3,1,2704,1681,52,41,0,0,3,7,2,2,676,169,576,144,24,12,26,13,4.938271604938272,17.084444444444447,2.2222222222222223,4.133333333333334,0.002094580795835973,0.0009421018140735692,0.04576659038901602,0.030693677102516883,0.010343608868325794,0.01609528610355022,0.10170353419781338,0.1268671986904031,24.5025,3.9601,4.95,1.99,32,31,32,31,HOU,Houston Astros,Houston Astros,Texas,12341103,6341103,1909.6900000000003,2948.49,43.7,54.3,3600,3600,0,0,0,0,60,60,161,161,Tony Sipp,4,16,2,4,1,1,190,190,10,10,RP,RP,0.5217391304347826,0.5341614906832298,1,0,1,0,UFA,1600,3844,40,62,6000000,2400000,6000000,2400000,6000000,2400000,0.1521,4414.2735999999995,0.39,66.44,18000000,26000000,65600000,18000000,2400000,6000000,84,86,0.1521,2.6895999999999995,-0.39,1.64,2.5600000000000005,1.0609,1.6,1.03,0,0,324,225,18,15,1,9,1,3,15.60727002719233,15.60727002719233,15.60727002719233
DET,MIN,6.7,6.7,2018,2016,2016,2014,2016,2,2,25921,39601,161,199,0,0,11,4,1,1,5776,7396,5041,6561,71,81,76,86,1.4820415879017015,3.652345679012346,1.2173913043478262,1.9111111111111112,0.0018447466132422469,0.0009216219514128279,0.04295051353874883,0.030358227079538554,0.0027339911999658254,0.003366081951925569,0.05228758169934641,0.058017945085340354,28.8369,19.624899999999997,5.37,4.43,31,29,32,31,MIN,Detroit Tigers,Minnesota Twins,Michigan,38362500,30362500,14161.0,27126.089999999997,119.0,164.7,576,900,484,900,22,30,24,30,160,161,Mike Pelfrey,100,121,10,11,11,6,240,240,16,14,RP,RP,0.5375,0.515527950310559,0,0,0,0,UFA,3136,7396,56,86,8000000,5500000,8000000,5500000,8000000,5500000,0.0,0.0,0.0,0.0,16000000,272257500,68250000,16000000,11000000,8000000,86,83,0.004900000000000001,1.5625,0.07,1.25,3.0276,2.1904,1.74,1.48,4,3,2116,2025,46,45,16,36,4,6,15.89495209964411,15.89495209964411,15.89495209964411
WSH,SD,6.2,6.2,2019,2016,2016,2015,2016,3,1,1681,1681,41,41,0,0,11,8,1,5,361,324,289,196,17,14,19,18,52.89256198347107,17.64,7.2727272727272725,4.2,0.0004440627706580937,0.0010555110129908073,0.0210727969348659,0.03248862897985705,0.023487617621585116,0.01861921426915784,0.1532567049808429,0.1364522417153996,6.969600000000001,6.0516,2.64,2.46,31,30,32,31,SD,Washington Nationals,San Diego Padres,Washington DC,11567500,7367500,3364.0,2631.6899999999996,58.0,51.3,4489,2809,0,0,0,0,67,53,161,161,Shawn Kelley,4,4,2,2,1,2,237,237,4,5,RP,RP,0.5838509316770186,0.4596273291925465,49,0,7,0,UFA,6400,3969,80,63,4200000,2835000,4000000,2835000,4200000,2835000,2640.9321,2736.3361000000004,51.39,52.31,15000000,68750000,80850000,15000000,2835000,5000000,94,74,2.1904,0.6400000000000001,1.48,0.8,0.81,1.1881000000000002,0.9,1.09,0,0,121,225,11,15,9,4,3,2,15.250595083253597,15.201804919084164,15.250595083253597
NYY,NYM,6.3,6.3,2018,2016,2016,2015,2016,2,1,2916,2401,54,49,2000000,0,4,1,2,2,729,625,625,625,25,25,27,25,7.668639053254437,4.262226847034339,2.769230769230769,2.064516129032258,0.0021027158005406093,0.002353540474283713,0.04585537918871252,0.048513302034428794,0.016124968505920885,0.010031323395073974,0.12698412698412698,0.10015649452269171,12.7449,10.0489,3.57,3.17,30,29,31,30,NYM,New York Yankees,New York Mets,New York,30013999,21913999,3969.0,5041.0,63.0,71.0,4761,4761,0,0,0,0,69,69,161,161,Tyler Clippard,36,16,6,4,40,5,200,200,52,9,RP,RP,0.5217391304347826,0.5527950310559007,9,361,3,19,UFA,5184,4096,72,64,1433879,3174863,4100000,3174863,6100000,3174863,263.73759999999993,523.4943999999999,16.24,22.88,12250000,1049914,1450000,12250000,8300000,6125000,84,89,0.2025,0.0841,0.45,0.29,1.6129,1.2768999999999997,1.27,1.13,27,2,676,961,26,31,16,25,4,5,14.175893917223126,15.226497531674536,15.623799329143539
SEA,SEA,6.3,6.3,2019,2016,2016,2013,2016,1,2,47524,13689,218,117,1000000,0,8,9,1,1,9025,2809,8281,2601,91,51,95,53,10.212192816635161,27.93877551020408,3.1956521739130435,5.285714285714286,0.0006596665940285209,0.0003236485148066884,0.02568397543271915,0.01799023387304035,0.006736642452912244,0.009042343199395028,0.08207705192629816,0.09509123618607042,16.9744,12.531600000000001,4.12,3.54,34,31,35,34,SEA,Seattle Mariners,Seattle Mariners,Washington,35050000,21550000,39601.0,16822.089999999997,199.0,129.7,1089,400,1089,400,33,20,33,20,161,161,Hisashi Iwakuma,144,25,12,5,0,0,210,210,4,4,SP,SP,0.5341614906832298,0.4658385093167702,0,0,0,0,UFA,21609,12321,147,111,13500000,7000000,10000000,7000000,13500000,7000000,2284.8399999999997,5418.4321,47.8,73.61,12000000,35100000,59750000,12000000,14000000,12000000,86,75,6.760000000000001,6.400899999999999,2.6,2.53,1.7689000000000001,1.1236000000000002,1.33,1.06,0,0,2116,441,46,21,256,81,16,9,16.41820024340866,16.11809565095832,16.41820024340866
DET,TOR,6.4,6.4,2018,2016,2016,2015,2016,2,1,3249,2116,57,46,0,0,11,11,1,1,1681,225,1521,144,39,12,41,15,5.4444444444444455,25.840277777777775,2.3333333333333335,5.083333333333333,0.0022400604176295497,0.0005876951331496786,0.04732927653820149,0.024242424242424242,0.012195884495983106,0.015186205489235794,0.11043497858913681,0.12323232323232323,50.6944,3.8415999999999997,7.12,1.96,32,31,33,32,TOR,Detroit Tigers,Toronto Blue Jays,Michigan,6760554,1260554,2430.49,3025.0,49.3,55.0,2916,3249,0,0,0,0,54,57,160,161,Mark Lowe,9,9,3,3,11,2,210,210,16,6,RP,RP,0.5375,0.577639751552795,0,1,0,1,UFA,2401,3721,49,61,5500000,180259,5500000,507500,5500000,507500,0.04000000000000001,5870.624400000001,0.2,76.62,11000000,272257500,86600000,11000000,507500,5500000,86,93,0.9801,2.4025000000000003,-0.99,1.55,2.4964000000000004,1.1025,1.58,1.05,4,2,441,144,21,12,1,1,1,1,15.520258650202699,15.520258650202699,15.520258650202699
