Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_inicio_de_contrato_t,Anio_inicio_de_contrato_t_1,Anio,Anios_de_contrato_t,Anios_de_contrato_t_1,Bateos_pitcher_2_t,Bateos_pitcher_2_t_1,Bateos_pitcher_t,Bateos_pitcher_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Edad_t_1,Equipo_anterior,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_iniciados_2_t,Juegos_iniciados_2_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Status,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Valor_promedio_contrato,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
SEA,STL,6.6,6.6,2018,0,2016,2015,2016,2,1,1936,3025,44,55,0,0,8,3,1,2,441,676,400,484,20,22,21,26,13.097505668934241,3.1604938271604937,3.619047619047619,1.7777777777777777,0.0013292100694444447,0.0029430134495714642,0.036458333333333336,0.054249547920433995,0.017409336419753087,0.009301375840620926,0.13194444444444445,0.09644364074743822,7.896100000000001,12.8164,2.81,3.58,29,28,30,29,STL,Seattle Mariners,St. Louis Cardinals,Washington,17016915,12016915,4096.0,3058.0899999999997,64.0,55.3,3844,3481,0,0,0,0,62,59,161,160,Steve Cishek,36,36,6,6,0,23,215,215,4,28,RP,RP,0.5341614906832298,0.625,625,16,25,4,UFA,5776,2304,76,48,5000000,2652732,4000000,2652732,5000000,2652732,6088.6809,14.0625,78.03,3.75,10000000,35100000,7500000,10000000,6650000,5000000,86,100,2.5281000000000002,0.36,1.59,-0.6,1.0404,2.1904,1.02,1.48,0,11,441,729,21,27,16,4,4,2,15.424948470398375,15.201804919084164,15.424948470398375
COL,CHC,6.0,6.0,2018,2016,2016,2015,2016,2,1,784,2304,28,48,0,0,3,13,1,2,225,441,169,441,13,21,15,21,9.0,9.553719008264462,3.0,3.090909090909091,0.0014066895561432884,0.0006403333035393127,0.03750586029067042,0.025304807913503567,0.012660206005289594,0.006117564453648311,0.11251758087201126,0.07821486082355648,24.403600000000004,15.288100000000002,4.94,3.91,33,32,34,33,CHC,Colorado Rockies,Chicago Cubs,Colorado,24696000,19696000,561.6899999999999,2332.89,23.7,48.3,900,3249,0,0,0,0,30,57,161,161,Jason Motte,1,1,1,1,1,17,225,225,3,17,RP,RP,0.4658385093167702,0.5962732919254659,0,36,0,6,UFA,576,1156,24,34,5000000,4500000,5000000,4500000,5000000,4500000,0.0,857.9041,0.0,29.29,10000000,43500000,190950000,10000000,4500000,5000000,75,96,0.0016,0.0484,-0.04,0.22,2.3104,1.4884,1.52,1.22,0,2,64,121,8,11,0,64,0,8,15.424948470398375,15.424948470398375,15.424948470398375
OAK,COL,6.5,6.5,2018,0,2016,2015,2016,2,1,4225,3136,65,56,0,0,4,9,5,1,900,729,841,676,29,26,30,27,4.0,3.75390625,2.0,1.9375,0.002574107923593269,0.0040747835798477915,0.050735667174023336,0.06383403151805306,0.010296431694373076,0.015296355547787998,0.10147133434804667,0.1236784360662278,15.8404,17.64,3.98,4.2,32,31,33,32,COL,Oakland Athletics,Colorado Rockies,California,17967500,13467500,4316.490000000001,3102.4900000000002,65.7,55.7,4624,3600,0,0,0,0,68,60,161,161,John Axford,16,25,4,5,15,1,234,234,26,3,RP,RP,0.422360248447205,0.4161490683229814,9,625,3,25,UFA,3600,3844,60,62,4500000,2600000,4500000,2600000,4500000,2600000,882.0899999999999,2313.61,29.7,48.1,10000000,42250000,18950000,10000000,2600000,5000000,68,67,0.7744,0.5328999999999999,0.88,0.73,2.1025,2.4964000000000004,1.45,1.58,9,0,900,1024,30,32,36,16,6,4,15.319587954740548,15.319587954740548,15.319587954740548
STL,STL,6.4,6.4,2018,2016,2016,2013,2016,2,3,2601,3721,51,61,0,0,5,3,2,2,1024,1024,841,961,29,31,32,32,5.640625,8.200413223140497,2.375,2.8636363636363638,0.0019300123249380808,0.0016433335373918989,0.04393190554640307,0.04053805048829925,0.010886475770353862,0.013476014070058774,0.10433827567270729,0.11608623548922058,18.49,21.3444,4.3,4.62,31,28,32,31,STL,St. Louis Cardinals,St. Louis Cardinals,Missouri,44097500,39147500,3684.4900000000002,3636.0899999999997,60.7,60.3,4356,4356,0,0,0,0,66,66,161,160,Jonathan Broxton,4,25,2,5,23,23,305,305,28,28,RP,RP,0.5279503105590062,0.625,0,0,0,0,UFA,3249,3969,57,63,3750000,3196721,3750000,3196721,3750000,3196721,477.8596,5.289999999999999,21.86,2.3,7500000,94000000,7500000,7500000,21000000,3750000,85,100,0.0009,0.30250000000000005,0.03,-0.55,1.5376,1.9043999999999996,1.24,1.38,11,11,576,484,24,22,16,16,4,4,15.137266397946593,15.137266397946593,15.137266397946593
HOU,WSH,6.8,6.8,2017,2016,2016,2015,2016,1,1,38025,14400,195,120,0,0,3,8,2,1,9604,3136,8649,2304,93,48,98,56,3.4404266389177938,6.890625,1.8548387096774193,2.625,0.0014598455376325337,0.000670290424272892,0.03820792506316633,0.025889967637540454,0.005022491476376237,0.004618719954755396,0.07086953842361496,0.06796116504854369,21.5296,17.556100000000004,4.64,4.19,31,30,32,31,WSH,Houston Astros,Washington Nationals,Texas,35000500,24000500,32508.090000000004,10609.0,180.3,103.0,1024,841,1024,225,32,15,32,29,161,161,Doug Fister,169,49,13,7,1,1,210,210,10,3,SP,SP,0.5217391304347826,0.515527950310559,0,1,0,1,UFA,13225,3969,115,63,11000000,11400000,7000000,11400000,11000000,11400000,476.11240000000004,115.3476,21.82,10.74,7000000,26000000,216000000,7000000,11400000,7000000,84,83,0.0081,0.0036,-0.09,0.06,2.0164,1.9599999999999997,1.42,1.4,0,0,3844,576,62,24,144,25,12,5,16.213405830762646,15.761420707019587,16.213405830762646
WSH,HOU,6.3,6.3,2018,2016,2016,2014,2016,2,2,1444,1521,38,39,0,0,11,7,1,2,484,576,484,361,22,19,22,24,5.289999999999999,11.559999999999999,2.3,3.4,0.0030864197530864196,0.0016524555489457332,0.05555555555555555,0.04065040650406504,0.016327160493827157,0.019102386145812677,0.12777777777777777,0.13821138211382114,24.5025,17.3889,4.95,4.17,34,32,34,33,HOU,Washington Nationals,Houston Astros,Washington DC,57122983,54122983,1600.0,1681.0,40.0,41.0,4096,4900,0,0,0,0,64,70,161,161,Oliver Perez,9,16,3,4,1,1,225,225,4,10,RP,RP,0.5838509316770186,0.5341614906832298,0,0,0,0,UFA,2116,2601,46,51,3000000,778688,3000000,778688,3000000,778688,74.47690000000001,296.8729,8.63,17.23,7000000,68750000,65600000,7000000,4250000,3500000,94,86,0.0036,0.1369,0.06,0.37,2.1025,1.7424000000000002,1.45,1.32,0,0,400,225,20,15,4,4,2,2,14.914122846632385,14.914122846632385,14.914122846632385
TEX,TEX,6.4,6.4,2017,2016,2016,2015,2016,1,1,10609,44521,103,211,0,0,10,14,2,2,2809,12996,2304,11236,48,106,53,114,6.79719387755102,11.430839002267573,2.607142857142857,3.380952380952381,0.0007156021131401807,0.000519730108397404,0.026750740422279543,0.022797589969060415,0.00486408630219901,0.005940951193721799,0.06974300181522881,0.07707756608587092,13.7641,21.715600000000002,3.71,4.66,36,35,36,35,TEX,Texas Rangers,Texas Rangers,Texas,24279500,18279500,13525.689999999999,41902.09,116.3,204.7,361,1089,361,1089,19,33,19,33,161,161,Colby Lewis,25,81,5,9,2,2,238,238,8,7,SP,SP,0.5900621118012422,0.5403726708074534,0,0,0,0,UFA,5329,20164,73,142,6000000,4000000,6000000,4000000,6000000,4000000,4251.04,2472.0784,65.2,49.72,6000000,20165000,13800000,6000000,4000000,6000000,95,87,5.3361,0.7395999999999999,2.31,0.86,1.2768999999999997,1.5376,1.13,1.24,0,0,784,1764,28,42,36,289,6,17,15.60727002719233,15.60727002719233,15.60727002719233
COL,HOU,6.4,6.4,2018,2016,2016,2014,2016,2,2,1849,2025,43,45,500000,0,3,7,1,2,484,576,361,441,19,21,22,24,5.975308641975309,26.123456790123452,2.4444444444444446,5.111111111111111,0.0009351999925184,0.000411439668544203,0.03058103975535168,0.02028397565922921,0.00558810859727044,0.010748226402957207,0.07475365273530411,0.10367365336939374,27.457600000000003,14.6689,5.24,3.83,37,35,37,36,HOU,Colorado Rockies,Houston Astros,Colorado,23180498,20180498,1069.2900000000002,2430.49,32.7,49.3,1936,3600,0,0,0,0,44,60,161,161,Chad Qualls,0,25,0,5,1,1,245,245,3,10,RP,RP,0.4658385093167702,0.5341614906832298,0,16,0,4,UFA,484,2116,22,46,2250000,3000000,1750000,3000000,2250000,3000000,0.0,630.0100000000001,0.0,25.1,6000000,43500000,65600000,6000000,6000000,3000000,75,86,0.016900000000000002,0.0001,-0.13,0.01,2.5281000000000002,1.2100000000000002,1.59,1.1,0,0,81,81,9,9,4,9,2,3,14.626440774180603,14.375126345899696,14.626440774180603
LAD,BOS,6.5,6.5,2017,2016,2016,2015,2016,1,1,5929,196,77,14,0,0,8,8,5,1,841,25,676,25,26,5,29,5,15.28099173553719,51.84,3.909090909090909,7.2,0.0011050752085875121,0.00036699402533726743,0.03324267150196434,0.019157088122605363,0.016886645129572813,0.019024970273483946,0.12994862496222426,0.13793103448275862,4.494400000000001,2.4025000000000003,2.12,1.55,35,34,36,35,BOS,Los Angeles Dodgers,Boston Red Sox,California,11214059,5214059,12166.09,841.0,110.3,29.0,400,16,400,16,20,4,20,4,161,161,Rich Hill,25,1,5,1,25,13,221,221,30,21,SP,SP,0.5652173913043478,0.484472049689441,0,0,0,0,UFA,16641,1296,129,36,2065574,72103,6000000,507500,6000000,507500,8587.7289,0.0,92.67,0.0,6000000,79750000,186500000,6000000,507500,6000000,91,78,1.9320999999999997,2.6895999999999995,1.39,1.64,1.0,0.42250000000000004,1.0,0.65,6,8,1089,25,33,5,144,4,12,2,14.540918711853546,15.60727002719233,15.60727002719233
CHC,CHC,6.4,6.4,2017,2016,2016,2015,2016,1,1,2401,1936,49,44,0,0,15,13,2,2,484,729,400,676,20,26,22,27,3.555918367346939,5.0625,1.8857142857142857,2.25,0.003503646896001949,0.0016856956019609115,0.05919161170302722,0.041057223505260455,0.012458682350191421,0.008533833984927117,0.11161846778285134,0.09237875288683603,7.507600000000001,29.160000000000004,2.74,5.4,27,26,28,27,CHC,Chicago Cubs,Chicago Cubs,Illinois,36211516,31661516,4316.490000000001,1874.8899999999996,65.7,43.3,2601,676,1,9,1,3,51,26,160,161,Trevor Cahill,16,9,4,3,17,17,230,230,18,17,RP,RP,0.6375,0.5962732919254659,0,0,0,0,UFA,4356,1296,66,36,4250000,91516,4250000,507500,4250000,507500,2689.4596,239.6304,51.86,15.48,4250000,291277500,190950000,4250000,507500,4250000,102,96,0.9216,0.5184,0.96,-0.72,1.6384,1.9043999999999996,1.28,1.38,3,2,1225,256,35,16,16,1,4,1,15.2624295409006,15.2624295409006,15.2624295409006
NYM,NYM,6.6,6.6,2017,2016,2016,2015,2016,1,1,1296,0,36,0,0,0,9,1,2,2,196,0,169,0,13,0,14,0,12.017777777777779,inf,3.466666666666667,inf,0.0015747039556563364,0.0,0.03968253968253968,0.0,0.018924442204865482,0.007901234567901235,0.13756613756613756,0.08888888888888889,7.7841000000000005,0.0,2.79,0.0,32,31,32,31,NYM,New York Mets,New York Mets,New York,12285000,7285000,1764.0,25.0,42.0,5.0,5329,49,0,0,0,0,73,7,161,161,Jerry Blevins,4,0,2,0,5,5,190,190,9,9,RP,RP,0.5403726708074534,0.5527950310559007,4,0,2,0,UFA,2704,16,52,4,5000000,2400000,4000000,2400000,5000000,2400000,1665.4561,0.0,40.81,0.0,4000000,48757500,1450000,4000000,2400000,4000000,87,89,1.0609,0.1296,1.03,0.36,1.4641,0.0,1.21,0.0,2,2,225,0,15,0,16,1,4,1,15.424948470398375,15.201804919084164,15.424948470398375
LAD,PIT,6.3,6.3,2017,2016,2016,2015,2016,1,1,3025,4761,55,69,0,0,8,4,5,2,529,676,484,576,22,24,23,26,9.467455621301776,24.37890625,3.076923076923077,4.9375,0.0013040123456790121,0.0005471769091344344,0.03611111111111111,0.023391812865497075,0.012345679012345678,0.013339574569953147,0.1111111111111111,0.1154970760233918,6.1504,8.0656,2.48,2.84,35,34,35,34,PIT,Los Angeles Dodgers,Pittsburgh Pirates,California,54598500,50598500,6400.0,5776.0,80.0,76.0,5625,1296,0,16,0,4,75,36,161,161,Joe Blanton,4,4,2,2,25,9,252,252,30,17,RP,RP,0.5652173913043478,0.6024844720496895,0,4,0,2,UFA,6400,6241,80,79,4000000,371584,4000000,1000000,4000000,1000000,5777.520100000001,0.0,76.01,0.0,4000000,79750000,50000000,4000000,1000000,4000000,91,97,3.61,0.0961,1.9,0.31,1.0201,1.2544000000000002,1.01,1.12,6,5,676,256,26,16,49,49,7,7,15.201804919084164,15.201804919084164,15.201804919084164
PIT,DET,6.3,6.3,2017,2016,2016,2015,2016,1,1,1681,3249,41,57,0,0,10,4,2,1,441,1156,400,1156,20,34,21,34,8.437641723356009,4.694444444444444,2.9047619047619047,2.1666666666666665,0.001888013082004114,0.001736111111111111,0.04345127250155183,0.041666666666666664,0.015930377954959885,0.008150077160493827,0.12621560107593627,0.09027777777777778,11.2225,40.7044,3.35,6.38,27,26,28,27,DET,Pittsburgh Pirates,Detroit Tigers,Pennsylvania,13843591,9763591,2883.6900000000005,2304.0,53.7,48.0,3844,2304,0,0,0,0,62,48,160,160,Neftali Feliz,4,16,2,4,9,11,235,235,17,16,RP,RP,0.4875,0.45625,4,100,2,10,UFA,3721,1521,61,39,4080000,238497,3900000,507500,4080000,507500,1103.5683999999999,0.0,33.22,0.0,3900000,25150000,2000000,3900000,507500,3900000,78,73,0.9216,1.1236000000000002,0.96,-1.06,1.3224999999999998,2.4336,1.15,1.56,5,4,441,324,21,18,16,9,4,3,15.221607546380344,15.176487111099874,15.221607546380344
PHI,ARI,0.0,0.0,2017,2016,2016,2015,2016,1,1,5929,1089,77,33,0,0,6,6,2,1,961,324,961,256,31,16,31,18,6.25,9.0,2.5,3.0,0.002391917058220452,0.0013153476393151537,0.04890722909980131,0.03626772172766238,0.014949481613877824,0.011838128753836384,0.12226807274950327,0.10880316518298713,14.7456,18.3184,3.84,4.28,30,29,31,30,ARI,Philadelphia Phillies,Arizona Diamondbacks,Pennsylvania,11275000,7375000,5285.29,1135.6900000000003,72.7,33.7,4900,1600,0,0,0,0,70,40,161,161,David Hernandez,16,25,4,5,7,1,245,245,14,5,RP,RP,0.4347826086956521,0.484472049689441,1,0,1,0,UFA,6400,1089,80,33,3900000,2000000,3900000,2000000,3900000,2000000,451.1375999999999,0.0,21.24,0.0,3900000,8750000,2407500,3900000,2000000,3900000,70,78,0.8464,0.019600000000000003,0.92,-0.14,2.25,1.7161000000000002,1.5,1.31,2,1,1024,121,32,11,9,1,3,1,15.176487111099874,15.176487111099874,15.176487111099874
PIT,LAD,0.0,0.0,0,0,2016,2015,2016,1,1,13456,3481,116,59,0,0,10,8,2,5,4096,625,3136,625,56,25,64,25,9.404444444444445,4.1259765625,3.066666666666667,2.03125,0.0017954610744039068,0.003719442320475796,0.0423728813559322,0.06098723079855156,0.016885313926394075,0.01534633183985375,0.12994350282485875,0.12388031255955786,18.232899999999997,14.8996,4.27,3.86,29,28,29,28,LAD,Pittsburgh Pirates,Los Angeles Dodgers,Pennsylvania,8672437,5672437,13924.0,3398.89,118.0,58.3,2704,2916,144,1,12,1,52,54,160,161,Juan Nicasio,49,9,7,3,9,25,252,252,17,29,RP,RP,0.4875,0.5652173913043478,0,1,0,1,UFA,19044,4225,138,65,3000000,2300000,3000000,2300000,3000000,2300000,3402.3889,264.0625,58.33,16.25,3000000,25150000,61257500,3000000,2300000,3000000,78,91,0.17639999999999997,0.06760000000000001,0.42,0.26,1.8496000000000004,2.4336,1.36,1.56,5,6,2025,1024,45,32,100,1,10,1,14.914122846632385,14.914122846632385,14.914122846632385
WSH,SF,6.1,6.1,2018,0,2016,2015,2016,1,1,4489,5625,67,75,0,0,11,9,1,5,1089,1024,961,961,31,31,33,32,10.671111111111111,15.47111111111111,3.2666666666666666,3.933333333333333,0.0007226268932824605,0.00048091720529393656,0.026881720430107527,0.021929824561403508,0.007711231870094166,0.007440323518347525,0.08781362007168458,0.08625730994152046,20.25,13.4689,4.5,3.67,31,30,31,30,SF,Washington Nationals,San Francisco Giants,Washington DC,8403491,5903491,3844.0,5776.0,62.0,76.0,1296,1764,1,1,1,1,36,42,161,161,Yusmeiro Petit,25,1,5,1,1,23,252,252,4,25,RP,RP,0.5838509316770186,0.5217391304347826,1,1,1,1,UFA,2401,3481,49,59,2500000,2100000,2500000,2100000,2500000,2100000,0.0,0.0,0.0,0.0,3000000,68750000,44000000,3000000,2100000,3000000,94,84,0.0256,0.28090000000000004,0.16,0.53,1.7424000000000002,1.3923999999999999,1.32,1.18,0,8,225,225,15,15,9,1,3,1,14.73180128983843,14.73180128983843,14.73180128983843
ATL,LAD,6.6,6.6,2019,2016,2016,2015,2016,2,1,3249,5929,57,77,0,0,13,8,1,5,529,1296,529,1089,23,33,23,36,11.559999999999999,6.25,3.4,2.5,0.00117968596110888,0.0011100008327781245,0.03434655675768504,0.03331667499583541,0.01363716971041865,0.0069375052048632774,0.11677829297612913,0.08329168748958853,10.240000000000002,19.8916,3.2,4.46,32,31,33,32,LAD,Atlanta Braves,Los Angeles Dodgers,Georgia,15572485,12497485,4186.09,4448.89,64.7,66.7,4225,5184,0,0,0,0,65,72,160,161,Jim Johnson,36,36,6,6,18,25,250,250,23,29,RP,RP,0.41875,0.5652173913043478,400,100,20,10,UFA,4624,2500,68,50,3075000,585792,2500000,585792,3075000,585792,4328.324100000001,2291.5368999999996,65.79,47.87,2500000,19157500,61257500,10000000,1600000,2500000,67,91,2.1609,2.25,1.47,1.5,1.4161,2.1315999999999997,1.19,1.46,3,6,400,400,20,20,4,4,2,2,14.938815459222756,14.73180128983843,14.938815459222756
CHW,CHW,6.1,6.1,2017,2016,2016,2015,2016,1,1,4489,961,67,31,0,0,13,13,2,2,1936,36,1225,25,35,5,44,6,2.4930747922437675,9.679012345679013,1.5789473684210527,3.111111111111111,0.0016935087808430287,0.0007187574121858131,0.0411522633744856,0.02680965147453083,0.004222044051963229,0.006956861866094785,0.0649772579597141,0.08340780458742926,37.6996,1.4641,6.14,1.21,32,31,33,32,CHW,Chicago White Sox,Chicago White Sox,Illinois,11842000,9842000,2631.6899999999996,1391.2899999999997,51.3,37.3,3364,900,1,0,1,0,58,30,161,161,Matt Albers,36,0,6,0,6,6,225,225,9,9,RP,RP,0.484472049689441,0.4720496894409938,0,0,0,0,UFA,900,784,30,28,2000000,1500000,2000000,1500000,2000000,1500000,0.1936,0.0,0.44,0.0,2250000,17650000,137000000,2250000,1500000,2250000,78,76,3.6481,2.0164,-1.91,1.42,2.7889,1.1449,1.67,1.07,3,3,361,81,19,9,4,4,2,2,14.508657738524219,14.508657738524219,14.508657738524219
PIT,SF,6.4,6.4,2017,2016,2016,2015,2016,1,1,6561,19600,81,140,0,0,10,9,2,5,2601,5776,1936,4900,44,70,51,76,2.3256249999999996,3.4673008323424495,1.525,1.8620689655172413,0.0029305467204150913,0.0022787854155023796,0.054134524292867775,0.047736625514403296,0.006815352716665348,0.007901234567901235,0.08255514954662337,0.08888888888888889,23.232400000000002,21.808899999999998,4.82,4.67,38,37,38,37,SF,Pittsburgh Pirates,San Francisco Giants,Pennsylvania,22750000,19525000,6740.409999999999,18225.0,82.1,135.0,576,1089,196,484,14,22,24,33,160,161,Ryan Vogelsong,49,121,7,11,9,23,215,215,17,25,SP,SP,0.4875,0.5217391304347826,0,0,0,0,UFA,3721,11664,61,108,3225000,4000000,2000000,4000000,3225000,4000000,95.64839999999998,306.9504,9.78,17.52,2000000,25150000,44000000,2000000,4000000,2000000,78,84,0.0081,0.12249999999999998,-0.09,-0.35,2.1609,2.1609,1.47,1.47,5,8,1600,3364,40,58,9,81,3,9,14.98644350821201,14.508657738524219,14.98644350821201
MIA,CHC,0.0,0.0,2017,2016,2016,2014,2016,1,2,2916,3481,54,59,0,0,10,13,2,2,729,1296,625,1089,25,33,27,36,4.0,4.0,2.0,2.0,0.003963620507048688,0.0026410455726702214,0.0629572911349328,0.05139110402268297,0.01585448202819475,0.010564182290680886,0.1259145822698656,0.10278220804536593,11.833599999999999,22.4676,3.44,4.74,38,36,39,38,CHC,Miami Marlins,Chicago Cubs,Florida,39807500,35707500,4264.089999999999,3931.2900000000004,65.3,62.7,4489,4624,0,0,0,0,67,68,160,161,Fernando Rodney,16,25,4,5,2,17,240,240,2,17,RP,RP,0.49375,0.5962732919254659,625,256,25,16,UFA,5476,3364,74,58,830616,1453551,1600000,1453551,4100000,1453551,1396.5168999999999,45.832899999999995,37.37,6.77,2000000,84707500,190950000,2000000,14000000,2000000,79,96,0.7224999999999999,0.04409999999999999,-0.85,0.21,1.9320999999999997,1.9599999999999997,1.39,1.4,2,2,1369,841,37,29,4,49,2,7,13.629922873176499,14.28551418721001,15.226497531674536
CIN,DET,6.6,6.6,2017,2016,2016,2015,2016,1,1,7921,40401,89,201,0,0,8,4,2,1,4096,12544,3721,11025,61,105,64,112,1.582726326742976,2.9604238754325265,1.2580645161290323,1.7205882352941178,0.003443199339135034,0.0016324864809713297,0.058678780995646405,0.04040404040404041,0.005449642242273034,0.004832851954588349,0.07382169222032935,0.06951871657754011,87.60959999999999,25.502499999999998,9.36,5.05,34,33,35,34,DET,Cincinnati Reds,Detroit Tigers,Ohio,11591500,9591500,3445.6900000000005,34969.0,58.7,187.0,225,961,121,961,11,31,15,31,161,160,Alfredo Simon,49,144,7,12,10,11,267,267,15,16,SP,SP,0.422360248447205,0.45625,0,0,0,0,UFA,1521,13689,39,117,2000000,5500000,2000000,5500000,2000000,5500000,0.0,321.12640000000005,0.0,17.92,2000000,3400000,2000000,2000000,5500000,2000000,68,73,4.5796,0.27040000000000003,-2.14,-0.52,4.2025,2.0736,2.05,1.44,5,4,961,4624,31,68,4,169,2,13,14.508657738524219,14.508657738524219,14.508657738524219
ATL,NYM,6.3,6.3,2017,2016,2016,2014,2016,1,2,1521,2209,39,47,0,0,13,1,1,2,625,900,484,729,22,27,25,30,4.0,1.3611111111111114,2.0,1.1666666666666667,0.001813579332629784,0.0044444444444444444,0.04258614014711575,0.06666666666666667,0.007254317330519136,0.006049382716049383,0.0851722802942315,0.07777777777777778,47.7481,65.61,6.91,8.1,30,28,31,30,NYM,Atlanta Braves,New York Mets,Georgia,19625000,17875000,823.6899999999999,900.0,28.7,30.0,1521,1681,0,0,0,0,39,41,160,161,Eric O'Flaherty,16,4,4,2,18,5,210,210,23,9,RP,RP,0.41875,0.5527950310559007,0,0,0,0,UFA,484,441,22,21,1750000,1833333,1750000,1833333,1750000,1833333,0.0,0.0,0.0,0.0,1750000,19157500,1450000,1750000,7000000,1750000,67,89,0.6889,0.43560000000000004,-0.83,-0.66,3.0276,4.7089,1.74,2.17,3,2,121,324,11,18,1,1,1,1,14.375126345899696,14.375126345899696,14.375126345899696
MIL,NYY,6.2,6.2,2017,2016,2016,2015,2016,1,1,529,2704,23,52,0,0,8,7,1,2,121,1444,121,1296,11,36,11,38,3.24,2.9834710743801653,1.8,1.7272727272727273,0.0048225308641975315,0.0036072108144180218,0.06944444444444445,0.06006006006006006,0.015625,0.010762009124007486,0.125,0.10374010374010374,17.0569,63.5209,4.13,7.97,37,36,37,36,NYY,Milwaukee Brewers,New York Yankees,Wisconsin,29399327,27899327,576.0,1656.4900000000002,24.0,40.7,256,484,0,16,0,4,16,22,161,161,Chris Capuano,1,16,1,4,1,40,225,225,4,51,RP,RP,0.4472049689440994,0.5403726708074534,0,0,0,0,UFA,729,1444,27,38,1500000,5000000,1500000,5000000,1500000,5000000,0.0,0.0,0.0,0.0,1500000,8100000,101500000,1500000,5000000,1500000,72,87,0.028900000000000006,1.1664,0.17,-1.08,2.4964000000000004,3.3124000000000002,1.58,1.82,0,27,225,484,15,22,1,0,1,0,14.22097566607244,14.22097566607244,14.22097566607244
SD,STL,6.2,6.2,2017,2016,2016,2015,2016,1,1,7921,2500,89,50,0,0,13,3,5,2,2500,441,2401,400,49,20,50,21,18.984693877551017,6.859410430839002,4.357142857142857,2.619047619047619,0.0004418833247662077,0.0014631670100630058,0.021021021021021023,0.03825136612021858,0.008389019650280912,0.010036463050885696,0.0915915915915916,0.10018214936247723,35.5216,8.7025,5.96,2.95,32,31,32,31,STL,San Diego Padres,St. Louis Cardinals,California,19714000,18214000,5476.0,3721.0,74.0,61.0,2601,1225,0,0,0,0,51,35,161,160,Carlos Villanueva,4,9,2,3,2,23,215,215,5,28,RP,RP,0.422360248447205,0.625,1,4,1,2,UFA,3721,3025,61,55,1500000,2000000,1500000,2000000,1500000,2000000,17.472399999999997,0.0,4.18,0.0,1500000,12120000,7500000,1500000,2000000,1500000,68,100,1.1449,0.7921,-1.07,0.89,1.9320999999999997,1.3456,1.39,1.16,0,11,196,441,14,21,4,16,2,4,14.22097566607244,14.22097566607244,14.22097566607244
