Acronimo_t,Altura_t,Anio_de_agente_libre_t,Anio_t,Anios_de_contrato,Anios_de_contrato_t,Antiguedad_t,At-bats_2_t,At-bats_t,Bateos_2_t,Bateos_promedio_2_t,Bateos_promedio_t,Bateos_t,Bono_por_firma_t,Cantidad de equipos_t,Cantidad_agentes_libres_t,Dobles_2_t,Dobles_t,Edad_al_firmar_t,Edad_t,Equipo_anterior,Equipo_t,Estado_t,Ganancias_t,Home-runs_2_t,Home-runs_t,Juegos totales_t,Juegos_iniciados_2_t,Juegos_iniciados_t,Juegos_t,Jugador,Pago_efectivo_t,Pennants won_t,Peso_t,Playoffs_t,Porcentaje_On-base-plus-slugging_2_t,Porcentaje_On-base-plus-slugging_t,Porcentaje_juegos_iniciados_2_t,Porcentaje_juegos_iniciados_t,Porcentaje_juegos_t,Porcentaje_on-base_2_t,Porcentaje_on-base_t,Porcentaje_slugging_2_t,Porcentaje_slugging_t,Posicion_t,Promedio_victorias_t,Runs-batted-in_2_t,Runs-batted-in_t,Status_agente_libre,Sueldo_ajustado_t,Sueldo_base_t,Sueldo_porcentual_t,Sueldo_regular_t,TVS_2_t,TVS_t,Triples_2_t,Triples_t,Valor_contrato,Valor_contrato_promedio_t,Valor_contrato_total_t,Valor_del_contrato_t,Valor_promedio_contrato,Victorias_t,WAR_2_t,WAR_t,WS ganadas_t,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t,Acronimo_t_1,Altura_t_1,Anio_de_agente_libre_t_1,Anios_de_contrato_t_1,Antiguedad_t_1,At_bats_2_t,At_bats_2_t_1,At_bats_t,At_bats_t_1,Bateos_2_t_1,Bateos_promedio_2_t_1,Bateos_promedio_t_1,Bateos_t_1,Bono_por_firma_t_1,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Dobles_2_t_1,Dobles_t_1,Edad_al_firmar_t_1,Equipo_t_1,Ganancias_t_1,Home_runs_2_t,Home_runs_2_t_1,Home_runs_t,Home_runs_t_1,Juegos_iniciados_2_t_1,Juegos_iniciados_t_1,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Pago_efectivo_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t_1,Playoffs_t_1,Porcentaje_On_base_plus_slugging_2_t,Porcentaje_On_base_plus_slugging_2_t_1,Porcentaje_On_base_plus_slugging_t,Porcentaje_On_base_plus_slugging_t_1,Porcentaje_juegos_iniciados_2_t_1,Porcentaje_juegos_iniciados_t_1,Porcentaje_juegos_t_1,Porcentaje_on_base_2_t,Porcentaje_on_base_2_t_1,Porcentaje_on_base_t,Porcentaje_on_base_t_1,Porcentaje_slugging_2_t_1,Porcentaje_slugging_t_1,Posicion_t_1,Promedio_victorias_t_1,Runs_batted_in_2_t,Runs_batted_in_2_t_1,Runs_batted_in_t,Runs_batted_in_t_1,Sueldo_ajustado_t_1,Sueldo_base_t_1,Sueldo_porcentual_t_1,Sueldo_regular_t_1,TVS_2_t_1,TVS_t_1,Triples_2_t_1,Triples_t_1,Valor_contrato_promedio_t_1,Valor_contrato_total_t_1,Valor_del_contrato_t_1,Victorias_t_1,WAR_2_t_1,WAR_t_1,WS_ganadas_t,WS_ganadas_t_1
LAD,6.2,2016,2013,6,6,0,,,361,0.10758400000000001,0.328,19,2000000,,7,9,3,29,29,LAA,Los Angeles Dodgers,California,72397172,,,,784,28,29,Zack Greinke,29000000,,200.0,27,,,0.029928999999999997,0.173,0.179,,,0.143641,0.379,SP,0.5679012345679012,,,UFA,19000000,17000000,0.08,19000000,3580.8256000000006,59.84,0,0,147000000,24500000,150850000,147000000,24500000,92,18.576099999999997,4.31,,16.759949537130716,16.64872390202049,16.759949537130716,MIL,6.2,2013.0,4.0,3.0,3364.0,1089.0,58.0,33.0,49.0,0.044944,0.212,7.0,0.0,3.0,5.0,1.0,9.0,3.0,25.0,Milwaukee Brewers,43397172.0,0.0,1.0,0.0,1.0,1156.0,34.0,37.0,162.0,162.0,13500000.0,25.0,1.0,200.0,4.0,0.620944,0.36,0.788,0.6,0.04409999999999999,0.21,0.228,0.16728099999999999,0.042435999999999995,0.409,0.206,0.155236,0.394,SP,0.5123456790123457,16.0,4.0,4.0,2.0,13500000.0,13500000.0,0.122,13500000.0,3567.6728999999996,59.73,0.0,0.0,9500000.0,40250000.0,38000000.0,83.0,2.1609,1.47,6.0,0.0
LAA,6.4,2018,2013,5,5,1,,,20736,0.0625,0.25,144,2400000,,8,1024,32,31,32,TEX,Los Angeles Angels,California,57561830,,,,20164,142,151,Josh Hamilton,25000000,,240.0,10,,,0.769129,0.877,0.932,,,0.18662399999999998,0.432,LF,0.4814814814814814,,,UFA,17400000,15000000,0.123,17400000,50.5521,7.11,25,5,125000000,25000000,153500000,125000000,25000000,78,1.5625,1.25,,16.671980764184756,16.523560759066484,16.671980764184756,TEX,6.4,2013.0,2.0,2.0,331776.0,315844.0,576.0,562.0,25600.0,0.08122499999999999,0.285,160.0,1500000.0,4.0,5.0,2.0,961.0,31.0,29.0,Texas Rangers,32561830.0,441.0,1849.0,21.0,43.0,21316.0,146.0,148.0,162.0,162.0,13750000.0,1.0,2.0,240.0,6.0,0.546121,0.8649000000000001,0.739,0.93,0.811801,0.901,0.914,0.094249,0.12531599999999998,0.307,0.354,0.332929,0.577,LF,0.5740740740740741,6241.0,16129.0,79.0,127.0,15250000.0,13750000.0,0.11,15250000.0,8264.6281,90.91,4.0,2.0,12000000.0,19000000.0,24000000.0,93.0,16.080099999999998,4.01,1.0,0.0
DET,6.0,2018,2013,5,5,1,,,0,0.0,0.0,0,800000,,4,0,0,28,29,DET,Detroit Tigers,Michigan,25987701,,,,841,29,29,Anibal Sanchez,12000000,,205.0,15,,,0.032041,0.179,0.179,,,0.0,0.0,RP,0.5740740740740741,,,UFA,8800000,8000000,0.057,8800000,6528.639999999999,80.8,0,0,80000000,16000000,107775000,80000000,16000000,93,37.209999999999994,6.1,,15.990262279448435,15.89495209964411,15.990262279448435,DET,6.0,2013.0,1.0,1.0,16.0,900.0,4.0,30.0,9.0,0.010000000000000002,0.1,3.0,0.0,3.0,1.0,1.0,0.0,0.0,27.0,Detroit Tigers,13987701.0,0.0,0.0,0.0,0.0,961.0,31.0,31.0,162.0,162.0,3147540.0,11.0,11.0,205.0,14.0,0.04000000000000001,0.08761599999999999,0.2,0.296,0.036481,0.191,0.191,0.04000000000000001,0.016641,0.2,0.129,0.027889000000000004,0.167,RP,0.5432098765432098,0.0,0.0,0.0,0.0,3147540.0,8000000.0,0.022,8000000.0,2546.2116,50.46,1.0,1.0,8000000.0,221000000.0,8000000.0,88.0,1.6900000000000002,1.3,4.0,4.0
ATL,6.3,2018,2013,5,5,0,,,5184,0.033856,0.184,72,600000,,3,196,14,28,28,TB,Atlanta Braves,Georgia,36109000,,,,12321,111,126,Melvin Upton,15450000,,185.0,23,,,0.46922500000000006,0.685,0.778,,,0.08352099999999998,0.289,LF,0.5925925925925926,,,UFA,13050000,12450000,0.137,13050000,0.5041,0.71,0,0,72500000,14500000,77250000,72500000,14500000,96,3.8599097976128247,1.9646653144016222,,16.384298691732976,16.33723118087499,16.384298691732976,TB,6.3,2013.0,1.0,0.0,152881.0,328329.0,391.0,573.0,19881.0,0.060516,0.246,141.0,0.0,4.0,1.0,2.0,841.0,29.0,27.0,Tampa Bay Rays,20659000.0,81.0,784.0,9.0,28.0,20736.0,144.0,146.0,162.0,162.0,7000000.0,18.0,1.0,185.0,3.0,0.31024900000000005,0.565504,0.557,0.752,0.790321,0.889,0.901,0.07182400000000001,0.088804,0.268,0.298,0.20611600000000002,0.454,LF,0.5555555555555556,676.0,6084.0,26.0,78.0,7000000.0,7000000.0,0.1,7000000.0,4261.4784,65.28,9.0,3.0,7000000.0,15950000.0,7000000.0,90.0,7.290000000000001,2.7,3.0,0.0
CHC,6.23328929986789,2017,2013,4,4,0,,,16,0.005929,0.077,4,2000000,,10,1,1,29,29,WSH,Chicago Cubs,Illinois,47247999,,,,961,31,31,Edwin Jackson,19000000,,210.0,16,,,0.036481,0.191,0.191,,,0.023716,0.154,SP,0.4074074074074074,,,UFA,13000000,11000000,0.13,13000000,110.67039999999999,10.52,0,0,52000000,13000000,73850000,52000000,13000000,66,3.8599097976128247,1.9646653144016222,,16.38045991542581,16.213405830762646,16.38045991542581,WSH,6.2411851851851825,2013.0,1.0,0.0,2704.0,3249.0,52.0,57.0,169.0,0.051984,0.228,13.0,0.0,6.0,2.0,1.0,0.0,0.0,28.0,Washington Nationals,28247999.0,1.0,0.0,1.0,0.0,961.0,31.0,34.0,162.0,162.0,11000000.0,17.0,1.0,210.0,2.0,0.07022500000000001,0.245025,0.265,0.495,0.036481,0.191,0.21,0.012321,0.071289,0.111,0.267,0.051984,0.228,SP,0.6049382716049383,16.0,0.0,4.0,0.0,11000000.0,11000000.0,0.112,11000000.0,1241.8576,35.24,0.0,0.0,11000000.0,18650000.0,11000000.0,98.0,4.536899999999999,2.13,2.0,0.0
SF,6.2,2017,2013,4,4,0,,,6241,0.07952399999999998,0.282,79,1250000,,6,256,16,31,31,SF,San Francisco Giants,California,23633500,,,,4356,66,71,Angel Pagan,12000000,,202.0,23,,,0.165649,0.407,0.438,,,0.171396,0.414,LF,0.4691358024691358,,,UFA,8250000,7000000,0.059,8250000,0.0,0.0,9,3,40000000,10000000,80750000,40000000,10000000,76,0.8281000000000001,0.91,,15.925723758310864,15.761420707019587,15.925723758310864,SF,6.2,2013.0,1.0,0.0,78400.0,366025.0,280.0,605.0,30276.0,0.08294399999999999,0.288,174.0,0.0,3.0,5.0,5.0,1444.0,38.0,30.0,San Francisco Giants,11633500.0,25.0,64.0,5.0,8.0,22201.0,149.0,154.0,162.0,162.0,5000000.0,23.0,23.0,202.0,23.0,0.561001,0.605284,0.749,0.778,0.8464,0.92,0.951,0.11155600000000002,0.11424400000000001,0.334,0.338,0.1936,0.44,LF,0.5802469135802469,900.0,3136.0,30.0,56.0,5000000.0,4850000.0,0.037,5000000.0,6090.241600000001,78.04,225.0,15.0,4850000.0,4800000.0,4850000.0,94.0,17.3889,4.17,7.0,7.0
BOS,5.9,2016,2013,3,3,0,,,19321,0.08468099999999999,0.291,139,0,,10,625,25,32,32,LAD,Boston Red Sox,Massachusetts,39495000,,,,13689,117,122,Shane Victorino,13000000,,160.0,21,,,0.521284,0.722,0.753,,,0.19980900000000001,0.447,RF,0.5987654320987654,,,UFA,13000000,13000000,0.076,13000000,6530.2561000000005,80.81,4,2,39000000,13000000,130700000,39000000,13000000,97,36.240399999999994,6.02,,16.38045991542581,16.38045991542581,16.38045991542581,LAD,5.9,2013.0,3.0,2.0,227529.0,354025.0,477.0,595.0,23104.0,0.065536,0.256,152.0,0.0,9.0,1.0,5.0,841.0,29.0,29.0,Los Angeles Dodgers,26495000.0,225.0,121.0,15.0,11.0,22801.0,151.0,154.0,162.0,162.0,3374316.0,13.0,25.0,160.0,26.0,0.6320250000000001,0.49561599999999995,0.795,0.704,0.8686240000000001,0.932,0.951,0.12180099999999998,0.10304100000000001,0.349,0.321,0.146689,0.383,RF,0.5308641975308642,3721.0,3025.0,61.0,55.0,3374316.0,9500000.0,0.029,9500000.0,1396.5168999999999,37.37,49.0,7.0,7333333.0,44651311.0,22000000.0,86.0,1.2321000000000002,1.11,8.0,6.0
MIL,6.2,2016,2013,3,3,0,,,64,0.021315999999999998,0.146,8,0,,7,0,0,34,34,STL,Milwaukee Brewers,Wisconsin,61590000,,,,1024,32,33,Kyle Lohse,4350000,,214.0,4,,,0.039204,0.198,0.204,,,0.021025,0.145,SP,0.4567901234567901,,,UFA,4350000,4000000,0.049,4350000,2375.5876000000003,48.74,0,0,33000000,11000000,43300000,33000000,11000000,74,8.940100000000001,2.99,,15.285686403064867,15.201804919084164,15.285686403064867,STL,6.2,2013.0,4.0,3.0,3025.0,4096.0,55.0,64.0,36.0,0.008836,0.094,6.0,312500.0,5.0,1.0,2.0,1.0,1.0,30.0,St. Louis Cardinals,57240000.0,0.0,0.0,0.0,0.0,1089.0,33.0,34.0,162.0,162.0,11875000.0,1.0,23.0,214.0,26.0,0.093636,0.052441,0.306,0.229,0.04161599999999999,0.204,0.21,0.025921000000000003,0.014160999999999998,0.161,0.119,0.011881,0.109,SP,0.5432098765432098,9.0,9.0,3.0,3.0,12187500.0,11875000.0,0.102,12187500.0,7437.337599999999,86.24,0.0,0.0,10250000.0,40850000.0,41000000.0,88.0,16.080099999999998,4.01,0.0,11.0
BOS,6.3,0,2013,2,2,0,,,25600,0.095481,0.309,160,500000,,10,1444,38,37,37,BOS,Boston Red Sox,Massachusetts,113201000,,,,18225,135,137,David Ortiz,15050000,,230.0,21,,,0.693889,0.833,0.846,,,0.31809599999999993,0.564,DH,0.5987654320987654,,,UFA,14550000,14000000,0.085,14550000,8438.2596,91.86,4,2,29000000,14500000,130700000,29000000,14500000,97,19.5364,4.42,,16.493101551581777,16.454567887579532,16.493101551581777,BOS,6.3,2013.0,1.0,0.0,268324.0,104976.0,518.0,324.0,10609.0,0.101124,0.318,103.0,0.0,3.0,1.0,1.0,676.0,26.0,36.0,Boston Red Sox,98151000.0,900.0,529.0,30.0,23.0,7744.0,88.0,90.0,162.0,162.0,14575000.0,13.0,12.0,230.0,20.0,0.919681,1.052676,0.959,1.026,0.294849,0.543,0.556,0.15602500000000002,0.172225,0.395,0.415,0.37332099999999996,0.611,DH,0.4259259259259259,10609.0,3600.0,103.0,60.0,14575000.0,14575000.0,0.083,14575000.0,0.0,0.0,0.0,0.0,14575000.0,6000000.0,14575000.0,69.0,10.0489,3.17,8.0,7.0
DET,6.2,2015,2013,2,2,0,,,33856,0.092416,0.304,184,0,,4,1369,37,37,37,LAA,Detroit Tigers,Michigan,147750000,,,,19044,138,144,Torii Hunter,12200000,,205.0,15,,,0.725904,0.852,0.889,,,0.21622500000000003,0.465,RF,0.5740740740740741,,,UFA,12000000,12000000,0.077,12000000,2048.4676,45.26,25,5,26000000,13000000,107775000,26000000,13000000,93,6.760000000000001,2.6,,16.300417207752275,16.300417207752275,16.300417207752275,LAA,6.2,2013.0,5.0,4.0,367236.0,285156.0,606.0,534.0,27889.0,0.097969,0.313,167.0,500000.0,4.0,1.0,5.0,576.0,24.0,32.0,Los Angeles Angels,135550000.0,289.0,256.0,17.0,16.0,17689.0,133.0,140.0,162.0,162.0,18000000.0,11.0,1.0,205.0,10.0,0.6400000000000001,0.6674889999999999,0.8,0.817,0.6740409999999999,0.821,0.864,0.11155600000000002,0.13322499999999998,0.334,0.365,0.203401,0.451,RF,0.5493827160493827,7056.0,8464.0,84.0,92.0,18500000.0,18000000.0,0.118,18500000.0,2972.4304,54.52,1.0,1.0,18000000.0,321150000.0,90000000.0,89.0,28.622499999999995,5.35,4.0,1.0
