Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Equipo_anterior,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
LAD,6.1,2019,10,5,196,38416,54,2916,5,4,32,Los Angeles Dodgers,ARI,California,16,256,55,59,3025,A.J. Pollock,0.881,0.776161,25,210,34,0.276,0.07617600000000001,0.917,0.8408890000000001,LF,0.711864406779661,34,1156,UFA,15000000,12000000,7444444,60.37,3644.5368999999996,60000000,15813500,12000000,42,0.62,0.3844,7,16.523560759066484,16.300417207752275,15.822978540317527
ATL,0.0,2020,10,1,59,3481,15,225,1,7,31,Atlanta Braves,ATL,Georgia,0,0,27,60,729,Adeiny Hechavarria,0.607,0.36844899999999997,18,195,26,0.254,0.064516,0.45,0.2025,SS,0.5833333333333334,2,4,UFA,1000000,1000000,370370,0.0,0.0,1000000,95750000,1000000,35,-0.28,0.07840000000000001,3,13.815510557964274,13.815510557964274,12.822257784953491
LAA,6.3,2012,10,10,152,23104,34,1156,5,3,40,Los Angeles Angels,STL,California,6,36,39,60,1521,Albert Pujols,0.665,0.44222500000000003,1,235,10,0.224,0.050176000000000005,0.65,0.42250000000000004,1B,0.4333333333333333,25,625,UFA,29000000,29000000,10740741,5.36,28.729600000000005,240000000,260850000,24000000,26,-0.24,0.0576,1,17.182806387950748,17.182806387950748,16.189554639078395
KC,6.1,2020,10,1,163,26569,34,1156,2,3,36,Kansas City Royals,KC,Missouri,4,16,50,59,2500,Alex Gordon,0.606,0.367236,4,225,9,0.209,0.043681,0.833,0.693889,LF,0.423728813559322,11,121,UFA,4000000,4000000,1481481,14.24,202.7776,4000000,7550000,4000000,25,-0.1,0.010000000000000002,2,15.201804919084164,15.201804919084164,14.208552821073829
WSH,6.0,2020,10,1,190,36100,46,2116,1,10,34,Washington Nationals,WSH,Washington DC,8,64,52,62,2704,Asdrubal Cabrera,0.753,0.567009,1,235,6,0.242,0.058564,0.867,0.7516889999999999,3B,0.4193548387096774,31,961,UFA,2685000,2500000,1110926,46.82,2192.1124,2500000,316750000,2500000,26,0.16,0.0256,1,14.803191285925102,14.73180128983843,13.92070445974278
DET,6.1,2020,10,1,130,16900,31,961,1,5,31,Detroit Tigers,NYY,Michigan,2,4,37,57,1369,Austin Romine,0.582,0.33872399999999997,11,220,16,0.239,0.057121,0.638,0.407044,C,0.4035087719298245,17,289,UFA,4150000,4150000,1537037,9.22,85.00840000000001,4150000,19350000,4150000,23,-0.37,0.1369,4,15.238618892206881,15.238618892206881,14.245367095100212
MIL,6.4,2020,10,2,181,32761,43,1849,1,9,29,Milwaukee Brewers,TB,Wisconsin,2,4,53,60,2809,Avisail Garcia,0.659,0.43428100000000003,1,250,7,0.238,0.05664399999999999,0.883,0.779689,LF,0.4833333333333333,15,225,UFA,7250000,7000000,2842593,11.22,125.88840000000002,20000000,49875000,10000000,29,-0.47,0.22089999999999999,0,15.796512026830857,15.761420707019587,14.860227221749717
PHI,6.3,2019,10,13,190,36100,51,2601,2,4,27,Philadelphia Phillies,WSH,Pennsylvania,13,169,58,60,3364,Bryce Harper,0.962,0.9254439999999999,7,220,14,0.268,0.07182400000000001,0.967,0.935089,RF,0.4666666666666667,33,1089,UFA,27538462,26000000,11168092,83.86,7032.4996,330000000,134350000,25384615,28,1.65,2.7224999999999997,2,17.131094203663213,17.073607095985757,16.22857134177271
DET,6.4,2020,10,1,42,1764,8,64,1,5,30,Detroit Tigers,MIN,Michigan,4,16,13,57,169,C.J. Cron,0.894,0.7992360000000001,11,235,16,0.191,0.036481,0.224,0.050176000000000005,1B,0.4035087719298245,8,64,UFA,6100000,6100000,2259259,0.0,0.0,6100000,19350000,6100000,23,0.32,0.1024,4,15.623799329143539,15.623799329143539,14.630547441379152
CHC,6.3,2020,10,1,93,8649,23,529,2,4,33,Chicago Cubs,NYY,Illinois,1,1,32,58,1024,Cameron Maybin,0.694,0.48163599999999995,17,215,21,0.247,0.061009,0.533,0.28408900000000004,RF,0.5517241379310345,7,49,UFA,1500000,1500000,232176,0.0,0.0,1500000,2650000,1500000,32,-0.16,0.0256,3,14.22097566607244,14.22097566607244,12.355250983730874
