Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias
Toronto Blue Jays,6,186250000,TOR,92,163,8,2,2,0.5644171779141104
Los Angeles Dodgers,7,160320500,LAD,106,162,35,25,7,0.654320987654321
Philadelphia Phillies,6,158800000,PHI,82,162,14,7,2,0.5061728395061729
New York Yankees,4,111300000,NYY,92,162,57,40,27,0.5679012345679012
Atlanta Braves,6,94240000,ATL,88,161,27,18,4,0.546583850931677
New York Mets,9,94150000,NYM,77,162,9,5,2,0.47530864197530864
Houston Astros,5,76100000,HOU,95,162,15,4,1,0.5864197530864198
Chicago White Sox,2,57000000,CHW,93,162,11,6,3,0.5740740740740741
Milwaukee Brewers,4,45400000,MIL,95,162,8,1,0,0.5864197530864198
Minnesota Twins,6,41750000,MIN,73,163,17,6,3,0.44785276073619634
Kansas City Royals,5,41500000,KC,75,163,9,4,2,0.4601226993865031
San Francisco Giants,8,36200000,SF,108,163,27,23,8,0.6625766871165644
Boston Red Sox,6,31850000,BOS,92,162,25,14,9,0.5679012345679012
Washington Nationals,6,28000000,WSH,65,162,6,1,1,0.4012345679012346
San Diego Padres,4,25200000,SD,79,162,6,2,0,0.4876543209876543
Chicago Cubs,10,24500000,CHC,71,162,21,17,3,0.4382716049382716
Detroit Tigers,5,21500000,DET,77,162,16,11,4,0.47530864197530864
Oakland Athletics,5,21300000,OAK,86,162,29,15,9,0.5308641975308642
Tampa Bay Rays,7,18725000,TB,100,162,7,2,0,0.6172839506172839
St. Louis Cardinals,2,17000000,STL,89,161,31,23,11,0.5527950310559007
Seattle Mariners,4,16300000,SEA,90,162,4,0,0,0.5555555555555556
Los Angeles Angels,6,12625000,LAA,77,162,10,1,1,0.47530864197530864
Miami Marlins,2,10000000,MIA,67,162,3,2,2,0.41358024691358025
Arizona Diamondbacks,5,8500000,ARI,53,163,6,1,1,0.32515337423312884
Texas Rangers,4,5865500,TEX,60,162,8,2,0,0.37037037037037035
Baltimore Orioles,3,3300000,BAL,52,162,14,7,3,0.32098765432098764
Cincinnati Reds,1,1500000,CIN,83,163,16,10,5,0.50920245398773
Pittsburgh Pirates,2,1500000,PIT,60,161,17,9,5,0.37267080745341613
Colorado Rockies,1,0,COL,74,161,5,1,0,0.45962732919254656
