Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,Bateos_en_contra,Bateos_en_contra_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras_en_contra,Carreras_en_contra_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_juegos,Posicion,Promedio_victorias,Saves,Saves_2,Status_agente_libre,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
HOU,6.5,2017,2019,2,0,125,15625,0,2,3,65,4225,59,3481,3.26,10.6276,0.03787018101946527,0.0014341506104470678,0.1234567901234568,0.01524157902758726,3.62,13.1044,33,33,Houston Astros,PHI,Texas,36223008,146.7,21520.889999999996,25,162,25,Charlie Morton,7,49,8875000,2,215.0,11,0.15432098765432098,SP,0.6234567901234568,0,0,UFA,163,26569,8875000,7000000,0.064,8875000,71.93,5173.924900000001,14000000,7000000,82000000,14000000,7000000,101,1.94,3.7636,1.19,1.4161,1,50,2500,14,196,15.998748893325754,15.761420707019587,15.998748893325754
MIA,5.718369351669941,2017,2019,2,1,55,3025,0,2,6,35,1225,35,1225,1.7272727272727273,2.9834710743801653,0.04420333534257585,0.0019539348554082157,0.07635121559172192,0.0058295081223336005,5.69,32.3761,31,30,Miami Marlins,BOS,Florida,16935000,55.3,3058.0899999999997,55,162,0,Junichi Tazawa,5,25,5000000,2,200.0,2,0.3395061728395062,RP,0.4753086419753086,0,0,UFA,38,1444,5000000,5000000,0.045,5000000,3.28,10.758399999999998,12000000,6000000,57250000,12000000,6000000,77,1.1585569620253164,1.3422542342573305,1.39,1.9320999999999997,2,22,484,3,9,15.424948470398375,15.424948470398375,15.424948470398375
SEA,6.2,2017,2019,2,0,29,841,0,1,2,16,256,14,196,1.25,1.5625,0.07099751508697195,0.00504064714852481,0.08874689385871495,0.007876011169570018,4.02,16.160399999999996,31,31,Seattle Mariners,WSH,Washington,14797599,31.3,979.69,64,162,0,Marc Rzepczynski,2,4,5500000,0,220.0,4,0.3950617283950617,RP,0.4814814814814814,1,1,UFA,25,625,5500000,5500000,0.034,5500000,9.39,88.17210000000001,11000000,5500000,11535000,11000000,5500000,78,0.21,0.04409999999999999,1.56,2.4336,0,20,400,2,4,15.520258650202699,15.520258650202699,15.520258650202699
OAK,6.0,2017,2019,2,0,58,3364,500000,5,5,29,841,28,784,2.590909090909091,6.712809917355371,0.04143126177024482,0.0017165494518745503,0.10734463276836158,0.011522870184174406,4.27,18.232899999999997,36,36,Oakland Athletics,SF,California,31343000,59.0,3481.0,63,162,0,Santiago Casilla,5,25,5500000,15,210.0,26,0.3888888888888889,RP,0.4629629629629629,16,256,UFA,57,3249,5000000,4500000,0.068,5000000,24.97,623.5008999999999,11000000,5500000,34500000,11000000,5500000,75,0.44,0.1936,1.36,1.8496000000000004,9,22,484,4,16,15.424948470398375,15.319587954740548,15.424948470398375
PIT,6.3,2017,2019,2,1,58,3364,0,2,2,34,1156,31,961,2.0,4.0,0.059427336574824415,0.0035316083323774635,0.11885467314964883,0.014126433329509854,4.52,20.430399999999995,30,29,Pittsburgh Pirates,ARI,Pennsylvania,11566307,61.7,3806.8900000000003,71,162,0,Daniel Hudson,7,49,5500000,9,215.0,17,0.4382716049382716,RP/CL,0.4629629629629629,0,0,UFA,66,4356,5500000,5500000,0.055,5500000,5.04,25.401600000000002,11000000,5500000,37000000,11000000,5500000,75,1.1585569620253164,1.3422542342573305,1.48,2.1904,5,33,1089,2,4,15.520258650202699,15.520258650202699,15.520258650202699
TEX,6.6,2017,2018,1,0,156,24336,0,2,4,75,5625,63,3969,1.34375,1.8056640625,0.042658135039658734,0.0018197164850617604,0.057321868959541424,0.0032857966610148385,3.4,11.559999999999999,30,30,Texas Rangers,MIA,Texas,26954400,166.7,27788.889999999996,28,162,28,Andrew Cashner,11,121,10000000,2,235.0,8,0.1728395061728395,SP,0.4814814814814814,0,0,UFA,86,7396,10000000,10000000,0.061,10000000,80.99,6559.380099999999,10000000,10000000,36000000,10000000,10000000,78,4.57,20.884900000000002,1.32,1.7424000000000002,0,64,4096,11,121,16.11809565095832,16.11809565095832,16.11809565095832
ATL,6.3,2017,2019,1,0,193,37249,0,1,5,99,9801,91,8281,2.029850746268657,4.120294052127423,0.0391812865497076,0.0015351732156902978,0.07953216374269007,0.006325365069594064,4.31,18.576099999999997,42,42,Atlanta Braves,TOR,Georgia,57940000,190.0,36100.0,31,162,31,R.A. Dickey,10,100,7500000,18,215.0,23,0.19135802469135801,SP,0.4444444444444444,0,0,UFA,136,18496,7500000,7500000,0.071,7500000,52.01,2705.0400999999997,8000000,8000000,34525000,8000000,8000000,72,2.15,4.6225,1.37,1.8769000000000002,3,67,4489,10,100,15.830413578506539,15.830413578506539,15.830413578506539
PIT,6.4,2017,2018,1,1,43,1849,0,2,2,28,784,26,676,2.090909090909091,4.37190082644628,0.04859730505853766,0.00236169805895257,0.10161254694057875,0.01032510969575132,4.65,21.622500000000002,40,39,Pittsburgh Pirates,TOR,Pennsylvania,54447500,50.3,2530.0899999999997,52,162,0,Joaquin Benoit,6,36,2581992,9,250.0,17,0.32098765432098764,RP,0.4629629629629629,2,4,UFA,46,2116,2581992,7500000,0.026,7500000,8.63,74.47690000000001,7500000,7500000,37000000,7500000,7500000,75,0.57,0.32489999999999997,1.29,1.6641000000000001,5,22,484,1,1,14.76407175201057,15.830413578506539,15.830413578506539
NYM,6.6,2017,2019,1,0,43,1849,0,2,2,16,256,16,256,2.875,8.265625,0.05442176870748299,0.0029617289092507748,0.1564625850340136,0.02448054051552594,2.94,8.6436,33,33,New York Mets,NYM,New York,17785000,49.0,2401.0,75,162,0,Jerry Blevins,0,0,5500000,5,190.0,9,0.46296296296296297,RP,0.4320987654320987,1,1,UFA,69,4761,5500000,5500000,0.038,5500000,30.9,954.81,6500000,6500000,116500000,6500000,6500000,70,1.41,1.9880999999999998,1.37,1.8769000000000002,2,24,576,6,36,15.520258650202699,15.520258650202699,15.520258650202699
CHC,6.2,2017,2018,1,1,38,1444,0,2,3,21,441,19,361,4.166666666666667,17.361111111111114,0.031007751937984496,0.0009614806802475813,0.12919896640826872,0.01669237292096495,3.98,15.8404,42,41,Chicago Cubs,BOS,Illinois,50650000,43.0,1849.0,49,162,0,Koji Uehara,4,16,6000000,17,195.0,19,0.30246913580246915,RP,0.5679012345679012,2,4,UFA,50,2500,6000000,6000000,0.035,6000000,17.88,319.6944,6000000,6000000,16000000,6000000,6000000,92,0.16,0.0256,1.16,1.3456,3,12,144,3,9,15.60727002719233,15.60727002719233,15.60727002719233
