"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age","Age","Weight","Height",""
"","Alex Rodriguez","2012","DH","NYY","$29,000,000","$1,000,000","$30,000,000","$30,000,000","10","$275,000,000","$321,290,700","2018","2008","32","37","230","0'0""",""
"","C.C. Sabathia","2012","SP","NYY","$23,000,000","$1,285,714","$24,285,714","$24,285,714","7","$161,000,000","$127,285,714","2016","2009","28","31","300","6'6""",""
"","Vernon Wells","2012","LF","LAA","$21,000,000","$3,187,500","$24,187,500","$24,187,500","7","$126,000,000","$102,521,000","2015","2008","29","33","0","0'0""",""
"","Johan Santana","2012","SP","NYM","$24,000,000","$0","$24,000,000","$24,000,000","6","$137,500,000","$148,560,000","2014","2008","28","33","155","6'0""",""
"","Mark Teixeira","2012","1B","NYY","$22,500,000","$625,000","$23,125,000","$23,125,000","8","$180,000,000","$127,650,000","2017","2009","28","32","225","6'3""",""
"","Miguel Cabrera","2012","1B","DET","$21,000,000","$0","$21,000,000","$21,000,000","8","$152,300,000","$98,627,573","0","2008","24","29","249","6'4""",""
"","Justin Verlander","2012","SP","DET","$20,000,000","$166,668","$20,166,668","$20,166,668","5","$80,000,000","$49,191,000","2015","2010","26","29","225","6'5""",""
"","Felix Hernandez","2012","SP","SEA","$19,000,000","$700,000","$19,750,000","$19,750,000","5","$78,000,000","$44,785,000","2015","2010","23","26","225","6'3""",""
"","Carlos Lee","2012","1B","MIA","$18,500,000","$500,000","$19,000,000","$238,688","6","$100,000,000","$130,575,000","2013","2007","30","36","0","0'0""",""
"","Alfonso Soriano","2012","DH","CHC","$18,000,000","$1,000,000","$19,000,000","$19,000,000","8","$136,000,000","$129,950,000","2015","2007","30","36","0","0'0""",""
"","Barry Zito","2012","SP","SF","$19,000,000","$0","$19,000,000","$19,000,000","7","$126,000,000","$119,540,000","2014","2007","28","34","208","6'4""",""
"","Torii Hunter","2012","RF","LAA","$18,000,000","$500,000","$18,500,000","$18,500,000","5","$90,000,000","$135,550,000","2013","2008","32","36","205","6'2""",""
"","Jason Bay","2012","RF","NYM","$16,000,000","$2,125,000","$18,125,000","$18,125,000","4","$66,000,000","$65,910,000","2013","2010","31","33","0","0'0""",""
"","Ichiro Suzuki","2012","RF","NYY","$17,000,000","$1,000,000","$18,000,000","$6,781,420","5","$90,000,000","$148,000,000","2013","2008","34","38","175","6'0""",""
"","Jake Peavy","2012","RP","CHW","$17,000,000","$0","$17,075,000","$17,075,000","3","$52,000,000","$74,605,000","2014","2010","28","31","180","6'1""",""
"","Matt Holliday","2012","DH","STL","$17,000,000","$0","$17,050,000","$17,050,000","7","$120,000,000","$82,508,500","2017","2010","29","32","250","6'4""",""
"","A.J. Burnett","2012","SP","PIT","$16,500,000","$0","$16,500,000","$5,000,000","5","$82,500,000","$106,117,500","2014","2009","31","35","230","6'5""",""
"","Michael Young","2012","3B","TEX","$16,000,000","$0","$16,000,000","$16,000,000","5","$80,000,000","$79,665,000","2014","2009","32","35","0","0'0""",""
"","John Lackey","2012","SP","BOS","$15,250,000","$700,000","$15,950,000","$15,950,000","5","$82,500,000","$80,235,000","2016","2010","31","33","235","6'6""",""
"","David Wright","2012","3B","NYM","$15,000,000","$250,000","$15,300,000","$15,300,000","6","$55,000,000","$56,006,500","2014","2007","24","29","205","6'0""",""
"","Chase Utley","2012","2B","PHI","$15,000,000","$285,714","$15,285,714","$15,285,714","7","$85,000,000","$73,278,257","0","2007","28","33","195","6'1""",""
"","Ryan Dempster","2012","SP","TEX","$14,000,000","$1,000,000","$15,000,000","$4,972,677","4","$52,000,000","$76,670,000","2013","2009","31","35","0","0'0""",""
"","Hanley Ramirez","2012","DH","LAD","$15,000,000","$0","$15,000,000","$5,819,672","6","$70,000,000","$39,788,000","2015","2009","25","28","235","6'2""",""
"","Justin Morneau","2012","1B","MIN","$14,000,000","$1,000,000","$15,000,000","$15,000,000","6","$80,000,000","$71,595,000","2014","2008","26","31","220","6'4""",""
"","Chipper Jones","2012","3B","ATL","$13,000,000","$1,000,000","$14,000,000","$14,000,000","3","$42,000,000","$0","2014","2010","37","40","0","0'0""",""
"","Robinson Cano","2012","2B","NYY","$14,000,000","$0","$14,000,000","$14,000,000","4","$30,000,000","$43,021,800","2014","2008","25","29","210","6'0""",""
"","Josh Johnson","2012","SP","MIA","$13,750,000","$0","$13,750,000","$13,750,000","4","$39,000,000","$27,749,000","2014","2010","25","28","225","6'7""",""
"","Zack Greinke","2012","SP","MIL","$13,500,000","$0","$13,500,000","$13,500,000","4","$38,000,000","$43,397,172","2013","2009","25","28","200","6'2""",""
"","Dan Haren","2012","SP","LAA","$12,750,000","$0","$12,750,000","$12,750,000","4","$44,750,000","$48,273,500","2013","2009","28","31","215","6'5""",""
"","Alex Rios","2012","RF","CHW","$12,000,000","$500,000","$12,500,000","$12,500,000","7","$68,835,000","$47,900,000","2015","2008","26","31","210","6'5""",""
"","Nick Markakis","2012","RF","BAL","$12,000,000","$350,000","$12,350,000","$12,350,000","6","$66,100,000","$37,207,000","2016","2009","25","28","210","0'0""",""
"","Ryan Zimmerman","2012","1B","WSH","$12,000,000","$100,000","$12,275,000","$12,275,000","5","$45,000,000","$35,717,000","2014","2009","24","27","215","6'3""",""
"","Kevin Youkilis","2012","3B","CHW","$12,000,000","$250,000","$12,250,000","$1,088,524","4","$41,125,000","$38,975,749","2013","2009","29","33","0","0'0""",""
"","Kyle Lohse","2012","SP","STL","$11,875,000","$312,500","$12,187,500","$12,187,500","4","$41,000,000","$57,240,000","2013","2009","30","33","214","6'2""",""
"","Brian McCann","2012","C","ATL","$8,500,000","$166,666","$11,666,666","$11,666,666","6","$26,800,000","$30,699,500","2014","2007","22","28","225","6'3""",""
"","Ervin Santana","2012","SP","LAA","$11,200,000","$0","$11,200,000","$11,200,000","4","$30,000,000","$31,236,000","2014","2009","26","29","175","6'2""",""
"","Joe Blanton","2012","RP","PHI","$8,500,000","$2,000,000","$10,500,000","$10,500,000","3","$24,000,000","$35,598,500","2013","2010","29","31","252","6'3""",""
"","Daisuke Matsuzaka","2012","SP","BOS","$10,000,000","$333,334","$10,333,334","$10,333,334","6","$52,000,000","$51,999,999","2013","2007","26","31","200","6'0""",""
"","Nick Swisher","2012","OF","NYY","$10,250,000","$0","$10,250,000","$10,250,000","5","$26,750,000","$38,431,500","2013","2007","26","31","198","6'0""",""
"","Curtis Granderson","2012","RF","NYY","$10,000,000","$0","$10,025,000","$10,025,000","5","$30,250,000","$29,905,000","2014","2008","26","31","200","6'1""",""
"","Brian Roberts","2012","2B","BAL","$10,000,000","$0","$10,000,000","$10,000,000","4","$40,000,000","$52,310,000","2014","2010","32","34","0","0'0""",""
