Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,Control_2,Comando_2,Juegos_2_2
Ervin Santana,2014,UFA,KC,1,14100000,14100000,SP,31,31,196.0,193,90,86,63,179,14,10,0,1.31,3.95,ATL,14100000,14100000,14100000,0.10147392290249434,0.03571428571428571,2.8412698412698414,961,961,38416.0,37249,8100,7396,3969,32041,196,100,0,1.7161000000000002,15.602500000000001,0.0012755102040816326,8.07281431090955,923521
Fernando Rodney,2014,UFA,TB,2,14000000,7000000,RP,69,0,66.3,61,24,21,28,76,1,6,48,1.34,2.85,SEA,7000000,7050000,7050000,0.1273671861907156,0.04692475280710575,2.7142857142857144,4761,0,4395.69,3721,576,441,784,5776,1,36,2304,1.7956000000000003,8.1225,0.002201932426007979,7.367346938775511,22667121
Javier Lopez,2014,UFA,SF,3,13000000,4333333,RP,65,0,37.7,31,14,13,19,22,1,1,0,1.33,3.11,SF,4000000,4000000,4000000,0.06483937518420277,0.055997642204538754,1.1578947368421053,4225,0,1421.2900000000002,961,196,169,361,484,1,1,0,1.7689000000000001,9.672099999999999,0.00313573593246754,1.3407202216066483,17850625
J.P. Howell,2014,UFA,LAD,2,11250000,5625000,RP,68,0,49.0,31,14,13,25,48,3,3,0,1.14,2.39,LAD,4000000,5500000,5500000,0.10884353741496598,0.05668934240362812,1.92,4624,0,2401.0,961,196,169,625,2304,9,9,0,1.2995999999999999,5.7121,0.0032136815421557894,3.6864,21381376
Mike Pelfrey,2014,UFA,MIN,2,11000000,5500000,RP,5,5,23.7,29,23,21,18,10,0,3,0,1.99,7.99,MIN,5500000,5500000,5500000,0.04688232536333802,0.08438818565400845,0.5555555555555556,25,25,561.6899999999999,841,529,441,324,100,0,9,0,3.9601,63.84010000000001,0.007121365877975397,0.308641975308642,625
Brad Ziegler,2014,UFA,ARI,2,10500000,5250000,RP,68,0,67.0,60,29,26,24,54,5,3,1,1.25,3.49,ARI,4500000,4500000,4500000,0.08955223880597014,0.03980099502487562,2.25,4624,0,4489.0,3600,841,676,576,2916,25,9,1,1.5625,12.180100000000001,0.001584119204970174,5.0625,21381376
Dan Haren,2014,UFA,WSH,1,10000000,10000000,SP,32,32,186.0,183,101,83,36,145,13,11,0,1.18,4.02,LAD,10000000,11000000,11000000,0.08661887694145759,0.021505376344086023,4.027777777777778,1024,1024,34596.0,33489,10201,6889,1296,21025,169,121,0,1.3923999999999999,16.160399999999996,0.00046248121170077474,16.222993827160494,1048576
Edward Mujica,2014,UFA,STL,2,9500000,4750000,RP,64,0,60.0,69,28,26,14,43,2,4,8,1.38,3.9,BOS,4750000,4750000,4750000,0.07962962962962963,0.025925925925925925,3.0714285714285716,4096,0,3600.0,4761,784,676,196,1849,4,16,64,1.9043999999999996,15.209999999999999,0.0006721536351165981,9.433673469387756,16777216
Chris Young,2014,UFA,OAK,1,7250000,7250000,RP,30,29,165.0,143,70,67,60,108,12,9,0,1.23,3.66,SEA,1500000,4725000,4725000,0.07272727272727272,0.04040404040404041,1.8,900,841,27225.0,20449,4900,4489,3600,11664,144,81,0,1.5129,13.395600000000002,0.0016324864809713297,3.24,810000
Chris Young,2014,UFA,OAK,1,7250000,7250000,RP,30,29,165.0,143,70,67,60,108,12,9,0,1.23,3.66,NYY,500000,500000,73770,0.07272727272727272,0.04040404040404041,1.8,900,841,27225.0,20449,4900,4489,3600,11664,144,81,0,1.5129,13.395600000000002,0.0016324864809713297,3.24,810000
Eric O'Flaherty,2014,UFA,ATL,2,7000000,3500000,RP,21,0,20.0,15,5,5,4,15,1,0,1,0.95,2.25,OAK,1500000,1500000,1500000,0.08333333333333333,0.022222222222222223,3.75,441,0,400.0,225,25,25,16,225,1,0,1,0.9025,5.0625,0.0004938271604938272,14.0625,194481
Matt Thornton,2014,UFA,BOS,2,7000000,3500000,RP,64,0,36.0,33,9,7,8,28,1,3,0,1.14,1.75,WSH,3500000,3500000,1051912,0.08641975308641975,0.024691358024691357,3.5,4096,0,1296.0,1089,81,49,64,784,1,9,0,1.2995999999999999,3.0625,0.0006096631611034902,12.25,16777216
