Acronimo_t,Acronimo_t_1,Agente_libre,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_t,Anios_de_contrato_t,Anios_de_contrato_t_1,Antiguedad_t,Antiguedad_t_1,Bateos_en_contra_2_t,Bateos_en_contra_2_t_1,Bateos_en_contra_t,Bateos_en_contra_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Carreras_en_contra_2_t,Carreras_en_contra_2_t_1,Carreras_en_contra_t,Carreras_en_contra_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pago_efectivo_t,Pago_efectivo_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_porcentual_t,Sueldo_porcentual_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_promedio_t,Valor_contrato_promedio_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
TEX,TEX,No,6.4,6.4,2028,0,2022,1,1,1,1,100,169,10,13,0,0,8,4,2,2,81,144,9,12,81,144,9,12,0.4444444444444444,1.0,0.6666666666666666,1.0,0.02040816326530612,0.006744614810147262,0.14285714285714285,0.0821256038647343,0.009070294784580497,0.006744614810147262,0.09523809523809523,0.0821256038647343,133.8649,22.090000000000003,11.57,4.7,23,22,24,Texas Rangers,Texas Rangers,Texas,777352,704278,49.0,529.0,7.0,23.0,0,4,4,5,162,162,A.J. Alexy,1,1,1,1,73074,104278,2,2,195.0,195.0,8,8,RP,P,0.419753086419753,0.3703703703703703,0,0,0,0,36,289,6,17,73074,104278,700000,570500,0.001,0.001,700000,570500,0.0,0.0,0.0,0.0,700000,570500,580700000,5865500,700000,570500,68,60,1.583696402499998,0.0121,1.2584499999999992,0.11,7.3441,1.6900000000000002,2.71,1.3,0,0,81,289,9,17,1,9,1,3,11.199227905315166,13.458835614025542,13.458835614025542
ATL,ATL,No,6.0,6.0,2025,2025,2022,1,1,0,0,2401,1936,49,44,0,0,6,6,1,1,441,729,21,27,256,484,16,22,39.27111111111111,8.1225,6.266666666666667,2.85,0.0005668934240362811,0.0018053923368046064,0.023809523809523808,0.04248990864669641,0.022262534643487025,0.014664299255695417,0.1492063492063492,0.12109623964308477,4.2436,14.2884,2.06,3.78,28,27,28,Atlanta Braves,Atlanta Braves,Georgia,5774183,3574183,4900.0,2735.2899999999995,70.0,52.3,0,0,75,61,162,161,A.J. Minter,16,36,4,6,2200000,1300000,18,18,215.0,215.0,28,27,RP,RP,0.6234567901234568,0.546583850931677,25,0,5,0,8836,3249,94,57,2200000,1300000,2200000,1300000,0.012,0.009,2200000,1300000,6483.470399999999,1085.7025,80.52,32.95,2200000,1300000,61250000,94240000,2200000,1300000,101,88,3.4225000000000003,0.0961,1.85,0.31,0.8281000000000001,1.4884,0.91,1.22,4,4,225,400,15,20,25,9,5,3,14.603967918328545,14.603967918328545,14.603967918328545
MIL,MIL,No,6.2,6.2,0,0,2022,1,1,1,1,11236,625,106,25,0,0,5,4,1,1,3844,400,62,20,2809,256,53,16,7.186962426437303,10.5625,2.6808510638297873,3.25,0.002368706506851787,0.0017691267479801544,0.048669359014186606,0.042060988433228176,0.017023804664001344,0.01868640127554038,0.130475302889096,0.13669821240799157,19.713600000000003,20.702499999999997,4.44,4.55,23,22,24,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,1362515,658015,11513.289999999999,1004.89,107.3,31.7,19,4,27,14,162,162,Aaron Ashby,100,4,10,2,704500,138015,1,1,181.0,181.0,8,8,SP,P,0.5308641975308642,0.5864197530864198,1,1,1,1,15876,1521,126,39,704500,138015,704500,570500,0.005,0.001,704500,570500,229.2196,0.0,15.14,0.0,704500,570500,13625000,45400000,704500,570500,86,95,1.583696402499998,1.5011196963456546,1.2584499999999992,1.22520190023753,2.0164,1.3688999999999998,1.42,1.17,0,0,2209,144,47,12,4,9,2,3,13.465243610320872,13.465243610320872,13.465243610320872
CHW,CHW,No,6.3,6.3,2027,2027,2022,5,5,2,1,900,1764,30,42,0,0,5,2,2,2,121,784,11,28,49,484,7,22,9.0,6.6884661117717,3.0,2.586206896551724,0.0017317789578119595,0.0032756250767055194,0.04161464835622139,0.05723307677126505,0.01558601062030764,0.02190890732041444,0.12484394506866418,0.14801657785671996,5.569599999999999,12.3904,2.36,3.52,26,26,28,Chicago White Sox,Chicago White Sox,Illinois,5921731,3421731,712.89,3169.6899999999996,26.7,56.3,0,0,32,62,162,162,Aaron Bummer,1,25,1,5,2500000,2000000,6,6,215.0,215.0,11,11,RP,RP,0.5,0.5740740740740741,4,4,2,2,900,5625,30,75,2500000,2000000,2500000,2000000,0.012,0.014,2500000,2000000,0.0,2179.9561,0.0,46.69,3200000,3200000,63000000,57000000,16000000,16000000,81,93,0.27040000000000003,0.24009999999999998,0.52,0.49,2.25,1.5876000000000001,1.5,1.26,3,3,100,841,10,29,4,25,2,5,14.73180128983843,14.73180128983843,14.73180128983843
PHI,PHI,No,6.2,6.2,2024,2024,2022,4,4,4,3,28224,27225,168,165,500000,500000,7,6,2,2,5625,9025,75,95,5476,8649,74,93,65.66587395957194,32.69493754109139,8.10344827586207,5.717948717948718,0.00024706046518459767,0.0005750795047415305,0.015718157181571817,0.023980815347721823,0.016223441367205,0.01880218848868611,0.12737127371273713,0.13712107237287094,10.5625,21.436899999999998,3.25,4.63,25,25,29,Philadelphia Phillies,Philadelphia Phillies,Pennsylvania,40856353,25856353,42025.0,32652.489999999994,205.0,180.7,32,32,32,33,162,162,Aaron Nola,169,81,13,9,15000000,11750000,8,7,195.0,195.0,15,14,SP,SP,0.5370370370370371,0.5061728395061729,0,0,0,0,55225,49729,235,223,15500000,12250000,15000000,11750000,0.063,0.062,15500000,12250000,7853.504400000001,3152.8224999999998,88.62,56.15,11250000,11250000,204150000,158800000,45000000,45000000,87,82,36.1201,5.9049000000000005,6.01,2.43,0.9216,1.2768999999999997,0.96,1.13,2,2,841,1521,29,39,121,81,11,9,16.556350581889475,16.523560759066484,16.556350581889475
TOR,TOR,No,6.3,6.3,2025,2024,2022,1,1,0,0,4356,3721,66,61,0,0,6,6,1,1,784,576,28,24,484,324,22,18,19.90532544378698,10.16015625,4.461538461538462,3.1875,0.0004174100084398326,0.0006147756180662284,0.020430614490020427,0.02479466914613358,0.008308682061488742,0.006246216338243204,0.09115197234009115,0.07903300790330078,7.839999999999999,5.107599999999999,2.8,2.26,31,30,31,Toronto Blue Jays,Toronto Blue Jays,Toronto,3771286,2196286,4998.490000000001,5140.89,70.7,71.7,0,0,77,72,162,163,Adam Cimber,36,16,6,4,1575000,477408,2,2,195.0,195.0,9,8,RP,RP,0.5679012345679012,0.5644171779141104,16,1,4,1,3364,2601,58,51,1575000,477408,1575000,925000,0.009,0.003,1575000,925000,3484.5409,3895.0080999999996,59.03,62.41,1575000,925000,157000000,186250000,1575000,925000,92,92,0.6889,0.3364,0.83,0.58,1.2544000000000002,1.1449,1.12,1.07,2,2,169,256,13,16,100,9,10,3,14.269765830241871,14.269765830241871,14.269765830241871
NYM,BOS,Si,6.5,6.5,2023,2022,2022,1,3,0,2,2304,3025,48,55,0,75044,6,6,2,1,225,961,15,31,225,841,15,29,24.37890625,4.115102040816326,4.9375,2.0285714285714285,0.0007321906982665299,0.00393430197453784,0.027059022492812446,0.06272401433691756,0.017850008390161768,0.01619005408460837,0.13360392355826145,0.12724014336917563,4.2436,17.7241,2.06,4.21,36,33,36,New York Mets,Boston Red Sox,New York,42273958,34273958,4316.490000000001,3844.0,65.7,62.0,0,0,67,69,162,162,Adam Ottavino,9,9,3,3,5000000,7225044,5,14,246.0,246.0,10,25,RP,RP,0.6234567901234568,0.5679012345679012,9,121,3,11,6241,5041,79,71,5000000,7225044,4000000,7150000,0.019,0.039,5000000,7225044,4954.7521,137.82760000000002,70.39,11.74,4000000,9000000,259270000,31850000,4000000,27000000,101,92,4.5796,0.6561000000000001,2.14,0.81,0.9603999999999999,2.1025,0.98,1.45,2,9,256,1225,16,35,25,49,5,7,15.424948470398375,15.201804919084164,15.424948470398375
STL,STL,No,6.7,6.7,2023,0,2022,1,1,0,0,36864,28224,192,168,0,0,4,2,2,2,6400,5184,80,72,6241,4900,79,70,7.012688614540467,12.1104,2.6481481481481484,3.48,0.0009796214253001928,0.0007251978933790213,0.03129890453834116,0.026929498572736577,0.006869780015762566,0.008782436567977298,0.08288413609227381,0.09371465503312328,13.7641,9.302499999999998,3.71,3.05,40,39,40,St. Louis Cardinals,St. Louis Cardinals,Missouri,175065963,157565963,36748.88999999999,42559.69,191.7,206.3,32,32,32,34,162,161,Adam Wainwright,144,49,12,7,17500000,8000000,23,23,230.0,230.0,32,31,SP,SP,0.5740740740740741,0.5527950310559007,0,0,0,0,20449,30276,143,174,17500000,8000000,17500000,8000000,0.112,0.053,17500000,8000000,2156.6735999999996,8397.8896,46.44,91.64,17500000,8000000,52700000,17000000,17500000,8000000,93,89,3.1684,13.0321,1.78,3.61,1.6384,1.1236000000000002,1.28,1.06,11,11,2916,2500,54,50,121,289,11,17,16.67771143889374,16.67771143889374,16.67771143889374
CHC,CHC,No,6.1,6.1,2027,2027,2022,1,1,1,1,81,12544,9,112,0,0,11,10,2,2,25,4356,5,66,25,4096,5,64,90.25,14.173010380622838,9.5,3.764705882352941,0.0002791718924155278,0.000903238123518423,0.01670843776106934,0.030053920268717407,0.025195263290501382,0.0128016033008009,0.15873015873015872,0.1131441704234067,11.424399999999999,20.9764,3.38,4.58,26,25,27,Chicago Cubs,Chicago Cubs,Illinois,1364582,646332,176.89000000000001,15800.490000000002,13.3,125.7,0,21,6,30,162,162,Adbert Alzolay,1,169,1,13,718250,542256,17,17,208.0,208.0,21,21,RP,SP,0.4567901234567901,0.4382716049382716,0,1,0,1,361,16384,19,128,718250,542256,718250,573000,0.005,0.004,718250,573000,0.0,1839.5521,0.0,42.89,718250,573000,109707000,24500000,718250,573000,74,71,1.583696402499998,1.0201,1.2584499999999992,1.01,0.6723999999999999,1.3456,0.82,1.16,3,3,4,1156,2,34,4,25,2,5,13.484572976841536,13.484572976841536,13.484572976841536
MIL,MIL,No,6.3,6.3,2025,2025,2022,1,1,1,1,10609,13924,103,118,0,0,5,4,1,1,4356,3721,66,61,2916,2601,54,51,2.155273879583522,2.691650390625,1.4680851063829787,1.640625,0.0025856504313687785,0.002497267866407558,0.05084929135562047,0.049972671195439994,0.005572784836462993,0.006721772028111164,0.07465108730931515,0.08198641368001874,22.372900000000005,10.4329,4.73,3.23,28,27,29,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,4285389,1860389,10547.29,20249.290000000005,102.7,142.3,21,26,22,28,162,162,Adrian Houser,100,36,10,6,2425000,584100,1,1,222.0,222.0,8,8,SP,SP,0.5308641975308642,0.5864197530864198,0,0,0,0,4761,11025,69,105,2425000,584100,2425000,584100,0.019,0.006,2425000,584100,504.45160000000004,6648.771600000001,22.46,81.54,2425000,584100,13625000,45400000,2425000,584100,86,95,1.583696402499998,4.120899999999999,1.2584499999999992,2.03,2.1315999999999997,1.6384,1.46,1.28,0,0,2209,4096,47,64,36,100,6,10,14.70134208235372,14.70134208235372,14.70134208235372
