Equipo,Cantidad_agentes_libres,Valor_contrato,Acronimo,Victorias,Juegos totales
Los Angeles Angels,4,321150000,LAA,89,162
Detroit Tigers,3,221000000,DET,88,162
Miami Marlins,6,203300000,MIA,69,162
Philadelphia Phillies,7,57650000,PHI,81,162
Los Angeles Dodgers,9,44651311,LAD,86,162
St. Louis Cardinals,5,40850000,STL,88,162
Milwaukee Brewers,3,40250000,MIL,83,162
Colorado Rockies,4,39900000,COL,64,162
Minnesota Twins,4,32750000,MIN,66,162
New York Mets,7,20400000,NYM,74,162
Texas Rangers,4,19000000,TEX,93,162
Washington Nationals,6,18650000,WSH,98,162
Arizona Diamondbacks,4,17750000,ARI,81,162
Tampa Bay Rays,4,15950000,TB,90,162
Oakland Athletics,3,15414066,OAK,94,162
Pittsburgh Pirates,3,14500000,PIT,79,162
Chicago Cubs,3,14150000,CHC,61,162
New York Yankees,9,9100000,NYY,95,162
Baltimore Orioles,5,6675000,BAL,93,162
Boston Red Sox,3,6000000,BOS,69,162
Cincinnati Reds,4,5100000,CIN,97,162
Kansas City Royals,2,5000000,KC,72,162
San Francisco Giants,3,4800000,SF,94,162
Atlanta Braves,1,1000000,ATL,94,162
Chicago White Sox,1,900000,CHW,85,162
Houston Astros,1,750000,HOU,55,162
