Equipo,Cantidad_agentes_libres,Valor_contrato,Acronimo,Victorias,Juegos totales
Philadelphia Phillies,4,403000000,PHI,81,162
San Diego Padres,4,326000000,SD,70,162
Washington Nationals,7,184550000,WSH,93,162
New York Yankees,5,124555000,NYY,103,162
Los Angeles Dodgers,3,85000000,LAD,105,161
New York Mets,6,79000000,NYM,85,161
Boston Red Sox,1,68000000,BOS,83,161
Atlanta Braves,6,52210000,ATL,97,161
Chicago Cubs,5,49325000,CHC,84,162
Texas Rangers,6,47250000,TEX,78,162
Minnesota Twins,4,46800000,MIN,101,162
Houston Astros,3,42250000,HOU,106,161
Oakland Athletics,6,37600000,OAK,97,162
Tampa Bay Rays,2,33500000,TB,96,161
Milwaukee Brewers,5,31900000,MIL,89,161
Los Angeles Angels,4,31000000,LAA,72,161
St. Louis Cardinals,1,25000000,STL,91,162
Chicago White Sox,3,24500000,CHW,72,161
Colorado Rockies,1,24000000,COL,70,161
Kansas City Royals,5,15700000,KC,58,162
Detroit Tigers,4,15500000,DET,47,161
Toronto Blue Jays,5,15500000,TOR,66,161
Arizona Diamondbacks,4,11600000,ARI,85,162
San Francisco Giants,2,8500000,SF,77,161
Pittsburgh Pirates,2,4800000,PIT,69,162
Miami Marlins,2,4500000,MIA,57,162
Seattle Mariners,3,4450000,SEA,68,162
Cincinnati Reds,1,2000000,CIN,75,162
Baltimore Orioles,1,800000,BAL,54,161
