Equipo,Cantidad_agentes_libres,Valor_contrato,Acronimo,Victorias,Juegos totales,Promedio_victorias
Chicago Cubs,7,215545000,CHC,95,163,0.5828220858895705
Philadelphia Phillies,4,169200000,PHI,80,162,0.49382716049382713
San Diego Padres,3,149500000,SD,66,162,0.4074074074074074
Boston Red Sox,3,131000000,BOS,108,162,0.6666666666666666
Colorado Rockies,5,122500000,COL,91,163,0.558282208588957
Milwaukee Brewers,5,103750000,MIL,96,163,0.588957055214724
New York Mets,8,89635000,NYM,77,162,0.47530864197530864
Baltimore Orioles,2,73000000,BAL,47,162,0.29012345679012347
Minnesota Twins,6,52250000,MIN,78,162,0.48148148148148145
Los Angeles Angels,3,42800000,LAA,80,162,0.49382716049382713
Texas Rangers,4,35000000,TEX,67,162,0.41358024691358025
St. Louis Cardinals,3,28000000,STL,88,162,0.5432098765432098
Houston Astros,2,23500000,HOU,103,162,0.6358024691358025
Washington Nationals,5,23300000,WSH,82,162,0.5061728395061729
Chicago White Sox,2,19750000,CHW,62,162,0.38271604938271603
Oakland Athletics,3,18000000,OAK,97,162,0.5987654320987654
Seattle Mariners,3,17750000,SEA,89,162,0.5493827160493827
Toronto Blue Jays,3,17000000,TOR,73,162,0.4506172839506173
Kansas City Royals,6,16775000,KC,80,162,0.49382716049382713
Arizona Diamondbacks,2,15750000,ARI,82,162,0.5061728395061729
New York Yankees,2,14000000,NYY,100,162,0.6172839506172839
Detroit Tigers,3,11750000,DET,64,162,0.3950617283950617
San Francisco Giants,2,11500000,SF,73,162,0.4506172839506173
Cincinnati Reds,3,10250000,CIN,67,162,0.41358024691358025
Tampa Bay Rays,2,6500000,TB,90,162,0.5555555555555556
Los Angeles Dodgers,2,4000000,LAD,92,163,0.5644171779141104
Miami Marlins,1,3250000,MIA,63,161,0.391304347826087
Atlanta Braves,4,2900000,ATL,90,162,0.5555555555555556
