Equipo,Cantidad_agentes_libres,Valor_contrato,Acronimo,Victorias,Juegos totales
Chicago Cubs,15,291277500,CHC,102,160
Detroit Tigers,11,272257500,DET,86,160
San Francisco Giants,8,251000000,SF,86,161
Boston Red Sox,6,230000000,BOS,93,161
Baltimore Orioles,8,220260000,BAL,88,161
Arizona Diamondbacks,7,218750000,ARI,68,161
Kansas City Royals,10,186750000,KC,81,161
St. Louis Cardinals,5,94000000,STL,85,161
Miami Marlins,10,84707500,MIA,79,160
Los Angeles Dodgers,8,79750000,LAD,91,161
Washington Nationals,11,68750000,WSH,94,161
Toronto Blue Jays,13,65800000,TOR,88,161
New York Mets,9,48757500,NYM,87,161
Colorado Rockies,3,43500000,COL,75,161
Oakland Athletics,4,42250000,OAK,68,161
Seattle Mariners,8,35100000,SEA,86,161
Houston Astros,3,26000000,HOU,84,161
Pittsburgh Pirates,10,25150000,PIT,78,160
Texas Rangers,10,20165000,TEX,95,161
Atlanta Braves,13,19157500,ATL,67,160
Chicago White Sox,13,17650000,CHW,78,161
Los Angeles Angels,9,12525000,LAA,73,161
San Diego Padres,13,12120000,SD,68,161
Philadelphia Phillies,6,8750000,PHI,70,161
Milwaukee Brewers,8,8100000,MIL,72,161
Tampa Bay Rays,4,5275000,TB,67,161
Cincinnati Reds,8,3400000,CIN,68,161
Minnesota Twins,4,1900000,MIN,58,161
New York Yankees,4,1049914,NYY,84,161
