Equipo,Cantidad_agentes_libres,Valor_contrato,Acronimo,Victorias,Juegos totales
Los Angeles Dodgers,6,199600000,LAD,104,162
New York Mets,2,116500000,NYM,70,162
St. Louis Cardinals,2,113000000,STL,83,162
New York Yankees,3,102500000,NYY,91,162
Colorado Rockies,4,97250000,COL,87,162
Houston Astros,3,82000000,HOU,101,162
Toronto Blue Jays,6,70000000,TOR,76,162
San Francisco Giants,3,65250000,SF,64,162
Miami Marlins,6,57250000,MIA,77,162
Baltimore Orioles,5,55600000,BAL,75,162
Kansas City Royals,4,43800000,KC,80,162
Pittsburgh Pirates,2,37000000,PIT,75,162
Texas Rangers,4,36000000,TEX,78,162
Atlanta Braves,5,34525000,ATL,72,162
Oakland Athletics,5,34500000,OAK,75,162
Minnesota Twins,2,26550000,MIN,85,162
Los Angeles Angels,4,24750000,LAA,80,162
Tampa Bay Rays,5,21700000,TB,80,162
Chicago Cubs,3,16000000,CHC,92,162
Philadelphia Phillies,3,11750000,PHI,66,162
Seattle Mariners,2,11535000,SEA,78,162
Washington Nationals,4,10400000,WSH,97,163
Arizona Diamondbacks,5,9750000,ARI,93,162
San Diego Padres,4,8250000,SD,71,162
Milwaukee Brewers,3,7550000,MIL,86,162
Chicago White Sox,1,6000000,CHW,67,162
Boston Red Sox,1,5500000,BOS,93,162
Cincinnati Reds,2,5300000,CIN,68,162
Detroit Tigers,1,2000000,DET,64,162
