Equipo,Cantidad_agentes_libres,Valor_contrato,Acronimo,Victorias,Juegos totales
New York Yankees,9,311500000,NYY,84,162
Seattle Mariners,8,267800000,SEA,86,161
Texas Rangers,7,136050000,TEX,67,162
Minnesota Twins,7,97290983,MIN,70,162
New York Mets,10,93775000,NYM,79,162
Kansas City Royals,4,66500000,KC,89,162
Los Angeles Dodgers,11,61150000,LAD,93,161
Philadelphia Phillies,7,59875000,PHI,73,162
St. Louis Cardinals,5,59750000,STL,89,161
Milwaukee Brewers,7,57600000,MIL,82,162
Boston Red Sox,9,56433443,BOS,71,162
Atlanta Braves,5,47350000,ATL,79,162
Houston Astros,8,43800000,HOU,70,162
Arizona Diamondbacks,8,42450000,ARI,64,161
Miami Marlins,10,39486387,MIA,77,162
Detroit Tigers,5,33500000,DET,90,162
Oakland Athletics,5,32800000,OAK,88,162
Colorado Rockies,6,31250000,COL,66,161
Tampa Bay Rays,5,28150000,TB,77,162
San Francisco Giants,7,25850000,SF,87,161
San Diego Padres,7,25700000,SD,77,161
Baltimore Orioles,10,23300000,BAL,96,162
Los Angeles Angels,8,22100000,LAA,98,161
Cincinnati Reds,6,15125000,CIN,76,162
Washington Nationals,8,14150000,WSH,96,162
Chicago White Sox,10,12250000,CHW,73,162
Chicago Cubs,13,9650000,CHC,73,162
Toronto Blue Jays,2,8000000,TOR,83,162
Pittsburgh Pirates,1,5000000,PIT,88,162
