"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age",""
"","Mike Trout","2021","CF","LAA","$35,450,000","$1,666,667","$37,166,667","$37,166,667","0.206","$35,500,000","$35,541,667","12","$426,500,000","$161,290,125","2031","2019","27",""
"","Gerrit Cole","2021","SP","NYY","$36,000,000","$0","$36,000,000","$36,000,000","0.175","$36,000,000","$36,000,000","9","$324,000,000","$84,222,046","2029","2020","29",""
"","Jacob deGrom","2021","SP","NYM","$33,500,000","$2,500,000","$36,000,000","$22,000,000","0.109","$20,000,000","$27,500,000","5","$137,500,000","$54,159,998","2025","2019","30",""
"","Nolan Arenado","2021","3B","STL","$35,000,000","$0","$35,025,000","$20,570,500","0.120","$20,595,500","$32,500,000","8","$260,000,000","$110,138,340","2028","2019","27",""
"","Zack Greinke","2021","SP","HOU","$32,000,000","$3,000,000","$35,000,000","$24,666,667","0.127","$13,666,667","$34,416,667","6","$206,500,000","$251,955,276","2022","2016","32",""
"","Stephen Strasburg","2021","SP","WSH","$35,000,000","$0","$35,000,000","$23,571,429","0.163","$23,571,428","$35,000,000","7","$245,000,000","$139,076,586","2027","2020","31",""
"","Max Scherzer","2021","SP","LAD","$27,360,623","$7,142,857","$34,603,480","$0","0.000","$0","$30,000,000","7","$210,000,000","$139,575,000","2022","2015","30",""
"","Justin Verlander","2021","SP","HOU","$33,000,000","$0","$33,000,000","$33,000,000","0.170","$33,000,000","$33,000,000","2","$66,000,000","$274,588,222","2022","2019","35",""
"","David Price","2021","SP","LAD","$32,000,000","$0","$32,000,000","$16,000,000","0.060","$16,000,000","$31,000,000","7","$217,000,000","$216,042,498","2023","2016","30",""
"","Manny Machado","2021","3B","SD","$30,000,000","$2,000,000","$32,000,000","$32,000,000","0.178","$30,000,000","$30,000,000","10","$300,000,000","$110,560,896","2029","2019","26",""
"","Clayton Kershaw","2021","SP","LAD","$23,333,334","$7,666,666","$31,000,000","$31,000,000","0.117","$23,333,334","$31,000,000","3","$93,000,000","$251,342,641","2022","2019","30",""
"","Chris Sale","2021","SP","BOS","$30,000,000","$0","$30,000,000","$20,000,000","0.107","$20,000,000","$29,000,000","5","$145,000,000","$89,195,275","2025","2019","29",""
"","Miguel Cabrera","2021","DH","DET","$30,000,000","$0","$30,000,000","$30,000,000","0.347","$30,000,000","$31,000,000","8","$248,000,000","$321,023,111","2024","2016","32",""
"","Jose Altuve","2021","2B","HOU","$26,000,000","$3,000,000","$29,000,000","$29,000,000","0.149","$26,000,000","$23,357,143","7","$163,500,000","$83,196,404","2025","2018","27",""
"","Giancarlo Stanton","2021","DH","NYY","$29,000,000","$0","$29,000,000","$29,000,000","0.141","$19,000,000","$25,000,000","13","$325,000,000","$118,487,630","2029","2015","25",""
"","Anthony Rendon","2021","3B","LAA","$27,500,000","$571,428","$28,071,428","$28,071,428","0.156","$27,500,000","$35,000,000","7","$245,000,000","$91,244,444","2027","2020","29",""
"","Bryce Harper","2021","RF","PHI","$26,000,000","$1,538,462","$28,038,462","$28,038,462","0.142","$26,500,000","$25,384,615","13","$330,000,000","$118,479,629","2032","2019","26",""
"","Paul Goldschmidt","2021","1B","STL","$22,000,000","$4,000,000","$26,000,000","$26,000,000","0.152","$26,000,000","$26,000,000","5","$130,000,000","$84,139,148","2025","2020","32",""
"","Joey Votto","2021","1B","CIN","$25,000,000","$0","$25,000,000","$25,000,000","0.198","$25,000,000","$22,500,000","10","$225,000,000","$193,193,759","2025","2014","30",""
"","Patrick Corbin","2021","SP","WSH","$24,000,000","$416,666","$24,416,666","$24,416,666","0.169","$24,000,000","$23,333,333","6","$140,000,000","$62,475,037","2025","2019","29",""
"","Jason Heyward","2021","RF","CHC","$21,000,000","$2,500,000","$23,500,000","$23,500,000","0.163","$21,000,000","$23,000,000","8","$184,000,000","$126,889,278","2024","2016","26",""
"","Justin Upton","2021","LF","LAA","$23,000,000","$0","$23,000,000","$23,000,000","0.128","$23,000,000","$21,200,000","5","$106,000,000","$153,062,778","2023","2018","30",""
"","Mookie Betts","2021","RF","LAD","$17,500,000","$5,000,000","$22,500,000","$22,500,000","0.085","$14,500,000","$30,416,667","12","$365,000,000","$58,134,598","2033","2020","27",""
"","Zack Wheeler","2021","SP","PHI","$22,500,000","$0","$22,500,000","$22,500,000","0.114","$22,500,000","$23,600,000","5","$118,000,000","$44,305,242","2025","2020","29",""
"","Wil Myers","2021","LF","SD","$20,000,000","$2,500,000","$22,500,000","$22,500,000","0.125","$20,000,000","$13,833,333","6","$83,000,000","$53,233,776","2024","2017","26",""
"","Freddie Freeman","2021","1B","ATL","$22,000,000","$359,375","$22,409,375","$22,409,375","0.146","$22,050,000","$16,875,000","8","$135,000,000","$123,717,421","2022","2014","24",""
"","Buster Posey","2021","C","SF","$21,400,000","$777,777","$22,202,777","$22,202,777","0.129","$21,425,000","$19,875,000","8","$159,000,000","$153,910,967","2023","2013","25",""
"","Yu Darvish","2021","SP","SD","$22,000,000","$0","$22,000,000","$19,000,000","0.106","$19,000,000","$21,000,000","6","$126,000,000","$134,305,991","2024","2018","31",""
