"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age",""
"","Mike Trout","2022","CF","LAA","$35,450,000","$1,666,667","$37,116,666","$37,116,666","0.206","$35,450,000","$35,541,667","12","$426,500,000","$196,740,125","2031","2019","27",""
"","Anthony Rendon","2022","3B","LAA","$36,000,000","$571,428","$36,571,428","$36,571,428","0.203","$36,000,000","$35,000,000","7","$245,000,000","$127,244,444","2027","2020","29",""
"","Jacob deGrom","2022","SP","NYM","$33,500,000","$2,500,000","$36,000,000","$20,500,000","0.078","$18,500,000","$27,500,000","5","$137,500,000","$72,659,998","2025","2019","30",""
"","Gerrit Cole","2022","SP","NYY","$36,000,000","$0","$36,000,000","$36,000,000","0.142","$36,000,000","$36,000,000","9","$324,000,000","$120,222,046","2029","2020","29",""
"","Stephen Strasburg","2022","SP","WSH","$35,000,000","$0","$35,000,000","$23,571,429","0.193","$23,571,428","$35,000,000","7","$245,000,000","$172,648,014","2027","2020","31",""
"","Nolan Arenado","2022","3B","STL","$35,000,000","$0","$35,000,000","$29,429,500","0.182","$29,429,500","$32,500,000","8","$260,000,000","$145,138,340","2028","2019","27",""
"","David Price","2022","RP","LAD","$32,000,000","$0","$32,000,000","$16,000,000","0.060","$16,000,000","$31,000,000","7","$217,000,000","$248,042,498","2023","2016","30",""
"","Manny Machado","2022","3B","SD","$30,000,000","$2,000,000","$32,000,000","$32,000,000","0.146","$30,000,000","$30,000,000","10","$300,000,000","$140,560,896","2029","2019","26",""
"","Miguel Cabrera","2022","DH","DET","$32,000,000","$0","$32,000,000","$32,000,000","0.237","$32,000,000","$31,000,000","8","$248,000,000","$353,023,111","2024","2016","32",""
"","Chris Sale","2022","SP","BOS","$30,000,000","$0","$30,000,000","$20,000,000","0.096","$20,000,000","$29,000,000","5","$145,000,000","$109,195,275","2025","2019","29",""
"","Giancarlo Stanton","2022","RF","NYY","$29,000,000","$0","$29,000,000","$29,000,000","0.115","$19,000,000","$25,000,000","13","$325,000,000","$137,487,630","2029","2015","25",""
"","Jose Altuve","2022","2B","HOU","$26,000,000","$3,000,000","$29,000,000","$29,000,000","0.158","$26,000,000","$23,357,143","7","$163,500,000","$109,196,404","2025","2018","27",""
"","Bryce Harper","2022","DH","PHI","$26,000,000","$1,538,462","$27,538,462","$27,538,462","0.114","$26,000,000","$25,384,615","13","$330,000,000","$144,479,629","2032","2019","26",""
"","Christian Yelich","2022","LF","MIL","$26,000,000","$0","$26,000,000","$22,000,000","0.170","$22,000,000","$26,928,571","7","$188,500,000","$64,654,630","2030","2020","28",""
"","Zack Wheeler","2022","SP","PHI","$26,000,000","$0","$26,000,000","$26,000,000","0.107","$26,000,000","$23,600,000","5","$118,000,000","$70,305,242","2025","2020","29",""
"","Paul Goldschmidt","2022","1B","STL","$22,000,000","$4,000,000","$26,000,000","$26,000,000","0.161","$26,000,000","$26,000,000","5","$130,000,000","$110,139,148","2025","2020","32",""
"","Joey Votto","2022","1B","CIN","$25,000,000","$0","$25,000,000","$25,000,000","0.218","$25,000,000","$22,500,000","10","$225,000,000","$218,193,759","2025","2014","30",""
"","Jason Heyward","2022","RF","CHC","$22,000,000","$2,500,000","$24,500,000","$24,500,000","0.161","$22,000,000","$23,000,000","8","$184,000,000","$148,889,278","2024","2016","26",""
"","Patrick Corbin","2022","SP","WSH","$23,000,000","$416,666","$23,416,666","$23,416,666","0.191","$23,000,000","$23,333,333","6","$140,000,000","$85,475,037","2025","2019","29",""
"","Josh Donaldson","2022","DH","NYY","$21,000,000","$0","$23,000,000","$23,000,000","0.091","$23,000,000","$23,000,000","4","$92,000,000","$132,555,667","2025","2020","34",""
"","Madison Bumgarner","2022","SP","ARI","$23,000,000","$0","$23,000,000","$18,000,000","0.218","$23,000,000","$17,000,000","5","$85,000,000","$105,782,222","2025","2020","30",""
"","Mookie Betts","2022","RF","LAD","$17,500,000","$5,000,000","$22,500,000","$22,500,000","0.085","$14,500,000","$30,416,667","12","$365,000,000","$72,634,598","2033","2020","27",""
"","Wil Myers","2022","RF","SD","$20,000,000","$2,500,000","$22,500,000","$22,500,000","0.103","$20,000,000","$13,833,333","6","$83,000,000","$73,233,776","2024","2017","26",""
"","Charlie Blackmon","2022","DH","COL","$21,000,000","$333,333","$21,333,333","$21,333,333","0.153","$21,000,000","$18,000,000","6","$108,000,000","$98,323,715","2024","2018","31",""
"","Hyun-Jin Ryu","2022","SP","TOR","$20,000,000","$0","$20,000,000","$20,000,000","0.115","$20,000,000","$20,000,000","4","$80,000,000","$101,382,407","2024","2020","32",""
"","Xander Bogaerts","2022","SS","BOS","$20,000,000","$0","$20,000,000","$20,000,000","0.096","$20,000,000","$20,000,000","6","$120,000,000","$73,190,366","2027","2019","26",""
"","Eric Hosmer","2022","1B","BOS","$20,000,000","$0","$20,000,000","$246,154","0.001","$246,153","$18,000,000","8","$144,000,000","$129,752,156","2026","2018","28",""
"","Jose Abreu","2022","1B","CHW","$18,000,000","$1,666,668","$19,666,668","$19,666,668","0.100","$14,000,000","$16,666,667","3","$50,000,000","$113,044,074","2023","2020","32",""
"","Evan Longoria","2022","3B","SF","$19,500,000","$0","$19,500,000","$14,500,000","0.093","$14,500,000","$16,666,667","6","$100,000,000","$135,852,890","2024","2016","30",""
"","J.D. Martinez","2022","DH","BOS","$19,350,000","$0","$19,350,000","$19,350,000","0.093","$19,350,000","$22,000,000","5","$110,000,000","$118,421,096","2023","2018","30",""
"","Yu Darvish","2022","SP","SD","$19,000,000","$0","$19,000,000","$19,000,000","0.087","$19,000,000","$21,000,000","6","$126,000,000","$153,305,991","2024","2018","31",""
"","Yasmani Grandal","2022","C","CHW","$18,250,000","$0","$18,250,000","$18,250,000","0.093","$18,250,000","$18,250,000","4","$73,000,000","$83,074,259","2024","2020","31",""
"","Aroldis Chapman","2022","RP","NYY","$18,000,000","$0","$18,000,000","$18,000,000","0.071","$18,000,000","$16,000,000","3","$48,000,000","$149,066,491","2023","2020","31",""
"","Nathan Eovaldi","2022","SP","BOS","$17,000,000","$0","$17,000,000","$17,000,000","0.082","$17,000,000","$17,000,000","4","$68,000,000","$72,359,296","2023","2019","28",""
