"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age",""
"","C.C. Sabathia","2014","SP","NYY","$23,000,000","$1,285,714","$24,285,714","$24,285,714","0.114","$23,000,000","$23,000,000","7","$161,000,000","$173,285,714","2016","2009","28",""
"","Mark Teixeira","2014","1B","NYY","$22,500,000","$625,000","$23,125,000","$23,125,000","0.108","$22,500,000","$22,500,000","8","$180,000,000","$172,650,000","2017","2009","28",""
"","Miguel Cabrera","2014","1B","DET","$22,000,000","$0","$22,000,000","$22,000,000","0.128","$22,100,000","$19,037,500","8","$152,300,000","$141,862,000","0","2008","24",""
"","Matt Holliday","2014","DH","STL","$17,000,000","$0","$17,000,000","$17,000,000","0.140","$17,000,000","$17,142,857","7","$120,000,000","$116,508,500","2017","2010","29",""
"","John Lackey","2014","SP","STL","$15,250,000","$700,000","$16,450,000","$5,000,000","0.041","$15,750,000","$16,500,000","5","$82,500,000","$121,485,000","2016","2010","31",""
"","Hanley Ramirez","2014","DH","LAD","$16,000,000","$0","$16,000,000","$16,000,000","0.066","$16,000,000","$11,666,667","6","$70,000,000","$71,288,000","2015","2009","25",""
"","Nick Markakis","2014","RF","BAL","$15,000,000","$350,000","$15,350,000","$15,350,000","0.135","$15,000,000","$11,016,667","6","$66,100,000","$67,207,000","2016","2009","25",""
"","Justin Upton","2014","LF","ATL","$14,250,000","$208,333","$14,458,333","$14,458,333","0.124","$14,250,000","$8,583,333","6","$51,500,000","$44,035,000","2016","2010","22",""
"","James Shields","2014","SP","KC","$13,500,000","$0","$13,500,000","$13,500,000","0.137","$13,500,000","$2,812,500","4","$11,250,000","$41,094,900","2015","2008","26",""
"","Alex Rios","2014","RF","TEX","$13,000,000","$500,000","$13,500,000","$13,500,000","0.097","$13,000,000","$9,833,571","7","$68,835,000","$73,400,000","2015","2008","26",""
"","Jon Lester","2014","SP","OAK","$13,000,000","$0","$13,050,000","$2,512,295","0.027","$2,512,295","$6,000,000","5","$30,000,000","$44,902,403","2015","2009","24",""
"","Yovani Gallardo","2014","RP","MIL","$11,250,000","$250,000","$11,500,000","$11,500,000","0.104","$11,250,000","$6,020,000","5","$30,100,000","$31,423,000","2016","2010","23",""
"","Brett Anderson","2014","SP","COL","$8,000,000","$0","$8,000,000","$6,000,000","0.062","$6,000,000","$3,125,000","4","$12,500,000","$20,350,000","2015","2010","21",""
"","Evan Longoria","2014","3B","TB","$7,500,000","$0","$7,500,000","$7,500,000","0.098","$7,500,000","$2,916,667","6","$17,500,000","$25,675,000","0","2008","22",""
"","Adam Lind","2014","1B","TOR","$7,000,000","$0","$7,000,000","$7,000,000","0.049","$7,000,000","$4,500,000","4","$18,000,000","$19,628,200","2017","2010","26",""
"","Ben Zobrist","2014","2B","TB","$7,000,000","$0","$7,000,000","$7,000,000","0.091","$7,000,000","$4,500,000","4","$18,000,000","$23,760,100","2016","2010","28",""
"","Denard Span","2014","CF","WSH","$6,500,000","$0","$6,500,000","$6,500,000","0.046","$6,500,000","$3,300,000","5","$16,500,000","$18,525,000","2016","2010","25",""
"","Alex Rodriguez","2014","DH","NYY","$2,868,852","$1,000,000","$3,868,852","$3,868,852","0.018","$5,868,852","$27,500,000","10","$275,000,000","$366,159,552","2018","2008","32",""
"","Dustin Ackley","2014","2B","SEA","$500,000","$1,200,000","$1,700,000","$1,700,000","0.015","$1,700,000","$1,500,000","5","$7,500,000","$9,600,000","0","2010","21",""
"","Jacob Turner","2014","RP","CHC","$1,000,000","$0","$1,000,000","$284,153","0.003","$284,153","$1,375,000","4","$5,500,000","$5,700,000","0","2010","18",""
