"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age",""
"","Alex Rodriguez","2013","DH","NYY","$28,000,000","$1,000,000","$29,000,000","$29,000,000","0.122","$29,000,000","$27,500,000","10","$275,000,000","$355,290,700","2018","2008","32",""
"","Johan Santana","2013","SP","NYM","$25,500,000","$0","$25,500,000","$25,500,000","0.252","$25,500,000","$22,916,667","6","$137,500,000","$174,060,000","2014","2008","28",""
"","C.C. Sabathia","2013","SP","NYY","$23,000,000","$1,285,714","$24,285,714","$24,285,714","0.102","$23,000,000","$23,000,000","7","$161,000,000","$150,285,714","2016","2009","28",""
"","Vernon Wells","2013","LF","NYY","$21,000,000","$3,187,500","$24,187,500","$11,500,000","0.048","$11,500,000","$18,000,000","7","$126,000,000","$123,521,000","2015","2008","29",""
"","Mark Teixeira","2013","1B","NYY","$22,500,000","$625,000","$23,125,000","$23,125,000","0.097","$22,500,000","$22,500,000","8","$180,000,000","$150,150,000","2017","2009","28",""
"","Miguel Cabrera","2013","1B","DET","$21,000,000","$0","$21,000,000","$21,000,000","0.135","$21,300,000","$19,037,500","8","$152,300,000","$119,762,000","0","2008","24",""
"","Barry Zito","2013","SP","SF","$20,000,000","$0","$20,000,000","$20,000,000","0.143","$20,000,000","$18,000,000","7","$126,000,000","$139,540,000","2014","2007","28",""
"","Alfonso Soriano","2013","DH","NYY","$18,000,000","$0","$18,000,000","$1,800,000","0.008","$1,800,000","$17,000,000","8","$136,000,000","$147,950,000","2015","2007","30",""
"","Matt Holliday","2013","DH","STL","$17,000,000","$0","$17,000,000","$17,000,000","0.141","$17,000,000","$17,142,857","7","$120,000,000","$99,508,500","2017","2010","29",""
"","A.J. Burnett","2013","SP","PIT","$16,500,000","$0","$16,500,000","$8,000,000","0.112","$8,000,000","$16,500,000","5","$82,500,000","$122,617,500","2014","2009","31",""
