Acronimo,Altura,Anio,Anio_de_agente_libre,Anio_inicio_de_contrato,Anios_de_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
PHI,6.1,2019,2021,2019,1,538,289444,148,21904,0,2,4,28,27,Philadelphia Phillies,Pennsylvania,11073160,25,625,145,162,21025,J.T. Realmuto,0.82,0.6723999999999999,7,210,14,0.275,0.07562500000000001,0.895,0.801025,C,0.5,83,6889,5900000,5900000,5900000,77.47,6001.6008999999995,403000000,5900000,81,4.37,19.0969,2,15.590462908875947,15.590462908875947,15.590462908875947
PHI,6.4,2019,2024,2019,1,570,324900,129,16641,0,2,4,26,25,Philadelphia Phillies,Pennsylvania,1632119,29,841,160,162,25600,Rhys Hoskins,0.819,0.6707609999999999,7,225,14,0.226,0.051076,0.988,0.976144,1B,0.5,85,7225,575000,575000,575000,74.62,5568.144400000001,403000000,575000,81,1.46,2.1315999999999997,2,13.262125319779487,13.262125319779487,13.262125319779487
PHI,6.1,2019,2022,2019,1,389,151321,91,8281,0,2,4,26,26,Philadelphia Phillies,Pennsylvania,9721297,17,289,123,162,15129,Maikel Franco,0.705,0.49702499999999994,7,225,14,0.234,0.054756000000000006,0.759,0.5760810000000001,3B,0.5,56,3136,5200000,5200000,5200000,13.86,192.09959999999998,403000000,5200000,81,-0.24,0.0576,2,15.464169183551656,15.464169183551656,15.464169183551656
PHI,6.1,2019,2020,2019,1,260,67600,79,6241,0,2,4,30,29,Philadelphia Phillies,Pennsylvania,19606274,12,144,78,162,6084,Corey Dickerson,0.906,0.820836,7,200,14,0.304,0.092416,0.482,0.23232399999999997,LF,0.5,59,3481,2787639,8500000,8500000,0.0,0.0,403000000,8500000,81,0.45,0.2025,2,14.840705558978122,15.955576721460545,15.955576721460545
PHI,6.3,2019,2021,2018,3,310,96100,67,4489,1000000,2,4,32,30,Philadelphia Phillies,Pennsylvania,91047499,26,676,100,162,10000,Jay Bruce,0.784,0.6146560000000001,7,230,14,0.216,0.046655999999999996,0.617,0.380689,RF,0.5,59,3481,1000000,13000000,14000000,20.95,438.9025,403000000,39000000,81,0.33,0.10890000000000001,2,13.815510557964274,16.38045991542581,16.454567887579532
PHI,6.1,2019,0,2019,1,222,49284,59,3481,0,2,4,23,22,Philadelphia Phillies,Pennsylvania,5404368,5,25,68,162,4624,Adam Haseley,0.72,0.5184,7,195,14,0.266,0.07075600000000001,0.42,0.17639999999999997,OF,0.5,26,676,304368,555000,555000,0.0,0.0,403000000,555000,81,1.65,2.7224999999999997,2,12.625992774607923,13.226723392728571,13.226723392728571
PHI,6.2,2019,2020,2019,1,154,23716,40,1600,0,2,4,29,29,Philadelphia Phillies,Pennsylvania,15058435,13,169,79,162,6241,Brad Miller,0.894,0.7992360000000001,7,195,14,0.26,0.06760000000000001,0.488,0.238144,2B,0.5,25,625,322272,555000,555000,0.0,0.0,403000000,555000,81,0.3,0.09,2,12.683151188447871,13.226723392728571,13.226723392728571
PHI,6.1,2019,2023,2019,1,136,18496,29,841,0,2,4,27,27,Philadelphia Phillies,Pennsylvania,2633920,2,4,74,162,5476,Andrew Knapp,0.642,0.41216400000000003,7,189,14,0.213,0.045369,0.457,0.208849,C,0.5,8,64,565000,565000,565000,0.0,0.0,403000000,565000,81,-0.03,0.0009,2,13.244581010128577,13.244581010128577,13.244581010128577
PHI,0.0,2019,2020,2019,1,112,12544,25,625,0,2,4,34,33,Philadelphia Phillies,Pennsylvania,22831356,4,16,76,162,5776,Sean Rodriguez,0.723,0.522729,7,200,14,0.223,0.049729,0.469,0.21996099999999996,2B,0.5,12,144,474456,555000,555000,0.0,0.0,403000000,555000,81,0.34,0.11560000000000002,2,13.069924163543883,13.226723392728571,13.226723392728571
PHI,6.1,2019,0,2019,1,65,4225,17,289,0,2,4,30,30,Philadelphia Phillies,Pennsylvania,2769399,0,0,44,162,1936,Philip Gosselin,0.602,0.36240399999999995,7,200,14,0.262,0.06864400000000001,0.272,0.07398400000000001,2B,0.5,7,49,250656,555000,555000,0.0,0.0,403000000,555000,81,-0.4,0.16000000000000003,2,12.431836760166965,13.226723392728571,13.226723392728571
