Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato_x,Anios_de_contrato_y,Antiguedad,Bateos,Bateos_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_juegos,Posicion,Promedio_victorias,Saves,Saves_2,Status_agente_libre,Strike_outs,Strike_outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
CHC,6.5,2018,2024,6,6,0,36,1296,0,2,7,24,576,22,484,2.3333333333333335,5.4444444444444455,0.525,0.275625,1.225,1.5006250000000003,4.95,24.5025,31,31,Chicago Cubs,LAD,Illinois,84207843,40.0,1600.0,8,163,8,Yu Darvish,3,9,25000000,17,220.0,20,0.049079754601226995,SP,0.5828220858895705,0,0,UFA,49,2401,25000000,25000000,0.129,25000000,0.0,0.0,126000000,21000000,215545000,126000000,21000000,95,1.1998090692124097,1.439541802564349,1.42,2.0164,3,21,441,1,1,17.034386382832476,17.034386382832476,17.034386382832476
PHI,6.4,2018,0,3,3,1,165,27225,0,2,4,93,8649,76,5776,2.4210526315789473,5.861495844875346,0.33005211349160396,0.10893439762027463,0.7990735379270412,0.6385185190152385,3.96,15.6816,32,31,Philadelphia Phillies,CHC,Pennsylvania,63290945,172.7,29825.289999999997,31,162,31,Jake Arrieta,11,121,30000000,7,230.0,14,0.19135802469135801,SP,0.4938271604938271,0,0,UFA,138,19044,30000000,30000000,0.288,30000000,32.43,1051.7049,75000000,25000000,169200000,75000000,25000000,80,2.36,5.569599999999999,1.29,1.6641000000000001,2,57,3249,10,100,17.216707939626428,17.216707939626428,17.216707939626428
BAL,6.3,2018,0,4,4,0,172,29584,0,1,2,93,8649,83,6889,2.372093023255814,5.626825310978909,0.28233749179251477,0.07971445927168834,0.6697307944845698,0.44853933708093313,4.9,24.010000000000005,30,30,Baltimore Orioles,TB,Maryland,22013100,152.3,23195.290000000005,28,162,28,Alex Cobb,15,225,7500000,7,205.0,14,0.1728395061728395,SP,0.2901234567901234,0,0,UFA,102,10404,7500000,14000000,0.058,14000000,13.46,181.1716,57000000,14250000,73000000,57000000,14250000,47,0.8,0.6400000000000001,1.41,1.9880999999999998,3,43,1849,5,25,15.830413578506539,16.454567887579532,16.454567887579532
COL,6.5,2018,2022,3,3,0,43,1849,0,1,5,31,961,30,900,3.0,9.0,0.3981623277182236,0.15853323921399406,1.1944869831546707,1.4267991529259467,4.13,17.0569,32,32,Colorado Rockies,CHC,Colorado,52454900,65.3,4264.089999999999,69,163,0,Wade Davis,6,36,16000000,1,225.0,5,0.4233128834355828,RP,0.558282208588957,43,1849,UFA,78,6084,16000000,16000000,0.111,16000000,25.02,626.0004,52000000,17333333,122500000,52000000,17333333,91,0.86,0.7395999999999999,1.06,1.1236000000000002,0,26,676,3,9,16.588099280204055,16.588099280204055,16.588099280204055
TEX,6.4,2018,2021,3,3,0,138,19044,333333,2,4,76,5776,73,5329,3.473684210526316,12.066481994459835,0.24203821656050956,0.05858249827579212,0.8407643312101911,0.70688466063532,4.19,17.556100000000004,30,30,Texas Rangers,KC,Texas,30396090,157.0,24649.0,28,162,28,Mike Minor,8,64,9000000,2,210.0,8,0.1728395061728395,SP,0.4135802469135802,0,0,UFA,132,17424,8333333,8000000,0.059,8333333,61.58,3792.0964,28000000,9333333,35000000,28000000,9333333,67,3.81,14.5161,1.12,1.2544000000000002,0,38,1444,12,144,15.935774054164364,15.89495209964411,15.935774054164364
COL,6.4,2018,2022,3,3,0,59,3481,0,1,5,39,1521,37,1369,2.9375,8.62890625,0.3118908382066277,0.09727589495723282,0.9161793372319689,0.8393845779708098,6.49,42.1201,31,31,Colorado Rockies,COL,Colorado,24720600,51.3,2631.6899999999996,61,163,0,Jake McGee,4,16,7000000,1,229.0,5,0.37423312883435583,RP,0.558282208588957,1,1,UFA,47,2209,7000000,7000000,0.049,7000000,0.26,0.06760000000000001,27000000,9000000,122500000,27000000,9000000,91,1.1998090692124097,1.439541802564349,1.46,2.1315999999999997,0,16,256,2,4,15.761420707019587,15.761420707019587,15.761420707019587
COL,6.1,2018,2022,3,3,0,70,4900,0,1,5,43,1849,36,1296,1.9285714285714286,3.719387755102041,0.5118829981718465,0.26202420381739855,0.9872029250457038,0.9745696152187936,5.93,35.164899999999996,30,30,Colorado Rockies,CLE,Colorado,18881200,54.7,2992.09,61,163,0,Bryan Shaw,6,36,7500000,1,226.0,5,0.37423312883435583,RP,0.558282208588957,0,0,UFA,54,2916,7500000,7500000,0.052,7500000,0.22,0.0484,27000000,9000000,122500000,27000000,9000000,91,1.1998090692124097,1.439541802564349,1.79,3.2041,0,28,784,4,16,15.830413578506539,15.830413578506539,15.830413578506539
CHC,6.3,2018,2021,2,2,0,24,576,0,2,7,5,25,5,25,3.4444444444444446,11.8641975308642,0.2931596091205212,0.08594255641969677,1.009771986970684,1.0196394656707233,1.47,2.1609,33,33,Chicago Cubs,LAD,Illinois,39953450,30.7,942.49,35,163,0,Brandon Morrow,0,0,9000000,17,205.0,20,0.2147239263803681,RP,0.5828220858895705,22,484,UFA,31,961,9000000,9000000,0.046,9000000,0.0,0.0,21000000,10500000,215545000,21000000,10500000,95,1.3,1.6900000000000002,1.08,1.1664,3,9,81,0,0,16.012735135300492,16.012735135300492,16.012735135300492
PHI,6.3,2018,0,2,2,0,65,4225,0,2,4,28,784,27,729,3.4,11.559999999999999,0.234375,0.054931640625,0.796875,0.635009765625,3.8,14.44,31,31,Philadelphia Phillies,TB,Pennsylvania,23836324,64.0,4096.0,65,162,0,Tommy Hunter,4,16,9000000,7,250.0,14,0.4012345679012346,RP,0.4938271604938271,4,16,UFA,51,2601,9000000,9000000,0.086,9000000,24.06,578.8835999999999,18000000,9000000,169200000,18000000,9000000,80,1.28,1.6384,1.25,1.5625,2,15,225,5,25,16.012735135300492,16.012735135300492,16.012735135300492
SEA,5.858590733590735,2018,2020,2,2,0,53,2809,250000,1,3,30,900,28,784,10.6,112.36,0.11904761904761904,0.014172335600907028,1.2619047619047619,1.5924036281179137,6.0,36.0,31,31,Seattle Mariners,STL,Washington,20322437,42.0,1764.0,46,162,0,Juan Nicasio,6,36,8000000,0,252.0,4,0.2839506172839506,RP,0.5493827160493827,1,1,UFA,53,2809,7750000,7500000,0.048,7750000,0.0,0.0,17000000,8500000,17750000,17000000,8500000,89,1.1998090692124097,1.439541802564349,1.38,1.9043999999999996,0,5,25,1,1,15.86320340132953,15.830413578506539,15.86320340132953
