Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato_x,Anios_de_contrato_y,Antiguedad,Bateos,Bateos_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_juegos,Posicion,Promedio_victorias,Saves,Saves_2,Status_agente_libre,Strike_outs,Strike_outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
LAA,6.1,2012,2017,5,5,0,181,32761,500000,5,4,102,10404,86,7396,1.901098901098901,3.614177031759449,0.4498269896193771,0.2023443205900312,0.8551655956500247,0.7313081959834615,3.83,14.6689,31,31,Los Angeles Angels,TEX,California,25789503,202.3,40925.29000000001,34,162,34,C.J. Wilson,10,100,12550000,1,210.0,10,0.20987654320987653,SP,0.5493827160493827,0,0,UFA,173,29929,10550000,10000000,0.067,10550000,15.78,249.00839999999997,77500000,15500000,321150000,77500000,15500000,89,0.97,0.9409,1.34,1.7956000000000003,1,91,8281,13,169,16.17163641788635,16.11809565095832,16.17163641788635
TEX,6.1,2011,0,5,1,0,181,32761,0,2,4,102,10404,86,7396,1.901098901098901,3.614177031759449,0.4498269896193771,0.2023443205900312,0.8551655956500247,0.7313081959834615,3.83,14.6689,30,30,Texas Rangers,TEX,Texas,13239503,202.3,40925.29000000001,34,162,34,C.J. Wilson,10,100,7150000,2,210.0,6,0.20987654320987653,SP,0.5740740740740741,0,0,UFA,173,29929,7150000,7000000,0.069,7150000,15.78,249.00839999999997,77500000,7000000,19000000,7000000,15500000,93,0.97,0.9409,1.34,1.7956000000000003,0,91,8281,13,169,15.78262291467019,15.761420707019587,15.78262291467019
MIA,6.2,2012,2016,4,4,1,197,38809,1000000,2,6,88,7744,84,7056,3.125,9.765625,0.1977261492832427,0.03909563011037918,0.6178942165101334,0.38179326279667164,3.74,13.987600000000002,33,32,Miami Marlins,CHW,Florida,88745000,202.3,40925.29000000001,31,162,31,Mark Buehrle,13,169,10000000,2,195.0,2,0.19135802469135801,SP,0.4259259259259259,0,0,UFA,125,15625,7000000,6000000,0.071,7000000,58.05,3369.8025,58000000,14500000,203300000,58000000,14500000,69,4.22,17.8084,1.17,1.3688999999999998,2,40,1600,13,169,15.761420707019587,15.60727002719233,15.761420707019587
CHW,6.2,2011,2012,4,4,4,197,38809,0,2,1,88,7744,84,7056,3.125,9.765625,0.1977261492832427,0.03909563011037918,0.6178942165101334,0.38179326279667164,3.74,13.987600000000002,32,28,Chicago White Sox,CHW,Illinois,78745000,202.3,40925.29000000001,31,162,31,Mark Buehrle,13,169,14025000,6,195.0,9,0.19135802469135801,SP,0.5246913580246914,0,0,UFA,125,15625,14025000,14000000,0.11,14025000,58.05,3369.8025,58000000,14000000,900000,56000000,14500000,85,4.22,17.8084,1.17,1.3688999999999998,3,40,1600,13,169,16.456352009373035,16.454567887579532,16.456352009373035
PHI,6.5,2012,2017,4,4,0,56,3136,0,2,7,22,484,19,361,5.111111111111111,26.123456790123452,0.2571428571428571,0.06612244897959182,1.3142857142857143,1.7273469387755103,2.44,5.9536,31,31,Philadelphia Phillies,BOS,Pennsylvania,40500458,70.0,4900.0,70,162,0,Jonathan Papelbon,6,36,11000058,7,230.0,14,0.43209876543209874,RP,0.5,38,1444,UFA,92,8464,11000058,11000058,0.061,11000058,21.77,473.93289999999996,50000000,12500000,57650000,50000000,12500000,81,1.64,2.6895999999999995,1.06,1.1236000000000002,2,18,324,5,25,16.213411103476016,16.213411103476016,16.213411103476016
BOS,6.5,2011,2012,4,1,0,56,3136,0,1,3,22,484,19,361,5.111111111111111,26.123456790123452,0.2571428571428571,0.06612244897959182,1.3142857142857143,1.7273469387755103,2.44,5.9536,30,30,Boston Red Sox,BOS,Massachusetts,29500400,70.0,4900.0,70,162,0,Jonathan Papelbon,6,36,12000000,12,230.0,20,0.43209876543209874,RP,0.4259259259259259,38,1444,UFA,92,8464,12000000,12000000,0.07,12000000,21.77,473.93289999999996,50000000,12000000,6000000,12000000,12500000,69,1.64,2.6895999999999995,1.06,1.1236000000000002,7,18,324,5,25,16.300417207752275,16.300417207752275,16.300417207752275
MIA,6.241500000000008,2012,2016,3,3,0,70,4900,1000000,2,6,38,1444,36,1296,2.0344827586206895,4.13912009512485,0.4552590266875981,0.20726078138053916,0.9262166405023547,0.8578772651434683,5.09,25.908099999999997,34,34,Miami Marlins,SD,Florida,20860500,63.7,4057.6900000000005,73,162,0,Heath Bell,5,25,7000000,2,215.16189000774594,2,0.4506172839506173,RP,0.4259259259259259,19,361,UFA,59,3481,7000000,6000000,0.071,7000000,2.54,6.4516,27000000,9000000,203300000,27000000,9000000,69,1.418865979381442,2.0131806674460586,1.55,2.4025000000000003,2,29,841,4,16,15.761420707019587,15.60727002719233,15.761420707019587
MIN,6.4,2011,2013,2,4,3,55,3025,0,1,4,23,529,20,400,6.0,36.0,0.2021772939346812,0.04087565818275048,1.2130637636080872,1.4715236945790173,2.8,7.839999999999999,36,33,Minnesota Twins,MIN,Minnesota,57925000,64.3,4134.49,66,162,0,Joe Nathan,5,25,11250000,6,230.0,14,0.4074074074074074,RP,0.4074074074074074,37,1369,UFA,78,6084,11250000,11250000,0.099,11250000,58.9,3469.21,14000000,11750000,32750000,47000000,7000000,66,1.76,3.0976,1.06,1.1236000000000002,3,13,169,3,9,16.235878686614704,16.235878686614704,16.235878686614704
TEX,6.4,2012,2014,2,2,0,55,3025,0,2,4,23,529,20,400,6.0,36.0,0.2021772939346812,0.04087565818275048,1.2130637636080872,1.4715236945790173,2.8,7.839999999999999,37,37,Texas Rangers,MIN,Texas,65975000,64.3,4134.49,66,162,0,Joe Nathan,5,25,8050000,2,230.0,6,0.4074074074074074,RP,0.5740740740740741,37,1369,UFA,78,6084,8050000,7000000,0.058,8050000,58.9,3469.21,14000000,7375000,19000000,14750000,7000000,93,1.76,3.0976,1.06,1.1236000000000002,0,13,169,3,9,15.901182649394746,15.761420707019587,15.901182649394746
LAD,6.7,2012,2014,2,2,1,167,27889,0,5,9,85,7225,72,5184,1.5411764705882354,2.37522491349481,0.4730105731775181,0.2237390023377242,0.7289927657206455,0.531430452473036,3.61,13.0321,34,33,Los Angeles Dodgers,SD,California,46650000,179.7,32292.089999999997,31,162,31,Aaron Harang,10,100,3000000,25,260.0,26,0.19135802469135801,SP,0.5308641975308642,0,0,UFA,131,17161,3000000,3000000,0.026,3000000,48.48,2350.3104,12000000,6000000,44651311,12000000,6000000,86,1.84,3.3856,1.4,1.9599999999999997,6,85,7225,10,100,14.914122846632385,14.914122846632385,14.914122846632385
