Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato_x,Anios_de_contrato_y,Antiguedad,Bateos,Bateos_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_juegos,Posicion,Promedio_victorias,Saves,Saves_2,Status_agente_libre,Strike_outs,Strike_outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
WSH,6.4,2019,2025,6,6,0,169,28561,416666,1,7,81,6561,73,5329,3.4,11.559999999999999,0.3465346534653465,0.12008626605234779,1.1782178217821782,1.3881972355651406,3.25,10.5625,29,29,Washington Nationals,ARI,Washington DC,31233415,202.0,40804.0,33,162,33,Patrick Corbin,7,49,15000000,1,220.0,6,0.2037037037037037,SP,0.5740740740740741,0,0,UFA,238,56644,12916666,12500000,0.075,12916666,80.28,6444.8784000000005,140000000,23333333,184550000,140000000,23333333,93,4.97,24.700899999999997,1.18,1.3923999999999999,1,70,4900,14,196,16.374028973482616,16.34123920227253,16.374028973482616
BOS,6.2,2019,2023,4,4,1,72,5184,0,1,1,46,2116,45,2025,2.0,4.0,0.51698670605613,0.2672752542387673,1.03397341211226,1.0691010169550692,5.99,35.880100000000006,29,28,Boston Red Sox,BOS,Massachusetts,31768901,67.7,4583.29,23,161,12,Nathan Eovaldi,1,1,17000000,14,217.0,24,0.14285714285714285,SP,0.515527950310559,0,0,UFA,70,4900,17000000,17000000,0.074,17000000,2.23,4.9729,68000000,17000000,68000000,68000000,17000000,83,1.1762227602905562,1.3834999818255351,1.58,2.4964000000000004,9,35,1225,2,4,16.64872390202049,16.64872390202049,16.64872390202049
CHC,6.0,2019,0,3,3,1,21,441,0,2,5,15,225,15,225,2.5,6.25,0.5797101449275363,0.3360638521319051,1.4492753623188406,2.1003990758244067,6.53,42.6409,31,30,Chicago Cubs,BOS,Illinois,66349262,20.7,428.48999999999995,23,162,0,Craig Kimbrel,4,16,10000000,17,215.0,20,0.1419753086419753,RP/CL,0.5185185185185185,13,169,UFA,30,900,10000000,10000000,0.045,10000000,0.0,0.0,43000000,14333333,49325000,43000000,14333333,84,1.1762227602905562,1.3834999818255351,1.6,2.5600000000000005,3,12,144,0,0,16.11809565095832,16.11809565095832,16.11809565095832
NYY,6.1,2019,2023,3,3,0,38,1444,0,2,5,13,169,13,169,1.65625,2.7431640625,0.5220228384991844,0.2725078439147456,0.8646003262642741,0.7475337241762892,1.91,3.6481,31,31,New York Yankees,NYY,New York,48117103,61.3,3757.6899999999996,66,162,0,Zack Britton,1,1,13000000,40,200.0,55,0.4074074074074074,RP,0.6358024691358025,3,9,UFA,53,2809,13000000,13000000,0.058,13000000,56.15,3152.8224999999998,39000000,13000000,124555000,39000000,13000000,103,2.47,6.100900000000001,1.14,1.2995999999999999,27,32,1024,3,9,16.38045991542581,16.38045991542581,16.38045991542581
NYY,6.5,2019,2021,2,2,0,160,25600,0,2,5,88,7744,88,7744,2.857142857142857,8.16326530612245,0.30378177309361437,0.0922833656639002,0.8679479231246124,0.7533335972563282,4.91,24.1081,36,36,New York Yankees,NYY,New York,73489000,161.3,26017.690000000002,32,162,29,J.A. Happ,8,64,17000000,40,205.0,55,0.19753086419753085,SP,0.6358024691358025,0,0,UFA,140,19600,17000000,17000000,0.076,17000000,23.16,536.3856,34000000,17000000,124555000,34000000,17000000,103,1.37,1.8769000000000002,1.29,1.6641000000000001,27,49,2401,12,144,16.64872390202049,16.64872390202049,16.64872390202049
NYM,6.3,2019,0,3,3,0,62,3844,666667,2,6,39,1521,38,1444,1.5,2.25,0.7,0.48999999999999994,1.05,1.1025,5.7,32.49,29,29,New York Mets,OAK,New York,26748860,60.0,3600.0,66,161,0,Jeurys Familia,2,4,8000000,5,240.0,9,0.40993788819875776,RP,0.5279503105590062,0,0,UFA,63,3969,6666666,6000000,0.045,6666666,1.42,2.0164,30000000,10000000,79000000,30000000,10000000,85,1.1762227602905562,1.3834999818255351,1.73,2.9929,2,42,1764,4,16,15.71263044285015,15.60727002719233,15.71263044285015
TB,6.5,2019,2022,2,2,0,154,23716,0,2,2,71,5041,66,4356,4.2105263157894735,17.728531855955676,0.29275808936825887,0.08570729889055345,1.2326656394453006,1.519464578669092,3.05,9.302499999999998,35,35,Tampa Bay Rays,HOU,Florida,60098008,194.7,37908.09,33,161,33,Charlie Morton,6,36,15000000,1,215.0,5,0.20496894409937888,SP,0.5962732919254659,0,0,UFA,240,57600,15000000,15000000,0.234,15000000,88.46,7825.171599999999,30000000,15000000,33500000,30000000,15000000,96,4.91,24.1081,1.08,1.1664,0,57,3249,16,256,16.523560759066484,16.523560759066484,16.523560759066484
TEX,6.5,2019,0,3,3,1,195,38025,1333333,2,6,89,7921,85,7225,4.169491525423729,17.384659580580298,0.28324531925108015,0.08022791087764632,1.1809889582333173,1.394734919469016,3.67,13.4689,32,31,Texas Rangers,NYY,Texas,48737213,208.3,43388.89000000001,33,162,33,Lance Lynn,11,121,11000000,2,270.0,8,0.2037037037037037,SP,0.4814814814814814,0,0,UFA,246,60516,9333333,8000000,0.063,9333333,94.84,8994.625600000001,30000000,10000000,47250000,30000000,10000000,78,7.73,59.752900000000004,1.22,1.4884,0,59,3481,16,256,16.049102743757082,15.89495209964411,16.049102743757082
NYY,6.5,2019,2022,3,3,0,47,2209,1000000,2,5,17,289,14,196,2.2,4.840000000000001,0.603318250377074,0.3639929112380537,1.3273001508295625,1.7617256903921794,1.9,3.61,33,33,New York Yankees,COL,New York,22310996,66.3,4395.69,73,162,0,Adam Ottavino,5,25,8000000,40,246.0,55,0.4506172839506173,RP,0.6358024691358025,2,4,UFA,88,7744,9000000,8000000,0.04,9000000,56.66,3210.3555999999994,27000000,9000000,124555000,27000000,9000000,103,2.27,5.1529,1.31,1.7161000000000002,27,40,1600,6,36,16.012735135300492,15.89495209964411,16.012735135300492
LAD,6.1,2019,2023,3,3,1,49,2401,0,5,3,31,961,26,676,2.8181818181818183,7.942148760330579,0.4288499025341131,0.1839122389035183,1.2085769980506824,1.4606583602171992,4.56,20.793599999999998,31,30,Los Angeles Dodgers,BOS,California,13176907,51.3,2631.6899999999996,55,161,0,Joe Kelly,4,16,3000000,25,174.0,33,0.3416149068322981,RP,0.6521739130434783,1,1,UFA,62,3844,3000000,3000000,0.015,3000000,8.68,75.3424,25000000,8333333,85000000,25000000,8333333,105,1.1762227602905562,1.3834999818255351,1.38,1.9043999999999996,6,22,484,5,25,14.914122846632385,14.914122846632385,14.914122846632385
STL,6.7,2019,2021,2,2,2,45,2025,0,2,1,32,1024,27,729,2.5925925925925926,6.72153635116598,0.4936014625228519,0.2436424038046984,1.279707495429616,1.6376512738587405,4.45,19.802500000000002,34,32,St. Louis Cardinals,CLE,Missouri,61708344,54.7,2992.09,73,162,0,Andrew Miller,6,36,11500000,23,200.0,29,0.4506172839506173,RP,0.5617283950617284,6,36,UFA,70,4900,11500000,11000000,0.066,11500000,2.87,8.2369,25000000,12500000,25000000,25000000,12500000,91,1.1762227602905562,1.3834999818255351,1.32,1.7424000000000002,11,27,729,5,25,16.25785759333348,16.213405830762646,16.25785759333348
ATL,6.2,2019,0,1,1,1,115,13225,0,1,6,50,2500,47,2209,2.3333333333333335,5.4444444444444455,0.3460514640638864,0.11975161578075928,0.8074534161490683,0.6519810192508004,3.75,14.0625,31,30,Atlanta Braves,HOU,Georgia,52917680,112.7,12701.29,19,161,19,Dallas Keuchel,8,64,21210000,18,205.0,25,0.11801242236024845,SP,0.6024844720496895,0,0,UFA,91,8281,13000000,21210000,0.09,21210000,40.73,1658.9328999999998,21210000,21210000,52210000,21210000,21210000,97,2.27,5.1529,1.37,1.8769000000000002,3,39,1521,8,64,16.38045991542581,16.869983326540865,16.869983326540865
WSH,6.0,2019,2022,2,2,1,153,23409,0,1,7,77,5929,71,5041,2.310344827586207,5.33769322235434,0.3493975903614458,0.12207867615038469,0.8072289156626506,0.6516185222818988,3.85,14.822500000000002,35,34,Washington Nationals,ATL,Washington DC,105390927,166.0,27556.0,30,162,30,Anibal Sanchez,8,64,10000000,1,205.0,6,0.18518518518518517,SP,0.5740740740740741,0,0,UFA,134,17956,6000000,8000000,0.035,10000000,70.67,4994.2489000000005,19000000,9500000,184550000,19000000,9500000,93,3.14,9.8596,1.27,1.6129,1,58,3364,11,121,15.60727002719233,15.89495209964411,16.11809565095832
