Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato_x,Anios_de_contrato_y,Antiguedad,Bateos,Bateos_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_juegos,Posicion,Promedio_victorias,Saves,Saves_2,Status_agente_libre,Strike_outs,Strike_outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
WSH,6.3,2015,0,7,7,0,176,30976,7142857,1,8,74,5476,71,5041,8.117647058823529,65.89619377162629,0.14866637516397027,0.022101691104394357,1.2068211630957586,1.4564173196957997,2.79,7.7841000000000005,30,30,Washington Nationals,DET,Washington DC,49075000,228.7,52303.689999999995,34,161,33,Max Scherzer,12,144,15175000,1,208.0,3,0.2111801242236025,SP,0.515527950310559,0,0,UFA,276,76176,17317857,10000000,0.105,17317857,76.61,5869.0921,210000000,30000000,216000000,210000000,30000000,83,6.91,47.7481,0.92,0.8464,0,34,1156,14,196,16.66724872365125,16.11809565095832,16.66724872365125
CHC,6.4,2015,2022,6,6,1,183,33489,5000000,2,13,83,6889,76,5776,4.404255319148936,19.397464916251693,0.22926829268292684,0.052563950029744205,1.0097560975609756,1.0196073765615705,3.34,11.1556,31,30,Chicago Cubs,OAK,Illinois,74902403,205.0,42025.0,32,161,32,Jon Lester,12,144,30000000,17,240.0,17,0.19875776397515527,SP,0.5962732919254659,0,0,UFA,207,42849,20000000,15000000,0.15,20000000,38.58,1488.4163999999998,155000000,25833333,190950000,155000000,25833333,96,2.75,7.5625,1.12,1.2544000000000002,2,47,2209,11,121,16.811242831518264,16.523560759066484,16.811242831518264
SD,6.3,2015,2019,4,4,0,189,35721,0,5,8,93,8649,88,7744,2.6666666666666665,7.111111111111111,0.4003954522985665,0.16031651822137363,1.0677212061295105,1.1400285740186566,3.91,15.288100000000002,33,33,San Diego Padres,KC,California,51094900,202.3,40925.29000000001,36,161,33,James Shields,7,49,10000000,2,215.0,5,0.2236024844720497,SP,0.4596273291925465,0,0,UFA,216,46656,10000000,10000000,0.093,10000000,20.77,431.3929,75000000,18750000,80850000,75000000,18750000,74,1.91,3.6481,1.33,1.7689000000000001,0,81,6561,13,169,16.11809565095832,16.11809565095832,16.11809565095832
MIN,6.2,2015,2020,4,4,0,104,10816,0,1,4,50,2500,48,2304,2.2777777777777777,5.188271604938271,0.3333333333333333,0.1111111111111111,0.7592592592592593,0.5764746227709191,4.0,16.0,32,32,Minnesota Twins,ATL,Minnesota,65934360,108.0,11664.0,17,161,17,Ervin Santana,5,25,7598360,6,175.0,14,0.10559006211180125,SP,0.515527950310559,0,0,UFA,82,6724,7598360,13500000,0.071,7598360,34.45,1186.8025000000002,55000000,13750000,68250000,55000000,13750000,83,1.62,2.6244000000000005,1.3,1.6900000000000002,3,36,1296,7,49,15.843442992496977,16.41820024340866,15.843442992496977
LAD,6.7,2015,2019,4,4,0,24,576,1500000,5,8,15,225,15,225,7.25,52.5625,0.17391304347826086,0.030245746691871453,1.2608695652173914,1.5897920604914935,5.87,34.456900000000005,31,31,Los Angeles Dodgers,NYY,California,41213828,23.0,529.0,4,161,4,Brandon McCarthy,0,0,17000000,25,225.0,29,0.024844720496894408,SP,0.5652173913043478,0,0,UFA,29,841,12500000,11000000,0.041,12500000,0.0,0.0,48000000,12000000,61257500,48000000,12000000,91,1.2448806366047729,1.5497277993935046,1.22,1.4884,6,4,16,3,9,16.34123920227253,16.213405830762646,16.34123920227253
PIT,6.3,2015,2018,3,3,0,155,24025,666666,2,4,75,5625,70,4900,2.9285714285714284,8.576530612244897,0.3749330476700589,0.14057479023515868,1.098018211033744,1.2056439917617434,3.38,11.424399999999999,31,31,Pittsburgh Pirates,PIT,Pennsylvania,33293000,186.7,34856.88999999999,31,161,31,Francisco Liriano,7,49,13000000,9,218.0,17,0.19254658385093168,RP,0.6024844720496895,0,0,UFA,205,42025,11666666,11000000,0.117,11666666,69.74,4863.667599999999,39000000,13000000,50000000,39000000,13000000,97,2.61,6.812099999999999,1.21,1.4641,5,70,4900,12,144,16.27224627364272,16.213405830762646,16.27224627364272
NYY,6.7,2015,2019,4,4,1,33,1089,0,2,7,16,256,14,196,5.0,25.0,0.3241491085899514,0.10507264459966009,1.6207455429497568,2.626816114991502,2.04,4.1616,30,29,New York Yankees,BAL,New York,23208344,61.7,3806.8900000000003,60,161,0,Andrew Miller,2,4,9000000,40,200.0,51,0.37267080745341613,RP,0.5403726708074534,36,1296,UFA,100,10000,9000000,9000000,0.04,9000000,87.03,7574.2209,36000000,9000000,101500000,36000000,9000000,87,2.33,5.4289000000000005,0.86,0.7395999999999999,27,20,400,3,9,16.012735135300492,16.012735135300492,16.012735135300492
CHW,6.2,2015,2017,2,2,0,0,0,0,2,13,0,0,0,0,301.0,90601.0,0.0,0.0,1.0,1.0,0.0,0.0,35,35,Chicago White Sox,WSH,Illinois,73307500,1.0,1.0,127,161,115,Adam LaRoche,0,0,12000000,6,205.0,9,0.7888198757763976,DH,0.4720496894409938,0,0,UFA,1,1,12000000,12000000,0.101,12000000,7.54,56.8516,25000000,12500000,137000000,25000000,12500000,76,1.2448806366047729,1.5497277993935046,0.0,0.0,3,0,0,0,0,16.300417207752275,16.300417207752275,16.300417207752275
SF,6.1,2015,2017,2,2,1,99,9801,2000000,5,9,45,2025,44,1936,3.12,9.7344,0.22583559168925021,0.05100171447363374,0.7046070460704607,0.49647108937214024,3.58,12.8164,34,33,San Francisco Giants,SF,California,114605000,110.7,12254.49,19,161,19,Jake Peavy,6,36,11000000,23,180.0,25,0.11801242236024845,RP,0.5217391304347826,0,0,UFA,78,6084,9000000,7000000,0.048,9000000,0.0,0.0,24000000,12000000,44000000,24000000,12000000,84,1.57,2.4649,1.12,1.2544000000000002,8,25,625,8,64,16.012735135300492,15.761420707019587,16.012735135300492
KC,5.698559077809805,2015,2017,2,2,0,195,38025,0,2,10,94,8836,81,6561,2.175675675675676,4.733564645726808,0.3592233009708738,0.12904137996041098,0.7815533980582524,0.6108257140164012,3.54,12.531600000000001,31,31,Kansas City Royals,PIT,Missouri,13252000,206.0,42436.0,35,161,34,Edinson Volquez,9,81,7500000,4,220.0,9,0.21739130434782608,SP,0.5838509316770186,0,0,UFA,161,25921,7500000,7500000,0.059,7500000,57.09,3259.2681000000002,20000000,10000000,69025000,20000000,10000000,94,2.78,7.728399999999999,1.31,1.7161000000000002,2,74,5476,13,169,15.830413578506539,15.830413578506539,15.830413578506539
