Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato_x,Anios_de_contrato_y,Antiguedad,Bateos,Bateos_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_juegos,Posicion,Promedio_victorias,Saves,Saves_2,Status_agente_libre,Strike_outs,Strike_outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
NYY,6.4,2017,2022,5,5,1,37,1369,2200000,2,3,20,400,18,324,3.45,11.902500000000002,0.3976143141153082,0.15809714278938697,1.371769383697813,1.881751242050678,3.22,10.368400000000001,29,28,New York Yankees,CHC,New York,75672227,50.3,2530.0899999999997,52,162,0,Aroldis Chapman,3,9,21000000,40,218.0,53,0.32098765432098764,RP,0.5617283950617284,22,484,UFA,69,4761,17200000,15000000,0.082,17200000,17.75,315.0625,86000000,17200000,102500000,86000000,17200000,91,0.95,0.9025,1.13,1.2768999999999997,27,20,400,4,16,16.660419941783683,16.523560759066484,16.660419941783683
LAD,6.5,2017,2022,5,5,0,44,1936,1333333,5,6,11,121,10,100,15.571428571428571,242.46938775510202,0.10248901903367497,0.01050399902248499,1.595900439238653,2.5468982119621257,1.32,1.7424000000000002,29,29,Los Angeles Dodgers,LAD,California,37948838,68.3,4664.889999999999,65,162,0,Kenley Jansen,0,0,14000000,25,265.0,31,0.4012345679012346,RP/CL,0.6419753086419753,41,1681,UFA,109,11881,11333333,10000000,0.044,11333333,90.26,8146.8676000000005,80000000,16000000,199600000,80000000,16000000,104,2.97,8.820900000000002,0.75,0.5625,6,7,49,5,25,16.24325876450056,16.11809565095832,16.24325876450056
SF,6.1,2017,0,4,4,1,37,1369,10000000,5,3,16,256,15,225,4.833333333333333,23.361111111111107,0.2,0.04000000000000001,0.9666666666666667,0.9344444444444444,4.5,20.25,32,31,San Francisco Giants,WSH,California,36518000,30.0,900.0,32,162,0,Mark Melancon,2,4,16000000,23,215.0,26,0.19753086419753085,RP,0.3950617283950617,11,121,UFA,29,841,14000000,4000000,0.074,14000000,0.0,0.0,62000000,15500000,65250000,62000000,15500000,64,0.15,0.0225,1.43,2.0448999999999997,8,6,36,1,1,16.454567887579532,15.201804919084164,16.454567887579532
LAD,6.5,2017,2020,3,3,1,99,9801,666666,5,6,51,2601,50,2500,3.3877551020408165,11.476884631403584,0.36109064112011796,0.13038645110453784,1.223286661753869,1.4964302568249246,3.32,11.0224,37,36,Los Angeles Dodgers,LAD,California,25214059,135.7,18414.489999999998,25,162,25,Rich Hill,8,64,14000000,25,221.0,31,0.15432098765432098,SP,0.6419753086419753,0,0,UFA,166,27556,12666666,12000000,0.049,12666666,67.79,4595.484100000001,48000000,16000000,199600000,48000000,16000000,104,2.21,4.8841,1.09,1.1881000000000002,6,49,2401,12,144,16.35448437639097,16.300417207752275,16.35448437639097
STL,5.719234543670264,2017,2021,4,4,0,67,4489,250000,2,2,31,961,29,841,4.125,17.015625,0.23774145616641904,0.05652099998012934,0.9806835066864785,0.9617401402868884,3.88,15.0544,30,30,St. Louis Cardinals,TOR,Missouri,19118100,67.3,4529.29,73,162,0,Brett Cecil,4,16,8500000,23,235.0,28,0.4506172839506173,RP,0.5123456790123457,1,1,UFA,66,4356,7750000,7500000,0.053,7750000,12.34,152.2756,30500000,7625000,113000000,30500000,7625000,83,0.51,0.2601,1.23,1.5129,11,16,256,2,4,15.86320340132953,15.830413578506539,15.86320340132953
PIT,6.5,2017,2020,3,3,1,203,41209,666666,2,2,96,9216,86,7396,3.638888888888889,13.241512345679013,0.1925133689839572,0.03706139723755326,0.7005347593582888,0.4907489490691756,4.14,17.139599999999998,30,29,Pittsburgh Pirates,PIT,Pennsylvania,22390211,187.0,34969.0,31,162,31,Ivan Nova,14,196,9750000,9,250.0,17,0.19135802469135801,SP,0.4629629629629629,0,0,UFA,131,17161,8416666,7000000,0.084,8416666,53.2,2830.2400000000002,26000000,8666667,37000000,26000000,8666667,75,1.98,3.9204,1.28,1.6384,5,36,1296,11,121,15.945724345809609,15.761420707019587,15.945724345809609
MIA,5.719234543670264,2017,2019,2,2,0,78,6084,0,2,6,46,2116,43,1849,1.528301886792453,2.335706657173372,0.5742145178764897,0.3297223125401295,0.8775731310942578,0.7701346004185794,4.19,17.556100000000004,33,33,Miami Marlins,KC,Florida,31752000,92.3,8519.289999999999,17,162,17,Edinson Volquez,8,64,9000000,2,220.0,2,0.10493827160493827,SP,0.4753086419753086,0,0,UFA,81,6561,9000000,9000000,0.081,9000000,37.36,1395.7695999999999,22000000,11000000,57250000,22000000,11000000,77,0.56,0.31360000000000005,1.42,2.0164,2,53,2809,4,16,16.012735135300492,16.012735135300492,16.012735135300492
COL,6.0,2017,2021,3,3,1,43,1849,0,1,4,25,625,25,625,2.0357142857142856,4.144132653061224,0.5566600397614314,0.3098703998671984,1.1332007952286283,1.2841440423067956,4.47,19.9809,32,31,Colorado Rockies,MIA,Colorado,13386500,50.3,2530.0899999999997,68,162,0,Michael Dunn,1,1,4000000,1,215.0,4,0.41975308641975306,RP,0.5370370370370371,0,0,UFA,57,3249,4000000,4000000,0.029,4000000,10.54,111.09159999999999,19000000,6333333,97250000,19000000,6333333,87,0.72,0.5184,1.41,1.9880999999999998,0,28,784,5,25,15.201804919084164,15.201804919084164,15.201804919084164
KC,6.6,2017,2020,2,2,0,209,43681,0,2,4,109,11881,106,11236,3.0208333333333335,9.125434027777779,0.26622296173044924,0.07087466535253224,0.8042151968940654,0.6467620829153604,5.29,27.9841,34,34,Kansas City Royals,CHC,Missouri,49306500,180.3,32508.090000000004,32,162,32,Jason Hammel,13,169,5000000,4,225.0,9,0.19753086419753085,SP,0.4938271604938271,0,0,UFA,145,21025,5000000,5000000,0.034,5000000,32.19,1036.1961,16000000,8000000,43800000,16000000,8000000,80,1.64,2.6895999999999995,1.42,2.0164,2,48,2304,8,64,15.424948470398375,15.424948470398375,15.424948470398375
MIA,6.4,2017,2019,2,2,0,57,3249,0,2,6,29,841,25,625,1.625,2.640625,0.3404255319148936,0.11588954277953825,0.5531914893617021,0.30602082390221824,4.79,22.9441,37,37,Miami Marlins,BOS,Florida,29399999,47.0,2209.0,53,162,0,Brad Ziegler,4,16,7000000,2,220.0,2,0.3271604938271605,RP,0.4753086419753086,10,100,UFA,26,676,7000000,7000000,0.063,7000000,4.18,17.472399999999997,16000000,8000000,57250000,16000000,8000000,77,1.1585569620253164,1.3422542342573305,1.55,2.4025000000000003,2,16,256,1,1,15.761420707019587,15.761420707019587,15.761420707019587
HOU,6.5,2017,2019,2,2,0,125,15625,0,2,3,65,4225,59,3481,3.26,10.6276,0.3408316291751875,0.11616619944621252,1.1111111111111112,1.234567901234568,3.62,13.1044,33,33,Houston Astros,PHI,Texas,36223008,146.7,21520.889999999996,25,162,25,Charlie Morton,7,49,8875000,2,215.0,11,0.15432098765432098,SP,0.6234567901234568,0,0,UFA,163,26569,8875000,7000000,0.064,8875000,71.93,5173.924900000001,14000000,7000000,82000000,14000000,7000000,101,1.94,3.7636,1.19,1.4161,1,50,2500,14,196,15.998748893325754,15.761420707019587,15.998748893325754
MIA,5.719234543670264,2017,2019,2,2,1,55,3025,0,2,6,35,1225,35,1225,1.7272727272727273,2.9834710743801653,0.39783001808318263,0.15826872328806543,0.6871609403254973,0.47219015790902175,5.69,32.3761,31,30,Miami Marlins,BOS,Florida,16935000,55.3,3058.0899999999997,55,162,0,Junichi Tazawa,5,25,5000000,2,200.0,2,0.3395061728395062,RP,0.4753086419753086,0,0,UFA,38,1444,5000000,5000000,0.045,5000000,3.28,10.758399999999998,12000000,6000000,57250000,12000000,6000000,77,1.1585569620253164,1.3422542342573305,1.39,1.9320999999999997,2,22,484,3,9,15.424948470398375,15.424948470398375,15.424948470398375
SEA,6.2,2017,2019,2,2,0,29,841,0,1,2,16,256,14,196,1.25,1.5625,0.6389776357827476,0.4082924190305096,0.7987220447284344,0.6379569047351712,4.02,16.160399999999996,31,31,Seattle Mariners,WSH,Washington,14797599,31.3,979.69,64,162,0,Marc Rzepczynski,2,4,5500000,0,220.0,4,0.3950617283950617,RP,0.4814814814814814,1,1,UFA,25,625,5500000,5500000,0.034,5500000,9.39,88.17210000000001,11000000,5500000,11535000,11000000,5500000,78,0.21,0.04409999999999999,1.56,2.4336,0,20,400,2,4,15.520258650202699,15.520258650202699,15.520258650202699
OAK,6.0,2017,2019,2,2,0,58,3364,500000,5,5,29,841,28,784,2.590909090909091,6.712809917355371,0.3728813559322034,0.13904050560183856,0.9661016949152542,0.933352484918127,4.27,18.232899999999997,36,36,Oakland Athletics,SF,California,31343000,59.0,3481.0,63,162,0,Santiago Casilla,5,25,5500000,15,210.0,26,0.3888888888888889,RP,0.4629629629629629,16,256,UFA,57,3249,5000000,4500000,0.068,5000000,24.97,623.5008999999999,11000000,5500000,34500000,11000000,5500000,75,0.44,0.1936,1.36,1.8496000000000004,9,22,484,4,16,15.424948470398375,15.319587954740548,15.424948470398375
PIT,6.3,2017,2019,2,2,1,58,3364,0,2,2,34,1156,31,961,2.0,4.0,0.5348460291734197,0.2860602749225745,1.0696920583468394,1.144241099690298,4.52,20.430399999999995,30,29,Pittsburgh Pirates,ARI,Pennsylvania,11566307,61.7,3806.8900000000003,71,162,0,Daniel Hudson,7,49,5500000,9,215.0,17,0.4382716049382716,RP/CL,0.4629629629629629,0,0,UFA,66,4356,5500000,5500000,0.055,5500000,5.04,25.401600000000002,11000000,5500000,37000000,11000000,5500000,75,1.1585569620253164,1.3422542342573305,1.48,2.1904,5,33,1089,2,4,15.520258650202699,15.520258650202699,15.520258650202699
TEX,6.6,2017,2018,1,1,0,156,24336,0,2,4,75,5625,63,3969,1.34375,1.8056640625,0.38392321535692864,0.14739703529000261,0.5158968206358728,0.26614952954220195,3.4,11.559999999999999,30,30,Texas Rangers,MIA,Texas,26954400,166.7,27788.889999999996,28,162,28,Andrew Cashner,11,121,10000000,2,235.0,8,0.1728395061728395,SP,0.4814814814814814,0,0,UFA,86,7396,10000000,10000000,0.061,10000000,80.99,6559.380099999999,10000000,10000000,36000000,10000000,10000000,78,4.57,20.884900000000002,1.32,1.7424000000000002,0,64,4096,11,121,16.11809565095832,16.11809565095832,16.11809565095832
ATL,6.3,2017,2019,1,1,0,193,37249,0,1,5,99,9801,91,8281,2.029850746268657,4.120294052127423,0.3526315789473684,0.12434903047091411,0.7157894736842105,0.5123545706371191,4.31,18.576099999999997,42,42,Atlanta Braves,TOR,Georgia,57940000,190.0,36100.0,31,162,31,R.A. Dickey,10,100,7500000,18,215.0,23,0.19135802469135801,SP,0.4444444444444444,0,0,UFA,136,18496,7500000,7500000,0.071,7500000,52.01,2705.0400999999997,8000000,8000000,34525000,8000000,8000000,72,2.15,4.6225,1.37,1.8769000000000002,3,67,4489,10,100,15.830413578506539,15.830413578506539,15.830413578506539
PIT,6.4,2017,2018,1,1,1,43,1849,0,2,2,28,784,26,676,2.090909090909091,4.37190082644628,0.437375745526839,0.19129754277515823,0.9145129224652088,0.836333885355857,4.65,21.622500000000002,40,39,Pittsburgh Pirates,TOR,Pennsylvania,54447500,50.3,2530.0899999999997,52,162,0,Joaquin Benoit,6,36,2581992,9,250.0,17,0.32098765432098764,RP,0.4629629629629629,2,4,UFA,46,2116,2581992,7500000,0.026,7500000,8.63,74.47690000000001,7500000,7500000,37000000,7500000,7500000,75,0.57,0.32489999999999997,1.29,1.6641000000000001,5,22,484,1,1,14.76407175201057,15.830413578506539,15.830413578506539
