Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Equipo_anterior,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
LAA,6.1,2012,4,5,2,4,0,0,5,8,33,Los Angeles Angels,TEX,California,0,0,32,161,1024,C.J. Wilson,0.333,0.11088900000000002,1,210,10,0.0,0.0,0.198,0.039204,SP,0.6086956521739131,0,0,UFA,16500000,16000000,16500000,5.02,25.200399999999995,77500000,22100000,15500000,98,-0.23,0.0529,1,16.61887093887081,16.588099280204055,16.61887093887081
NYY,6.1,2014,4,3,403,162409,94,8836,2,9,37,New York Yankees,STL,New York,15,225,109,162,11881,Carlos Beltran,0.703,0.49420899999999995,40,213,50,0.233,0.054289000000000004,0.673,0.4529290000000001,DH,0.5185185185185185,49,2401,UFA,15000000,15000000,15000000,13.52,182.79039999999998,45000000,311500000,15000000,84,-0.23,0.0529,27,16.523560759066484,16.523560759066484,16.523560759066484
CHC,6.2,2013,4,2,10,100,0,0,2,13,30,Chicago Cubs,TOR,Illinois,0,0,42,162,1764,Carlos Villanueva,0.0,0.0,17,215,16,0.0,0.0,0.259,0.067081,RP,0.4506172839506173,0,0,UFA,5000000,5000000,5000000,0.0,0.0,10000000,9650000,5000000,73,-0.03,0.0009,2,15.424948470398375,15.424948470398375,15.424948470398375
CHC,6.0,2014,4,1,385,148225,109,11881,2,13,29,Chicago Cubs,MIA,Illinois,9,81,125,162,15625,Chris Coghlan,0.804,0.6464160000000001,17,195,16,0.283,0.08008899999999998,0.772,0.5959840000000001,LF,0.4506172839506173,41,1681,UFA,800000,800000,651366,59.3,3516.49,800000,9650000,800000,73,0.75,0.5625,2,13.592367006650065,13.592367006650065,13.386826975190328
NYY,6.2,2014,4,1,325,105625,72,5184,2,9,30,New York Yankees,OAK,New York,11,121,111,162,12321,Chris Young,0.71,0.5041,40,200,50,0.222,0.049284,0.685,0.46922500000000006,RF,0.5185185185185185,38,1444,UFA,500000,500000,73770,51.45,2647.1025000000004,7250000,311500000,7250000,84,0.09,0.0081,27,13.122363377404328,13.122363377404328,11.208707423878348
SEA,6.2,2014,4,1,325,105625,72,5184,1,8,30,Seattle Mariners,OAK,Washington,11,121,111,161,12321,Chris Young,0.71,0.5041,0,200,4,0.222,0.049284,0.685,0.46922500000000006,RF,0.5341614906832298,38,1444,UFA,4725000,1500000,4725000,51.45,2647.1025000000004,7250000,267800000,7250000,86,0.09,0.0081,0,15.36837811890998,14.22097566607244,15.36837811890998
TEX,6.4,2014,4,1,5,25,2,4,2,7,34,Texas Rangers,TEX,Texas,0,0,29,162,841,Colby Lewis,0.8,0.6400000000000001,2,238,6,0.4,0.16000000000000003,0.179,0.032041,SP,0.4135802469135802,1,1,UFA,2000000,2000000,2000000,16.13,260.1769,2000000,136050000,2000000,67,-0.41,0.16809999999999997,0,14.508657738524219,14.508657738524219,14.508657738524219
SEA,6.6,2014,4,1,232,53824,47,2209,1,8,32,Seattle Mariners,MIL,Washington,6,36,68,161,4624,Corey Hart,0.59,0.34809999999999997,0,240,4,0.203,0.041209,0.42,0.17639999999999997,RF,0.5341614906832298,21,441,UFA,6000000,6000000,6000000,0.0,0.0,6000000,267800000,6000000,86,-0.47,0.22089999999999999,0,15.60727002719233,15.60727002719233,15.60727002719233
NYM,6.1,2014,4,4,564,318096,128,16384,2,10,33,New York Mets,NYY,New York,20,400,155,162,24025,Curtis Granderson,0.714,0.5097959999999999,5,200,8,0.227,0.051529000000000005,0.957,0.9158489999999999,RF,0.4876543209876543,66,4356,UFA,13000000,13000000,13000000,27.23,741.4729,60000000,93775000,15000000,79,1.19,1.4161,2,16.38045991542581,16.38045991542581,16.38045991542581
NYM,6.0,2014,4,1,11,121,2,4,2,10,33,New York Mets,NYM,New York,0,0,34,162,1156,Daisuke Matsuzaka,0.432,0.18662399999999998,5,200,8,0.182,0.033124,0.21,0.04409999999999999,SP,0.4876543209876543,1,1,UFA,1500000,1500000,1500000,7.54,56.8516,1500000,93775000,1500000,79,,,2,14.22097566607244,14.22097566607244,14.22097566607244
LAD,6.5,2014,4,1,54,2916,10,100,5,11,33,Los Angeles Dodgers,WSH,California,0,0,32,161,1024,Dan Haren,0.432,0.18662399999999998,25,215,28,0.185,0.034225,0.198,0.039204,SP,0.577639751552795,5,25,UFA,11000000,10000000,11000000,36.33,1319.8689,10000000,61150000,10000000,93,-0.53,0.28090000000000004,6,16.213405830762646,16.11809565095832,16.213405830762646
