Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Equipo_anterior,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
LAD,6.1,2019,11,5,580,336400,168,28224,5,7,33,Los Angeles Dodgers,ARI,California,37,1369,172,162,29584,A.J. Pollock,0.888,0.788544,25,210,35,0.29,0.0841,0.775,0.6006250000000001,LF,0.654320987654321,103,10609,UFA,18000000,15000000,18000000,132.72,17614.5984,60000000,160320500,12000000,106,3.68,13.5424,7,16.70588231586044,16.523560759066484,16.70588231586044
ATL,6.1,2021,11,1,703,494209,162,26244,1,6,32,Atlanta Braves,ATL,Georgia,54,2916,204,161,41616,Adam Duvall,0.789,0.6225210000000001,18,215,27,0.23,0.0529,0.923,0.851929,RF,0.546583850931677,146,21316,UFA,2000000,2000000,698945,126.8,16078.24,5000000,94240000,5000000,88,2.78,7.728399999999999,4,14.508657738524219,14.508657738524219,13.457327334286163
STL,6.7,2021,11,1,57,3249,7,49,2,2,39,St. Louis Cardinals,STL,Missouri,0,0,34,161,1156,Adam Wainwright,0.325,0.10562500000000001,23,230,31,0.123,0.015129,0.21,0.04409999999999999,SP,0.5527950310559007,4,16,UFA,8000000,8000000,8000000,91.64,8397.8896,8000000,17000000,8000000,89,3.52,12.3904,11,15.89495209964411,15.89495209964411,15.89495209964411
LAD,6.3,2012,11,10,427,182329,99,9801,5,7,40,Los Angeles Dodgers,STL,California,23,529,148,162,21904,Albert Pujols,0.698,0.4872039999999999,25,235,35,0.232,0.053824000000000004,0.667,0.44488900000000003,1B,0.654320987654321,75,5625,UFA,570500,570500,426313,21.82,476.11240000000004,240000000,160320500,24000000,106,-0.96,0.9216,7,13.254268448284268,13.254268448284268,12.962929097244944
LAD,6.3,2021,11,1,427,182329,99,9801,5,7,40,Los Angeles Dodgers,LAA,California,23,529,148,162,21904,Albert Pujols,0.698,0.4872039999999999,25,235,35,0.232,0.053824000000000004,0.667,0.44488900000000003,1B,0.654320987654321,75,5625,UFA,570500,570500,426313,21.82,476.11240000000004,570500,160320500,570500,106,-0.96,0.9216,7,13.254268448284268,13.254268448284268,12.962929097244944
LAA,6.3,2018,11,4,1,1,0,0,5,6,33,Los Angeles Angels,TB,California,0,0,18,162,324,Alex Cobb,0.0,0.0,1,205,10,0.0,0.0,0.111,0.012321,SP,0.4753086419753086,0,0,UFA,15000000,15000000,5000000,57.06,3255.8436,57000000,12625000,14250000,77,1.73,2.9929,1,16.523560759066484,16.523560759066484,15.424948470398375
SF,6.4,2021,11,1,38,1444,0,0,5,8,30,San Francisco Giants,LAD,California,0,0,26,163,676,Alex Wood,0.116,0.013456000000000001,23,215,27,0.0,0.0,0.161,0.025921000000000003,SP,0.6625766871165644,0,0,UFA,5000000,3000000,5000000,68.14,4643.0596000000005,3000000,36200000,3000000,108,1.54,2.3716,8,15.424948470398375,14.914122846632385,15.424948470398375
MIN,6.2,2021,11,1,530,280900,127,16129,1,6,31,Minnesota Twins,LAA,Minnesota,3,9,161,163,25921,Andrelton Simmons,0.59,0.34809999999999997,6,195,17,0.24,0.0576,0.725,0.525625,SS,0.4478527607361963,41,1681,UFA,10500000,10500000,10500000,3.21,10.3041,10500000,41750000,10500000,73,1.7,2.8899999999999997,3,16.166885815127753,16.166885815127753,16.166885815127753
SF,6.1,2021,11,1,51,2601,2,4,5,8,31,San Francisco Giants,CIN,California,0,0,34,163,1156,Anthony DeSclafani,0.168,0.028224000000000003,23,195,27,0.039,0.001521,0.21,0.04409999999999999,SP,0.6625766871165644,1,1,UFA,6125000,6000000,6125000,88.38,7811.024399999999,6000000,36200000,6000000,108,4.08,16.6464,8,15.627889314395064,15.60727002719233,15.627889314395064
PHI,6.4,2021,11,1,1,1,0,0,2,6,28,Philadelphia Phillies,CIN,Pennsylvania,0,0,53,162,2809,Archie Bradley,0.0,0.0,7,215,14,0.0,0.0,0.327,0.10692900000000001,RP,0.5061728395061729,0,0,UFA,6000000,6000000,6000000,18.34,336.3556,6000000,158800000,6000000,82,0.7,0.48999999999999994,2,15.60727002719233,15.60727002719233,15.60727002719233
CIN,6.0,2021,11,1,499,249001,117,13689,2,1,34,Cincinnati Reds,WSH,Ohio,15,225,162,163,26244,Asdrubal Cabrera,0.709,0.5026809999999999,10,235,16,0.235,0.055224999999999996,0.73,0.5328999999999999,3B,0.50920245398773,73,5329,UFA,1750000,1750000,348133,70.1,4914.009999999999,1750000,1500000,1750000,83,1.04,1.0816000000000001,5,14.375126345899696,14.375126345899696,12.76033986965099
CHC,6.1,2021,11,1,190,36100,44,1936,2,10,31,Chicago Cubs,DET,Illinois,3,9,65,162,4225,Austin Romine,0.57,0.32489999999999997,17,220,21,0.232,0.053824000000000004,0.296,0.08761599999999999,C,0.4382716049382716,22,484,UFA,2000000,1500000,2000000,9.22,85.00840000000001,1500000,24500000,1500000,71,-0.66,0.43560000000000004,3,14.508657738524219,14.22097566607244,14.508657738524219
MIL,6.4,2020,11,2,642,412164,164,26896,1,4,30,Milwaukee Brewers,TB,Wisconsin,31,961,188,162,35344,Avisail Garcia,0.775,0.6006250000000001,1,250,8,0.256,0.065536,0.847,0.717409,RF,0.5864197530864198,101,10201,UFA,10750000,10500000,10750000,76.35,5829.322499999999,20000000,45400000,10000000,95,2.44,5.9536,0,16.190416312537945,16.166885815127753,16.190416312537945
PHI,6.2,2021,11,1,473,223729,108,11664,2,6,31,Philadelphia Phillies,PHI,Pennsylvania,27,729,188,162,35344,Brad Miller,0.785,0.616225,7,195,14,0.228,0.051984,0.855,0.7310249999999999,2B,0.5061728395061729,74,5476,UFA,3500000,3500000,3500000,99.23,9846.592900000001,3500000,158800000,3500000,82,1.08,1.1664,2,15.068273526459642,15.068273526459642,15.068273526459642
MIL,6.4,2021,11,1,28,784,0,0,1,4,33,Milwaukee Brewers,MIL,Wisconsin,0,0,24,162,576,Brett Anderson,0.125,0.015625,1,230,8,0.0,0.0,0.148,0.021903999999999996,SP,0.5864197530864198,1,1,UFA,2500000,2500000,2500000,32.03,1025.9209,2500000,45400000,2500000,95,0.11,0.0121,0,14.73180128983843,14.73180128983843,14.73180128983843
PHI,6.3,2019,11,13,678,459684,202,40804,2,6,28,Philadelphia Phillies,WSH,Pennsylvania,48,2304,199,162,39601,Bryce Harper,1.021,1.0424409999999997,7,220,14,0.298,0.088804,0.896,0.8028160000000001,RF,0.5061728395061729,117,13689,UFA,28038462,26000000,28038462,181.24,32847.937600000005,330000000,158800000,25384615,82,7.52,56.550399999999996,2,17.149087768412354,17.073607095985757,17.149087768412354
