Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2,WAR_2,TVS_2
Robinson Cano,2014,UFA,NYY,10,240000000,24000000,Seattle Mariners,8,267800000,SEA,86,161,4,0,0,0.5341614906832298,2B,157,0.969,595,187,14,82,0.314,0.836,6.34,65.45,31,210,6.0,24000000,24050000,24050000,24649,0.9389609999999999,354025,34969,196,6724,0.098596,0.698896,40.1956,4283.7025
Jacoby Ellsbury,2014,UFA,BOS,7,153000000,21857143,New York Yankees,9,311500000,NYY,84,162,50,40,27,0.5185185185185185,CF,149,0.92,575,156,16,70,0.271,0.747,3.55,46.39,30,195,6.1,21142857,21142857,21142857,22201,0.8464,330625,24336,256,4900,0.073441,0.558009,12.6025,2152.0321
Shin-Soo Choo,2014,UFA,CIN,7,130000000,18571429,Texas Rangers,7,136050000,TEX,67,162,6,2,0,0.4135802469135802,RF,123,0.759,455,110,13,40,0.242,0.714,-0.01,11.49,31,210,0.0,14000000,14000000,14000000,15129,0.5760810000000001,207025,12100,169,1600,0.058564,0.5097959999999999,0.0001,132.0201
Brian McCann,2014,UFA,ATL,5,85000000,17000000,New York Yankees,9,311500000,NYY,84,162,50,40,27,0.5185185185185185,C,140,0.864,495,115,23,75,0.232,0.692,1.79,14.53,30,225,6.3,17000000,17000000,17000000,19600,0.7464959999999999,245025,13225,529,5625,0.053824000000000004,0.47886399999999996,3.2041,211.12089999999998
Curtis Granderson,2014,UFA,NYY,4,60000000,15000000,New York Mets,10,93775000,NYM,79,162,8,5,2,0.4876543209876543,RF,155,0.957,564,128,20,66,0.227,0.714,1.19,27.23,33,200,6.1,13000000,13000000,13000000,24025,0.9158489999999999,318096,16384,400,4356,0.051529000000000005,0.5097959999999999,1.4161,741.4729
Jhonny Peralta,2014,UFA,DET,4,53000000,13250000,St. Louis Cardinals,5,59750000,STL,89,161,27,23,11,0.5527950310559007,3B,157,0.969,560,147,21,75,0.263,0.779,5.94,69.21,32,229,6.2,15500000,15500000,15500000,24649,0.9389609999999999,313600,21609,441,5625,0.06916900000000001,0.6068410000000001,35.28360000000001,4790.024099999999
Matt Garza,2014,UFA,TEX,4,50000000,12500000,Milwaukee Brewers,7,57600000,MIL,82,162,4,1,0,0.5061728395061729,SP,27,0.167,49,3,0,0,0.061,0.162,1.23,35.38,30,215,6.4,12500000,12500000,12500000,729,0.027889000000000004,2401,9,0,0,0.003721,0.026244,1.5129,1251.7444000000003
Ricky Nolasco,2014,UFA,LAD,4,49000000,12250000,Minnesota Twins,7,97290983,MIN,70,162,14,6,3,0.4320987654320987,SP,27,0.167,2,0,0,0,0.0,0.0,0.24,7.18,31,215,6.2,12000000,12000000,12000000,729,0.027889000000000004,4,0,0,0,0.0,0.0,0.0576,51.5524
Carlos Beltran,2014,UFA,STL,3,45000000,15000000,New York Yankees,9,311500000,NYY,84,162,50,40,27,0.5185185185185185,DH,109,0.673,403,94,15,49,0.233,0.703,-0.23,13.52,37,213,6.1,15000000,15000000,15000000,11881,0.4529290000000001,162409,8836,225,2401,0.054289000000000004,0.49420899999999995,0.0529,182.79039999999998
Mike Napoli,2014,UFA,BOS,2,32000000,16000000,Boston Red Sox,9,56433443,BOS,71,162,21,13,8,0.4382716049382716,1B,119,0.735,415,103,17,55,0.248,0.789,3.25,55.58,32,225,6.1,16000000,16000000,16000000,14161,0.540225,172225,10609,289,3025,0.061503999999999996,0.6225210000000001,10.5625,3089.1364
