Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2,WAR_2,TVS_2
Albert Pujols,2012,UFA,STL,10,240000000,24000000,Los Angeles Angels,4,321150000,LAA,89,162,10,1,1,0.5493827160493827,DH,154,0.951,607,173,30,105,0.285,0.859,4.81,48.33,32,235,6.3,12000000,12000000,12000000,23716,0.9044009999999999,368449,29929,900,11025,0.08122499999999999,0.737881,23.136099999999995,2335.7889
Jose Reyes,2012,UFA,NYM,6,106000000,17666667,Miami Marlins,6,203300000,MIA,69,162,2,2,2,0.4259259259259259,3B,160,0.988,642,184,11,57,0.287,0.78,2.96,40.77,29,195,0.0,10000000,10000000,10000000,25600,0.976144,412164,33856,121,3249,0.08236899999999998,0.6084,8.7616,1662.1929000000002
C.J. Wilson,2012,UFA,TEX,5,77500000,15500000,Los Angeles Angels,4,321150000,LAA,89,162,10,1,1,0.5493827160493827,SP,34,0.21,5,0,0,0,0.0,0.167,0.98,15.78,31,210,6.1,10000000,10550000,10550000,1156,0.04409999999999999,25,0,0,0,0.0,0.027889000000000004,0.9603999999999999,249.00839999999997
Mark Buehrle,2012,UFA,CHW,4,58000000,14500000,Miami Marlins,6,203300000,MIA,69,162,2,2,2,0.4259259259259259,SP,31,0.191,67,3,0,1,0.045,0.104,4.22,58.05,33,195,6.2,6000000,7000000,7000000,961,0.036481,4489,9,0,1,0.002025,0.010816,17.8084,3369.8025
Aramis Ramirez,2012,UFA,CHC,3,36000000,12000000,Milwaukee Brewers,3,40250000,MIL,83,162,4,1,0,0.5123456790123457,3B,149,0.92,570,171,27,105,0.3,0.901,5.58,89.82,34,215,6.1,6000000,6000000,6000000,22201,0.8464,324900,29241,729,11025,0.09,0.811801,31.136400000000002,8067.632399999999
Michael Cuddyer,2012,UFA,MIN,3,31500000,10500000,Colorado Rockies,4,39900000,COL,64,162,3,1,0,0.3950617283950617,LF,101,0.624,358,93,16,58,0.26,0.806,0.62,36.45,33,228,6.2,10500000,10500000,10500000,10201,0.389376,128164,8649,256,3364,0.06760000000000001,0.6496360000000001,0.3844,1328.6025000000002
Carlos Beltran,2012,UFA,SF,2,26000000,13000000,St. Louis Cardinals,5,40850000,STL,88,162,26,23,11,0.5432098765432098,DH,151,0.932,547,147,32,97,0.269,0.842,3.91,69.25,35,213,6.1,13000000,13050000,13050000,22801,0.8686240000000001,299209,21609,1024,9409,0.07236100000000001,0.7089639999999999,15.288100000000002,4795.5625
Josh Willingham,2012,UFA,OAK,3,21000000,7000000,Minnesota Twins,4,32750000,MIN,66,162,14,6,3,0.4074074074074074,LF,145,0.895,519,135,35,110,0.26,0.89,3.32,89.09,33,0,0.0,7000000,7000000,7000000,21025,0.801025,269361,18225,1225,12100,0.06760000000000001,0.7921,11.0224,7937.0281
Aaron Harang,2012,UFA,SD,2,12000000,6000000,Los Angeles Dodgers,9,44651311,LAD,86,162,26,25,6,0.5308641975308642,SP,31,0.191,56,4,0,2,0.071,0.161,1.84,48.48,34,260,6.7,3000000,3000000,3000000,961,0.036481,3136,16,0,4,0.0050409999999999995,0.025921000000000003,3.3856,2350.3104
Edwin Jackson,2012,UFA,STL,1,11000000,11000000,Washington Nationals,6,18650000,WSH,98,162,2,1,0,0.6049382716049383,SP,34,0.21,57,13,0,0,0.228,0.495,2.13,35.24,28,210,0.0,11000000,11000000,11000000,1156,0.04409999999999999,3249,169,0,0,0.051984,0.245025,4.536899999999999,1241.8576
Clint Barmes,2012,UFA,HOU,2,10500000,5250000,Pittsburgh Pirates,3,14500000,PIT,79,162,14,9,5,0.4876543209876543,SS,144,0.889,455,104,8,45,0.229,0.593,1.19,4.16,33,190,6.1,5000000,5000000,5000000,20736,0.790321,207025,10816,64,2025,0.052441,0.351649,1.4161,17.305600000000002
Chris Capuano,2012,UFA,NYM,2,10000000,5000000,Los Angeles Dodgers,9,44651311,LAD,86,162,26,25,6,0.5308641975308642,RP,34,0.21,54,5,0,3,0.093,0.237,2.29,0.0,33,225,6.2,3000000,3375000,3375000,1156,0.04409999999999999,2916,25,0,9,0.008649,0.056169,5.2441,0.0
Mark Ellis,2012,UFA,COL,2,8750000,4375000,Los Angeles Dodgers,9,44651311,LAD,86,162,26,25,6,0.5308641975308642,2B,110,0.679,415,107,7,31,0.258,0.697,2.58,38.36,35,0,0.0,2500000,2500000,2500000,12100,0.4610410000000001,172225,11449,49,961,0.066564,0.48580899999999994,6.6564000000000005,1471.4895999999999
Carlos Pena,2012,UFA,CHC,1,7250000,7250000,Tampa Bay Rays,4,15950000,TB,90,162,3,1,0,0.5555555555555556,1B,160,0.988,497,98,19,61,0.197,0.684,0.62,18.81,34,0,0.0,7250000,7250000,7250000,25600,0.976144,247009,9604,361,3721,0.038809,0.46785600000000005,0.3844,353.81609999999995
Alex Gonzalez,2012,UFA,ATL,1,4250000,4250000,Milwaukee Brewers,3,40250000,MIL,83,162,4,1,0,0.5123456790123457,SS,24,0.148,81,21,4,15,0.259,0.783,0.18,0.0,35,0,0.0,3500000,3500000,3500000,576,0.021903999999999996,6561,441,16,225,0.067081,0.613089,0.0324,0.0
Chien-Ming Wang,2012,UFA,WSH,1,4000000,4000000,Washington Nationals,6,18650000,WSH,98,162,2,1,0,0.6049382716049383,RP,10,0.062,6,1,0,0,0.167,0.619,,0.0,32,225,6.4,4000000,4000000,4000000,100,0.0038439999999999998,36,1,0,0,0.027889000000000004,0.383161,,0.0
Ryan Ludwick,2012,UFA,PIT,1,3000000,3000000,Cincinnati Reds,4,5100000,CIN,97,162,14,10,5,0.5987654320987654,LF,125,0.772,422,116,26,80,0.275,0.877,2.26,76.74,33,214,6.2,2000000,2450000,2450000,15625,0.5959840000000001,178084,13456,676,6400,0.07562500000000001,0.769129,5.107599999999999,5889.027599999999
Greg Dobbs,2012,UFA,MIA,2,3000000,1500000,Miami Marlins,6,203300000,MIA,69,162,2,2,2,0.4259259259259259,1B,120,0.741,319,91,5,39,0.285,0.698,-2.01,4.57,33,0,0.0,1400000,1400000,1400000,14400,0.549081,101761,8281,25,1521,0.08122499999999999,0.4872039999999999,4.040099999999999,20.884900000000002
Jose Molina,2012,UFA,TOR,1,1800000,1800000,Tampa Bay Rays,4,15950000,TB,90,162,3,1,0,0.5555555555555556,C,102,0.63,251,56,8,32,0.223,0.64,1.07,10.7,37,0,0.0,1500000,1500000,1500000,10404,0.39690000000000003,63001,3136,64,1024,0.049729,0.4096,1.1449,114.48999999999998
Ronny Cedeno,2012,UFA,PIT,1,1150000,1150000,New York Mets,7,20400000,NYM,74,162,8,5,2,0.4567901234567901,SS,78,0.482,166,43,4,22,0.259,0.741,0.37,0.0,29,195,6.0,1150000,1150000,1150000,6084,0.23232399999999997,27556,1849,16,484,0.067081,0.549081,0.1369,0.0
Raul Ibanez,2012,UFA,PHI,1,1100000,1100000,New York Yankees,9,9100000,NYY,95,162,50,40,27,0.5864197530864198,DH,130,0.803,384,92,19,62,0.24,0.761,0.45,36.51,40,225,6.2,1100000,1100000,1100000,16900,0.6448090000000001,147456,8464,361,3844,0.0576,0.579121,0.2025,1332.9800999999998
Scott Hairston,2012,UFA,NYM,1,1100000,1100000,New York Mets,7,20400000,NYM,74,162,8,5,2,0.4567901234567901,RF,134,0.827,377,99,20,57,0.263,0.803,,36.96,32,204,6.0,1100000,1100000,1100000,17956,0.6839289999999999,142129,9801,400,3249,0.06916900000000001,0.6448090000000001,,1366.0416
Jonny Gomes,2012,UFA,WSH,1,1000000,1000000,Oakland Athletics,3,15414066,OAK,94,162,24,15,9,0.5802469135802469,LF,99,0.611,279,73,18,47,0.262,0.868,1.82,77.08,31,205,6.1,1000000,1000000,1000000,9801,0.37332099999999996,77841,5329,324,2209,0.06864400000000001,0.753424,3.3124000000000002,5941.3264
Dan Johnson,2012,UFA,TB,1,900000,900000,Chicago White Sox,1,900000,CHW,85,162,9,6,3,0.5246913580246914,1B,14,0.086,22,8,3,6,0.364,1.367,,0.0,32,0,0.0,900000,900000,162295,196,0.007395999999999999,484,64,9,36,0.132496,1.868689,,0.0
Jamey Wright,2012,UFA,SEA,1,900000,900000,Los Angeles Dodgers,9,44651311,LAD,86,162,26,25,6,0.5308641975308642,RP,66,0.407,2,0,0,0,0.0,0.0,0.08,46.87,37,240,6.6,900000,900000,900000,4356,0.165649,4,0,0,0,0.0,0.0,0.0064,2196.7969
Eric Chavez,2012,UFA,NYY,1,900000,900000,New York Yankees,9,9100000,NYY,95,162,50,40,27,0.5864197530864198,3B,113,0.698,278,78,16,37,0.281,0.845,,37.0,34,208,0.0,900000,1800000,1800000,12769,0.4872039999999999,77284,6084,256,1369,0.07896100000000002,0.7140249999999999,,1369.0
Zach Duke,2012,UFA,ARI,1,900000,900000,Washington Nationals,6,18650000,WSH,98,162,2,1,0,0.6049382716049383,RP,8,0.049,1,0,0,0,0.0,0.0,0.45,0.0,29,210,6.2,900000,900000,167213,64,0.0024010000000000004,1,0,0,0,0.0,0.0,0.2025,0.0
Chris Young,2012,UFA,NYM,1,900000,900000,New York Mets,7,20400000,NYM,74,162,8,5,2,0.4567901234567901,RF,101,0.624,325,75,14,41,0.231,0.745,1.92,38.78,28,200,6.2,900000,900000,545901,10201,0.389376,105625,5625,196,1681,0.053361000000000006,0.555025,3.6864,1503.8884
Chris Young,2012,UFA,NYM,1,900000,900000,Arizona Diamondbacks,4,17750000,ARI,81,162,5,1,1,0.5,RF,101,0.624,325,75,14,41,0.231,0.745,1.92,38.78,28,200,6.2,7000000,7200000,7200000,10201,0.389376,105625,5625,196,1681,0.053361000000000006,0.555025,3.6864,1503.8884
Dioner Navarro,2012,UFA,LAD,1,800000,800000,Cincinnati Reds,4,5100000,CIN,97,162,14,10,5,0.5987654320987654,C,24,0.148,69,20,2,12,0.29,0.755,0.25,0.0,28,215,5.9,800000,800000,800000,576,0.021903999999999996,4761,400,4,144,0.0841,0.570025,0.0625,0.0
Xavier Nady,2012,UFA,ARI,1,700000,700000,San Francisco Giants,3,4800000,SF,94,162,23,23,7,0.5802469135802469,1B,59,0.364,152,28,4,13,0.184,0.569,,0.0,33,0,0.0,700000,700000,126229,3481,0.132496,23104,784,16,169,0.033856,0.32376099999999997,,0.0
