Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2,WAR_2,TVS_2
Zack Greinke,2013,UFA,LAA,6,147000000,24500000,Los Angeles Dodgers,7,150850000,LAD,92,162,27,25,6,0.5679012345679012,SP,29,0.179,58,19,0,4,0.328,0.788,4.21,59.84,29,200,6.2,17000000,19000000,19000000,841,0.032041,3364,361,0,16,0.10758400000000001,0.620944,17.7241,3580.8256000000006
Josh Hamilton,2013,UFA,TEX,5,125000000,25000000,Los Angeles Angels,8,153500000,LAA,78,162,10,1,1,0.4814814814814814,LF,151,0.932,576,144,21,79,0.25,0.739,1.4,7.11,32,240,6.4,15000000,17400000,17400000,22801,0.8686240000000001,331776,20736,441,6241,0.0625,0.546121,1.9599999999999997,50.5521
Anibal Sanchez,2013,UFA,DET,5,80000000,16000000,Detroit Tigers,4,107775000,DET,93,162,15,11,4,0.5740740740740741,RP,29,0.179,4,0,0,0,0.0,0.2,6.02,80.8,29,205,6.0,8000000,8800000,8800000,841,0.032041,16,0,0,0,0.0,0.04000000000000001,36.240399999999994,6528.639999999999
Melvin Upton,2013,UFA,TB,5,72500000,14500000,Atlanta Braves,3,77250000,ATL,96,162,23,18,3,0.5925925925925926,LF,126,0.778,391,72,9,26,0.184,0.557,-1.73,0.71,28,185,6.3,12450000,13050000,13050000,15876,0.605284,152881,5184,81,676,0.033856,0.31024900000000005,2.9929,0.5041
Edwin Jackson,2013,UFA,WSH,4,52000000,13000000,Chicago Cubs,10,73850000,CHC,66,162,16,17,2,0.4074074074074074,SP,31,0.191,52,4,1,4,0.077,0.265,-1.35,10.52,29,210,0.0,11000000,13000000,13000000,961,0.036481,2704,16,1,16,0.005929,0.07022500000000001,1.8225000000000002,110.67039999999999
Angel Pagan,2013,UFA,SF,4,40000000,10000000,San Francisco Giants,6,80750000,SF,76,162,23,23,7,0.4691358024691358,LF,71,0.438,280,79,5,30,0.282,0.749,0.86,0.0,31,202,6.2,7000000,8250000,8250000,5041,0.191844,78400,6241,25,900,0.07952399999999998,0.561001,0.7395999999999999,0.0
Shane Victorino,2013,UFA,LAD,3,39000000,13000000,Boston Red Sox,10,130700000,BOS,97,162,21,13,8,0.5987654320987654,RF,122,0.753,477,139,15,61,0.291,0.795,6.09,80.81,32,160,5.9,13000000,13000000,13000000,14884,0.567009,227529,19321,225,3721,0.08468099999999999,0.6320250000000001,37.0881,6530.2561000000005
Kyle Lohse,2013,UFA,STL,3,33000000,11000000,Milwaukee Brewers,7,43300000,MIL,74,162,4,1,0,0.4567901234567901,SP,33,0.204,55,8,0,3,0.146,0.306,2.93,48.74,34,214,6.2,4000000,4350000,4350000,1089,0.04161599999999999,3025,64,0,9,0.021315999999999998,0.093636,8.584900000000001,2375.5876000000003
David Ortiz,2013,UFA,BOS,2,29000000,14500000,Boston Red Sox,10,130700000,BOS,97,162,21,13,8,0.5987654320987654,DH,137,0.846,518,160,30,103,0.309,0.959,4.37,91.86,37,230,6.3,14000000,14550000,14550000,18769,0.7157159999999999,268324,25600,900,10609,0.095481,0.919681,19.0969,8438.2596
Torii Hunter,2013,UFA,LAA,2,26000000,13000000,Detroit Tigers,4,107775000,DET,93,162,15,11,4,0.5740740740740741,RF,144,0.889,606,184,17,84,0.304,0.8,2.22,45.26,37,205,6.2,12000000,12000000,12000000,20736,0.790321,367236,33856,289,7056,0.092416,0.6400000000000001,4.928400000000001,2048.4676
Jeremy Guthrie,2013,UFA,KC,3,25000000,8333333,Kansas City Royals,5,26100000,KC,86,162,7,2,1,0.5308641975308642,SP,33,0.204,4,1,0,0,0.25,0.5,1.22,30.71,34,205,6.1,5000000,5000000,5000000,1089,0.04161599999999999,16,1,0,0,0.0625,0.25,1.4884,943.1041
Adam LaRoche,2013,UFA,WSH,2,24000000,12000000,Washington Nationals,11,67000000,WSH,86,162,2,1,0,0.5308641975308642,DH,152,0.938,511,121,20,62,0.237,0.735,0.83,22.89,33,205,6.2,10000000,10000000,10000000,23104,0.8798439999999998,261121,14641,400,3844,0.056169,0.540225,0.6889,523.9521
