Acronimo,Altura,Anio,Anios_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Equipo_anterior,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas
PHI,6.3,2018,2,1,1,0,0,2,4,31,Philadelphia Phillies,TB,Pennsylvania,0,0,65,162,4225,Tommy Hunter,0.0,0.0,7,250,14,0.0,0.0,0.401,0.16080100000000003,RP,0.4938271604938271,0,0,UFA,9000000,9000000,9000000,24.06,578.8835999999999,18000000,169200000,9000000,80,1.53,2.3409,2
NYM,6.3,2018,2,408,166464,87,7569,2,8,32,New York Mets,NYY,New York,18,324,115,162,13225,Todd Frazier,0.695,0.4830249999999999,5,220,9,0.213,0.045369,0.71,0.5041,3B,0.4753086419753086,59,3481,UFA,8000000,8000000,8000000,40.25,1620.0625,17000000,89635000,8500000,77,2.47,6.100900000000001,2
BAL,6.6,2018,2,3,9,0,0,1,2,31,Baltimore Orioles,TEX,Maryland,0,0,30,162,900,Andrew Cashner,0.0,0.0,7,235,14,0.0,0.0,0.185,0.034225,SP,0.2901234567901234,0,0,UFA,9500000,5000000,9500000,10.48,109.83040000000001,16000000,73000000,8000000,47,0.61,0.3721,3
NYM,6.0,2018,2,27,729,4,16,2,8,35,New York Mets,KC,New York,0,0,21,162,441,Jason Vargas,0.327,0.10692900000000001,5,215,9,0.148,0.021903999999999996,0.13,0.016900000000000002,SP,0.4753086419753086,0,0,UFA,6000000,6000000,6000000,12.44,154.75359999999998,16000000,89635000,8000000,77,-0.31,0.0961,2
MIL,6.3,2018,2,56,3136,9,81,1,5,30,Milwaukee Brewers,SD,Wisconsin,0,0,36,163,1296,Jhoulys Chacin,0.382,0.145924,1,215,5,0.161,0.025921000000000003,0.221,0.048841,SP,0.588957055214724,1,1,UFA,8750000,8000000,8750000,70.03,4904.2009,15500000,103750000,7750000,96,1.98,3.9204,0
CHC,6.6,2018,2,6,36,1,1,2,7,32,Chicago Cubs,SEA,Illinois,0,0,81,163,6561,Steve Cishek,0.333,0.11088900000000002,17,215,20,0.167,0.027889000000000004,0.497,0.247009,RP,0.5828220858895705,0,0,UFA,7500000,6500000,7500000,62.36,3888.7696,13000000,215545000,6500000,95,2.28,5.1983999999999995,3
BOS,6.3,2018,2,404,163216,99,9801,1,3,32,Boston Red Sox,BOS,Massachusetts,15,225,125,162,15625,Mitch Moreland,0.758,0.574564,14,245,24,0.245,0.060024999999999995,0.772,0.5959840000000001,1B,0.6666666666666666,68,4624,UFA,6500000,6500000,6500000,39.38,1550.7844000000002,13000000,131000000,6500000,108,0.94,0.8835999999999999,9
NYY,6.5,2018,1,4,16,0,0,2,2,31,New York Yankees,STL,New York,0,0,31,162,961,Lance Lynn,0.0,0.0,40,270,54,0.0,0.0,0.191,0.036481,SP,0.6172839506172839,0,0,UFA,12000000,12000000,1999996,20.31,412.49609999999996,12000000,14000000,12000000,100,0.33,0.10890000000000001,27
CHC,6.2,2018,1,4,16,0,0,2,7,31,Chicago Cubs,NYY,Illinois,0,0,33,163,1089,Jaime Garcia,0.0,0.0,17,215,20,0.0,0.0,0.203,0.041209,RP,0.5828220858895705,0,0,UFA,545000,545000,79110,0.0,0.0,10000000,215545000,10000000,95,-0.49,0.24009999999999998,3
COL,0.0,2018,2,299,89401,67,4489,1,5,35,Colorado Rockies,ARI,Colorado,11,121,110,163,12100,Chris Iannetta,0.73,0.5328999999999999,1,230,5,0.224,0.050176000000000005,0.675,0.45562500000000006,C,0.558282208588957,36,1296,UFA,3600000,3450000,3600000,23.43,548.9649,8500000,122500000,4250000,91,-0.41,0.16809999999999997,0
COL,0.0,2018,1,463,214369,128,16384,1,5,32,Colorado Rockies,COL,Colorado,16,256,133,163,17689,Carlos Gonzalez,0.796,0.6336160000000001,1,220,5,0.277,0.07672900000000002,0.816,0.6658559999999999,RF,0.558282208588957,64,4096,UFA,8000000,5000000,8000000,38.12,1453.1344,8000000,122500000,8000000,91,0.37,0.1369,0
BOS,0.0,2018,2,480,230400,127,16129,1,3,31,Boston Red Sox,BOS,Massachusetts,10,100,127,162,16129,Eduardo Nunez,0.677,0.45832900000000004,14,195,24,0.265,0.07022500000000001,0.784,0.6146560000000001,2B,0.6666666666666666,44,1936,UFA,4000000,4000000,4000000,13.98,195.4404,8000000,131000000,4000000,108,-1.12,1.2544000000000002,9
ARI,5.9,2018,2,206,42436,39,1521,1,2,33,Arizona Diamondbacks,SEA,Arizona,2,4,67,162,4489,Jarrod Dyson,0.539,0.29052100000000003,1,165,6,0.189,0.035721,0.414,0.171396,RF,0.5061728395061729,12,144,UFA,3750000,3500000,3750000,0.0,0.0,7500000,15750000,3750000,82,0.12,0.0144,1
WSH,0.0,2018,2,152,23104,46,2116,1,5,34,Washington Nationals,WSH,Washington DC,4,16,40,162,1600,Howie Kendrick,0.805,0.6480250000000001,1,220,5,0.303,0.091809,0.247,0.061009,LF,0.5061728395061729,12,144,UFA,3000000,3000000,3000000,0.0,0.0,7000000,23300000,3500000,82,-0.22,0.0484,0
CHC,6.0,2018,2,1,1,0,0,2,7,35,Chicago Cubs,CHC,Illinois,0,0,49,163,2401,Brian Duensing,0.5,0.25,17,200,20,0.0,0.0,0.301,0.09060099999999999,RP,0.5828220858895705,0,0,UFA,3500000,3500000,3500000,0.7,0.48999999999999994,7000000,215545000,3500000,95,-1.52,2.3104,3
MIN,6.3,2018,1,318,101124,59,3481,1,6,30,Minnesota Twins,TB,Minnesota,15,225,95,162,9025,Logan Morrison,0.644,0.41473600000000005,6,245,15,0.186,0.034596,0.586,0.343396,DH,0.4814814814814814,39,1521,UFA,5500000,5500000,5500000,0.0,0.0,6500000,52250000,6500000,78,-0.31,0.0961,3
OAK,6.0,2018,1,415,172225,100,10000,5,3,32,Oakland Athletics,COL,California,4,16,126,162,15876,Jonathan Lucroy,0.617,0.380689,15,200,27,0.241,0.058080999999999994,0.778,0.605284,C,0.5987654320987654,51,2601,UFA,6500000,6500000,6500000,5.94,35.28360000000001,6500000,18000000,6500000,97,-0.69,0.4760999999999999,9
MIL,6.0,2018,1,573,328329,144,20736,1,5,29,Milwaukee Brewers,KC,Wisconsin,28,784,153,163,23409,Mike Moustakas,0.774,0.599076,1,225,5,0.251,0.063001,0.939,0.8817209999999999,3B,0.588957055214724,95,9025,UFA,7700000,5500000,1922050,56.33,3173.0688999999998,6500000,103750000,6500000,96,2.12,4.494400000000001,0
CIN,0.0,2018,2,1,1,0,0,2,3,33,Cincinnati Reds,ARI,Ohio,0,0,57,162,3249,David Hernandez,0.0,0.0,10,245,15,0.0,0.0,0.352,0.12390399999999999,RP,0.4135802469135802,0,0,UFA,2800000,2500000,2800000,75.49,5698.740099999999,5000000,10250000,2500000,67,1.78,3.1684,5
MIL,6.1,2018,1,343,117649,83,6889,1,5,37,Milwaukee Brewers,LAD,Wisconsin,13,169,123,163,15129,Curtis Granderson,0.782,0.6115240000000001,1,200,5,0.242,0.058564,0.755,0.570025,RF,0.588957055214724,38,1444,UFA,5000000,5000000,833342,39.12,1530.3743999999997,5000000,103750000,5000000,96,0.6,0.36,0
STL,6.3,2018,1,306,93636,73,5329,2,3,29,St. Louis Cardinals,ATL,Missouri,21,441,121,162,14641,Matt Adams,0.786,0.617796,23,245,28,0.239,0.057121,0.747,0.558009,1B,0.5432098765432098,57,3249,UFA,4000000,4000000,881705,35.31,1246.7961000000003,4000000,28000000,4000000,88,1.37,1.8769000000000002,11
DET,6.3,2018,1,1,1,0,0,1,3,34,Detroit Tigers,HOU,Michigan,0,0,27,162,729,Francisco Liriano,0.0,0.0,11,218,16,0.0,0.0,0.167,0.027889000000000004,SP,0.3950617283950617,0,0,UFA,4000000,4000000,4000000,22.68,514.3824,4000000,11750000,4000000,64,0.0,0.0,4
NYY,0.0,2018,1,347,120409,76,5776,2,2,32,New York Yankees,MIL,New York,11,121,113,162,12769,Neil Walker,0.664,0.44089600000000007,40,210,54,0.219,0.047961,0.698,0.4872039999999999,2B,0.6172839506172839,46,2116,UFA,4000000,4000000,4000000,18.33,335.98889999999994,4000000,14000000,4000000,100,-0.14,0.019600000000000003,27
TB,6.3,2018,1,360,129600,75,5625,2,2,32,Tampa Bay Rays,TEX,Florida,9,81,118,162,13924,Carlos Gomez,0.634,0.40195600000000004,1,220,4,0.208,0.043264,0.728,0.529984,RF,0.5555555555555556,32,1024,UFA,4400000,4000000,4400000,20.15,406.0224999999999,4000000,6500000,4000000,90,0.61,0.3721,0
ATL,6.4,2018,1,328,107584,79,6241,1,4,32,Atlanta Braves,TB,Georgia,14,196,108,162,11664,Lucas Duda,0.731,0.534361,18,255,24,0.241,0.058080999999999994,0.667,0.44488900000000003,1B,0.5555555555555556,50,2500,UFA,3800000,3500000,301075,28.73,825.4129,3500000,2900000,3500000,90,0.49,0.24009999999999998,3
SEA,6.3,2018,1,342,116964,85,7225,1,3,31,Seattle Mariners,HOU,Washington,4,16,129,162,16641,Cameron Maybin,0.662,0.438244,0,215,4,0.249,0.062001,0.796,0.6336160000000001,CF,0.5493827160493827,28,784,UFA,3250000,3250000,1083326,19.65,386.12249999999995,3250000,17750000,3250000,89,1.28,1.6384,0
SF,6.0,2018,1,282,79524,68,4624,5,2,34,San Francisco Giants,SF,California,10,100,96,162,9216,Nick Hundley,0.706,0.49843599999999993,23,203,26,0.241,0.058080999999999994,0.593,0.351649,C,0.4506172839506173,31,961,UFA,2500000,2500000,2500000,0.0,0.0,2500000,11500000,2500000,73,-0.01,0.0001,8
KC,6.1,2018,1,485,235225,112,12544,2,6,31,Kansas City Royals,KC,Missouri,4,16,140,162,19600,Alcides Escobar,0.593,0.351649,4,185,9,0.231,0.053361000000000006,0.864,0.7464959999999999,SS,0.4938271604938271,34,1156,UFA,3775000,2500000,3775000,8.9,79.21000000000001,2500000,16775000,2500000,80,-2.16,4.6656,2
ATL,6.0,2018,1,41,1681,1,1,1,4,34,Atlanta Braves,DET,Georgia,0,0,25,162,625,Anibal Sanchez,0.072,0.005183999999999999,18,205,24,0.024,0.000576,0.154,0.023716,SP,0.5555555555555556,0,0,UFA,1000000,1000000,1000000,84.95,7216.5025000000005,2500000,2900000,2500000,90,3.01,9.060099999999998,3
LAD,6.1,2018,2,164,26896,35,1225,5,2,39,Los Angeles Dodgers,LAD,California,1,1,87,163,7569,Chase Utley,0.61,0.3721,25,195,32,0.213,0.045369,0.534,0.285156,2B,0.5644171779141104,14,196,UFA,1000000,1000000,1000000,0.0,0.0,2000000,4000000,1000000,92,-0.21,0.04409999999999999,6
LAA,6.2,2018,1,113,12769,19,361,5,3,34,Los Angeles Angels,BOS,California,6,36,59,162,3481,Chris Young,0.615,0.378225,1,200,10,0.168,0.028224000000000003,0.364,0.132496,RF,0.4938271604938271,13,169,UFA,2000000,2000000,2000000,0.0,0.0,2000000,42800000,2000000,80,-0.58,0.3364,1
NYM,0.0,2018,1,228,51984,43,1849,2,8,35,New York Mets,NYM,New York,4,16,110,162,12100,Jose Reyes,0.58,0.3364,5,195,9,0.189,0.035721,0.679,0.4610410000000001,3B,0.4753086419753086,16,256,UFA,2000000,2000000,2000000,4.53,20.5209,2000000,89635000,2000000,77,-0.8,0.6400000000000001,2
ARI,6.3,2018,1,31,961,2,4,1,2,33,Arizona Diamondbacks,PHI,Arizona,0,0,17,162,289,Clay Buchholz,0.191,0.036481,1,190,6,0.065,0.0042250000000000005,0.105,0.011024999999999998,SP,0.5061728395061729,1,1,UFA,1500000,1500000,1080645,93.12,8671.334400000002,1500000,15750000,1500000,82,3.15,9.9225,1
CHC,6.2,2018,1,1,1,0,0,2,7,34,Chicago Cubs,LAA,Illinois,0,0,63,163,3969,Jesse Chavez,0.0,0.0,17,175,20,0.0,0.0,0.387,0.149769,RP,0.5828220858895705,0,0,UFA,1500000,1000000,397824,83.9,7039.210000000001,1500000,215545000,1500000,95,1.17,1.3688999999999998,3
MIL,6.5,2018,1,15,225,0,0,1,5,27,Milwaukee Brewers,SD,Wisconsin,0,0,37,163,1369,Jordan Lyles,0.167,0.027889000000000004,1,230,5,0.0,0.0,0.227,0.051529000000000005,SP,0.588957055214724,1,1,UFA,750000,750000,229824,28.5,812.25,1000000,103750000,1000000,96,0.2,0.04000000000000001,0
TEX,6.2,2018,1,1,1,0,0,2,4,32,Texas Rangers,MIL,Texas,0,0,21,162,441,Yovani Gallardo,0.0,0.0,2,205,8,0.0,0.0,0.13,0.016900000000000002,SP,0.4135802469135802,0,0,UFA,2300000,2000000,1139785,11.95,142.80249999999998,750000,35000000,750000,67,-0.39,0.1521,0
ATL,6.3,2018,1,161,25921,35,1225,1,4,31,Atlanta Braves,PHI,Georgia,2,4,81,162,6561,Ryan Flaherty,0.59,0.34809999999999997,18,220,24,0.217,0.047089,0.5,0.25,3B,0.5555555555555556,13,169,UFA,750000,750000,750000,0.0,0.0,750000,2900000,750000,90,-0.97,0.9409,3
MIL,6.3,2018,1,3,9,2,4,1,5,31,Milwaukee Brewers,TB,Wisconsin,0,0,73,163,5329,Dan Jennings,1.667,2.778889,1,210,5,0.667,0.44488900000000003,0.448,0.20070400000000002,RP,0.588957055214724,0,0,UFA,750000,750000,750000,40.02,1601.6004000000003,750000,103750000,750000,96,0.34,0.11560000000000002,0
ARI,6.4,2018,1,15,225,3,9,1,2,36,Arizona Diamondbacks,PIT,Arizona,0,0,8,162,64,Chris Stewart,0.435,0.189225,1,215,6,0.2,0.04000000000000001,0.049,0.0024010000000000004,C,0.5061728395061729,3,9,UFA,575000,575000,98912,0.0,0.0,575000,15750000,575000,82,-0.03,0.0009,1
NYM,6.1,2018,1,347,120409,85,7225,2,8,31,New York Mets,TEX,New York,3,9,116,162,13456,Austin Jackson,0.624,0.389376,5,198,9,0.245,0.060024999999999995,0.716,0.512656,CF,0.4753086419753086,32,1024,UFA,545000,545000,193380,7.69,59.136100000000006,545000,89635000,545000,77,-1.2,1.44,2
PHI,6.0,2018,1,325,105625,66,4356,2,4,37,Philadelphia Phillies,ATL,Pennsylvania,13,169,122,162,14884,Jose Bautista,0.727,0.5285289999999999,7,205,14,0.203,0.041209,0.753,0.567009,RF,0.4938271604938271,48,2304,UFA,545000,545000,99620,38.83,1507.7688999999998,545000,169200000,545000,80,-0.35,0.12249999999999998,2
