Acronimo,Altura,Anio,Anios_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Equipo_anterior,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas
PHI,6.3,2019,13,573,328329,149,22201,2,4,26,Philadelphia Phillies,WSH,Pennsylvania,35,1225,157,162,24649,Bryce Harper,0.882,0.7779240000000001,7,220,14,0.26,0.06760000000000001,0.969,0.9389609999999999,RF,0.5,114,12996,UFA,11538462,10000000,11538462,66.12,4371.8544,330000000,403000000,25384615,81,4.16,17.305600000000002,2
SD,6.3,2019,10,587,344569,150,22500,5,4,26,San Diego Padres,LAD,California,32,1024,156,162,24336,Manny Machado,0.796,0.6336160000000001,2,218,5,0.256,0.065536,0.963,0.9273689999999999,3B,0.4320987654320987,85,7225,UFA,12000000,10000000,12000000,20.05,402.00250000000005,300000000,326000000,30000000,70,3.08,9.4864,0
WSH,6.4,2019,6,65,4225,6,36,1,7,29,Washington Nationals,ARI,Washington DC,0,0,33,162,1089,Patrick Corbin,0.24,0.0576,1,220,6,0.092,0.008464,0.204,0.04161599999999999,SP,0.5740740740740741,4,16,UFA,12916666,12500000,12916666,80.28,6444.8784000000005,140000000,184550000,23333333,93,5.66,32.0356,1
BOS,6.2,2019,4,2,4,0,0,1,1,29,Boston Red Sox,BOS,Massachusetts,0,0,23,161,529,Nathan Eovaldi,0.0,0.0,14,217,24,0.0,0.0,0.142,0.020163999999999998,SP,0.515527950310559,0,0,UFA,17000000,17000000,17000000,2.23,4.9729,68000000,68000000,17000000,83,0.12,0.0144,9
LAD,6.1,2019,5,308,94864,82,6724,5,3,31,Los Angeles Dodgers,ARI,California,15,225,86,161,7396,A.J. Pollock,0.795,0.6320250000000001,25,210,33,0.266,0.07075600000000001,0.531,0.281961,CF,0.6521739130434783,47,2209,UFA,4000000,1000000,4000000,0.0,0.0,60000000,85000000,12000000,105,0.21,0.04409999999999999,6
NYY,6.5,2019,2,3,9,0,0,2,5,36,New York Yankees,NYY,New York,0,0,32,162,1024,J.A. Happ,0.0,0.0,40,205,55,0.0,0.0,0.198,0.039204,SP,0.6358024691358025,0,0,UFA,17000000,17000000,17000000,23.16,536.3856,34000000,124555000,17000000,103,1.21,1.4641,27
HOU,6.2,2019,2,575,330625,179,32041,2,3,32,Houston Astros,CLE,Texas,22,484,148,161,21904,Michael Brantley,0.875,0.765625,3,209,13,0.311,0.096721,0.914,0.835396,LF,0.6583850931677019,90,8100,UFA,16000000,15000000,16000000,69.04,4766.521600000001,32000000,42250000,16000000,106,4.77,22.752899999999997,1
TB,6.5,2019,2,2,4,0,0,2,2,35,Tampa Bay Rays,HOU,Florida,0,0,33,161,1089,Charlie Morton,0.0,0.0,1,215,5,0.0,0.0,0.204,0.04161599999999999,SP,0.5962732919254659,0,0,UFA,15000000,15000000,15000000,88.46,7825.171599999999,30000000,33500000,15000000,96,5.06,25.603599999999997,0
TEX,6.5,2019,3,2,4,0,0,2,6,32,Texas Rangers,NYY,Texas,0,0,33,162,1089,Lance Lynn,0.0,0.0,2,270,8,0.0,0.0,0.204,0.04161599999999999,SP,0.4814814814814814,0,0,UFA,9333333,8000000,9333333,94.84,8994.625600000001,30000000,47250000,10000000,78,7.61,57.9121,0
LAD,6.1,2019,3,2,4,0,0,5,3,31,Los Angeles Dodgers,BOS,California,0,0,55,161,3025,Joe Kelly,0.0,0.0,25,174,33,0.0,0.0,0.34,0.11560000000000002,RP,0.6521739130434783,0,0,UFA,3000000,3000000,3000000,8.68,75.3424,25000000,85000000,8333333,105,-0.53,0.28090000000000004,6
