Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2,WAR_2,TVS_2
Wilson Ramos,2017,UFA,WSH,2,12500000,6250000,Tampa Bay Rays,5,21700000,TB,80,162,4,1,0,0.4938271604938271,C,64,0.395,208,54,11,35,0.26,0.737,0.09,0.0,29,245,6.1,4000000,4000000,4000000,4096,0.15602500000000002,43264,2916,121,1225,0.06760000000000001,0.543169,0.0081,0.0
Brandon Moss,2017,UFA,STL,2,12000000,6000000,Kansas City Royals,4,43800000,KC,80,162,9,4,2,0.4938271604938271,DH,118,0.728,362,75,22,50,0.207,0.707,-0.97,13.76,33,210,6.1,3750000,3750000,3750000,13924,0.529984,131044,5625,484,2500,0.042849,0.49984899999999993,0.9409,189.33759999999998
Junichi Tazawa,2017,UFA,BOS,2,12000000,6000000,Miami Marlins,6,57250000,MIA,77,162,2,2,2,0.4753086419753086,RP,55,0.34,1,0,0,0,0.0,0.0,-0.69,3.28,31,200,0.0,5000000,5000000,5000000,3025,0.11560000000000002,1,0,0,0,0.0,0.0,0.4760999999999999,10.758399999999998
Sean Rodriguez,2017,UFA,PIT,2,11500000,5750000,Pittsburgh Pirates,2,37000000,PIT,75,162,17,9,5,0.4629629629629629,2B,54,0.333,132,22,5,8,0.167,0.572,-0.19,0.0,32,200,0.0,5000000,5750000,1584699,2916,0.11088900000000002,17424,484,25,64,0.027889000000000004,0.3271839999999999,0.0361,0.0
Carlos Gomez,2017,UFA,TEX,1,11500000,11500000,Texas Rangers,4,36000000,TEX,78,162,8,2,0,0.4814814814814814,CF,105,0.648,368,94,17,51,0.255,0.804,1.7,49.87,31,220,6.3,11500000,11500000,11500000,11025,0.419904,135424,8836,289,2601,0.065025,0.6464160000000001,2.8899999999999997,2487.0168999999996
Matt Joyce,2017,UFA,PIT,2,11000000,5500000,Oakland Athletics,5,34500000,OAK,75,162,26,15,9,0.4629629629629629,RF,141,0.87,469,114,25,68,0.243,0.808,1.74,57.9,32,194,6.2,5000000,5000000,5000000,19881,0.7569,219961,12996,625,4624,0.059049,0.6528640000000001,3.0276,3352.41
Andrew Cashner,2017,UFA,MIA,1,10000000,10000000,Texas Rangers,4,36000000,TEX,78,162,8,2,0,0.4814814814814814,SP,28,0.173,5,1,0,1,0.2,0.367,4.26,80.99,30,235,6.6,10000000,10000000,10000000,784,0.029928999999999997,25,1,0,1,0.04000000000000001,0.134689,18.147599999999997,6559.380099999999
Mike Napoli,2017,UFA,CLE,1,8500000,8500000,Texas Rangers,4,36000000,TEX,78,162,8,2,0,0.4814814814814814,1B,124,0.765,425,82,29,66,0.193,0.713,-0.37,21.09,35,225,6.1,6000000,6000000,6000000,15376,0.585225,180625,6724,841,4356,0.037249000000000004,0.508369,0.1369,444.7881
R.A. Dickey,2017,UFA,TOR,1,8000000,8000000,Atlanta Braves,5,34525000,ATL,72,162,23,18,3,0.4444444444444444,SP,31,0.191,61,9,0,5,0.148,0.295,2.04,52.01,42,215,6.3,7500000,7500000,7500000,961,0.036481,3721,81,0,25,0.021903999999999996,0.08702499999999999,4.1616,2705.0400999999997
Rajai Davis,2017,UFA,CLE,1,6000000,6000000,Boston Red Sox,1,5500000,BOS,93,162,23,13,8,0.5740740740740741,CF,117,0.722,336,79,5,20,0.235,0.641,-0.05,16.47,36,195,5.9,6000000,6000000,1278693,13689,0.521284,112896,6241,25,400,0.055224999999999996,0.410881,0.0025000000000000005,271.26089999999994
