Acronimo_t,Acronimo_t_1,Agente_libre,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_t,Anios_de_contrato_t,Anios_de_contrato_t_1,Antiguedad_t,Antiguedad_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pago_efectivo_t,Pago_efectivo_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_juegos_t,Porcentaje_juegos_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_porcentual_t,Sueldo_porcentual_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_promedio_t,Valor_contrato_promedio_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
MIL,MIL,No,6.0,6.0,0,0,2012,1,1,0,0,16641,10000,129,100,0,0,3,1,1,1,3844,3025,3136,2809,56,53,62,55,24.31510107015458,7.839999999999999,4.931034482758621,2.8,0.04396951098688809,0.09835754936344601,0.20968908170643527,0.31362007168458783,1.069123103651456,0.7711231870094167,1.0339840925524222,0.878136200716846,13.249600000000001,26.522500000000004,3.64,5.15,28,27,28,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,1226808,740808,19126.890000000003,12454.56,138.3,111.6,23,17,29,25,162,162,Marco Estrada,49,36,7,6,486000,414000,1,1,180.0,180.0,4,4,0.17901234567901234,0.15432098765432098,SP,SP,0.5123456790123457,0.5925925925925926,0,0,0,0,20449,9604,143,98,486000,414000,486000,414000,0.004,0.005,486000,414000,3055.8784,807.6964000000002,55.28,28.42,486000,414000,40250000,775000,486000,414000,83,96,2.0736,1.2100000000000002,1.44,1.1,1.2995999999999999,1.7424000000000002,1.14,1.32,0,0,841,1225,29,35,25,36,5,6,13.093963902882631,13.093963902882631,13.093963902882631
MIL,MIL,No,6.0,6.0,0,0,2011,1,1,0,0,16641,10000,129,100,0,0,3,1,1,1,3844,3025,3136,2809,56,53,62,55,24.31510107015458,7.839999999999999,4.931034482758621,2.8,0.04396951098688809,0.09835754936344601,0.20968908170643527,0.31362007168458783,1.069123103651456,0.7711231870094167,1.0339840925524222,0.878136200716846,13.249600000000001,26.522500000000004,3.64,5.15,27,27,27,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,740808,740808,19126.890000000003,12454.56,138.3,111.6,23,17,29,25,162,162,Marco Estrada,49,36,7,6,414000,414000,1,1,180.0,180.0,4,4,0.17901234567901234,0.15432098765432098,SP,SP,0.5123456790123457,0.5925925925925926,0,0,0,0,20449,9604,143,98,414000,414000,414000,414000,0.005,0.005,414000,414000,3055.8784,807.6964000000002,55.28,28.42,414000,414000,40250000,775000,414000,414000,83,96,2.0736,1.2100000000000002,1.44,1.1,1.2995999999999999,1.7424000000000002,1.14,1.32,0,0,841,1225,29,35,25,36,5,6,12.933621252807452,12.933621252807452,12.933621252807452
MIL,MIL,No,6.2,6.2,0,0,2012,1,1,1,1,15625,10404,125,102,0,0,3,1,1,1,3136,2500,2809,2209,53,47,56,50,14.0625,8.428720083246619,3.75,2.903225806451613,0.07947365871337297,0.08783346555575462,0.28191072826938135,0.2963671128107075,1.1175983256568072,0.7403236951109389,1.05716523101018,0.8604206500956023,13.987600000000002,17.7241,3.74,4.21,26,25,27,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,896500,416500,16307.29,10941.159999999998,127.7,104.6,22,18,23,20,162,162,Michael Fiers,100,36,10,6,480000,414000,1,1,211.0,211.0,4,4,0.1419753086419753,0.12345679012345678,SP,SP,0.5123456790123457,0.5925925925925926,0,0,0,0,18225,8100,135,90,480000,414000,480000,414000,0.004,0.005,480000,414000,5464.1664,1122.9200999999998,73.92,33.51,480000,414000,40250000,775000,480000,414000,83,96,3.0276,1.0816000000000001,1.74,1.04,1.5876000000000001,2.1025,1.26,1.45,0,0,1296,961,36,31,81,49,9,7,13.081541382884074,13.081541382884074,13.081541382884074
MIL,MIL,No,6.2,6.2,0,0,2011,1,1,1,1,15625,10404,125,102,0,0,3,1,1,1,3136,2500,2809,2209,53,47,56,50,14.0625,8.428720083246619,3.75,2.903225806451613,0.07947365871337297,0.08783346555575462,0.28191072826938135,0.2963671128107075,1.1175983256568072,0.7403236951109389,1.05716523101018,0.8604206500956023,13.987600000000002,17.7241,3.74,4.21,25,25,26,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,416500,416500,16307.29,10941.159999999998,127.7,104.6,22,18,23,20,162,162,Michael Fiers,100,36,10,6,414000,414000,1,1,211.0,211.0,4,4,0.1419753086419753,0.12345679012345678,SP,SP,0.5123456790123457,0.5925925925925926,0,0,0,0,18225,8100,135,90,414000,414000,414000,414000,0.005,0.005,414000,414000,5464.1664,1122.9200999999998,73.92,33.51,414000,414000,40250000,775000,414000,414000,83,96,3.0276,1.0816000000000001,1.74,1.04,1.5876000000000001,2.1025,1.26,1.45,0,0,1296,961,36,31,81,49,9,7,12.933621252807452,12.933621252807452,12.933621252807452
MIL,MIL,No,6.241500000000008,6.241570881226049,2013,2013,2012,3,3,2,1,38416,19881,196,141,0,0,3,1,1,1,10609,4900,9801,4225,99,65,103,70,4.0,4.526935264825712,2.0,2.127659574468085,0.10872847596372875,0.11838435632994564,0.3297400126823082,0.34407027818448027,0.434913903854915,0.535918317473724,0.6594800253646164,0.7320644216691069,31.922500000000003,21.3444,5.65,4.62,33,33,35,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,72462104,62962104,24869.289999999997,18659.559999999998,157.7,136.6,26,23,31,25,162,162,Randy Wolf,100,49,10,7,9500000,9500000,1,1,215.16189000774594,215.48312611012435,4,4,0.19135802469135801,0.15432098765432098,SP,SP,0.5123456790123457,0.5925925925925926,0,0,0,0,10816,10000,104,100,9500000,9500000,9500000,9500000,0.086,0.103,9500000,9500000,39.31289999999999,318.2656,6.27,17.84,9916667,9916667,40250000,775000,29750000,29750000,83,96,0.0004,1.2100000000000002,0.02,1.1,2.4649,1.6129,1.57,1.27,0,0,2704,2209,52,47,25,64,5,8,16.06680235657077,16.06680235657077,16.06680235657077
MIL,MIL,No,6.241500000000008,6.241570881226049,2013,2013,2011,3,3,1,1,38416,19881,196,141,0,0,3,1,1,1,10609,4900,9801,4225,99,65,103,70,4.0,4.526935264825712,2.0,2.127659574468085,0.10872847596372875,0.11838435632994564,0.3297400126823082,0.34407027818448027,0.434913903854915,0.535918317473724,0.6594800253646164,0.7320644216691069,31.922500000000003,21.3444,5.65,4.62,33,33,34,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,62962104,62962104,24869.289999999997,18659.559999999998,157.7,136.6,26,23,31,25,162,162,Randy Wolf,100,49,10,7,9500000,9500000,1,1,215.16189000774594,215.48312611012435,4,4,0.19135802469135801,0.15432098765432098,SP,SP,0.5123456790123457,0.5925925925925926,0,0,0,0,10816,10000,104,100,9500000,9500000,9500000,9500000,0.103,0.103,9500000,9500000,39.31289999999999,318.2656,6.27,17.84,9916667,9916667,40250000,775000,29750000,29750000,83,96,0.0004,1.2100000000000002,0.02,1.1,2.4649,1.6129,1.57,1.27,0,0,2704,2209,52,47,25,64,5,8,16.06680235657077,16.06680235657077,16.06680235657077
MIL,MIL,No,6.0,6.0,2013,0,2012,1,1,0,0,13456,22201,116,149,0,0,3,1,1,1,3249,5184,2601,4624,51,68,57,72,7.067816775728733,7.91015625,2.658536585365854,2.8125,0.10932622268470342,0.08321005917159761,0.33064516129032256,0.28846153846153844,0.7726977107180021,0.6582045696190828,0.8790322580645161,0.8112980769230769,13.690000000000001,13.4689,3.7,3.67,30,29,30,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,14167800,6442800,15376.0,27688.960000000003,124.0,166.4,21,27,22,30,162,162,Shaun Marcum,16,36,4,6,7725000,3950000,1,1,215.16189000774594,215.48312611012435,4,4,0.13580246913580246,0.18518518518518517,SP,SP,0.5123456790123457,0.5925925925925926,0,0,0,0,11881,18225,109,135,7725000,3950000,7725000,3950000,0.07,0.043,7725000,3950000,1109.5561000000002,2944.1476,33.31,54.26,7725000,3950000,40250000,775000,7725000,3950000,83,96,1.5129,6.812099999999999,1.23,2.61,1.6129,1.4161,1.27,1.19,0,0,1681,2304,41,48,49,121,7,11,15.859972380748083,15.859972380748083,15.859972380748083
MIL,MIL,No,6.0,6.0,0,0,2011,1,1,0,0,13456,22201,116,149,0,0,3,1,1,1,3249,5184,2601,4624,51,68,57,72,7.067816775728733,7.91015625,2.658536585365854,2.8125,0.10932622268470342,0.08321005917159761,0.33064516129032256,0.28846153846153844,0.7726977107180021,0.6582045696190828,0.8790322580645161,0.8112980769230769,13.690000000000001,13.4689,3.7,3.67,29,29,29,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,6442800,6442800,15376.0,27688.960000000003,124.0,166.4,21,27,22,30,162,162,Shaun Marcum,16,36,4,6,3950000,3950000,1,1,215.16189000774594,215.48312611012435,4,4,0.13580246913580246,0.18518518518518517,SP,SP,0.5123456790123457,0.5925925925925926,0,0,0,0,11881,18225,109,135,3950000,3950000,3950000,3950000,0.043,0.043,3950000,3950000,1109.5561000000002,2944.1476,33.31,54.26,3950000,3950000,40250000,775000,3950000,3950000,83,96,1.5129,6.812099999999999,1.23,2.61,1.6129,1.4161,1.27,1.19,0,0,1681,2304,41,48,49,121,7,11,15.189226136877304,15.189226136877304,15.189226136877304
MIL,MIL,No,6.2,6.2,0,0,2011,5,5,2,2,34225,21904,185,148,250000,250000,3,1,1,1,7396,5329,6889,4624,83,68,86,73,6.342935528120714,5.005458201666187,2.5185185185185186,2.23728813559322,0.15765570934256054,0.1516626910215774,0.39705882352941174,0.38943894389438943,1.0,0.7591412606607195,1.0,0.8712871287128713,13.395600000000002,16.6464,3.66,4.08,23,23,25,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,6923000,6923000,41616.0,22952.25,204.0,151.5,33,26,33,27,162,162,Yovani Gallardo,81,64,9,8,3250000,3250000,1,1,205.0,205.0,4,4,0.2037037037037037,0.16666666666666666,RP,RP,0.5123456790123457,0.5925925925925926,0,0,0,0,41616,17424,204,132,3500000,3500000,3250000,3250000,0.038,0.038,3500000,3500000,3621.6324,1793.5225,60.18,42.35,6020000,6020000,40250000,775000,30100000,30100000,83,96,8.41,2.4336,2.9,1.56,1.6900000000000002,1.9043999999999996,1.3,1.38,0,0,6561,3481,81,59,256,100,16,10,15.068273526459642,14.994165554305921,15.068273526459642
MIL,MIL,No,6.2,6.2,0,0,2012,5,5,3,2,34225,21904,185,148,250000,250000,3,1,1,1,7396,5329,6889,4624,83,68,86,73,6.342935528120714,5.005458201666187,2.5185185185185186,2.23728813559322,0.15765570934256054,0.1516626910215774,0.39705882352941174,0.38943894389438943,1.0,0.7591412606607195,1.0,0.8712871287128713,13.395600000000002,16.6464,3.66,4.08,23,23,26,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,12423000,6923000,41616.0,22952.25,204.0,151.5,33,26,33,27,162,162,Yovani Gallardo,81,64,9,8,5500000,3250000,1,1,205.0,205.0,4,4,0.2037037037037037,0.16666666666666666,RP,RP,0.5123456790123457,0.5925925925925926,0,0,0,0,41616,17424,204,132,5750000,3500000,5500000,3250000,0.052,0.038,5750000,3500000,3621.6324,1793.5225,60.18,42.35,6020000,6020000,40250000,775000,30100000,30100000,83,96,8.41,2.4336,2.9,1.56,1.6900000000000002,1.9043999999999996,1.3,1.38,0,0,6561,3481,81,59,256,100,16,10,15.564710412773533,15.520258650202699,15.564710412773533
