Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio,Anio_t,Anio_t_1,Anios_contrato,Bateos_pitcher_2_t,Bateos_pitcher_2_t_1,Bateos_pitcher_t,Bateos_pitcher_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_t,Edad_t_1,Equipo_anterior,Equipo_t,Equipo_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_iniciados_2_t,Juegos_iniciados_2_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Status,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,Sueldo_t,Sueldo_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_promedio_contrato,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_base_t,ln_Sueldo_regular_t,ln_Sueldo_t
TEX,MIA,6.6,6.6,2017,7,6,1,24336,20449,156,143,4,10,5625,6889,3969,5929,63,77,75,83,1.8056640625,3.4844444444444447,1.34375,1.8666666666666667,0.0018197164850617604,0.002550760126517702,0.042658135039658734,0.050505050505050504,0.0032857966610148385,0.008887981951955016,0.057321868959541424,0.09427609427609428,11.559999999999999,27.5625,3.4,5.25,30,29,MIA,Texas Rangers,Miami Marlins,27788.889999999996,17424.0,166.7,132.0,784,784,784,729,28,27,28,28,162,160,Andrew Cashner,121,121,11,11,2,2,235,235,8,2,SP,SP,0.4814814814814814,0.49375,0,0,0,0,UFA,7396,12544,86,112,10000000,7150000,10000000,303686,10000000,7150000,6559.380099999999,33.872400000000006,80.99,5.82,10000000,36000000,84707500,10000000,78,79,18.147599999999997,0.36,4.26,-0.6,1.7424000000000002,2.3716,1.32,1.54,0,2,4096,3600,64,60,121,25,11,5,16.11809565095832,16.11809565095832,16.11809565095832
DET,DET,6.0,6.0,2013,7,6,5,19321,29241,139,171,1,11,6561,11664,5625,10000,75,100,81,108,12.86087990487515,6.48807404770381,3.586206896551724,2.547169811320755,0.0009363845395719838,0.0014756467668109168,0.030600400970771345,0.0384141480031891,0.012042729108217095,0.009574105491323944,0.10973936899862827,0.09784735812133072,41.088100000000004,34.456900000000005,6.41,5.87,33,32,DET,Detroit Tigers,Detroit Tigers,11088.09,23500.890000000003,105.3,153.3,784,1225,289,676,17,26,28,35,162,160,Anibal Sanchez,49,169,7,13,11,11,205,205,16,16,RP,RP,0.3950617283950617,0.5375,0,0,0,0,UFA,10816,18225,104,135,16000000,16000000,16800000,16800000,16800000,16800000,0.0,0.0,0.0,0.0,80000000,2000000,272257500,16000000,64,86,0.5041,0.9216,-0.71,-0.96,2.5600000000000005,2.1315999999999997,1.6,1.46,4,4,841,2809,29,53,9,49,3,7,16.588099280204055,16.636889444373487,16.636889444373487
NYY,CHC,6.4,6.4,2017,7,6,5,1369,1024,37,32,3,15,400,144,324,100,18,10,20,12,11.902500000000002,25.0,3.45,5.0,0.0019518165776467524,0.0011890606420927466,0.04417936823503424,0.034482758620689655,0.02323149681544047,0.02972651605231867,0.15241882041086813,0.1724137931034483,10.368400000000001,2.4025000000000003,3.22,1.55,29,28,CHC,New York Yankees,Chicago Cubs,2530.0899999999997,3364.0,50.3,58.0,2704,3481,0,0,0,0,52,59,162,160,Aroldis Chapman,9,1,3,1,40,17,218,218,53,18,RP,RP,0.5617283950617284,0.6375,484,1296,22,36,UFA,4761,8100,69,90,15000000,11325000,17200000,4331967,17200000,11325000,315.0625,5650.5289,17.75,75.17,86000000,102500000,291277500,17200000,91,102,0.9216,1.4161,0.96,1.19,1.2768999999999997,0.7395999999999999,1.13,0.86,27,3,400,324,20,18,16,16,4,4,16.523560759066484,16.660419941783683,16.660419941783683
MIA,BOS,6.4,6.4,2017,7,6,2,3249,4489,57,67,6,6,841,441,625,289,25,17,29,21,2.640625,4.976331360946745,1.625,2.230769230769231,0.0014307350960436822,0.0018048613781024394,0.037825059101654845,0.042483660130718956,0.003778034862990348,0.00898158827801273,0.061465721040189124,0.09477124183006536,22.9441,5.0625,4.79,2.25,37,36,BOS,Miami Marlins,Boston Red Sox,2209.0,4624.0,47.0,68.0,2809,4761,0,0,0,0,53,69,162,161,Brad Ziegler,16,49,4,7,2,13,220,220,2,22,RP,RP,0.4753086419753086,0.577639751552795,100,484,10,22,UFA,676,3364,26,58,7000000,5500000,7000000,2584730,7000000,5500000,17.472399999999997,4058.9641,4.18,63.71,16000000,57250000,230000000,8000000,77,93,0.5476,1.5625,-0.74,1.25,2.4025000000000003,1.8769000000000002,1.55,1.37,2,8,256,676,16,26,1,16,1,4,15.761420707019587,15.761420707019587,15.761420707019587
LAD,LAD,6.7,6.7,2015,7,6,4,7921,841,89,29,6,8,1849,576,1681,484,41,22,43,24,7.111111111111111,2.863905325443787,2.6666666666666665,1.6923076923076923,0.0010473287879263935,0.0052160493827160485,0.032362459546925564,0.07222222222222222,0.00744767138080991,0.01493827160493827,0.08629989212513484,0.12222222222222222,15.8404,24.5025,3.98,4.95,33,32,NYY,Los Angeles Dodgers,Los Angeles Dodgers,8593.29,1600.0,92.7,40.0,361,100,256,81,16,9,19,10,162,161,Brandon McCarthy,16,9,4,3,25,25,225,225,31,30,SP,SP,0.6419753086419753,0.5652173913043478,0,0,0,0,UFA,5184,1936,72,44,10000000,11000000,11500000,12500000,11500000,12500000,2571.5041,0.0,50.71,0.0,48000000,199600000,79750000,12000000,104,91,0.5476,0.0009,0.74,-0.03,1.5625,1.9043999999999996,1.25,1.38,6,6,729,676,27,26,36,4,6,2,16.11809565095832,16.25785759333348,16.25785759333348
STL,TOR,0.0,0.0,2017,7,6,4,4489,1521,67,39,2,13,961,289,841,256,29,16,31,17,17.015625,31.640625,4.125,5.625,0.0006977901232114735,0.0005866280518751519,0.02641571735182434,0.024220405691795337,0.011873335065270229,0.018561278203862226,0.1089648340762754,0.13623978201634876,15.0544,15.4449,3.88,3.93,30,29,TOR,St. Louis Cardinals,Toronto Blue Jays,4529.29,1346.89,67.3,36.7,5329,2916,0,0,0,0,73,54,162,161,Brett Cecil,16,49,4,7,23,2,235,235,28,7,RP,RP,0.5123456790123457,0.546583850931677,1,0,1,0,UFA,4356,2025,66,45,7500000,3800000,7750000,3800000,7750000,3800000,152.2756,196.5604,12.34,14.02,30500000,113000000,65800000,7625000,83,88,0.25,0.0841,0.5,0.29,1.5129,1.6384,1.23,1.28,11,2,256,64,16,8,4,1,2,1,15.830413578506539,15.86320340132953,15.86320340132953
CHC,BAL,6.0,6.0,2017,7,6,1,3364,169,58,13,3,8,361,36,361,36,19,6,19,6,11.484567901234568,11.111111111111112,3.388888888888889,3.3333333333333335,0.0010305851920366686,0.0006281367579349375,0.03210272873194222,0.02506265664160401,0.011835825615951985,0.006979297310388195,0.10879258070269307,0.0835421888053467,7.507600000000001,16.4025,2.74,4.05,34,33,BAL,Chicago Cubs,Baltimore Orioles,3881.2899999999995,176.89000000000001,62.3,13.3,4624,196,0,0,0,0,68,14,162,161,Brian Duensing,1,0,1,0,17,7,200,200,19,14,RP,RP,0.5679012345679012,0.546583850931677,0,0,0,0,UFA,3721,100,61,10,2000000,507500,2000000,341079,2000000,507500,3000.8484000000003,0.0,54.78,0.0,2000000,16000000,220260000,2000000,92,88,1.9320999999999997,0.028900000000000006,1.39,0.17,1.4884,1.44,1.22,1.2,3,3,324,9,18,3,1,1,1,1,14.508657738524219,14.508657738524219,14.508657738524219
HOU,PHI,6.5,6.5,2017,7,6,2,15625,225,125,15,3,6,4225,64,3481,64,59,8,65,8,10.6276,5.640625,3.26,2.375,0.0014341506104470678,0.0026399928390194232,0.03787018101946527,0.051380860629415534,0.01524157902758726,0.014891209607593938,0.1234567901234568,0.1220295439948619,13.1044,17.222500000000004,3.62,4.15,33,32,PHI,Houston Astros,Philadelphia Phillies,21520.889999999996,299.29,146.7,17.3,625,16,625,16,25,4,25,4,162,161,Charlie Morton,49,1,7,1,2,7,215,215,11,14,SP,SP,0.6234567901234568,0.4347826086956521,0,0,0,0,UFA,26569,361,163,19,7000000,8000000,8875000,8000000,8875000,8000000,5173.924900000001,0.0,71.93,0.0,14000000,82000000,8750000,7000000,101,70,3.3124000000000002,0.0961,1.82,0.31,1.4161,1.7689000000000001,1.19,1.33,1,2,2500,64,50,8,196,1,14,1,15.761420707019587,15.998748893325754,15.998748893325754
SD,SD,6.5,6.5,2017,7,6,1,57600,6561,240,81,4,13,12996,1225,11025,676,105,26,114,35,6.550129273197356,1.7492195629552547,2.559322033898305,1.3225806451612903,0.0011039892230354416,0.002588576662367905,0.03322633327701752,0.05087805678647628,0.007231272127098851,0.004527988938023359,0.0850368868615194,0.06729033316921056,22.9441,11.9716,4.79,3.46,33,32,SD,San Diego Padres,San Diego Padres,38927.29,4583.29,197.3,67.7,1024,1369,1024,81,32,9,32,37,162,161,Clayton Richard,225,16,15,4,2,2,240,240,5,5,SP,SP,0.4382716049382716,0.422360248447205,0,1,0,1,UFA,22801,1681,151,41,1750000,507500,2750000,158061,2750000,507500,1624.8961000000002,201.0724,40.31,14.18,1750000,8250000,12120000,1750000,71,68,0.2916,0.3721,0.54,-0.61,2.2801,2.7224999999999997,1.51,1.65,0,0,3481,961,59,31,64,9,8,3,14.375126345899696,14.827111469642754,14.827111469642754
PIT,ARI,6.3,6.3,2017,7,6,2,3364,4225,58,65,2,7,1156,1600,961,1225,31,35,34,40,4.0,6.950413223140496,2.0,2.6363636363636362,0.0035316083323774635,0.0016433335373918989,0.059427336574824415,0.04053805048829925,0.014126433329509854,0.011421847148318901,0.11885467314964883,0.1068730421964253,20.430399999999995,27.248399999999997,4.52,5.22,30,29,ARI,Pittsburgh Pirates,Arizona Diamondbacks,3806.8900000000003,3636.0899999999997,61.7,60.3,5041,4900,0,0,0,0,71,70,162,161,Daniel Hudson,49,4,7,2,9,1,215,215,17,5,RP,RP,0.4629629629629629,0.422360248447205,0,25,0,5,UFA,4356,3364,66,58,5500000,2700000,5500000,2700000,5500000,2700000,25.401600000000002,120.34090000000002,5.04,10.97,11000000,37000000,218750000,5500000,75,68,0.0001,0.32489999999999997,-0.01,-0.57,2.1904,2.0736,1.48,1.44,5,1,1089,484,33,22,4,9,2,3,15.520258650202699,15.520258650202699,15.520258650202699
