Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio,Anio_t,Anio_t_1,Anios_contrato,Bateos_pitcher_2_t,Bateos_pitcher_2_t_1,Bateos_pitcher_t,Bateos_pitcher_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_t,Edad_t_1,Equipo_anterior,Equipo_t,Equipo_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_iniciados_2_t,Juegos_iniciados_2_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Status,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,Sueldo_t,Sueldo_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_promedio_contrato,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_base_t,ln_Sueldo_regular_t,ln_Sueldo_t
COL,COL,6.1,6.1,2018,9,8,3,4761,4900,69,70,1,5,1936,1849,1849,1296,43,36,44,43,4.0,3.719387755102041,2.0,1.9285714285714286,0.002002838744093888,0.0032348667137950433,0.044753086419753084,0.05687588868576071,0.008011354976375552,0.012031723644676463,0.08950617283950617,0.10968921389396709,28.944399999999998,35.164899999999996,5.38,5.93,31,30,CLE,Colorado Rockies,Colorado Rockies,5184.0,2992.09,72.0,54.7,4900,3721,1,0,1,0,70,61,161,163,Bryan Shaw,4,36,2,6,1,1,226,226,5,5,RP,RP,0.4347826086956521,0.558282208588957,1,0,1,0,UFA,3364,2916,58,54,8500000,7500000,8500000,7500000,8500000,7500000,34.9281,0.0484,5.91,0.22,27000000,24000000,122500000,9000000,70,91,0.3364,1.1664,0.58,-1.08,1.8496000000000004,3.2041,1.36,1.79,0,0,841,784,29,28,9,16,3,4,15.955576721460545,15.955576721460545,15.955576721460545
TB,HOU,6.5,6.5,2019,9,8,2,23716,16900,154,130,2,2,5041,3969,4356,3364,66,58,71,63,17.728531855955676,9.863525390625,4.2105263157894735,3.140625,0.0010581148011179439,0.0018131844538910647,0.03252867659647321,0.04258150365934797,0.018758821958877677,0.017884390898841043,0.13696284882725562,0.13373253493013973,9.302499999999998,9.796899999999999,3.05,3.13,35,34,HOU,Tampa Bay Rays,Houston Astros,37908.09,27889.0,194.7,167.0,1089,900,1089,900,33,30,33,30,161,162,Charlie Morton,36,9,6,3,1,2,215,215,5,12,SP,SP,0.5962732919254659,0.6358024691358025,0,0,0,0,UFA,57600,40401,240,201,15000000,7000000,15000000,8875000,15000000,8875000,7825.171599999999,6234.681599999999,88.46,78.96,30000000,33500000,23500000,15000000,96,103,25.603599999999997,12.0409,5.06,3.47,1.1664,1.3456,1.08,1.16,0,1,3249,4096,57,64,256,225,16,15,16.523560759066484,16.523560759066484,16.523560759066484
TOR,ARI,6.3,6.3,2019,9,8,1,5184,6400,72,80,5,2,1936,625,1849,484,43,22,44,25,5.94140625,13.555785123966942,2.4375,3.6818181818181817,0.0009079269828096793,0.0006183769702413367,0.030131826741996232,0.024867186616932296,0.005394363050209072,0.00838258533420126,0.07344632768361582,0.09155645981688709,43.03359999999999,4.040099999999999,6.56,2.01,34,33,ARI,Toronto Blue Jays,Arizona Diamondbacks,3481.0,9662.89,59.0,98.3,144,289,144,289,12,17,12,17,161,162,Clay Buchholz,25,4,5,2,2,1,190,190,7,6,SP,SP,0.4099378881987577,0.5061728395061729,0,0,0,0,UFA,1521,6561,39,81,3000000,1500000,3000000,1080645,3000000,1500000,0.0,8671.334400000002,0.0,93.12,3000000,15500000,15750000,3000000,66,82,0.10890000000000001,9.9225,-0.33,3.15,2.2201,1.0816000000000001,1.49,1.04,2,1,256,484,16,22,4,49,2,7,14.914122846632385,14.914122846632385,14.914122846632385
NYY,OAK,6.1,6.1,2019,9,8,1,3025,3136,55,56,5,3,625,576,625,576,25,24,25,24,3.5343999999999998,6.369614512471655,1.88,2.5238095238095237,0.002523159678987881,0.0016582283150268317,0.05023106288929074,0.04072134962187319,0.008917855569414766,0.010562275140386325,0.09443439823186658,0.1027729299980609,16.5649,14.2129,4.07,3.77,33,32,OAK,New York Yankees,Oakland Athletics,3058.0899999999997,3283.2899999999995,55.3,57.3,4356,3844,1,0,1,0,66,62,162,162,Cory Gearrin,9,1,3,1,40,15,205,205,55,27,RP,RP,0.6358024691358025,0.5987654320987654,0,1,0,1,UFA,2209,2809,47,53,1400000,1675000,278499,279155,1400000,1675000,1125.6024999999997,590.9761,33.55,24.31,1400000,124555000,18000000,1400000,103,97,0.4760999999999999,0.010000000000000002,0.69,0.1,2.1025,1.7956000000000003,1.45,1.34,27,9,625,441,25,21,1,4,1,2,14.151982794585487,12.537169747678757,14.151982794585487
CHC,BOS,6.0,6.0,2019,9,8,3,441,961,21,31,5,3,225,361,225,361,15,19,15,19,6.25,9.590010405827263,2.5,3.096774193548387,0.004148936446072903,0.003056766572676662,0.06441223832528181,0.05528803281612271,0.025930852787955646,0.029314423240154125,0.16103059581320453,0.17121455323702517,42.6409,7.507600000000001,6.53,2.74,31,30,BOS,Chicago Cubs,Boston Red Sox,428.48999999999995,3881.2899999999995,20.7,62.3,529,3969,0,0,0,0,23,63,162,162,Craig Kimbrel,16,1,4,1,17,14,215,215,20,24,RP/CL,RP/CL,0.5185185185185185,0.6666666666666666,169,1764,13,42,UFA,900,9216,30,96,10000000,13000000,10000000,13050000,10000000,13050000,0.0,7299.9936,0.0,85.44,43000000,49325000,131000000,14333333,84,108,0.2601,5.289999999999999,-0.51,2.3,2.5600000000000005,1.0,1.6,1.0,3,9,144,961,12,31,0,25,0,5,16.11809565095832,16.11809565095832,16.11809565095832
SD,SD,6.2,6.2,2018,9,8,2,6400,4225,80,65,4,3,1296,625,900,576,30,24,36,25,23.68444444444444,26.795847750865054,4.866666666666666,5.176470588235294,0.0004131138872364333,0.0005716874274263581,0.02032520325203252,0.02390998593530239,0.009784372911479792,0.015318849266400408,0.0989159891598916,0.12376933895921238,10.8241,7.4529,3.29,2.73,35,34,SD,San Diego Padres,San Diego Padres,6724.0,6241.0,82.0,79.0,5776,5329,0,0,0,0,76,73,162,162,Craig Stammen,49,9,7,3,2,2,228,228,5,5,RP,RP,0.4320987654320987,0.4074074074074074,16,0,4,0,UFA,5329,7744,73,88,2250000,2250000,2250000,3250000,2250000,3250000,3507.0083999999997,6702.696900000001,59.22,81.87,4500000,326000000,149500000,2250000,70,66,0.7055999999999999,2.1609,0.84,1.47,1.3456,1.0816000000000001,1.16,1.04,0,0,225,289,15,17,64,64,8,8,14.626440774180603,14.626440774180603,14.626440774180603
ATL,HOU,6.2,6.2,2019,9,8,1,13225,44521,115,211,6,2,2500,8464,2209,7225,47,85,50,92,5.4444444444444455,6.958680142687276,2.3333333333333335,2.6379310344827585,0.0014784150096390034,0.0009911406375560472,0.03845016267376516,0.0314823861477501,0.00804914838581235,0.006897030673171672,0.08971704623878536,0.08304836345872008,14.0625,13.987600000000002,3.75,3.74,31,30,HOU,Atlanta Braves,Houston Astros,12701.29,41902.09,112.7,204.7,361,1156,361,1156,19,34,19,34,161,162,Dallas Keuchel,64,121,8,11,18,2,205,205,25,12,SP,SP,0.6024844720496895,0.6358024691358025,0,0,0,0,UFA,8281,23409,91,153,21210000,13200000,13000000,13200000,21210000,13200000,1658.9328999999998,2995.3729,40.73,54.73,21210000,52210000,23500000,21210000,97,103,4.2025,6.864400000000001,2.05,2.62,1.8769000000000002,1.7161000000000002,1.37,1.31,3,1,1521,3364,39,58,64,144,8,12,16.869983326540865,16.38045991542581,16.869983326540865
WSH,LAD,6.3,6.3,2019,9,8,1,3136,1444,56,38,7,2,625,625,400,441,20,21,25,25,6.914951989026064,5.975308641975309,2.6296296296296298,2.4444444444444446,0.0016888722086695438,0.0018903591682419658,0.0410958904109589,0.043478260869565216,0.011678470238550303,0.011295479474433476,0.1080669710806697,0.10628019323671498,6.100900000000001,16.892100000000003,2.47,4.11,32,31,LAA,Washington Nationals,Los Angeles Dodgers,5329.0,2116.0,73.0,46.0,4761,1600,1,1,1,1,69,40,162,163,Daniel Hudson,9,4,3,2,1,25,215,215,6,32,RP,RP,0.5740740740740741,0.5644171779141104,64,0,8,0,UFA,5041,1936,71,44,1500000,545000,491965,468800,1500000,545000,6350.496099999999,0.0,79.69,0.0,1500000,184550000,4000000,1500000,93,92,1.2100000000000002,0.1444,1.1,-0.38,1.2995999999999999,1.4884,1.14,1.22,1,6,729,324,27,18,81,9,9,3,14.22097566607244,13.10616285473262,14.22097566607244
ATL,ATL,6.4,6.4,2016,9,8,4,9,324,3,18,6,4,1,81,1,64,1,8,1,9,36.0,45.5625,6.0,6.75,0.0004395044148218469,0.0004938271604938272,0.020964360587002098,0.022222222222222223,0.01582215893358649,0.0225,0.12578616352201258,0.15,2.8560999999999996,12.96,1.69,3.6,36,35,BAL,Atlanta Braves,Atlanta Braves,28.09,400.0,5.3,20.0,64,400,0,0,0,0,8,20,161,162,Darren O'Day,0,4,0,2,18,18,220,220,25,24,RP,RP,0.6024844720496895,0.5555555555555556,0,4,0,2,UFA,36,729,6,27,9000000,9000000,9000000,2999994,9000000,9000000,0.0,0.0,0.0,0.0,31000000,52210000,2900000,7750000,97,90,0.0324,0.12249999999999998,0.18,0.35,0.5625,1.2100000000000002,0.75,1.1,3,3,1,16,1,4,0,0,0,0,16.012735135300492,16.012735135300492,16.012735135300492
BOS,BOS,6.5,6.5,2016,9,8,7,11881,22801,109,151,1,3,3249,5625,2601,4900,51,70,57,75,16.0,12.531600000000001,4.0,3.54,0.0010980332562318831,0.0009963906744209776,0.033136584860722795,0.03156565656565657,0.01756853209971013,0.01248636937557392,0.13254633944289118,0.11174242424242424,18.3184,12.8164,4.28,3.58,33,32,TOR,Boston Red Sox,Boston Red Sox,11513.289999999999,30976.0,107.3,176.0,484,900,484,900,22,30,22,30,161,162,David Price,25,49,5,7,14,14,215,215,24,24,SP,SP,0.515527950310559,0.6666666666666666,0,0,0,0,UFA,16384,31329,128,177,31000000,30000000,31000000,30000000,31000000,30000000,169.5204,1646.7363999999998,13.02,40.58,217000000,68000000,131000000,31000000,83,108,3.3489000000000004,19.5364,1.83,4.42,1.7161000000000002,1.2995999999999999,1.31,1.14,9,9,1024,2500,32,50,49,256,7,16,17.24949776244942,17.24949776244942,17.24949776244942
