Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio,Anio_t,Anio_t_1,Anios_contrato,Bateos_pitcher_2_t,Bateos_pitcher_2_t_1,Bateos_pitcher_t,Bateos_pitcher_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_t,Edad_t_1,Equipo_anterior,Equipo_t,Equipo_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_iniciados_2_t,Juegos_iniciados_2_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Status,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,Sueldo_t,Sueldo_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_promedio_contrato,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_base_t,ln_Sueldo_regular_t,ln_Sueldo_t
MIN,BOS,6.4,6.4,2018,8,7,2,4225,4225,65,65,6,1,900,576,784,576,28,24,30,24,8.604444444444443,25.67111111111111,2.933333333333333,5.066666666666666,0.0008857709750566893,0.00048091720529393656,0.02976190476190476,0.021929824561403508,0.007621567145376668,0.012345679012345678,0.0873015873015873,0.1111111111111111,20.25,8.0656,4.5,2.84,29,28,BOS,Minnesota Twins,Boston Red Sox,3136.0,5776.0,56.0,76.0,3025,5929,0,0,0,0,55,77,162,162,Addison Reed,36,9,6,3,6,13,230,230,15,23,RP,RP,0.4814814814814814,0.5740740740740741,0,361,0,19,UFA,1936,5776,44,76,8250000,7750000,8250000,2668050,8250000,7750000,7.398400000000001,1066.6755999999998,2.72,32.66,16750000,52250000,5500000,8375000,78,93,0.0121,0.30250000000000005,0.11,0.55,2.0448999999999997,1.1025,1.43,1.05,3,8,225,225,15,15,1,4,1,2,15.925723758310864,15.925723758310864,15.925723758310864
BAL,TB,6.3,6.3,2018,8,7,4,29584,30625,172,175,2,5,8649,6084,6889,5329,83,73,93,78,5.626825310978909,8.462809917355372,2.372093023255814,2.909090909090909,0.0009841291268109671,0.00074346367645576,0.03137083242139053,0.027266530334014997,0.0055375226800115215,0.0062917917743032905,0.07441453272050777,0.07932081551713453,24.010000000000005,13.395600000000002,4.9,3.66,30,29,TB,Baltimore Orioles,Tampa Bay Rays,23195.290000000005,32148.490000000005,152.3,179.3,784,841,784,841,28,29,28,29,162,162,Alex Cobb,225,100,15,10,7,1,205,205,14,4,SP,SP,0.2901234567901234,0.4938271604938271,0,0,0,0,UFA,10404,16384,102,128,14000000,4200000,7500000,4200000,14000000,4200000,181.1716,6000.051599999999,13.46,77.46,57000000,73000000,21700000,14250000,47,80,1.2544000000000002,5.6169,1.12,2.37,1.9880999999999998,1.4884,1.41,1.22,3,0,1849,1936,43,44,25,144,5,12,16.454567887579532,15.830413578506539,16.454567887579532
BAL,TEX,6.6,6.6,2018,8,7,2,31329,24336,177,156,2,4,9409,5625,8100,3969,90,63,97,75,2.3197633136094673,1.8056640625,1.523076923076923,1.34375,0.0022282239235832586,0.0018197164850617604,0.04720406681190995,0.042658135039658734,0.0051689521124353875,0.0032857966610148385,0.0718954248366013,0.057321868959541424,27.9841,11.559999999999999,5.29,3.4,31,30,TEX,Baltimore Orioles,Texas Rangers,23409.0,27788.889999999996,153.0,166.7,900,784,784,784,28,28,30,28,162,162,Andrew Cashner,256,121,16,11,7,2,235,235,14,8,SP,SP,0.2901234567901234,0.4814814814814814,0,0,0,0,UFA,9801,7396,99,86,5000000,10000000,9500000,10000000,9500000,10000000,109.83040000000001,6559.380099999999,10.48,80.99,16000000,73000000,36000000,8000000,47,78,0.3721,18.147599999999997,0.61,4.26,2.4964000000000004,1.7424000000000002,1.58,1.32,3,0,4225,4096,65,64,25,121,5,11,15.424948470398375,16.06680235657077,16.06680235657077
ATL,DET,6.0,6.0,2018,8,7,1,11236,19321,106,139,4,1,2304,6561,1849,5625,43,75,48,81,10.331632653061225,12.86087990487515,3.2142857142857144,3.586206896551724,0.0011654040762148104,0.0009363845395719838,0.03413801511826384,0.030600400970771345,0.012040526807831587,0.012042729108217095,0.1097293343087052,0.10973936899862827,8.0089,41.088100000000004,2.83,6.41,34,33,DET,Atlanta Braves,Detroit Tigers,18686.889999999996,11088.09,136.7,105.3,625,784,576,289,24,17,25,28,162,162,Anibal Sanchez,36,49,6,7,18,11,205,205,24,16,SP,RP,0.5555555555555556,0.3950617283950617,0,0,0,0,UFA,18225,10816,135,104,1000000,16000000,1000000,16800000,1000000,16800000,7216.5025000000005,0.0,84.95,0.0,2500000,2900000,2000000,2500000,90,64,9.060099999999998,0.5041,3.01,-0.71,1.1664,2.5600000000000005,1.08,1.6,3,4,1764,841,42,29,49,9,7,3,13.815510557964274,13.815510557964274,13.815510557964274
NYM,MIL,6.4,6.4,2018,8,7,2,784,3364,28,58,8,3,324,441,324,400,18,20,18,21,4.903061224489797,17.109504132231407,2.2142857142857144,4.136363636363637,0.003498320181612793,0.0010000031198444444,0.05914659907055344,0.03162282593071727,0.017152478033315783,0.017109557511222815,0.13096746937051118,0.13080350725887596,37.822500000000005,5.4289000000000005,6.15,2.33,32,31,MIL,New York Mets,Milwaukee Brewers,691.69,5975.29,26.3,77.3,841,4900,0,0,0,0,29,70,162,162,Anthony Swarzak,4,16,2,4,5,1,215,215,9,4,RP,RP,0.4753086419753086,0.5308641975308642,16,4,4,2,UFA,961,8281,31,91,5000000,900000,5500000,339342,5500000,900000,0.0,8065.8361,0.0,89.81,14000000,89635000,7550000,7000000,77,86,0.17639999999999997,3.6481,-0.42,1.91,2.5600000000000005,1.0609,1.6,1.03,2,0,196,484,14,22,0,36,0,6,15.424948470398375,15.520258650202699,15.520258650202699
NYY,NYY,6.4,6.4,2017,8,7,5,576,1369,24,37,2,3,225,400,196,324,14,18,15,20,9.610000000000001,11.902500000000002,3.1,3.45,0.004222044051963229,0.0019518165776467524,0.0649772579597141,0.04417936823503424,0.040573843339366644,0.02323149681544047,0.20142949967511373,0.15241882041086813,6.0516,10.368400000000001,2.46,3.22,30,29,CHC,New York Yankees,New York Yankees,2631.6899999999996,2530.0899999999997,51.3,50.3,3025,2704,0,0,0,0,55,52,162,162,Aroldis Chapman,0,9,0,3,40,40,218,218,54,53,RP,RP,0.6172839506172839,0.5617283950617284,1024,484,32,22,UFA,8649,4761,93,69,15000000,15000000,17200000,17200000,17200000,17200000,2417.6889,315.0625,49.17,17.75,86000000,14000000,102500000,17200000,100,91,3.0276,0.9216,1.74,0.96,1.1025,1.2768999999999997,1.05,1.13,27,27,900,400,30,20,9,16,3,4,16.523560759066484,16.660419941783683,16.660419941783683
ARI,MIA,6.4,6.4,2017,8,7,2,5041,3249,71,57,2,6,1156,841,1024,625,32,25,34,29,4.0,2.640625,2.0,1.625,0.0014205614427031084,0.0014307350960436822,0.03769033619779888,0.037825059101654845,0.005682245770812434,0.003778034862990348,0.07538067239559776,0.061465721040189124,15.288100000000002,22.9441,3.91,4.79,38,37,BOS,Arizona Diamondbacks,Miami Marlins,5431.6900000000005,2209.0,73.7,47.0,6724,2809,0,0,0,0,82,53,162,162,Brad Ziegler,36,16,6,4,1,2,220,220,6,2,RP,RP,0.5061728395061729,0.4753086419753086,100,100,10,10,UFA,2500,676,50,26,9000000,7000000,2999994,7000000,9000000,7000000,119.68359999999998,17.472399999999997,10.94,4.18,16000000,15750000,57250000,8000000,82,77,0.0625,0.5476,-0.25,-0.74,1.6900000000000002,2.4025000000000003,1.3,1.55,1,2,625,256,25,16,4,1,2,1,16.012735135300492,14.914120846630384,16.012735135300492
ATL,LAD,6.7,6.7,2015,8,7,4,8836,7921,94,89,4,6,2025,1849,1849,1681,43,41,45,43,9.580498866213153,7.111111111111111,3.0952380952380953,2.6666666666666665,0.0008790308272523234,0.0010473287879263935,0.029648454044896227,0.032362459546925564,0.008421553843857293,0.00744767138080991,0.0917690244246788,0.08629989212513484,24.2064,15.8404,4.92,3.98,34,33,NYY,Atlanta Braves,Los Angeles Dodgers,6193.6900000000005,8593.29,78.7,92.7,225,361,225,256,15,16,15,19,162,162,Brandon McCarthy,9,16,3,4,18,25,225,225,24,31,SP,SP,0.5555555555555556,0.6419753086419753,0,0,0,0,UFA,4225,5184,65,72,10000000,10000000,7000000,11500000,11500000,11500000,0.0,2571.5041,0.0,50.71,48000000,2900000,199600000,12000000,90,104,0.07840000000000001,0.5476,-0.28,0.74,2.1315999999999997,1.5625,1.46,1.25,3,6,441,729,21,27,36,36,6,6,16.11809565095832,15.761420707019587,16.25785759333348
CHC,LAD,6.3,6.3,2018,8,7,2,576,961,24,31,7,6,25,100,25,100,5,10,5,10,11.8641975308642,30.864197530864196,3.4444444444444446,5.555555555555555,0.0010610192150579847,0.0005236451989589933,0.03257328990228013,0.02288329519450801,0.01258814155149041,0.016161888856759052,0.11219688744118711,0.12712941774726672,2.1609,4.2436,1.47,2.06,33,32,LAD,Chicago Cubs,Los Angeles Dodgers,942.49,1909.6900000000003,30.7,43.7,1225,2025,0,0,0,0,35,45,163,162,Brandon Morrow,0,0,0,0,17,25,205,205,20,31,RP,RP,0.5828220858895705,0.6419753086419753,484,4,22,2,UFA,961,2500,31,50,9000000,1250000,9000000,1250000,9000000,1250000,0.0,0.0,0.0,0.0,21000000,215545000,199600000,10500000,95,104,2.0736,1.3224999999999998,1.44,1.15,1.1664,0.8464,1.08,0.92,3,6,81,81,9,9,0,36,0,6,16.012735135300492,16.012735135300492,16.012735135300492
STL,STL,0.0,0.0,2017,8,7,4,1521,4489,39,67,3,2,729,961,625,841,25,29,27,31,0.5776,17.015625,0.76,4.125,0.007216049324987653,0.0006977901232114735,0.08494733265375466,0.02641571735182434,0.004167990090112869,0.011873335065270229,0.06455997281685355,0.1089648340762754,47.4721,15.0544,6.89,3.88,31,30,TOR,St. Louis Cardinals,St. Louis Cardinals,1069.2900000000002,4529.29,32.7,67.3,1600,5329,0,0,0,0,40,73,162,162,Brett Cecil,1,16,1,4,23,23,235,235,28,28,RP,RP,0.5432098765432098,0.5123456790123457,0,1,0,1,UFA,361,4356,19,66,7500000,7500000,7750000,7750000,7750000,7750000,0.0,152.2756,0.0,12.34,30500000,28000000,113000000,7625000,88,83,0.9409,0.25,-0.97,0.5,3.8415999999999997,1.5129,1.96,1.23,11,11,625,256,25,16,1,4,1,2,15.830413578506539,15.86320340132953,15.86320340132953
