Acronimo,Altura,Anio,Anio_de_agente_libre,Anio_inicio_de_contrato,Anios_de_contrato,Bateos_pitcher,Bateos_pitcher_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Control,Dominio,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
MIL,0.0,2011,2013,2010,3,214,45796,0,1,1,95,9025,87,7569,2.0303030303030303,0.03454231433506045,0.07013136546815303,3.69,13.6161,34,33,Milwaukee Brewers,Wisconsin,62962104,212.3,45071.29000000001,33,162,1089,33,1089,Randy Wolf,10,100,1,0,4,SP,0.5925925925925926,0,0,134,17956,9500000,9500000,9500000,43.6,1900.96,775000,29750000,96,2.5,6.25,1.32,1.7424000000000002,0,66,4356,13,169,16.06680235657077,16.06680235657077,16.06680235657077
MIL,6.2,2011,2016,2010,5,193,37249,250000,1,1,92,8464,81,6561,3.5084745762711864,0.031623519322506295,0.11095031355523395,3.52,12.3904,25,23,Milwaukee Brewers,Wisconsin,6923000,207.3,42973.29000000001,33,162,1089,33,1089,Yovani Gallardo,10,100,1,205,4,RP,0.5925925925925926,0,0,207,42849,3500000,3250000,3500000,60.27,3632.4729,775000,30100000,96,2.25,5.0625,1.22,1.4884,0,59,3481,17,289,15.068273526459642,14.994165554305921,15.068273526459642
MIL,6.2,2011,2013,2009,4,161,25921,0,1,1,82,6724,73,5329,4.466666666666667,0.029120559114735003,0.13007183071248302,3.83,14.6689,27,25,Milwaukee Brewers,Wisconsin,29897172,171.7,29480.889999999996,29,162,841,28,784,Zack Greinke,6,36,1,200,4,SP,0.5925925925925926,0,0,201,40401,13500000,13500000,13500000,45.52,2072.0704,775000,38000000,96,1.4,1.9599999999999997,1.2,1.44,0,45,2025,16,256,16.41820024340866,16.41820024340866,16.41820024340866
MIL,6.0,2011,0,2009,3,67,4489,666667,1,1,22,484,21,441,3.0384615384615383,0.04029133736246707,0.12242367890903455,2.64,6.969600000000001,29,26,Milwaukee Brewers,Wisconsin,57069166,71.7,5140.89,73,162,5329,0,0,Francisco Rodriguez,2,4,1,180,4,RP,0.5925925925925926,23,529,79,6241,2450819,11500000,12166667,9.28,86.1184,775000,37000000,96,0.94,0.8835999999999999,1.3,1.6900000000000002,0,26,676,6,36,14.711932812374174,16.25785759333348,16.31421055728187
MIL,6.5,2011,2012,2010,2,50,2500,250000,1,1,15,225,13,169,2.8,0.02300437083045779,0.06441223832528181,2.42,5.8564,38,37,Milwaukee Brewers,Wisconsin,35750000,48.3,2332.89,52,162,2704,0,0,LaTroy Hawkins,1,1,1,195,4,RP/CL,0.5925925925925926,0,0,28,784,4250000,4000000,4250000,59.05,3486.9024999999997,775000,7500000,96,0.94,0.8835999999999999,1.24,1.5376,0,10,100,3,9,15.2624295409006,15.201804919084164,15.2624295409006
