Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2
Robinson Cano,2014,UFA,NYY,10,240000000,24000000,2B,157,0.969,595,187,14,82,0.314,0.836,SEA,24000000,24050000,24050000,24649,0.9389609999999999,354025,34969,196,6724,0.098596,0.698896
Jacoby Ellsbury,2014,UFA,BOS,7,153000000,21857143,CF,149,0.92,575,156,16,70,0.271,0.747,NYY,21142857,21142857,21142857,22201,0.8464,330625,24336,256,4900,0.073441,0.558009
Shin-Soo Choo,2014,UFA,CIN,7,130000000,18571429,RF,123,0.759,455,110,13,40,0.242,0.714,TEX,14000000,14000000,14000000,15129,0.5760810000000001,207025,12100,169,1600,0.058564,0.5097959999999999
Brian McCann,2014,UFA,ATL,5,85000000,17000000,C,140,0.864,495,115,23,75,0.232,0.692,NYY,17000000,17000000,17000000,19600,0.7464959999999999,245025,13225,529,5625,0.053824000000000004,0.47886399999999996
Curtis Granderson,2014,UFA,NYY,4,60000000,15000000,RF,155,0.957,564,128,20,66,0.227,0.714,NYM,13000000,13000000,13000000,24025,0.9158489999999999,318096,16384,400,4356,0.051529000000000005,0.5097959999999999
Jhonny Peralta,2014,UFA,DET,4,53000000,13250000,3B,157,0.969,560,147,21,75,0.263,0.779,STL,15500000,15500000,15500000,24649,0.9389609999999999,313600,21609,441,5625,0.06916900000000001,0.6068410000000001
Matt Garza,2014,UFA,TEX,4,50000000,12500000,SP,27,0.167,49,3,0,0,0.061,0.162,MIL,12500000,12500000,12500000,729,0.027889000000000004,2401,9,0,0,0.003721,0.026244
Ricky Nolasco,2014,UFA,LAD,4,49000000,12250000,SP,27,0.167,2,0,0,0,0.0,0.0,MIN,12000000,12000000,12000000,729,0.027889000000000004,4,0,0,0,0.0,0.0
Carlos Beltran,2014,UFA,STL,3,45000000,15000000,DH,109,0.673,403,94,15,49,0.233,0.703,NYY,15000000,15000000,15000000,11881,0.4529290000000001,162409,8836,225,2401,0.054289000000000004,0.49420899999999995
Mike Napoli,2014,UFA,BOS,2,32000000,16000000,1B,119,0.735,415,103,17,55,0.248,0.789,BOS,16000000,16000000,16000000,14161,0.540225,172225,10609,289,3025,0.061503999999999996,0.6225210000000001
Omar Infante,2014,UFA,DET,4,30250000,7562500,2B,135,0.833,528,133,6,66,0.252,0.632,KC,5000000,5000000,5000000,18225,0.693889,278784,17689,36,4356,0.063504,0.399424
Scott Feldman,2014,UFA,BAL,3,30000000,10000000,SP,29,0.179,2,0,0,0,0.0,0.0,HOU,12000000,12000000,12000000,841,0.032041,4,0,0,0,0.0,0.0
Tim Hudson,2014,UFA,ATL,3,28000000,9333333,SP,31,0.191,53,2,0,1,0.038,0.127,SF,11000000,11025000,11025000,961,0.036481,2809,4,0,1,0.001444,0.016129
Carlos Ruiz,2014,UFA,PHI,3,26000000,8666667,C,110,0.679,381,96,6,31,0.252,0.717,PHI,8500000,8500000,8500000,12100,0.4610410000000001,145161,9216,36,961,0.063504,0.5140889999999999
Phil Hughes,2014,UFA,NYY,3,24000000,8000000,RP,32,0.198,6,0,0,0,0.0,0.0,MIN,8000000,8500000,8500000,1024,0.039204,36,0,0,0,0.0,0.0
Bronson Arroyo,2014,UFA,CIN,2,23500000,11750000,SP,15,0.093,27,6,0,0,0.222,0.444,ARI,9500000,9500000,9500000,225,0.008649,729,36,0,0,0.049284,0.197136
Scott Kazmir,2014,UFA,CLE,2,22000000,11000000,SP,32,0.198,4,0,0,0,0.0,0.0,OAK,7000000,9050000,9050000,1024,0.039204,16,0,0,0,0.0,0.0
Jarrod Saltalamacchia,2014,UFA,BOS,3,21000000,7000000,C,114,0.704,373,82,11,44,0.22,0.681,MIA,6000000,6000000,6000000,12996,0.49561599999999995,139129,6724,121,1936,0.0484,0.4637610000000001
James Loney,2014,UFA,TB,3,21000000,7000000,1B,155,0.957,600,174,9,69,0.29,0.716,TB,1000000,2666666,2666666,24025,0.9158489999999999,360000,30276,81,4761,0.0841,0.512656
Bartolo Colon,2014,UFA,OAK,2,20000000,10000000,SP,31,0.191,62,2,0,0,0.032,0.081,NYM,9000000,9000000,9000000,961,0.036481,3844,4,0,0,0.001024,0.006561
Marlon Byrd,2014,UFA,PIT,2,16000000,8000000,LF,154,0.951,591,156,25,85,0.264,0.757,PHI,8000000,8000000,8000000,23716,0.9044009999999999,349281,24336,625,7225,0.06969600000000001,0.573049
Hiroki Kuroda,2014,UFA,NYY,1,16000000,16000000,SP,32,0.198,3,0,0,0,0.0,0.0,NYY,16000000,16000000,16000000,1024,0.039204,9,0,0,0,0.0,0.0
A.J. Burnett,2014,UFA,PIT,1,16000000,16000000,SP,34,0.21,60,8,0,1,0.133,0.341,PHI,7500000,11250000,11250000,1156,0.04409999999999999,3600,64,0,1,0.017689000000000003,0.11628100000000002
Juan Uribe,2014,UFA,LAD,2,15000000,7500000,3B,103,0.636,386,120,9,54,0.311,0.777,LAD,6500000,7500000,7500000,10609,0.404496,148996,14400,81,2916,0.096721,0.6037290000000001
Ervin Santana,2014,UFA,KC,1,14100000,14100000,SP,31,0.191,63,7,0,1,0.111,0.265,ATL,14100000,14100000,14100000,961,0.036481,3969,49,0,1,0.012321,0.07022500000000001
Justin Morneau,2014,UFA,PIT,2,12500000,6250000,1B,135,0.833,502,160,17,82,0.319,0.86,COL,5000000,5000000,5000000,18225,0.693889,252004,25600,289,6724,0.101761,0.7395999999999999
Nate McLouth,2014,UFA,BAL,2,10750000,5375000,LF,79,0.488,139,24,1,7,0.173,0.517,WSH,5000000,5000000,5000000,6241,0.238144,19321,576,1,49,0.029928999999999997,0.267289
Brad Ziegler,2014,UFA,ARI,2,10500000,5250000,RP,68,0.42,1,0,0,0,0.0,0.0,ARI,4500000,4500000,4500000,4624,0.17639999999999997,1,0,0,0,0.0,0.0
Stephen Drew,2014,UFA,BOS,1,10093443,10093443,2B,85,0.525,271,44,7,26,0.162,0.536,NYY,14100000,14100000,3122950,7225,0.275625,73441,1936,49,676,0.026244,0.28729600000000005
Rajai Davis,2014,UFA,TOR,2,10000000,5000000,CF,134,0.827,461,130,8,51,0.282,0.721,DET,5000000,5000000,5000000,17956,0.6839289999999999,212521,16900,64,2601,0.07952399999999998,0.519841
Dan Haren,2014,UFA,WSH,1,10000000,10000000,SP,32,0.198,54,10,0,5,0.185,0.432,LAD,10000000,11000000,11000000,1024,0.039204,2916,100,0,25,0.034225,0.18662399999999998
Nelson Cruz,2014,UFA,TEX,1,8000000,8000000,DH,159,0.982,613,166,40,108,0.271,0.859,BAL,8000000,8000000,8000000,25281,0.964324,375769,27556,1600,11664,0.073441,0.737881
Dioner Navarro,2014,UFA,CHC,2,8000000,4000000,C,139,0.858,481,132,12,69,0.274,0.712,TOR,3000000,3000000,3000000,19321,0.7361639999999999,231361,17424,144,4761,0.07507600000000002,0.506944
Garrett Jones,2014,UFA,PIT,2,7750000,3875000,RF,146,0.901,496,122,15,53,0.246,0.72,MIA,2750000,2750000,2750000,21316,0.811801,246016,14884,225,2809,0.060516,0.5184
Kendrys Morales,2014,UFA,SEA,1,7540983,7540983,DH,98,0.605,367,80,8,42,0.218,0.612,SEA,12000000,12000000,4393442,9604,0.366025,134689,6400,64,1764,0.047524,0.374544
Chris Young,2014,UFA,OAK,1,7250000,7250000,RF,111,0.685,325,72,11,38,0.222,0.71,SEA,1500000,4725000,4725000,12321,0.46922500000000006,105625,5184,121,1444,0.049284,0.5041
Chris Young,2014,UFA,OAK,1,7250000,7250000,RF,111,0.685,325,72,11,38,0.222,0.71,NYY,500000,500000,73770,12321,0.46922500000000006,105625,5184,121,1444,0.049284,0.5041
Chris Young,2014,UFA,OAK,1,7250000,7250000,RP,30,0.185,1,0,0,0,0.0,0.0,SEA,1500000,4725000,4725000,900,0.034225,1,0,0,0,0.0,0.0
Chris Young,2014,UFA,OAK,1,7250000,7250000,RP,30,0.185,1,0,0,0,0.0,0.0,NYY,500000,500000,73770,900,0.034225,1,0,0,0,0.0,0.0
Corey Hart,2014,UFA,MIL,1,6000000,6000000,RF,68,0.42,232,47,6,21,0.203,0.59,SEA,6000000,6000000,6000000,4624,0.17639999999999997,53824,2209,36,441,0.041209,0.34809999999999997
Mike Morse,2014,UFA,BAL,1,6000000,6000000,LF,131,0.809,438,122,16,61,0.279,0.811,SF,6000000,6000000,6000000,17161,0.6544810000000001,191844,14884,256,3721,0.07784100000000002,0.6577210000000001
Jason Hammel,2014,UFA,BAL,1,6000000,6000000,SP,30,0.185,37,5,0,3,0.135,0.293,OAK,6000000,6000000,2852459,900,0.034225,1369,25,0,9,0.018225,0.085849
Willie Bloomquist,2014,UFA,ARI,2,5800000,2900000,2B,47,0.29,133,37,1,14,0.278,0.643,SEA,2800000,2800000,2800000,2209,0.0841,17689,1369,1,196,0.07728400000000002,0.413449
Mark Ellis,2014,UFA,LAD,1,5250000,5250000,2B,73,0.451,178,32,0,12,0.18,0.466,STL,5250000,5250000,5250000,5329,0.203401,31684,1024,0,144,0.0324,0.21715600000000002
Skip Schumaker,2014,UFA,LAD,2,5000000,2500000,LF,83,0.512,247,58,2,22,0.235,0.595,CIN,2000000,2000000,2000000,6889,0.262144,61009,3364,4,484,0.055224999999999996,0.354025
Ryan Vogelsong,2014,UFA,SF,1,5000000,5000000,SP,32,0.198,61,7,0,2,0.115,0.304,SF,5000000,5000000,5000000,1024,0.039204,3721,49,0,4,0.013225,0.092416
Edinson Volquez,2014,UFA,LAD,1,5000000,5000000,SP,32,0.198,53,2,0,2,0.038,0.127,PIT,5000000,5000000,5000000,1024,0.039204,2809,4,0,4,0.001444,0.016129
Jose Molina,2014,UFA,TB,2,4500000,2250000,C,80,0.494,225,40,0,10,0.178,0.417,TB,1750000,1750000,1750000,6400,0.244036,50625,1600,0,100,0.031684,0.173889
Gavin Floyd,2014,UFA,CHW,1,4000000,4000000,RP,9,0.056,18,2,0,0,0.111,0.222,ATL,4000000,4000000,4000000,81,0.0031360000000000003,324,4,0,0,0.012321,0.049284
Jeff Baker,2014,UFA,TEX,2,3700000,1850000,1B,90,0.556,208,55,3,28,0.264,0.701,MIA,1600000,1600000,1600000,8100,0.3091360000000001,43264,3025,9,784,0.06969600000000001,0.4914009999999999
Rafael Furcal,2014,UFA,STL,1,3500000,3500000,SS,9,0.056,35,6,0,2,0.171,0.445,MIA,3500000,3500000,3500000,81,0.0031360000000000003,1225,36,0,4,0.029241000000000003,0.198025
Kelly Johnson,2014,UFA,TB,1,3000000,3000000,2B,106,0.654,265,57,7,27,0.215,0.659,BAL,3000000,3000000,983606,11236,0.42771600000000004,70225,3249,49,729,0.046224999999999995,0.43428100000000003
