Acronimo,Altura,Anio,Anios_contrato,Bateos_pitcher,Bateos_pitcher_2,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Equipo,Equipo_anterior,Estado,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status,Strike-outs,Strike-outs_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2
NYM,6.7,2012,2,153,23409,2,10,91,8281,86,7396,2.825,7.980625000000001,0.031014964720477628,0.0009619280366124719,0.0876172753353493,0.007676786937190408,5.4,29.160000000000004,35,New York Mets,SD,New York,143.3,20534.890000000003,26,162,676,26,676,Aaron Harang,12,144,5,260,8,SP,0.4567901234567901,0,0,UFA,113,12769,5500000,5500000,5500000,8.02,64.32039999999999,12000000,7150000,6000000,74,0.24,0.0576,1.35,1.8225000000000002,2,40,1600,5,25
DET,6.0,2013,5,156,24336,1,4,56,3136,52,2704,3.740740740740741,13.993141289437586,0.03296703296703297,0.0010868252626494385,0.12332112332112333,0.015208099457183709,2.57,6.604899999999999,29,Detroit Tigers,DET,Michigan,182.0,33124.0,29,162,841,29,841,Anibal Sanchez,8,64,11,205,15,RP,0.5740740740740741,0,0,UFA,202,40804,8800000,8000000,8800000,80.8,6528.639999999999,80000000,107775000,16000000,93,6.02,36.240399999999994,1.15,1.3224999999999998,4,54,2916,14,196
ARI,6.7,2013,2,161,25921,1,7,71,5041,68,4624,3.619047619047619,13.097505668934241,0.01728395061728395,0.0002987349489407102,0.06255144032921811,0.003912682687259734,4.53,20.5209,29,Arizona Diamondbacks,OAK,Arizona,135.0,18225.0,22,162,484,22,484,Brandon McCarthy,11,121,1,225,5,SP,0.5,0,0,UFA,76,5776,5250000,4000000,5250000,34.32,1177.8624,15500000,54650000,7750000,81,-0.22,0.0484,1.35,1.8225000000000002,1,21,441,5,25
LAD,0.0,2013,1,8,64,5,7,1,1,1,1,3.25,10.5625,0.032441200324412,0.0010524314784886293,0.10543390105433902,0.01111630749153615,0.66,0.43560000000000004,31,Los Angeles Dodgers,SF,California,13.7,187.68999999999997,18,162,324,0,0,Brian Wilson,1,1,25,0,27,RP,0.5679012345679012,0,0,UFA,13,169,1000000,1000000,1000000,0.0,0.0,1000000,150850000,1000000,92,0.64,0.4096,0.88,0.7744,6,4,16,2,4
LAA,6.1,2012,5,200,40000,5,8,93,8649,80,6400,2.211764705882353,4.891903114186852,0.044486313916365726,0.0019790321258654348,0.09839325901502068,0.009681233419596948,3.39,11.4921,32,Los Angeles Angels,TEX,California,212.3,45071.29000000001,33,162,1089,33,1089,C.J. Wilson,7,49,1,210,10,SP,0.4814814814814814,0,0,UFA,188,35344,11500000,11000000,11500000,49.17,2417.6889,77500000,153500000,15500000,78,3.43,11.7649,1.34,1.7956000000000003,1,85,7225,17,289
CHC,6.2,2013,2,117,13689,2,10,58,3364,58,3364,2.575,6.630625000000001,0.0345333678667012,0.001192553496216911,0.08892342225675559,0.007907375025853255,4.06,16.483599999999996,29,Chicago Cubs,TOR,Illinois,128.7,16563.69,47,162,2209,15,225,Carlos Villanueva,8,64,17,215,16,RP,0.4074074074074074,0,0,UFA,103,10609,5000000,5000000,5000000,0.0,0.0,10000000,73850000,5000000,66,1.44,2.0736,1.22,1.4884,2,40,1600,7,49
MIA,6.4,2013,1,57,3249,2,12,18,324,18,324,2.5789473684210527,6.650969529085873,0.034050179211469536,0.0011594147043331921,0.08781362007168458,0.007711231870094166,2.61,6.812099999999999,34,Miami Marlins,PIT,Florida,62.0,3844.0,66,162,4356,0,0,Chad Qualls,2,4,2,245,2,RP,0.382716049382716,0,0,UFA,49,2401,1150000,1150000,1150000,72.93,5318.784900000001,1150000,7675000,1150000,62,1.77,3.1329000000000002,1.23,1.5129,2,19,361,5,25
WSH,6.5,2013,1,179,32041,1,11,92,8464,88,7744,4.870967741935484,23.726326742976067,0.020297256596608394,0.000411978625348563,0.0988672821318667,0.009774739476142128,4.67,21.808899999999998,32,Washington Nationals,LAA,Washington DC,169.7,28798.089999999997,31,162,961,30,900,Dan Haren,14,196,1,215,2,SP,0.5308641975308642,1,1,UFA,151,22801,13000000,13000000,13000000,11.67,136.1889,13000000,67000000,13000000,86,0.05,0.0025000000000000005,1.24,1.5376,0,31,961,10,100
CHC,0.0,2013,4,197,38809,2,10,110,12100,97,9409,2.288135593220339,5.235564492961793,0.037396209672307786,0.0013984764978552063,0.08556759840273816,0.007321813896412278,4.98,24.800400000000003,29,Chicago Cubs,WSH,Illinois,175.3,30730.090000000004,31,162,961,31,961,Edwin Jackson,18,324,17,210,16,SP,0.4074074074074074,0,0,UFA,135,18225,13000000,11000000,13000000,10.52,110.67039999999999,52000000,73850000,13000000,66,-1.35,1.8225000000000002,1.46,2.1315999999999997,2,59,3481,8,64
HOU,0.0,2013,1,149,22201,2,5,83,6889,77,5929,1.84,3.3856,0.05518763796909492,0.003045675384607887,0.10154525386313466,0.010311438582128464,4.59,21.068099999999998,34,Houston Astros,PIT,Texas,151.0,22801.0,32,162,1024,26,676,Erik Bedard,12,144,1,0,9,SP,0.3148148148148148,1,1,UFA,138,19044,1150000,1150000,1150000,16.69,278.5561,1150000,5900000,1150000,51,0.96,0.9216,1.48,2.1904,0,75,5625,4,16
