Acronimo,Altura,Anio,Anios_contrato,Bateos_pitcher,Bateos_pitcher_2,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Equipo,Equipo_anterior,Estado,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status,Strike-outs,Strike-outs_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2
NYM,6.6,2019,0,57,3249,2,6,33,1089,33,1089,1.935483870967742,3.746097814776275,0.06343359934520156,0.004023821525887555,0.12277470841006753,0.015073629025177107,5.47,29.920899999999996,33,New York Mets,CHC,New York,54.3,2948.49,59,161,3481,0,0,Brad Brach,4,16,5,215,9,RP,0.5279503105590062,0,0,UFA,60,3600,555000,555000,158152,23.15,535.9224999999999,0,79000000,0,85,-0.37,0.1369,1.62,2.6244000000000005,2,31,961,5,25
OAK,6.4,2019,1,181,32761,5,6,80,6400,76,5776,1.836734693877551,3.3735943356934612,0.030934343434343436,0.0009569336037139069,0.056818181818181816,0.0032283057851239666,3.89,15.132100000000001,31,Oakland Athletics,OAK,California,176.0,30976.0,32,162,1024,31,961,Brett Anderson,9,81,15,230,28,SP,0.5987654320987654,0,0,UFA,90,8100,1500000,1500000,1500000,78.02,6087.1204,1500000,37600000,1500000,97,2.52,6.3504000000000005,1.31,1.7161000000000002,9,49,2401,13,169
WSH,0.0,2019,1,2,4,1,7,2,4,2,4,,,0.0,0.0,0.0,0.0,18.0,324.0,32,Washington Nationals,LAD,Washington DC,1.0,1.0,135,162,18225,114,12996,Brian Dozier,0,0,1,200,6,2B,0.5740740740740741,0,0,UFA,0,0,9000000,9000000,9000000,27.48,755.1504,9000000,184550000,9000000,93,1.27,1.6129,2.0,4.0,1,0,0,0,0
COL,6.1,2018,3,69,4761,1,1,44,1936,43,1849,2.0,4.0,0.044753086419753084,0.002002838744093888,0.08950617283950617,0.008011354976375552,5.38,28.944399999999998,31,Colorado Rockies,CLE,Colorado,72.0,5184.0,70,161,4900,1,1,Bryan Shaw,2,4,1,226,5,RP,0.4347826086956521,1,1,UFA,58,3364,8500000,8500000,8500000,5.91,34.9281,27000000,24000000,9000000,70,0.58,0.3364,1.36,1.8496000000000004,0,29,841,3,9
ARI,6.3,2019,1,0,0,1,4,0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,33,Arizona Diamondbacks,BAL,Arizona,1.3,1.6900000000000002,20,162,400,11,121,Caleb Joseph,0,0,1,180,6,C,0.5246913580246914,0,0,UFA,0,0,1100000,1100000,473120,0.0,0.0,1100000,11600000,1100000,85,-0.01,0.0001,0.0,0.0,1,0,0,0,0
TB,6.5,2019,2,154,23716,2,2,71,5041,66,4356,4.2105263157894735,17.728531855955676,0.03252867659647321,0.0010581148011179439,0.13696284882725562,0.018758821958877677,3.05,9.302499999999998,35,Tampa Bay Rays,HOU,Florida,194.7,37908.09,33,161,1089,33,1089,Charlie Morton,6,36,1,215,5,SP,0.5962732919254659,0,0,UFA,240,57600,15000000,15000000,15000000,88.46,7825.171599999999,30000000,33500000,15000000,96,5.06,25.603599999999997,1.08,1.1664,0,57,3249,16,256
BAL,6.3,2016,7,2,4,1,1,1,1,1,1,inf,inf,0.0,0.0,0.1111111111111111,0.012345679012345678,9.0,81.0,33,Baltimore Orioles,BAL,Maryland,1.0,1.0,106,161,11236,86,7396,Chris Davis,0,0,7,245,14,1B,0.3354037267080745,0,0,UFA,1,1,21065362,17000000,21065362,0.62,0.3844,161000000,800000,23000000,54,-0.98,0.9603999999999999,2.0,4.0,3,0,0,0,0
TOR,6.3,2019,1,72,5184,1,5,44,1936,43,1849,2.4375,5.94140625,0.030131826741996232,0.0009079269828096793,0.07344632768361582,0.005394363050209072,6.56,43.03359999999999,34,Toronto Blue Jays,ARI,Toronto,59.0,3481.0,12,161,144,12,144,Clay Buchholz,5,25,2,190,7,SP,0.4099378881987577,0,0,UFA,39,1521,3000000,3000000,3000000,0.0,0.0,3000000,15500000,3000000,66,-0.33,0.10890000000000001,1.49,2.2201,2,16,256,2,4
NYY,6.1,2019,1,55,3025,2,5,25,625,25,625,1.88,3.5343999999999998,0.05023106288929074,0.002523159678987881,0.09443439823186658,0.008917855569414766,4.07,16.5649,33,New York Yankees,OAK,New York,55.3,3058.0899999999997,66,162,4356,1,1,Cory Gearrin,3,9,40,205,55,RP,0.6358024691358025,0,0,UFA,47,2209,1400000,1400000,278499,33.55,1125.6024999999997,1400000,124555000,1400000,103,0.69,0.4760999999999999,1.45,2.1025,27,25,625,1,1
CHC,6.0,2019,3,21,441,2,5,15,225,15,225,2.5,6.25,0.06441223832528181,0.004148936446072903,0.16103059581320453,0.025930852787955646,6.53,42.6409,31,Chicago Cubs,BOS,Illinois,20.7,428.48999999999995,23,162,529,0,0,Craig Kimbrel,4,16,17,215,20,RP/CL,0.5185185185185185,13,169,UFA,30,900,10000000,10000000,10000000,0.0,0.0,43000000,49325000,14333333,84,-0.51,0.2601,1.6,2.5600000000000005,3,12,144,0,0
SD,6.2,2018,2,80,6400,5,4,36,1296,30,900,4.866666666666666,23.68444444444444,0.02032520325203252,0.0004131138872364333,0.0989159891598916,0.009784372911479792,3.29,10.8241,35,San Diego Padres,SD,California,82.0,6724.0,76,162,5776,0,0,Craig Stammen,7,49,2,228,5,RP,0.4320987654320987,4,16,UFA,73,5329,2250000,2250000,2250000,59.22,3507.0083999999997,4500000,326000000,2250000,70,0.84,0.7055999999999999,1.16,1.3456,0,15,225,8,64
