Jugador,Anio_t,Anios_contrato_t,Valor_contrato_t,Valor_promedio_contrato_t,Juegos_t,Porcetnaje_juegos_t,At_bats_t,Bateos_t,Home_runs_t,RBI_t,Porcentaje_bateo_t,OPS_t,ln_Sueldo_base_t,ln_Sueldo_t,ln_Sueldo_regular_t,Juegos_2_t,Porcetnaje_juegos_2_t,At_bats_2_t,Bateos_2_t,Home_runs_2_t,RBI_2_t,Porcentaje_bateo_2_t,OPS_2_t,Anio_t_1,Anios_contrato_t_1,Valor_contrato_t_1,Valor_promedio_contrato_t_1,Juegos_t_1,Porcetnaje_juegos_t_1,At_bats_t_1,Bateos_t_1,Home_runs_t_1,RBI_t_1,Porcentaje_bateo_t_1,OPS_t_1,Juegos_2_t_1,Porcetnaje_juegos_2_t_1,At_bats_2_t_1,Bateos_2_t_1,Home_runs_2_t_1,RBI_2_t_1,Porcentaje_bateo_2_t_1,OPS_2_t_1
Jeff Mathis,7,2,4000000,2000000,60,0.37,186,40,2,11,0.215,0.6,14.508657738524219,14.508657738524219,14.508657738524219,3600,0.1369,34596,1600,4,121,0.0462249999999999,0.36,6,1,1500000,1500000,41,0.255,127,30,2,15,0.236,0.596,1681,0.065025,16129,900,4,225,0.0556959999999999,0.355216
Alex Avila,7,1,2000000,2000000,112,0.691,311,81,14,49,0.261,0.828,14.508657738524219,14.508657738524219,13.442309812068206,12544,0.4774809999999999,96721,6561,196,2401,0.068121,0.685584,6,1,2500000,2500000,57,0.352,169,36,7,11,0.213,0.732,3249,0.1239039999999999,28561,1296,49,121,0.045369,0.535824
Chris Iannetta,7,1,1500000,1500000,89,0.549,272,69,17,43,0.254,0.865,14.22097566607244,14.22097566607244,14.22097566607244,7921,0.301401,73984,4761,289,1849,0.064516,0.748225,6,1,4250000,4250000,94,0.58,295,62,7,24,0.21,0.631,8836,0.3364,87025,3844,49,576,0.0440999999999999,0.398161
