"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Payroll Salary2022","Cash2022","AAV2022","Earnings2022","Age","Weight","Height",""
"","Ervin Santana","SP","MIN","33","33","211.3","177","85","77","61","167","16","8","0","1.13","3.28","4.63","85.00","$0","$0","$0","$0","34","175","6'2""",""
"","Jeff Samardzija","SP","SF","35","32","207.7","204","107","102","32","205","9","15","0","1.14","4.42","2.54","42.71","$0","$0","$0","$0","32","240","0'0""",""
"","Justin Verlander","SP","HOU","33","33","206.0","170","80","77","72","219","15","8","0","1.17","3.36","4.68","62.00","$25,000,000","$25,000,000","$25,000,000","$299,588,222","34","225","6'5""",""
"","Carlos Martinez","SP","STL","34","32","205.0","179","93","83","71","217","12","11","0","1.22","3.64","3.03","76.11","$0","$0","$0","$0","25","190","6'0""",""
"","Rick Porcello","SP","BOS","33","33","203.3","235","125","105","48","181","11","17","0","1.39","4.65","-0.24","8.87","$0","$0","$0","$0","28","205","0'0""",""
"","Gerrit Cole","SP","PIT","34","33","203.0","199","98","96","55","196","12","12","0","1.25","4.26","2.81","74.46","$36,000,000","$36,000,000","$36,000,000","$120,222,046","26","220","6'4""",""
"","Zack Greinke","SP","ARI","33","32","202.3","172","80","72","45","215","17","7","0","1.07","3.20","6.05","71.98","$13,000,000","$13,000,000","$13,000,000","$277,455,276","33","200","6'2""",""
"","Jacob deGrom","SP","NYM","37","31","201.3","180","87","79","59","239","15","10","0","1.19","3.53","4.35","91.14","$36,000,000","$18,500,000","$27,500,000","$72,659,998","29","180","6'4""",""
"","Gio Gonzalez","SP","WSH","32","32","201.0","158","69","66","79","188","15","9","0","1.18","2.96","6.37","96.72","$0","$0","$0","$0","31","205","6'0""",""
"","Chris Archer","SP","TB","34","34","201.0","194","101","92","60","249","10","12","0","1.26","4.12","1.29","59.56","$2,750,000","$2,750,000","$3,500,000","$37,550,999","28","195","6'2""",""
