"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","TVS","Cash2023",""
"","Jair Jurrjens","SP","ATL","1.00","0.14","1.00","0.14","2.04","0.22","0.00","0.00","0.00","0.04","0.106","0.125","0.106","0.231","3.65","$0",""
"","Johnny Cueto","SP","CIN","1.00","0.15","1.00","0.15","1.96","0.13","0.00","0.00","0.00","0.00","0.064","0.102","0.064","0.166","3.59","$6,000,000",""
"","Scott Baker","SP","MIN","1.00","0.14","0.91","0.13","0.22","0.09","0.04","0.00","0.00","0.00","0.400","0.400","0.600","1.000","3.23","$0",""
"","Clayton Kershaw","SP","LAD","1.00","0.21","1.00","0.21","2.15","0.48","0.00","0.00","0.00","0.12","0.225","0.267","0.225","0.492","3.02","$20,000,000",""
"","Jordan Zimmermann","SP","WSH","1.00","0.18","0.90","0.16","1.48","0.31","0.03","0.00","0.00","0.10","0.209","0.244","0.233","0.477","2.96","$0",""
"","Doug Fister","SP","SEA","1.00","0.20","0.97","0.19","0.19","0.06","0.03","0.00","0.00","0.03","0.333","0.333","0.500","0.833","2.94","$0",""
"","Jered Weaver","SP","LAA","1.00","0.20","1.00","0.20","0.12","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.89","$0",""
"","Ian Kennedy","SP","ARI","1.00","0.21","0.97","0.20","1.79","0.24","0.09","0.00","0.00","0.12","0.131","0.197","0.180","0.377","2.84","$0",""
"","Matt Harrison","SP","TEX","1.00","0.19","0.97","0.19","0.29","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.83","$0",""
"","James Shields","SP","TB","1.00","0.20","1.00","0.20","0.24","0.00","0.00","0.00","0.00","0.03","0.000","0.000","0.000","0.000","2.83","$0",""
"","Ivan Nova","SP","NYY","1.00","0.17","0.96","0.17","0.14","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.80","$0",""
"","Justin Verlander","SP","DET","1.00","0.21","1.00","0.21","0.12","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.73","$43,333,333",""
"","Jeremy Hellickson","SP","TB","1.00","0.18","1.00","0.18","0.07","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.72","$0",""
"","Ryan Vogelsong","SP","SF","1.00","0.19","0.90","0.17","1.71","0.39","0.03","0.00","0.00","0.06","0.226","0.268","0.245","0.513","2.69","$0",""
"","Charlie Morton","SP","PIT","1.00","0.18","1.00","0.18","1.72","0.14","0.10","0.00","0.00","0.07","0.080","0.094","0.140","0.234","2.56","$20,000,000",""
"","Gio Gonzalez","SP","OAK","1.00","0.20","1.00","0.20","0.09","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.55","$0",""
"","Madison Bumgarner","SP","SF","1.00","0.22","0.94","0.20","1.69","0.20","0.11","0.00","0.00","0.09","0.119","0.188","0.186","0.374","2.51","$23,000,000",""
"","R.A. Dickey","SP","NYM","1.00","0.20","0.97","0.20","1.79","0.24","0.00","0.00","0.00","0.06","0.136","0.150","0.136","0.286","2.32","$0",""
"","Dan Haren","SP","LAA","1.00","0.22","0.97","0.21","0.09","0.03","0.00","0.00","0.00","0.03","0.333","0.333","0.333","0.667","2.26","$0",""
"","David Price","SP","TB","1.00","0.21","1.00","0.21","0.12","0.00","0.00","0.00","0.00","0.00","0.000","0.200","0.000","0.200","2.26","$0",""
"","Matt Garza","SP","CHC","1.00","0.19","1.00","0.19","2.06","0.19","0.00","0.00","0.00","0.03","0.094","0.121","0.094","0.215","2.22","$0",""
"","Michael Pineda","SP","SEA","1.00","0.17","1.00","0.17","0.18","0.04","0.00","0.00","0.00","0.00","0.200","0.200","0.200","0.400","2.17","$0",""
"","Jhoulys Chacin","SP","COL","1.00","0.20","0.94","0.19","1.85","0.30","0.03","0.00","0.00","0.12","0.164","0.191","0.180","0.371","2.12","$0",""
"","Brandon Beachy","SP","ATL","1.00","0.15","1.00","0.15","1.72","0.12","0.00","0.00","0.00","0.04","0.070","0.091","0.070","0.161","2.04","$0",""
"","Jon Lester","SP","BOS","1.00","0.19","1.00","0.19","0.16","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.01","$0",""
"","Clayton Richard","SP","SD","1.00","0.12","0.90","0.11","1.40","0.15","0.05","0.00","0.00","0.10","0.107","0.138","0.143","0.281","2.00","$0",""
"","C.C. Sabathia","SP","NYY","1.00","0.20","1.00","0.20","0.09","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.94","$0",""
"","Edwin Jackson","SP","STL","1.00","0.20","0.97","0.19","0.94","0.25","0.00","0.00","0.00","0.06","0.267","0.281","0.267","0.548","1.87","$0",""
"","Josh Beckett","SP","BOS","1.00","0.19","1.00","0.19","0.17","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.76","$0",""
"","Josh Lindblom","SP","LAD","1.00","0.17","0.00","0.00","0.04","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.76","$0",""
"","Aaron Harang","SP","SD","1.00","0.17","1.00","0.17","2.00","0.18","0.04","0.00","0.00","0.04","0.089","0.089","0.107","0.196","1.69","$0",""
"","Mark Buehrle","SP","CHW","1.00","0.19","1.00","0.19","0.06","0.03","0.03","0.00","0.00","0.00","0.500","0.500","1.000","1.500","1.63","$0",""
"","Bartolo Colon","SP","NYY","1.00","0.18","0.90","0.16","0.03","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.60","$0",""
"","Rick Porcello","SP","DET","1.00","0.19","1.00","0.19","0.19","0.03","0.00","0.00","0.00","0.00","0.167","0.167","0.167","0.333","1.57","$0",""
"","Kyle Lohse","SP","STL","1.00","0.22","0.86","0.19","1.80","0.31","0.06","0.00","0.00","0.09","0.175","0.188","0.206","0.394","1.56","$0",""
"","Hiroki Kuroda","SP","LAD","1.00","0.20","1.00","0.20","1.91","0.22","0.00","0.00","0.00","0.03","0.115","0.169","0.115","0.284","1.55","$0",""
"","John Danks","SP","CHW","1.00","0.17","1.00","0.17","0.11","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.50","$0",""
"","Ervin Santana","SP","LAA","1.00","0.20","1.00","0.20","0.06","0.03","0.00","0.00","0.00","0.00","0.500","0.500","0.500","1.000","1.50","$0",""
