"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","TVS","Cash2023",""
"","Tyler Anderson","SP","LAD","1.00","0.19","0.90","0.17","0.03","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.93","$13,000,000",""
"","David Robertson","RP","PHI","1.00","0.36","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.42","$10,000,000",""
"","Jose Alvarado","RP","PHI","1.00","0.36","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.87","$3,500,000",""
"","Manuel Pina","C","ATL","1.00","0.03","1.00","0.03","2.80","0.40","0.00","0.00","0.00","0.40","0.143","0.235","0.143","0.378","0.00","$4,500,000",""
"","Sandy Leon","C","MIN","1.00","0.21","0.82","0.17","2.09","0.35","0.09","0.00","0.00","0.12","0.169","0.298","0.211","0.509","0.00","$0",""
"","Ehire Adrianza","SS","ATL","1.00","0.23","0.70","0.16","2.62","0.46","0.08","0.00","0.00","0.19","0.175","0.264","0.206","0.470","0.00","$0",""
"","Billy Hamilton","CF","MIN","1.00","0.23","0.16","0.04","0.54","0.03","0.00","0.00","0.00","0.00","0.050","0.136","0.050","0.186","0.00","$0",""
"","Tyler Heineman","C","PIT","1.00","0.38","0.81","0.31","2.53","0.55","0.13","0.00","0.00","0.15","0.217","0.277","0.268","0.544","0.00","$0",""
"","Kevin Pillar","CF","LAD","1.00","0.02","1.00","0.02","3.00","0.25","0.25","0.00","0.00","0.00","0.083","0.154","0.167","0.321","0.00","$0",""
"","Terrance Gore","CF","NYM","1.00","0.06","0.10","0.01","0.70","0.10","0.00","0.00","0.00","0.00","0.143","0.143","0.143","0.286","0.00","$0",""
"","Alex Jackson","C","MIL","1.00","0.03","0.60","0.02","2.40","0.60","0.00","0.00","0.00","0.00","0.250","0.250","0.250","0.500","0.00","$0",""
"","Brendon Davis","SS","DET","1.00","0.02","1.00","0.02","3.33","0.67","0.00","0.00","0.00","0.00","0.200","0.273","0.200","0.473","0.00","$0",""
"","Adalberto Mondesi","SS","KC","1.00","0.09","1.00","0.09","3.33","0.47","0.00","0.00","0.00","0.20","0.140","0.204","0.140","0.344","0.00","$3,045,000",""
"","Tres Barrera","C","WSH","1.00","0.12","0.95","0.11","2.63","0.47","0.05","0.00","0.00","0.21","0.180","0.212","0.200","0.412","0.00","$0",""
"","Will Benson","OF","CLE","1.00","0.17","0.54","0.09","1.96","0.36","0.04","0.00","0.00","0.11","0.182","0.250","0.200","0.450","0.00","$0",""
"","Israel Pineda","C","WSH","1.00","0.02","1.00","0.02","3.25","0.25","0.00","0.00","0.00","0.00","0.077","0.143","0.077","0.220","0.00","$0",""
"","Simon Muzziotti","OF","PHI","1.00","0.06","0.33","0.02","0.78","0.11","0.00","0.00","0.00","0.00","0.143","0.250","0.143","0.393","0.00","$0",""
"","Heliot Ramos","OF","SF","1.00","0.06","0.78","0.04","2.22","0.22","0.00","0.00","0.00","0.00","0.100","0.182","0.100","0.282","0.00","$0",""
"","Ernie Clement","2B","OAK","1.00","0.43","0.57","0.25","2.33","0.43","0.06","0.00","0.00","0.09","0.184","0.243","0.209","0.452","0.00","$0",""
"","Ji-Hwan Bae","SS","PIT","1.00","0.06","0.90","0.06","3.30","1.10","0.30","0.00","0.00","0.60","0.333","0.405","0.424","0.830","0.00","$0",""
"","Brandon Dixon","1B","SD","1.00","0.03","0.80","0.02","2.80","0.60","0.20","0.00","0.00","0.20","0.214","0.214","0.286","0.500","0.00","$0",""
