"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","TVS","Cash2023",""
"","Edwin Jackson","SP","OAK","1.00","0.10","1.00","0.10","0.12","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","3.98","$0",""
"","Chris Sale","SP","BOS","1.00","0.17","1.00","0.17","0.07","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","3.64","$27,500,000",""
"","Anibal Sanchez","SP","ATL","1.00","0.15","0.96","0.15","1.64","0.04","0.00","0.00","0.00","0.00","0.024","0.048","0.024","0.072","3.40","$0",""
"","Blake Snell","SP","TB","1.00","0.19","1.00","0.19","0.03","0.00","0.00","0.00","0.00","0.00","0.000","0.667","0.000","0.667","3.21","$16,000,000",""
"","Sean Manaea","SP","OAK","1.00","0.17","1.00","0.17","0.19","0.04","0.00","0.00","0.00","0.00","0.200","0.200","0.200","0.400","3.14","$12,500,000",""
"","Luis Severino","SP","NYY","1.00","0.20","1.00","0.20","0.16","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.93","$15,000,000",""
"","Gerrit Cole","SP","HOU","1.00","0.20","1.00","0.20","0.28","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.93","$36,000,000",""
"","Trevor Williams","SP","PIT","1.00","0.19","1.00","0.19","1.39","0.16","0.00","0.00","0.00","0.00","0.116","0.156","0.116","0.272","2.91","$6,000,000",""
"","Lance McCullers","SP","HOU","1.00","0.15","0.88","0.14","0.08","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.74","$15,250,000",""
"","Eduardo Rodriguez","SP","BOS","1.00","0.17","0.85","0.14","0.07","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.74","$14,000,000",""
"","Jaime Barria","SP","LAA","1.00","0.16","1.00","0.16","0.19","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.72","$1,050,000",""
"","Daniel Mengden","SP","OAK","1.00","0.14","0.77","0.10","0.14","0.05","0.00","0.00","0.00","0.05","0.333","0.333","0.333","0.667","2.71","$0",""
"","Marco Gonzales","SP","SEA","1.00","0.18","1.00","0.18","0.07","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.64","$6,500,000",""
"","Jose Berrios","SP","MIN","1.00","0.20","1.00","0.20","0.13","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.64","$15,000,000",""
"","Charlie Morton","SP","HOU","1.00","0.19","1.00","0.19","0.20","0.03","0.00","0.00","0.00","0.00","0.167","0.167","0.167","0.333","2.63","$20,000,000",""
"","Felix Pena","SP","LAA","1.00","0.12","0.89","0.10","0.32","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.60","$0",""
"","Jack Flaherty","SP","STL","1.00","0.19","0.90","0.17","1.48","0.23","0.00","0.00","0.00","0.00","0.152","0.188","0.152","0.340","2.51","$5,400,000",""
"","Nathan Eovaldi","SP","BOS","1.00","0.15","0.88","0.13","0.38","0.04","0.00","0.00","0.00","0.04","0.111","0.200","0.111","0.311","2.43","$18,000,000",""
"","Kyle Gibson","SP","MIN","1.00","0.20","1.00","0.20","0.06","0.06","0.00","0.00","0.00","0.00","1.000","1.000","1.000","2.000","2.41","$10,000,000",""
"","Justin Verlander","SP","HOU","1.00","0.21","1.00","0.21","0.15","0.03","0.00","0.00","0.00","0.00","0.200","0.200","0.200","0.400","2.35","$43,333,333",""
"","Reynaldo Lopez","SP","CHW","1.00","0.20","1.00","0.20","0.03","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.13","$3,625,000",""
"","Brett Anderson","SP","OAK","1.00","0.10","1.00","0.10","0.24","0.06","0.00","0.00","0.00","0.00","0.250","0.250","0.250","0.500","2.11","$0",""
"","Wade LeBlanc","SP","SEA","1.00","0.20","0.84","0.17","0.09","0.03","0.00","0.00","0.00","0.00","0.333","0.333","0.333","0.667","2.09","$0",""
