"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","TVS","Cash2023",""
"","Dallas Keuchel","SP","HOU","1.00","0.14","1.00","0.14","0.13","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","4.05","$0",""
"","Michael Fulmer","SP","DET","1.00","0.15","1.00","0.15","0.20","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","3.71","$4,000,000",""
"","Alex Wood","SP","LAD","1.00","0.17","0.93","0.15","1.93","0.11","0.00","0.00","0.00","0.15","0.058","0.093","0.058","0.150","3.53","$12,500,000",""
"","Aaron Nola","SP","PHI","1.00","0.17","1.00","0.17","1.78","0.15","0.00","0.00","0.00","0.04","0.083","0.154","0.083","0.237","3.49","$16,000,000",""
"","Zack Godley","SP","ARI","1.00","0.17","0.93","0.15","1.56","0.07","0.00","0.00","0.00","0.07","0.048","0.091","0.048","0.139","3.42","$0",""
"","Kendall Graveman","SP","OAK","1.00","0.12","1.00","0.12","0.05","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","3.30","$8,000,000",""
"","Luis Severino","SP","NYY","1.00","0.19","1.00","0.19","0.16","0.03","0.00","0.00","0.00","0.00","0.200","0.200","0.200","0.400","3.16","$15,000,000",""
"","Jimmy Nelson","SP","MIL","1.00","0.18","1.00","0.18","1.97","0.21","0.00","0.00","0.00","0.07","0.105","0.121","0.105","0.226","3.11","$1,200,000",""
"","Jose Berrios","SP","MIN","1.00","0.16","0.96","0.15","0.19","0.04","0.00","0.00","0.00","0.00","0.200","0.200","0.200","0.400","3.05","$15,000,000",""
"","Gio Gonzalez","SP","WSH","1.00","0.20","1.00","0.20","2.06","0.19","0.00","0.00","0.00","0.16","0.091","0.143","0.091","0.234","3.02","$0",""
"","Andrew Cashner","SP","TEX","1.00","0.17","1.00","0.17","0.18","0.04","0.00","0.00","0.00","0.04","0.200","0.167","0.200","0.367","2.89","$0",""
"","Jake Junis","SP","KC","1.00","0.12","0.80","0.10","0.15","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.88","$2,800,000",""
