"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","TVS","Cash2023",""
"","Framber Valdez","SP","HOU","1.00","0.14","1.00","0.14","0.18","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","3.99","$6,800,000",""
"","Pablo Lopez","SP","MIA","1.00","0.13","0.95","0.12","1.57","0.10","0.10","0.00","0.00","0.00","0.061","0.061","0.121","0.182","3.82","$5,450,000",""
"","Tanner Houck","SP","BOS","1.00","0.11","0.72","0.08","0.06","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","3.68","$0",""
"","Corbin Burnes","SP","MIL","1.00","0.17","1.00","0.17","1.86","0.29","0.00","0.00","0.00","0.14","0.154","0.200","0.154","0.354","3.56","$10,010,000",""
"","Trevor Rogers","SP","MIA","1.00","0.16","0.96","0.15","1.65","0.12","0.00","0.00","0.00","0.00","0.070","0.091","0.070","0.161","3.50","$0",""
"","Ian Anderson","SP","ATL","1.00","0.15","1.00","0.15","1.54","0.08","0.04","0.00","0.00","0.00","0.054","0.079","0.081","0.160","3.43","$0",""
"","Chris Bassitt","SP","OAK","1.00","0.17","1.00","0.17","0.07","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","3.38","$21,000,000",""
"","Lance Lynn","SP","CHW","1.00","0.17","1.00","0.17","0.18","0.04","0.00","0.00","0.00","0.07","0.200","0.200","0.200","0.400","3.31","$18,500,000",""
"","Brandon Woodruff","SP","MIL","1.00","0.19","1.00","0.19","1.73","0.20","0.00","0.00","0.00","0.07","0.115","0.164","0.115","0.279","3.27","$10,800,000",""
"","John Means","SP","BAL","1.00","0.16","1.00","0.16","0.19","0.04","0.04","0.00","0.00","0.00","0.200","0.200","0.400","0.600","3.19","$2,975,000",""
"","Freddy Peralta","SP","MIL","1.00","0.18","0.93","0.17","1.48","0.14","0.00","0.00","0.00","0.00","0.093","0.114","0.093","0.207","3.17","$3,500,000",""
"","Alex Cobb","SP","LAA","1.00","0.11","1.00","0.11","0.06","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","3.17","$9,000,000",""
"","Eric Lauer","SP","MIL","1.00","0.16","0.77","0.12","1.00","0.15","0.00","0.00","0.04","0.15","0.154","0.258","0.269","0.527","3.12","$5,075,000",""
"","Wily Peralta","SP","DET","1.00","0.12","0.95","0.11","0.05","0.00","0.00","0.00","0.00","0.00","0.000","0.500","0.000","0.500","3.11","$0",""
"","Nestor Cortes","SP","NYY","1.00","0.14","0.61","0.09","0.04","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","3.07","$3,200,000",""
"","Julio Urias","SP","LAD","1.00","0.20","1.00","0.20","1.84","0.38","0.06","0.00","0.00","0.28","0.203","0.217","0.237","0.454","3.06","$14,250,000",""
"","Zach Eflin","SP","PHI","1.00","0.11","1.00","0.11","1.61","0.00","0.00","0.00","0.00","0.06","0.000","0.065","0.000","0.065","3.04","$11,000,000",""
"","Max Fried","SP","ATL","1.00","0.20","0.88","0.17","1.72","0.47","0.09","0.00","0.00","0.16","0.273","0.322","0.327","0.649","3.00","$13,500,000",""
"","Wade Miley","SP","CIN","1.00","0.19","0.93","0.17","1.80","0.33","0.10","0.00","0.00","0.10","0.185","0.228","0.241","0.469","3.00","$3,500,000",""
"","Robbie Ray","SP","TOR","1.00","0.20","1.00","0.20","0.13","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.95","$21,000,000",""
"","Walker Buehler","SP","LAD","1.00","0.21","0.97","0.20","2.03","0.21","0.06","0.00","0.00","0.09","0.101","0.162","0.130","0.293","2.92","$8,025,000",""
"","Adrian Houser","SP","MIL","1.00","0.17","0.93","0.16","1.50","0.11","0.00","0.00","0.07","0.07","0.071","0.114","0.214","0.328","2.91","$3,600,000",""
"","Zack Wheeler","SP","PHI","1.00","0.20","0.97","0.20","2.06","0.33","0.06","0.00","0.00","0.09","0.162","0.162","0.191","0.353","2.90","$24,500,000",""
"","Jose Suarez","SP","LAA","1.00","0.14","0.61","0.09","0.04","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.85","$0",""
"","Sandy Alcantara","SP","MIA","1.00","0.20","1.00","0.20","1.76","0.06","0.03","0.00","0.00","0.00","0.035","0.097","0.052","0.148","2.80","$6,000,000",""
"","Lucas Giolito","SP","CHW","1.00","0.19","1.00","0.19","0.13","0.03","0.00","0.00","0.00","0.00","0.250","0.250","0.250","0.500","2.79","$10,400,000",""
"","Frankie Montas","SP","OAK","1.00","0.20","1.00","0.20","0.13","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.76","$7,500,000",""
"","Chris Flexen","SP","SEA","1.00","0.19","1.00","0.19","0.10","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.72","$8,000,000",""
"","Tyler Mahle","SP","CIN","1.00","0.20","1.00","0.20","1.67","0.09","0.00","0.00","0.00","0.03","0.055","0.119","0.055","0.173","2.70","$7,500,000",""
"","Adam Wainwright","SP","STL","1.00","0.21","0.94","0.20","1.68","0.21","0.06","0.00","0.00","0.12","0.123","0.167","0.158","0.325","2.70","$7,500,000",""
"","Carlos Hernandez","SP","KC","1.00","0.15","0.46","0.07","0.17","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.63","$0",""
"","Alex Wood","SP","SF","1.00","0.16","1.00","0.16","1.46","0.00","0.00","0.00","0.00","0.00","0.000","0.116","0.000","0.116","2.62","$12,500,000",""
"","Anthony DeSclafani","SP","SF","1.00","0.21","0.91","0.19","1.50","0.06","0.03","0.00","0.00","0.03","0.039","0.109","0.059","0.168","2.60","$12,000,000",""
"","Zac Gallen","SP","ARI","1.00","0.14","1.00","0.14","1.39","0.26","0.09","0.00","0.00","0.13","0.188","0.212","0.250","0.462","2.59","$5,600,000",""
"","Trevor Bauer","SP","LAD","1.00","0.10","1.00","0.10","1.76","0.06","0.00","0.00","0.00","0.06","0.033","0.065","0.033","0.098","2.57","$0",""
"","Kevin Gausman","SP","SF","1.00","0.21","0.97","0.20","1.59","0.29","0.00","0.00","0.00","0.12","0.185","0.211","0.185","0.396","2.56","$21,000,000",""
"","Jordan Montgomery","SP","NYY","1.00","0.19","1.00","0.19","0.13","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.51","$10,000,000",""
"","Joe Ross","SP","WSH","1.00","0.14","0.86","0.12","1.45","0.36","0.00","0.00","0.00","0.14","0.250","0.294","0.250","0.544","2.49","$0",""
"","Dylan Cease","SP","CHW","1.00","0.20","1.00","0.20","0.25","0.09","0.03","0.00","0.00","0.00","0.375","0.375","0.500","0.875","2.48","$5,700,000",""
"","Ranger Suarez","SP","PHI","1.00","0.24","0.31","0.07","0.41","0.08","0.05","0.00","0.00","0.03","0.188","0.278","0.313","0.590","2.48","$2,950,000",""
"","Charlie Morton","SP","ATL","1.00","0.21","0.97","0.21","1.62","0.21","0.03","0.00","0.00","0.03","0.127","0.127","0.145","0.273","2.48","$20,000,000",""
"","Casey Mize","SP","DET","1.00","0.19","1.00","0.19","0.07","0.00","0.00","0.00","0.00","0.03","0.000","0.333","0.000","0.333","2.45","$0",""
"","Kyle Gibson","SP","PHI","1.00","0.19","0.97","0.19","0.94","0.13","0.00","0.00","0.03","0.06","0.138","0.138","0.241","0.379","2.41","$10,000,000",""
"","Luis Castillo","SP","CIN","1.00","0.20","1.00","0.20","1.48","0.24","0.06","0.00","0.00","0.06","0.163","0.180","0.204","0.384","2.40","$17,000,000",""
"","Merrill Kelly","SP","ARI","1.00","0.17","1.00","0.17","1.74","0.11","0.04","0.00","0.00","0.04","0.064","0.137","0.085","0.222","2.37","$8,000,000",""
"","Vladimir Gutierrez","SP","CIN","1.00","0.14","1.00","0.14","1.50","0.14","0.00","0.00","0.00","0.05","0.091","0.143","0.091","0.234","2.36","$0",""
"","Sonny Gray","SP","CIN","1.00","0.16","1.00","0.16","1.58","0.23","0.00","0.00","0.00","0.00","0.146","0.167","0.146","0.313","2.36","$12,700,000",""
"","James Kaprielian","SP","OAK","1.00","0.15","0.88","0.13","0.13","0.04","0.00","0.00","0.00","0.00","0.333","0.333","0.333","0.667","2.29","$0",""
"","Jose Berrios","SP","TOR","1.00","0.20","1.00","0.20","0.09","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.28","$15,000,000",""
"","Lance McCullers","SP","HOU","1.00","0.19","0.93","0.17","0.13","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.24","$15,250,000",""
"","German Marquez","SP","COL","1.00","0.20","1.00","0.20","1.66","0.44","0.16","0.00","0.03","0.28","0.264","0.264","0.415","0.679","2.22","$15,000,000",""
"","Max Scherzer","SP","LAD","1.00","0.19","1.00","0.19","1.97","0.00","0.00","0.00","0.00","0.03","0.000","0.000","0.000","0.000","2.21","$43,333,333",""
"","Steven Matz","SP","TOR","1.00","0.18","1.00","0.18","0.07","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.20","$10,000,000",""
"","Sean Manaea","SP","OAK","1.00","0.20","1.00","0.20","0.13","0.06","0.03","0.00","0.00","0.00","0.500","0.500","0.750","1.250","2.18","$12,500,000",""
"","Austin Gomber","SP","COL","1.00","0.15","0.96","0.14","1.33","0.13","0.00","0.00","0.00","0.04","0.094","0.121","0.094","0.215","2.17","$1,650,000",""
"","Marco Gonzales","SP","SEA","1.00","0.15","1.00","0.15","0.16","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.15","$6,500,000",""
"","Domingo German","SP","NYY","1.00","0.14","0.82","0.11","0.09","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.10","$2,600,000",""
"","Nathan Eovaldi","SP","BOS","1.00","0.20","1.00","0.20","0.06","0.00","0.00","0.00","0.00","0.00","0.000","0.333","0.000","0.333","2.04","$18,000,000",""
"","Marcus Stroman","SP","NYM","1.00","0.20","1.00","0.20","1.55","0.15","0.06","0.00","0.00","0.03","0.098","0.164","0.137","0.301","2.03","$25,000,000",""
"","Michael Pineda","SP","MIN","1.00","0.14","0.95","0.13","0.14","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.01","$0",""
"","Jameson Taillon","SP","NYY","1.00","0.18","1.00","0.18","0.03","0.00","0.00","0.00","0.00","0.00","0.000","0.500","0.000","0.500","2.00","$14,000,000",""
"","Joe Musgrove","SP","SD","1.00","0.25","0.78","0.19","1.28","0.18","0.05","0.00","0.00","0.03","0.137","0.151","0.176","0.327","1.97","$20,000,000",""
"","Nick Pivetta","SP","BOS","1.00","0.19","0.97","0.19","0.06","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.94","$5,350,000",""
"","Kwang-hyun Kim","SP","STL","1.00","0.17","0.78","0.13","0.96","0.11","0.04","0.00","0.00","0.07","0.115","0.148","0.154","0.302","1.94","$0",""
"","Bailey Ober","SP","MIN","1.00","0.12","1.00","0.12","0.10","0.05","0.00","0.00","0.00","0.00","0.500","0.500","0.500","1.000","1.91","$0",""
"","Antonio Senzatela","SP","COL","1.00","0.17","1.00","0.17","1.39","0.07","0.00","0.00","0.00","0.04","0.051","0.051","0.051","0.103","1.88","$7,250,000",""
