"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","TVS","Cash2023",""
"","Bartolo Colon","SP","OAK","1.00","0.15","1.00","0.15","0.17","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","3.52","$0",""
"","Doug Fister","SP","DET","1.00","0.16","1.00","0.16","0.08","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","3.42","$0",""
"","Chris Sale","SP","CHW","1.00","0.19","0.97","0.18","0.07","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","3.22","$27,500,000",""
"","Michael Fiers","SP","MIL","1.00","0.14","0.96","0.14","1.39","0.13","0.00","0.00","0.00","0.09","0.094","0.094","0.094","0.188","3.21","$0",""
"","David Price","SP","TB","1.00","0.19","1.00","0.19","0.13","0.00","0.00","0.00","0.00","0.00","0.000","0.200","0.000","0.200","3.18","$0",""
"","Jarrod Parker","SP","OAK","1.00","0.18","1.00","0.18","0.21","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","3.17","$0",""
"","Justin Verlander","SP","DET","1.00","0.20","1.00","0.20","0.12","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.87","$43,333,333",""
"","R.A. Dickey","SP","NYM","1.00","0.21","0.97","0.20","2.12","0.32","0.00","0.00","0.00","0.09","0.153","0.164","0.153","0.317","2.86","$0",""
"","Matt Harrison","SP","TEX","1.00","0.20","0.97","0.20","0.15","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.85","$0",""
"","Jose Quintana","SP","CHW","1.00","0.15","0.88","0.14","0.12","0.00","0.00","0.00","0.00","0.00","0.000","0.250","0.000","0.250","2.61","$13,000,000",""
"","Hiroki Kuroda","SP","NYY","1.00","0.20","1.00","0.20","0.06","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.48","$0",""
"","James Shields","SP","TB","1.00","0.20","1.00","0.20","0.15","0.03","0.00","0.00","0.00","0.03","0.200","0.200","0.200","0.400","2.41","$0",""
"","Max Scherzer","SP","DET","1.00","0.20","1.00","0.20","0.06","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.36","$43,333,333",""
"","Jered Weaver","SP","LAA","1.00","0.19","1.00","0.19","0.07","0.03","0.00","0.00","0.00","0.00","0.500","0.667","0.500","1.167","2.31","$0",""
"","Nathan Eovaldi","SP","MIA","1.00","0.14","1.00","0.14","1.45","0.14","0.00","0.00","0.00","0.00","0.094","0.121","0.094","0.215","2.16","$18,000,000",""
"","Yu Darvish","SP","TEX","1.00","0.18","1.00","0.18","0.10","0.03","0.00","0.00","0.00","0.00","0.333","0.333","0.333","0.667","2.16","$30,000,000",""
"","Trevor Cahill","RP","ARI","1.00","0.20","1.00","0.20","2.09","0.25","0.00","0.00","0.00","0.13","0.119","0.132","0.119","0.252","2.08","$0",""
"","Ross Detwiler","SP","WSH","1.00","0.20","0.82","0.17","1.36","0.06","0.00","0.00","0.00","0.03","0.044","0.065","0.044","0.110","2.07","$0",""
"","Lance Lynn","SP","STL","1.00","0.22","0.83","0.18","1.43","0.09","0.00","0.00","0.00","0.03","0.060","0.094","0.060","0.154","2.05","$18,500,000",""
"","Jeremy Hellickson","SP","TB","1.00","0.19","1.00","0.19","0.03","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.04","$0",""
"","Rick Porcello","SP","DET","1.00","0.19","1.00","0.19","0.06","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.02","$0",""
"","Jeff Francis","SP","COL","1.00","0.15","1.00","0.15","1.29","0.08","0.00","0.00","0.00","0.00","0.065","0.121","0.065","0.186","1.99","$0",""
"","Jeff Samardzija","SP","CHC","1.00","0.19","0.90","0.17","1.61","0.16","0.00","0.00","0.00","0.10","0.100","0.167","0.100","0.267","1.93","$0",""
"","Jason Vargas","SP","SEA","1.00","0.20","1.00","0.20","0.15","0.06","0.00","0.00","0.00","0.03","0.400","0.500","0.400","0.900","1.85","$0",""
"","Drew Smyly","SP","DET","1.00","0.14","0.78","0.11","0.04","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.79","$8,000,000",""
"","A.J. Burnett","SP","PIT","1.00","0.19","1.00","0.19","2.03","0.13","0.00","0.00","0.00","0.06","0.064","0.106","0.063","0.170","1.61","$0",""
"","Joe Saunders","SP","ARI","1.00","0.17","1.00","0.17","1.25","0.11","0.00","0.00","0.00","0.04","0.086","0.154","0.086","0.240","1.59","$0",""
"","Wei-Yin Chen","SP","BAL","1.00","0.20","1.00","0.20","0.09","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.49","$0",""
"","Robbie Ross","RP","TEX","1.00","0.36","0.00","0.00","0.03","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.48","$0",""
"","C.C. Sabathia","SP","NYY","1.00","0.17","1.00","0.17","0.18","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.45","$0",""
"","Craig Stammen","RP","WSH","1.00","0.36","0.00","0.00","0.10","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.45","$0",""
"","James McDonald","SP","PIT","1.00","0.20","0.88","0.18","1.48","0.21","0.00","0.00","0.00","0.03","0.143","0.263","0.143","0.406","1.40","$0",""
"","Alfredo Simon","SP","CIN","1.00","0.22","0.00","0.00","0.11","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.37","$0",""
"","Kevin Correia","SP","PIT","1.00","0.20","0.88","0.17","1.47","0.16","0.00","0.00","0.00","0.00","0.106","0.106","0.106","0.213","1.32","$0",""
"","Josh Johnson","SP","MIA","1.00","0.19","1.00","0.19","1.71","0.16","0.00","0.00","0.00","0.06","0.094","0.127","0.094","0.222","1.18","$0",""
"","Steve Cishek","RP","MIA","1.00","0.42","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.11","$0",""
"","David Hernandez","RP","ARI","1.00","0.44","0.00","0.00","0.01","0.01","0.00","0.00","0.00","0.00","1.000","1.000","1.000","2.000","1.04","$0",""
"","Edwin Jackson","SP","WSH","1.00","0.21","0.91","0.19","1.68","0.38","0.00","0.00","0.00","0.00","0.228","0.267","0.228","0.495","1.04","$0",""
"","Grant Balfour","RP","OAK","1.00","0.46","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.03","$0",""
"","Ivan Nova","SP","NYY","1.00","0.17","1.00","0.17","0.25","0.04","0.00","0.00","0.00","0.00","0.143","0.143","0.143","0.286","1.02","$0",""
"","Wade Davis","RP","TB","1.00","0.33","0.00","0.00","0.04","0.02","0.00","0.00","0.00","0.00","0.500","0.500","0.500","1.000","1.01","$0",""
"","Brad Ziegler","RP","ARI","1.00","0.48","0.00","0.00","0.05","0.01","0.00","0.00","0.00","0.00","0.250","0.250","0.250","0.500","1.00","$0",""
"","Henderson Alvarez","SP","TOR","1.00","0.19","1.00","0.19","0.03","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.94","$0",""
"","Ryan Webb","RP","MIA","1.00","0.40","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.91","$0",""
"","Adam Ottavino","RP","COL","1.00","0.33","0.00","0.00","0.17","0.02","0.00","0.00","0.00","0.00","0.111","0.111","0.111","0.222","0.91","$3,750,000",""
"","Christian Friedrich","SP","COL","1.00","0.10","0.94","0.10","1.47","0.12","0.00","0.00","0.00","0.00","0.080","0.179","0.080","0.259","0.89","$0",""
"","Luke Gregerson","RP","SD","1.00","0.48","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.86","$0",""
"","Jared Hughes","RP","PIT","1.00","0.41","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.85","$0",""
"","Clay Buchholz","SP","BOS","1.00","0.18","1.00","0.18","0.07","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.84","$0",""
"","Matt Belisle","RP","COL","1.00","0.49","0.00","0.00","0.04","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.84","$0",""
"","Burke Badenhop","RP","TB","1.00","0.41","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.80","$0",""
"","James Russell","RP","CHC","1.00","0.48","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.80","$0",""
"","J.A. Happ","SP","HOU","1.00","0.20","0.75","0.15","1.00","0.09","0.00","0.00","0.00","0.03","0.094","0.171","0.094","0.265","0.75","$0",""
"","Jon Lester","SP","BOS","1.00","0.20","1.00","0.20","0.15","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.72","$0",""
"","Scott Feldman","SP","TEX","1.00","0.18","0.72","0.13","0.14","0.03","0.00","0.00","0.00","0.03","0.250","0.250","0.250","0.500","0.72","$0",""
"","Jamey Wright","RP","LAD","1.00","0.41","0.00","0.00","0.03","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.71","$0",""
"","Craig Breslow","RP","ARI","1.00","0.39","0.00","0.00","0.05","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.69","$0",""
"","Rex Brothers","RP","COL","1.00","0.46","0.00","0.00","0.03","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.68","$0",""
"","Wesley Wright","RP","HOU","1.00","0.48","0.00","0.00","0.03","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.66","$0",""
"","Felix Doubront","SP","BOS","1.00","0.18","1.00","0.18","0.03","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.64","$0",""
"","Santiago Casilla","RP","SF","1.00","0.45","0.00","0.00","0.04","0.01","0.00","0.00","0.00","0.01","0.333","0.333","0.333","0.667","0.64","$0",""
"","Brian Duensing","RP","MIN","1.00","0.34","0.20","0.07","0.02","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.60","$0",""
"","Jeremy Affeldt","RP","SF","1.00","0.41","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.60","$0",""
"","Dallas Keuchel","SP","HOU","1.00","0.10","0.94","0.10","1.18","0.12","0.00","0.00","0.00","0.06","0.100","0.136","0.100","0.236","0.55","$0",""
"","Alexi Ogando","RP","TEX","1.00","0.36","0.02","0.01","0.03","0.02","0.00","0.00","0.00","0.00","0.500","0.500","0.500","1.000","0.55","$0",""
"","Tony Watson","RP","PIT","1.00","0.42","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.53","$0",""
