"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","TVS","Cash2023",""
"","Alec Mills","SP","CHC","1.00","0.20","0.92","0.18","0.08","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","5.81","$0",""
"","Will Smith","C","LAD","1.00","0.62","0.92","0.57","3.08","0.89","0.24","0.00","0.22","0.68","0.290","0.402","0.579","0.980","2.58","$5,250,000",""
"","Dylan Moore","SS","SEA","1.00","0.63","0.95","0.60","3.61","0.92","0.24","0.00","0.21","0.45","0.256","0.359","0.496","0.855","2.54","$2,250,000",""
"","Rhys Hoskins","1B","PHI","1.00","0.68","1.00","0.68","3.68","0.90","0.22","0.00","0.24","0.63","0.245","0.384","0.503","0.887","2.26","$12,000,000",""
"","Byron Buxton","CF","MIN","1.00","0.65","0.90","0.58","3.33","0.85","0.08","0.00","0.33","0.69","0.254","0.267","0.577","0.844","2.18","$15,000,000",""
"","Ronald Acuna Jr.","RF","ATL","1.00","0.77","1.00","0.77","3.48","0.87","0.24","0.00","0.30","0.63","0.250","0.406","0.581","0.987","2.14","$17,000,000",""
"","Mitch Moreland","1B","SD","1.00","0.70","0.86","0.60","3.24","0.86","0.21","0.00","0.24","0.69","0.265","0.342","0.551","0.894","1.99","$0",""
"","Jon Berti","2B","MIA","1.00","0.65","0.90","0.58","3.08","0.79","0.13","0.00","0.05","0.36","0.258","0.388","0.350","0.738","1.93","$2,100,000",""
"","Tim Hill","RP","SD","1.00","0.38","0.00","0.00","0.04","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.75","$1,850,000",""
"","Sean Murphy","C","OAK","1.00","0.72","0.91","0.65","2.70","0.63","0.12","0.00","0.16","0.33","0.233","0.364","0.457","0.821","1.66","$4,000,000",""
"","J.T. Realmuto","C","PHI","1.00","0.78","0.96","0.75","3.68","0.98","0.13","0.00","0.23","0.68","0.266","0.349","0.491","0.840","1.65","$23,875,000",""
"","Jesse Winker","LF","CIN","1.00","0.90","0.89","0.80","2.76","0.70","0.13","0.00","0.22","0.43","0.255","0.388","0.544","0.932","1.64","$8,250,000",""
"","Cavan Biggio","2B","TOR","1.00","0.98","0.97","0.95","3.73","0.93","0.27","0.00","0.14","0.47","0.250","0.375","0.432","0.807","1.56","$2,800,000",""
"","Darin Ruf","1B","SF","1.00","0.67","0.63","0.42","2.18","0.60","0.15","0.00","0.13","0.45","0.276","0.370","0.517","0.887","1.56","$3,000,000",""
"","Kole Calhoun","RF","ARI","1.00","0.90","0.98","0.88","3.52","0.80","0.17","0.00","0.30","0.74","0.226","0.338","0.526","0.864","1.52","$0",""
"","Kyle Lewis","LF","SEA","1.00","0.97","0.98","0.95","3.55","0.93","0.05","0.00","0.19","0.48","0.262","0.364","0.437","0.801","1.48","$1,610,000",""
"","Jedd Gyorko","3B","MIL","1.00","0.72","0.81","0.58","2.72","0.67","0.07","0.00","0.21","0.40","0.248","0.333","0.504","0.838","1.43","$0",""
"","Renato Nunez","3B","BAL","1.00","0.87","0.98","0.85","3.75","0.96","0.19","0.00","0.23","0.60","0.256","0.324","0.492","0.816","1.37","$0",""
"","Jackie Bradley Jr.","CF","BOS","1.00","0.92","0.98","0.90","3.47","0.98","0.20","0.00","0.13","0.40","0.283","0.364","0.450","0.814","1.35","$0",""
"","Cody Bellinger","CF","LAD","1.00","0.93","1.00","0.93","3.80","0.91","0.18","0.00","0.21","0.54","0.239","0.333","0.455","0.789","1.28","$12,000,000",""
"","Luis Robert","CF","CHW","1.00","0.93","0.98","0.92","3.61","0.84","0.14","0.00","0.20","0.55","0.233","0.302","0.436","0.738","1.27","$9,500,000",""
"","Max Kepler","RF","MIN","1.00","0.80","0.96","0.77","3.56","0.81","0.19","0.00","0.19","0.48","0.228","0.321","0.439","0.760","1.25","$8,500,000",""
"","Pete Alonso","1B","NYM","1.00","0.95","0.96","0.92","3.65","0.84","0.11","0.00","0.28","0.61","0.231","0.326","0.490","0.817","1.22","$14,500,000",""
"","Colin Moran","3B","PIT","1.00","0.87","0.96","0.83","3.42","0.85","0.19","0.00","0.19","0.44","0.247","0.325","0.472","0.797","1.21","$0",""
"","Adam Duvall","RF","ATL","1.00","0.95","0.82","0.78","3.33","0.79","0.14","0.00","0.28","0.58","0.237","0.301","0.532","0.833","1.20","$7,000,000",""
"","Chance Sisco","C","BAL","1.00","0.60","0.83","0.50","2.72","0.58","0.11","0.00","0.11","0.28","0.214","0.364","0.378","0.741","1.19","$0",""
"","Jurickson Profar","2B","SD","1.00","0.93","0.91","0.85","3.21","0.89","0.11","0.00","0.13","0.45","0.278","0.343","0.428","0.771","1.13","$0",""
"","Eddie Rosario","LF","MIN","1.00","0.95","0.96","0.92","3.68","0.95","0.12","0.00","0.23","0.74","0.257","0.316","0.476","0.792","1.13","$9,000,000",""
"","Martin Maldonado","C","HOU","1.00","0.78","0.98","0.77","2.87","0.62","0.09","0.00","0.13","0.51","0.215","0.350","0.378","0.727","1.13","$4,000,000",""
"","A.J. Pollock","LF","LAD","1.00","0.92","0.87","0.80","3.56","0.98","0.16","0.00","0.29","0.62","0.276","0.314","0.566","0.881","1.10","$7,000,000",""
"","Willson Contreras","C","CHC","1.00","0.95","1.00","0.95","3.32","0.81","0.18","0.00","0.12","0.46","0.243","0.356","0.407","0.763","1.09","$10,000,000",""
"","Jacob Stallings","C","PIT","1.00","0.70","0.95","0.67","2.98","0.74","0.17","0.00","0.07","0.43","0.248","0.326","0.376","0.702","1.08","$3,350,000",""
"","Ji-Man Choi","1B","TB","1.00","0.70","0.76","0.53","2.90","0.67","0.31","0.00","0.07","0.38","0.230","0.331","0.410","0.741","1.06","$4,650,000",""
"","Manuel Margot","CF","TB","1.00","0.78","0.79","0.62","3.09","0.83","0.19","0.00","0.02","0.23","0.269","0.327","0.352","0.679","1.05","$7,000,000",""
"","Anthony Rizzo","1B","CHC","1.00","0.97","0.98","0.95","3.50","0.78","0.10","0.00","0.19","0.41","0.222","0.342","0.414","0.755","1.04","$17,000,000",""
"","Danny Jansen","C","TOR","1.00","0.72","0.93","0.67","2.79","0.51","0.07","0.00","0.14","0.47","0.183","0.313","0.358","0.671","1.02","$3,500,000",""
"","Jorge Soler","DH","KC","1.00","0.72","0.98","0.70","3.47","0.79","0.19","0.00","0.19","0.56","0.228","0.326","0.443","0.769","1.00","$15,000,000",""
"","Joey Gallo","RF","TEX","1.00","0.95","0.96","0.92","3.39","0.61","0.14","0.00","0.18","0.46","0.181","0.301","0.378","0.679","0.99","$11,000,000",""
"","Rio Ruiz","3B","BAL","1.00","0.90","0.93","0.83","3.43","0.76","0.20","0.00","0.17","0.59","0.222","0.286","0.427","0.713","0.99","$0",""
"","Gleyber Torres","SS","NYY","1.00","0.70","0.95","0.67","3.24","0.79","0.19","0.00","0.07","0.38","0.243","0.356","0.368","0.724","0.95","$9,950,000",""
"","Shohei Ohtani","DH","LAA","1.00","0.77","0.91","0.70","3.33","0.63","0.13","0.00","0.15","0.52","0.190","0.291","0.366","0.657","0.94","$30,000,000",""
"","Kyle Seager","3B","SEA","1.00","1.00","0.98","0.98","3.38","0.82","0.20","0.00","0.15","0.67","0.241","0.355","0.433","0.788","0.93","$0",""
"","Brandon Crawford","SS","SF","1.00","0.90","0.87","0.78","3.19","0.81","0.22","0.00","0.15","0.52","0.256","0.326","0.465","0.792","0.92","$16,000,000",""
"","Eugenio Suarez","3B","CIN","1.00","0.95","1.00","0.95","3.47","0.70","0.14","0.00","0.26","0.67","0.202","0.312","0.470","0.781","0.92","$11,000,000",""
"","Matt Kemp","LF","COL","1.00","0.72","0.70","0.50","2.72","0.65","0.07","0.00","0.14","0.49","0.239","0.326","0.419","0.745","0.90","$0",""
"","J.D. Davis","LF","NYM","1.00","0.93","0.93","0.87","3.39","0.84","0.16","0.00","0.11","0.34","0.247","0.371","0.389","0.761","0.89","$4,210,000",""
"","Paul Goldschmidt","1B","STL","1.00","1.00","1.00","1.00","3.29","1.00","0.22","0.00","0.10","0.36","0.304","0.417","0.466","0.883","0.89","$26,000,000",""
"","Yasmani Grandal","C","CHW","1.00","0.77","0.98","0.75","3.50","0.80","0.15","0.00","0.17","0.59","0.230","0.351","0.422","0.773","0.84","$18,250,000",""
"","Dan Vogelbach","DH","MIL","1.00","0.65","0.92","0.60","2.95","0.62","0.08","0.00","0.15","0.41","0.209","0.331","0.391","0.722","0.84","$1,500,000",""
"","Tucker Barnhart","C","CIN","1.00","0.63","0.87","0.55","2.58","0.53","0.08","0.00","0.13","0.34","0.204","0.291","0.388","0.679","0.81","$3,250,000",""
"","Carlos Correa","SS","HOU","1.00","0.97","0.97","0.93","3.47","0.91","0.16","0.00","0.09","0.43","0.264","0.326","0.383","0.709","0.77","$36,000,000",""
"","Max Muncy","1B","LAD","1.00","0.97","1.00","0.97","3.50","0.67","0.07","0.00","0.21","0.47","0.192","0.331","0.389","0.720","0.76","$13,500,000",""
"","Pat Valaika","SS","BAL","1.00","0.87","0.73","0.63","2.71","0.75","0.08","0.00","0.15","0.31","0.277","0.315","0.475","0.791","0.76","$0",""
"","Tyler O'Neill","LF","STL","1.00","0.86","0.88","0.76","2.78","0.48","0.10","0.00","0.14","0.38","0.173","0.261","0.360","0.621","0.74","$4,950,000",""
"","Hunter Renfroe","RF","TB","1.00","0.70","0.81","0.57","2.90","0.45","0.12","0.00","0.19","0.52","0.156","0.252","0.393","0.645","0.69","$11,900,000",""
"","Mike Moustakas","2B","CIN","1.00","0.73","0.98","0.72","3.16","0.73","0.20","0.00","0.18","0.61","0.230","0.331","0.468","0.799","0.69","$0",""
"","Paul DeJong","SS","STL","1.00","0.78","1.00","0.78","3.38","0.84","0.13","0.00","0.07","0.56","0.250","0.322","0.349","0.671","0.68","$9,000,000",""
"","Keston Hiura","2B","MIL","1.00","0.98","1.00","0.98","3.68","0.78","0.07","0.00","0.22","0.54","0.212","0.297","0.410","0.707","0.68","$2,200,000",""
"","Mike Tauchman","LF","NYY","1.00","0.72","0.63","0.45","2.21","0.53","0.14","0.00","0.00","0.33","0.242","0.342","0.305","0.648","0.67","$0",""
"","Nick Markakis","RF","ATL","1.00","0.62","0.89","0.55","3.51","0.89","0.41","0.00","0.03","0.41","0.254","0.312","0.392","0.704","0.64","$0",""
"","Philip Gosselin","2B","PHI","1.00","0.65","0.72","0.47","2.36","0.59","0.13","0.00","0.08","0.31","0.250","0.324","0.402","0.726","0.64","$0",""
"","Freddy Galvis","SS","CIN","1.00","0.78","0.89","0.70","3.00","0.66","0.11","0.00","0.15","0.34","0.220","0.308","0.404","0.712","0.63","$0",""
"","Miguel Sano","1B","MIN","1.00","0.88","1.00","0.88","3.51","0.72","0.23","0.00","0.25","0.47","0.204","0.278","0.478","0.757","0.60","$0",""
"","Travis Shaw","1B","TOR","1.00","0.83","0.84","0.70","3.26","0.78","0.20","0.00","0.12","0.34","0.239","0.306","0.411","0.717","0.57","$0",""
"","Adam Frazier","2B","PIT","1.00","0.97","0.93","0.90","3.60","0.83","0.12","0.00","0.12","0.40","0.230","0.297","0.364","0.661","0.54","$8,000,000",""
"","Kyle Schwarber","LF","CHC","1.00","0.98","0.97","0.95","3.24","0.61","0.10","0.00","0.19","0.41","0.189","0.308","0.393","0.701","0.52","$20,000,000",""
"","Stephen Piscotty","RF","OAK","1.00","0.75","0.98","0.73","3.53","0.80","0.13","0.00","0.11","0.64","0.226","0.271","0.358","0.629","0.50","$0",""
"","Luis Garcia","SS","WSH","1.00","0.67","0.90","0.60","3.35","0.93","0.15","0.00","0.05","0.40","0.276","0.302","0.366","0.668","0.50","$0",""
"","Carson Kelly","C","ARI","1.00","0.65","0.87","0.57","3.13","0.69","0.13","0.00","0.13","0.49","0.221","0.264","0.385","0.649","0.46","$4,275,000",""
"","Tyler Wade","2B","NYY","1.00","0.87","0.56","0.48","1.69","0.29","0.06","0.00","0.06","0.19","0.171","0.289","0.307","0.595","0.46","$0",""
"","Timmy Lopes","2B","SEA","1.00","0.77","0.80","0.62","3.11","0.74","0.26","0.00","0.04","0.33","0.238","0.278","0.364","0.642","0.46","$0",""
"","Nico Hoerner","SS","CHC","1.00","0.80","0.69","0.55","2.25","0.50","0.08","0.00","0.00","0.27","0.222","0.312","0.259","0.571","0.45","$2,525,000",""
"","Victor Caratini","C","CHC","1.00","0.73","0.84","0.62","2.64","0.64","0.16","0.00","0.02","0.36","0.241","0.333","0.328","0.661","0.43","$2,800,000",""
"","Jorge Polanco","SS","MIN","1.00","0.92","0.96","0.88","3.80","0.98","0.15","0.00","0.07","0.35","0.258","0.304","0.354","0.658","0.42","$7,500,000",""
"","Matt Joyce","LF","MIA","1.00","0.77","0.80","0.62","2.76","0.70","0.09","0.00","0.04","0.30","0.252","0.351","0.331","0.682","0.41","$0",""
"","Joc Pederson","LF","LAD","1.00","0.72","0.88","0.63","2.81","0.53","0.09","0.00","0.16","0.37","0.190","0.285","0.397","0.681","0.41","$19,650,000",""
"","Adam Haseley","CF","PHI","1.00","0.67","0.58","0.38","1.98","0.55","0.13","0.00","0.00","0.33","0.279","0.348","0.342","0.690","0.40","$0",""
"","Joe Panik","2B","TOR","1.00","0.68","0.78","0.53","2.93","0.66","0.15","0.00","0.02","0.17","0.225","0.340","0.300","0.640","0.40","$0",""
"","Lewis Brinson","RF","MIA","1.00","0.78","0.62","0.48","2.26","0.51","0.13","0.00","0.06","0.26","0.226","0.268","0.368","0.636","0.40","$0",""
"","Andrew McCutchen","LF","PHI","1.00","0.95","0.91","0.87","3.81","0.96","0.16","0.00","0.18","0.60","0.254","0.324","0.433","0.757","0.40","$5,000,000",""
"","Joey Votto","1B","CIN","1.00","0.90","1.00","0.90","3.44","0.78","0.15","0.00","0.20","0.41","0.226","0.354","0.446","0.800","0.39","$25,000,000",""
"","Jonathan Villar","CF","TOR","1.00","0.87","0.92","0.80","3.56","0.83","0.10","0.00","0.04","0.29","0.232","0.301","0.292","0.593","0.39","$0",""
"","Tony Kemp","2B","OAK","1.00","0.82","0.67","0.55","1.90","0.47","0.10","0.00","0.00","0.08","0.247","0.363","0.301","0.664","0.38","$3,725,000",""
"","Rougned Odor","2B","TEX","1.00","0.63","1.00","0.63","3.63","0.61","0.11","0.00","0.26","0.79","0.167","0.210","0.413","0.623","0.37","$0",""
"","Michael Taylor","CF","WSH","1.00","0.63","0.61","0.38","2.42","0.47","0.16","0.00","0.13","0.42","0.196","0.253","0.424","0.676","0.37","$4,500,000",""
"","Gary Sanchez","C","NYY","1.00","0.82","0.92","0.75","3.18","0.47","0.08","0.00","0.20","0.49","0.147","0.253","0.365","0.618","0.36","$0",""
"","Wilson Ramos","C","NYM","1.00","0.75","0.89","0.67","3.16","0.76","0.13","0.00","0.11","0.33","0.239","0.297","0.387","0.684","0.35","$0",""
"","Evan White","1B","SEA","1.00","0.90","0.96","0.87","3.37","0.59","0.13","0.00","0.15","0.48","0.176","0.253","0.346","0.599","0.35","$3,000,000",""
"","Nick Solak","2B","TEX","1.00","0.97","0.98","0.95","3.60","0.97","0.17","0.00","0.03","0.40","0.268","0.326","0.344","0.671","0.35","$0",""
"","Josh Bell","1B","PIT","1.00","0.95","0.96","0.92","3.42","0.77","0.05","0.00","0.14","0.39","0.226","0.305","0.364","0.669","0.31","$16,500,000",""
"","Nolan Arenado","3B","COL","1.00","0.80","1.00","0.80","3.79","0.96","0.19","0.00","0.17","0.54","0.253","0.304","0.434","0.738","0.30","$13,000,000",""
"","Ryan O'Hearn","1B","KC","1.00","0.70","0.74","0.52","2.69","0.52","0.14","0.00","0.05","0.43","0.195","0.303","0.301","0.604","0.29","$0",""
"","Alex Gordon","LF","KC","1.00","0.83","0.96","0.80","3.26","0.68","0.08","0.00","0.08","0.22","0.209","0.299","0.307","0.606","0.28","$0",""
"","Eric Thames","1B","WSH","1.00","0.68","0.85","0.58","3.00","0.61","0.12","0.00","0.07","0.29","0.203","0.300","0.317","0.617","0.28","$0",""
"","Edwin Encarnacion","DH","CHW","1.00","0.73","0.98","0.72","3.61","0.57","0.11","0.00","0.23","0.43","0.157","0.250","0.377","0.627","0.27","$0",""
"","Austin Romine","C","DET","1.00","0.64","1.00","0.64","3.51","0.84","0.14","0.00","0.05","0.46","0.239","0.259","0.323","0.582","0.25","$0",""
"","Omar Narvaez","C","MIL","1.00","0.67","0.83","0.55","2.70","0.48","0.10","0.00","0.05","0.25","0.176","0.294","0.269","0.562","0.24","$8,000,000",""
"","Nomar Mazara","RF","CHW","1.00","0.70","0.90","0.63","3.24","0.74","0.14","0.00","0.02","0.36","0.228","0.295","0.294","0.589","0.22","$0",""
"","Avisail Garcia","LF","MIL","1.00","0.88","0.94","0.83","3.42","0.81","0.19","0.00","0.04","0.28","0.238","0.333","0.326","0.659","0.21","$12,000,000",""
"","Marwin Gonzalez","3B","MIN","1.00","0.88","0.96","0.85","3.30","0.70","0.08","0.00","0.09","0.42","0.211","0.286","0.320","0.606","0.20","$0",""
"","Nicky Lopez","2B","KC","1.00","0.93","0.91","0.85","3.02","0.61","0.14","0.00","0.02","0.23","0.201","0.286","0.266","0.552","0.20","$3,700,000",""
"","Ehire Adrianza","SS","MIN","1.00","0.73","0.52","0.38","2.02","0.39","0.16","0.00","0.00","0.07","0.191","0.287","0.270","0.557","0.20","$0",""
"","Brock Holt","2B","WSH","1.00","0.62","0.70","0.43","2.57","0.54","0.16","0.00","0.00","0.14","0.211","0.283","0.274","0.557","0.19","$0",""
"","Justin Upton","LF","LAA","1.00","0.70","1.00","0.70","3.50","0.71","0.12","0.00","0.21","0.52","0.204","0.289","0.422","0.711","0.19","$0",""
"","Kevin Newman","SS","PIT","1.00","0.73","0.93","0.68","3.55","0.80","0.11","0.00","0.02","0.23","0.224","0.281","0.276","0.556","0.19","$2,662,000",""
"","Phillip Ervin","CF","SEA","1.00","0.62","0.54","0.33","2.00","0.30","0.08","0.00","0.00","0.11","0.149","0.292","0.189","0.481","0.18","$0",""
"","Matt Carpenter","3B","STL","1.00","0.86","0.92","0.79","2.80","0.52","0.12","0.00","0.08","0.48","0.186","0.325","0.314","0.640","0.15","$6,500,000",""
"","Albert Pujols","1B","LAA","1.00","0.65","0.97","0.63","3.90","0.87","0.21","0.00","0.15","0.64","0.224","0.270","0.395","0.665","0.14","$0",""
"","Eric Sogard","2B","MIL","1.00","0.72","0.67","0.48","2.67","0.56","0.12","0.00","0.02","0.23","0.209","0.281","0.278","0.560","0.13","$0",""
"","Michael Perez","C","TB","1.00","0.63","0.71","0.45","2.21","0.37","0.08","0.00","0.03","0.34","0.167","0.237","0.238","0.475","0.13","$0",""
"","Cole Tucker","SS","PIT","1.00","0.62","0.76","0.47","2.95","0.65","0.08","0.00","0.03","0.22","0.220","0.252","0.275","0.527","0.12","$0",""
"","Yadier Molina","C","STL","1.00","0.72","1.00","0.72","3.45","0.90","0.05","0.00","0.10","0.38","0.262","0.303","0.359","0.662","0.12","$0",""
"","Tony Wolters","C","COL","1.00","0.70","0.83","0.58","2.38","0.55","0.10","0.00","0.00","0.19","0.230","0.280","0.270","0.550","0.11","$0",""
"","Scott Kingery","3B","PHI","1.00","0.60","0.94","0.57","3.14","0.50","0.14","0.00","0.08","0.17","0.159","0.228","0.283","0.511","0.11","$0",""
"","Miguel Cabrera","DH","DET","1.00","0.98","1.00","0.98","3.58","0.89","0.07","0.00","0.18","0.61","0.250","0.329","0.417","0.746","0.11","$32,000,000",""
