Jugador,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Agente libre
Zack Greinke,0.228,2,0.212,0.6,MIL,13500000,No
Jhoulys Chacin,0.086,3,0.292,0.695,COL,482000,No
James McDonald,0.204,1,0.143,0.406,PIT,502500,No
Anthony Recker,0.136,4,0.143,0.508,OAK,480000,No
Logan Schafer,0.099,5,0.304,0.842,MIL,480000,No
Eric Stults,0.124,3,0.25,0.571,SD,480000,No
Randy Wolf,0.191,4,0.15,0.296,MIL,9500000,No
Kyle Lohse,0.21,3,0.094,0.229,STL,12187500,No
Clayton Richard,0.222,7,0.087,0.258,SD,2705000,No
Johnny Cueto,0.204,2,0.09,0.194,CIN,5400000,No
Gio Gonzalez,0.198,4,0.094,0.262,WSH,3350000,No
Randall Delgado,0.111,1,0.24,0.48,ATL,480000,No
Jordan Lyles,0.161,4,0.158,0.443,HOU,480000,No
Drew Pomeranz,0.136,1,0.231,0.682,COL,480000,No
Matt Harvey,0.062,3,0.333,0.778,NYM,480000,No
Didi Gregorius,0.049,2,0.3,0.6,ARI,480000,No
Josh Johnson,0.191,2,0.094,0.222,MIA,13750000,No
Chris Capuano,0.21,3,0.093,0.237,LAD,3375000,Si
Kyle Kendrick,0.228,0,0.139,0.4,PHI,3350000,No
Kevin Correia,0.198,0,0.106,0.213,PIT,4000000,No
Chris Volstad,0.13,0,0.179,0.357,CHC,2655000,No
Brandon Beachy,0.086,4,0.185,0.464,ATL,495000,No
Jeff Samardzija,0.191,3,0.1,0.267,CHC,2640000,No
Bud Norris,0.185,3,0.1,0.235,HOU,511000,No
Alex White,0.173,5,0.179,0.601,COL,480000,No
Ryan Vogelsong,0.191,0,0.093,0.266,SF,3100000,No
Corey Brown,0.117,3,0.2,0.631,WSH,480000,No
Joe Kelly,0.179,2,0.152,0.364,STL,480000,No
Mike Olt,0.099,5,0.152,0.432,TEX,480000,No
Carlos Triunfel,0.062,3,0.227,0.579,SEA,480000,No
Aaron Harang,0.191,2,0.071,0.161,LAD,3000000,Si
Edinson Volquez,0.198,1,0.071,0.177,SD,2237500,No
Wandy Rodriguez,0.21,2,0.066,0.175,PIT,2200000,No
Ian Kennedy,0.204,6,0.078,0.356,ARI,519500,No
Joe Blanton,0.191,1,0.073,0.208,PHI,10500000,No
Paul Maholm,0.198,3,0.064,0.203,CHC,4250000,No
Tim Lincecum,0.204,3,0.089,0.285,SF,18250000,No
Barry Zito,0.198,2,0.076,0.245,SF,19000000,No
Erik Bedard,0.148,0,0.108,0.267,PIT,4500000,No
A.J. Burnett,0.191,2,0.064,0.17,PIT,16500000,No
Shaun Marcum,0.136,1,0.105,0.302,MIL,7725000,No
Kris Medlen,0.309,2,0.121,0.368,ATL,490000,No
Mike Minor,0.185,0,0.073,0.196,ATL,482500,No
Dillon Gee,0.105,1,0.148,0.429,NYM,502000,No
Marco Estrada,0.179,3,0.1,0.293,MIL,486000,No
Jerry Sands,0.056,1,0.174,0.469,BOS,480000,No
Anthony Bass,0.154,5,0.129,0.323,SD,485300,No
Tyler Chatwood,0.142,1,0.25,0.607,COL,480000,No
Kole Calhoun,0.13,1,0.174,0.457,LAA,480000,No
Patrick Corbin,0.136,4,0.111,0.302,ARI,480000,No
Mark Buehrle,0.191,1,0.045,0.104,MIA,7000000,Si
Anibal Sanchez,0.191,0,0.1,0.296,DET,8000000,No
Joe Saunders,0.173,1,0.086,0.24,ARI,6000000,No
Johan Santana,0.13,0,0.086,0.171,NYM,24000000,No
J.A. Happ,0.198,1,0.094,0.265,HOU,2350000,No
Hank Conger,0.043,1,0.167,0.405,LAA,480000,No
Vance Worley,0.142,2,0.081,0.189,PHI,495000,No
Michael Fiers,0.142,2,0.094,0.188,MIL,480000,No
Lance Lynn,0.216,1,0.06,0.154,STL,482000,No
Bryan Anderson,0.062,0,0.25,0.69,STL,480000,No
Conor Gillaspie,0.037,2,0.15,0.35,SF,480000,No
Nathan Eovaldi,0.136,0,0.094,0.215,MIA,480000,No
Charlie Culberson,0.037,1,0.136,0.273,COL,480000,No
Jeremy Guthrie,0.235,1,0.08,0.195,COL,8200000,No
Jeff Francis,0.148,0,0.065,0.186,COL,480000,No
Jorge De La Rosa,0.019,1,0.4,0.8,COL,10500000,No
Tom Gorzelanny,0.278,1,0.333,0.762,WSH,3000000,No
Matt Garza,0.111,0,0.067,0.167,CHC,9500000,No
Jason Vargas,0.204,1,0.4,0.9,SEA,4850000,No
Ross Detwiler,0.204,1,0.044,0.11,WSH,485000,No
Colby Lewis,0.099,2,0.5,1.0,TEX,3250000,No
Daniel Hudson,0.056,1,0.154,0.404,ARI,504000,No
Juan Nicasio,0.068,1,0.111,0.311,COL,480000,No
Vin Mazzaro,0.111,1,0.5,1.0,KC,490875,No
Adam Moore,0.025,2,0.182,0.795,SEA,483600,No
Reid Brignac,0.099,1,0.095,0.232,TB,490600,No
Hector Noesi,0.136,0,0.5,1.0,SEA,488000,No
Joe Wieland,0.031,2,0.25,0.625,SD,480000,No
Christian Friedrich,0.105,0,0.08,0.259,COL,480000,No
Carlos Torres,0.198,1,0.222,0.522,COL,480000,No
Shelby Miller,0.037,0,0.667,1.667,STL,480000,No
Ryan Jackson,0.08,0,0.118,0.284,STL,480000,No
Stephen Fife,0.031,0,0.286,0.714,LAD,480000,No
Dallas Keuchel,0.105,1,0.1,0.236,HOU,480000,No
Rafael Ortega,0.012,0,0.5,1.167,COL,480000,No
Brooks Raley,0.031,0,0.2,0.4,CHC,480000,No
Chris Rusin,0.043,0,0.167,0.5,CHC,115409,No
Jair Jurrjens,0.068,0,0.077,0.22,ATL,5500000,No
Josh Beckett,0.173,0,0.048,0.095,BOS,17000000,No
Franklin Morales,0.228,0,0.5,1.0,BOS,850000,No
Luke Hochevar,0.198,0,0.2,0.4,KC,3510000,No
Jered Weaver,0.185,0,0.5,1.167,LAA,14200000,No
Carlos Villanueva,0.235,0,0.5,1.0,TOR,2277500,No
Mike Pelfrey,0.019,0,0.167,0.5,NYM,5687500,No
Chien-Ming Wang,0.062,0,0.167,0.619,WSH,4000000,Si
Santiago Casilla,0.451,1,0.333,0.667,SF,2200000,No
Felix Hernandez,0.204,2,0.333,1.0,SEA,19750000,No
James Shields,0.204,1,0.2,0.4,TB,7500000,No
John Lannan,0.037,0,0.111,0.311,WSH,5000000,No
Josh Outman,0.173,1,0.083,0.237,COL,482000,No
Brad Ziegler,0.475,0,0.25,0.5,ARI,1795000,No
Scott Feldman,0.179,1,0.25,0.5,TEX,6500000,No
Bruce Chen,0.216,0,0.2,0.4,KC,4500000,No
David Hernandez,0.444,0,1.0,2.0,ARI,499000,No
Brian Matusz,0.21,0,0.25,0.5,BAL,1450000,No
Andrew Cashner,0.204,0,0.143,0.393,SD,486100,No
Casey Coleman,0.105,0,0.333,0.667,CHC,480000,No
Esmil Rogers,0.414,0,0.333,0.667,COL,481000,No
Fernando Abad,0.228,0,0.143,0.286,HOU,485000,No
Ivan Nova,0.173,0,0.143,0.286,NYY,527200,No
Kyle Blanks,0.025,0,0.2,0.533,SD,492400,No
Wade LeBlanc,0.154,0,0.083,0.321,MIA,480000,No
Wade Davis,0.333,0,0.5,1.0,TB,1500000,No
Alexi Ogando,0.358,0,0.5,1.0,TEX,497600,No
Justin Germano,0.086,0,0.059,0.17,CHC,480000,No
Brandon Guyer,0.019,1,0.143,0.714,TB,480000,No
Jerome Williams,0.198,0,0.25,0.75,LAA,820000,No
Tom Milone,0.191,2,0.2,0.4,OAK,480000,No
Yu Darvish,0.179,0,0.333,0.667,TEX,6350000,No
David Carpenter,0.21,0,0.5,1.0,BOS,485000,No
David Carpenter,0.21,0,0.5,1.0,LAA,480000,No
Wily Peralta,0.037,0,0.091,0.273,MIL,480000,No
Jeff Locke,0.049,0,0.091,0.182,PIT,480000,No
Adam Ottavino,0.327,0,0.111,0.222,COL,480000,No
Tim Federowicz,0.019,0,0.333,0.833,LAD,480000,No
Josh Collmenter,0.173,2,0.063,0.18,ARI,486000,No
Luis Avilan,0.191,0,0.333,0.667,ATL,480000,No
Tyler Cloyd,0.037,0,0.091,0.377,PHI,480000,No
B.J. Rosenberg,0.136,1,0.333,0.667,PHI,480000,No
Chris Herrmann,0.043,1,0.056,0.161,MIN,480000,No
Tyler Thornburg,0.049,0,0.2,0.6,MIL,480000,No
Hernan Perez,0.012,0,0.5,1.0,DET,480000,No
Dan Haren,0.191,0,0.0,0.0,LAA,12750000,No
Clay Buchholz,0.179,0,0.0,0.0,BOS,3750000,No
Jon Lester,0.204,0,0.0,0.0,BOS,7625000,No
Daisuke Matsuzaka,0.068,0,0.0,0.0,BOS,10333334,No
Yusmeiro Petit,0.006,0,0.0,0.0,SF,480000,No
John Danks,0.056,0,0.0,0.0,CHW,2000000,No
Gavin Floyd,0.179,0,0.0,0.0,CHW,7000000,No
Jeremy Affeldt,0.414,0,0.0,0.0,SF,5000000,No
Matt Belisle,0.494,0,0.0,0.0,COL,3775000,No
Justin Verlander,0.204,0,0.0,0.0,DET,20166668,No
C.C. Sabathia,0.173,0,0.0,0.0,NYY,24285714,No
Wesley Wright,0.482,0,0.0,0.0,HOU,512000,No
Ervin Santana,0.185,0,0.0,0.0,LAA,11200000,No
Hiroki Kuroda,0.204,0,0.0,0.0,NYY,10000000,Si
Brad Penny,0.136,0,0.0,0.0,SF,500000,Si
Manny Parra,0.383,0,0.0,0.0,MIL,1200000,No
Phil Hughes,0.198,0,0.0,0.0,NYY,3200000,No
Jake Peavy,0.198,1,0.0,0.0,CHW,17075000,No
Zach Duke,0.049,0,0.0,0.0,WSH,900000,Si
Jason Hammel,0.124,0,0.0,0.0,BAL,4750000,No
C.J. Wilson,0.21,0,0.0,0.167,LAA,10550000,Si
Jamey Wright,0.407,0,0.0,0.0,LAD,900000,Si
Max Scherzer,0.198,0,0.0,0.0,DET,3750000,No
Daniel Bard,0.105,0,0.0,0.0,BOS,1612500,No
Bartolo Colon,0.148,0,0.0,0.0,OAK,2000000,No
Rick Porcello,0.191,0,0.0,0.0,DET,3100000,No
Burke Badenhop,0.407,0,0.0,0.0,TB,1075000,No
Craig Breslow,0.389,0,0.0,0.0,ARI,1795000,No
Francisco Liriano,0.21,0,0.0,0.0,MIN,5500000,No
Francisco Cervelli,0.019,0,0.0,0.5,NYY,513700,No
Luke Gregerson,0.475,0,0.0,0.0,SD,1550000,No
Grant Balfour,0.463,0,0.0,0.0,OAK,4000000,No
Matt Harrison,0.204,0,0.0,0.0,TEX,2950000,No
Derek Holland,0.179,0,0.0,0.0,TEX,1000000,No
Brett Cecil,0.13,0,0.0,0.0,TOR,480000,No
Tim Stauffer,0.006,1,0.0,0.0,SD,3200000,No
Jake Arrieta,0.148,0,0.0,0.25,BAL,488500,No
Felix Doubront,0.179,0,0.0,0.0,BOS,484000,No
James Russell,0.475,0,0.0,0.0,CHC,512500,No
Chris Sale,0.185,0,0.0,0.0,CHW,500000,No
Sam LeCure,0.296,0,0.0,0.5,CIN,487500,No
Matt Reynolds,0.438,0,0.0,0.0,COL,481000,No
Kyle Drabek,0.08,0,0.0,0.0,TOR,485900,No
John Axford,0.463,0,0.0,0.0,MIL,525000,No
Chris Narveson,0.012,0,0.0,0.0,MIL,500000,No
Fernando Salas,0.401,0,0.0,0.0,STL,498000,No
Steve Cishek,0.42,0,0.0,0.0,MIA,480000,No
Michael Dunn,0.37,0,0.0,0.0,MIA,480000,No
Chris Hatcher,0.068,0,0.0,0.0,MIA,480000,No
Ryan Webb,0.401,0,0.0,0.0,MIA,480000,No
Brian Duensing,0.34,0,0.0,0.0,MIN,515000,No
Jenrry Mejia,0.031,1,0.0,0.0,NYM,480000,No
Christopher Leroux,0.062,0,0.0,0.0,PIT,486000,No
Charlie Morton,0.056,0,0.0,0.0,PIT,2445000,No
Cory Luebke,0.031,0,0.0,0.0,SD,622800,No
Doug Fister,0.161,0,0.0,0.0,DET,507500,No
Jeremy Hellickson,0.191,0,0.0,0.0,TB,489500,No
David Price,0.191,0,0.0,0.2,TB,4350000,No
Cesar Ramos,0.105,0,0.0,0.0,TB,480000,No
Ryan Mattheus,0.407,0,0.0,0.0,WSH,481000,No
Craig Stammen,0.364,0,0.0,0.0,WSH,485000,No
Neftali Feliz,0.049,0,0.0,0.0,TEX,502000,No
Tommy Hunter,0.204,0,0.0,0.0,BAL,493500,No
Nathan Adcock,0.074,0,0.0,0.0,KC,493200,No
Tim Collins,0.444,0,0.0,0.0,KC,495725,No
Alfredo Simon,0.222,0,0.0,0.0,CIN,487500,No
George Kontos,0.272,0,0.0,0.0,SF,481350,No
Chris Archer,0.049,0,0.0,0.0,TB,480000,No
Brandon Gomes,0.093,1,0.0,0.5,TB,480000,No
Matt Moore,0.191,1,0.0,0.0,TB,1100000,No
Henderson Alvarez,0.191,0,0.0,0.0,TOR,482900,No
Jacob Turner,0.062,0,0.0,0.0,DET,1175000,No
Manuel Pina,0.006,0,0.0,0.0,KC,480425,No
Liam Hendriks,0.105,0,0.0,0.0,MIN,480000,No
Anthony Swarzak,0.272,0,0.0,0.0,MIN,487500,No
Garrett Richards,0.185,0,0.0,0.0,LAA,480000,No
Jarrod Parker,0.179,0,0.0,0.0,OAK,480000,No
Tyson Ross,0.111,0,0.0,0.0,OAK,480000,No
Blake Beavan,0.161,0,0.0,0.0,SEA,486500,No
Wei-Yin Chen,0.198,0,0.0,0.0,BAL,3255333,No
Julio Teheran,0.012,0,0.0,0.5,ATL,480000,No
Brad Hand,0.006,0,0.0,0.0,MIA,480000,No
Josh Stinson,0.037,0,0.0,0.0,MIL,480000,No
Joe Savery,0.117,0,0.0,0.0,PHI,480000,No
Fernando Rodriguez,0.438,0,0.0,0.0,HOU,492000,No
Jared Hughes,0.407,0,0.0,0.0,PIT,481000,No
Tony Watson,0.42,0,0.0,0.0,PIT,484000,No
Chase d'Arnaud,0.049,1,0.0,0.0,PIT,480000,No
Maikel Cleto,0.056,0,0.0,0.0,STL,480000,No
Rex Brothers,0.463,0,0.0,0.0,COL,480000,No
Rhiner Cruz,0.321,0,0.0,0.0,HOU,480000,No
Dan Otero,0.074,0,0.0,0.0,SF,480000,No
Erasmo Ramirez,0.099,0,0.0,0.0,SEA,480000,No
Stephen Vogt,0.111,0,0.0,0.074,TB,480000,No
Robbie Ross,0.358,0,0.0,0.0,TEX,480000,No
Drew Hutchison,0.068,0,0.0,0.0,TOR,480000,No
Jose Quintana,0.154,0,0.0,0.25,CHW,480000,No
Drew Smyly,0.142,0,0.0,0.0,DET,480000,No
Dan Jennings,0.136,0,0.0,0.0,MIA,480000,No
Xavier Cedeno,0.272,0,0.0,0.0,HOU,480000,No
Tyler Skaggs,0.037,0,0.0,0.0,ARI,480000,No
Tony Cingrani,0.019,0,0.0,0.0,CIN,480000,No
Todd Redmond,0.006,0,0.0,0.0,CIN,480000,No
Brad Boxberger,0.148,0,0.0,0.0,SD,480000,No
Nick Vincent,0.167,0,0.0,0.0,SD,480000,No
Jeurys Familia,0.049,0,0.0,0.0,NYM,480000,No
Collin McHugh,0.049,0,0.0,0.0,NYM,480000,No
Tom Koehler,0.049,0,0.0,0.0,MIA,480000,No
Clint Robinson,0.025,0,0.0,0.0,KC,480000,No
Tommy Field,0.012,0,0.0,0.333,COL,480000,No
L.J. Hoes,0.012,0,0.0,0.0,BAL,480000,No
