Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Agente libre
Joey Lucchesi,SP,26,0.161,34,2,0,1,0.059,0.213,SD,545000,No
Trevor Richards,SP,26,0.162,31,2,0,2,0.065,0.158,MIA,545000,No
Anthony Alford,OF,13,0.08,19,2,0,1,0.105,0.296,TOR,545000,No
Javier Guerra,SS,13,0.08,16,2,0,1,0.125,0.388,SD,545000,No
Brandon Woodruff,RP,19,0.117,8,2,1,1,0.25,0.958,MIL,550100,No
Mark Zagunis,OF,5,0.031,5,2,0,1,0.4,1.1,CHC,545000,No
Taylor Davis,C,5,0.031,5,2,0,2,0.4,0.733,CHC,545000,No
Tim Locastro,2B,18,0.11,11,2,0,0,0.182,0.63,LAD,545000,No
Adolis Garcia,OF,21,0.13,17,2,0,1,0.118,0.294,STL,545000,No
Joe Hudson,C,8,0.049,12,2,0,1,0.167,0.417,LAA,545000,No
Dustin Pedroia,2B,4,0.025,11,1,0,0,0.091,0.322,BOS,16125000,No
Justin Verlander,SP,34,0.21,5,1,0,0,0.2,0.4,HOU,28100000,No
Anibal Sanchez,SP,25,0.154,41,1,0,0,0.024,0.072,ATL,1000000,Si
Ian Kennedy,SP,22,0.136,2,1,0,0,0.5,1.0,KC,16000000,No
Adam Wainwright,SP,8,0.049,11,1,0,1,0.091,0.182,STL,19500000,No
James Shields,SP,34,0.21,6,1,0,0,0.167,0.333,CHW,21000000,No
Brett Anderson,SP,17,0.105,4,1,0,0,0.25,0.5,OAK,4000000,No
Mike Minor,SP,28,0.173,3,1,0,0,0.333,1.0,TEX,8333333,Si
Jeff Samardzija,SP,10,0.062,10,1,0,0,0.1,0.2,SF,19800000,No
Jerry Blevins,RP,65,0.401,2,1,0,1,0.5,1.0,NYM,7000000,No
Steve Cishek,RP,81,0.497,6,1,0,0,0.167,0.333,CHC,7500000,Si
Ivan Nova,SP,29,0.18,53,1,0,0,0.019,0.038,PIT,9416666,No
Charlie Morton,SP,30,0.185,6,1,0,0,0.167,0.333,HOU,8875000,No
Wade LeBlanc,SP,32,0.198,3,1,0,0,0.333,0.667,SEA,700000,No
Alex Cobb,SP,28,0.173,6,1,0,0,0.167,0.333,BAL,14000000,Si
Yu Darvish,SP,8,0.049,12,1,0,0,0.083,0.25,CHC,25000000,Si
Nathan Eovaldi,SP,24,0.148,9,1,0,1,0.111,0.311,BOS,2000000,No
Dylan Bundy,SP,31,0.191,5,1,0,0,0.2,0.4,BAL,1640000,No
Kevin Gausman,SP,32,0.198,21,1,0,0,0.048,0.278,ATL,5600000,No
Roenis Elias,RP,23,0.142,2,1,0,0,0.5,1.0,SEA,598000,No
Odrisamer Despaigne,SP,19,0.117,5,1,0,0,0.2,0.4,LAA,1090000,No
Marcus Stroman,SP,19,0.117,3,1,0,0,0.333,0.667,TOR,6500000,No
Terrance Gore,LF,14,0.086,5,1,0,0,0.2,0.4,CHC,545000,No
Andrew Heaney,SP,30,0.185,8,1,0,0,0.125,0.25,LAA,800000,No
A.J. Cole,RP,32,0.198,3,1,1,1,0.333,1.667,NYY,555300,No
Matt Grace,RP,56,0.346,3,1,0,0,0.333,0.667,WSH,557000,No
Jesse Biddle,RP,60,0.37,2,1,0,1,0.5,1.5,ATL,545000,No
Kolby Allard,SP,3,0.019,1,1,0,0,1.0,2.0,ATL,545000,No
Michael Soroka,SP,5,0.031,8,1,0,0,0.125,0.25,ATL,545000,No
Touki Toussaint,SP,8,0.049,10,1,0,0,0.1,0.2,ATL,545000,No
Erick Fedde,SP,11,0.068,16,1,0,0,0.063,0.18,WSH,545000,No
Brian Johnson,SP,38,0.235,4,1,0,0,0.25,0.5,BOS,548000,No
Zach Davies,SP,13,0.08,15,1,0,0,0.067,0.133,MIL,572000,No
Jorge Lopez,SP,17,0.105,2,1,0,2,0.5,1.5,KC,545000,No
Ty Blach,RP,50,0.309,29,1,0,0,0.035,0.131,SF,565000,No
Matt Koch,RP,19,0.117,17,1,0,0,0.059,0.259,ARI,545000,No
Alec Mills,RP,7,0.043,5,1,0,0,0.2,0.4,CHC,545000,No
Seth Lugo,RP,55,0.34,11,1,0,0,0.091,0.258,NYM,564000,No
Randy Rosario,RP,44,0.27,1,1,0,1,1.0,2.0,CHC,545000,No
Deck McGuire,SP,21,0.13,3,1,0,0,0.333,0.667,LAA,545000,No
Sean Manaea,SP,27,0.167,5,1,0,0,0.2,0.4,OAK,550000,No
Daniel Mengden,SP,22,0.136,3,1,0,1,0.333,0.667,OAK,547500,No
