Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Agente libre
Whit Merrifield,2B,158,0.975,632,192,12,60,0.304,0.806,KC,569500,No
Freddie Freeman,1B,162,1.0,618,191,23,98,0.309,0.892,ATL,21609375,No
J.D. Martinez,DH,150,0.926,569,188,43,130,0.33,1.031,BOS,23750000,Si
Manny Machado,3B,162,0.994,632,188,37,107,0.298,0.905,LAD,16000000,No
Christian Yelich,LF,147,0.902,574,187,36,110,0.326,1.0,MIL,7000000,No
Nick Markakis,RF,162,1.0,623,185,14,93,0.297,0.806,ATL,11050000,No
Nick Castellanos,RF,158,0.975,620,185,23,89,0.298,0.854,DET,6050000,No
Charlie Blackmon,CF,157,0.963,626,182,29,70,0.291,0.86,COL,12333333,No
Jose Peraza,SS,158,0.975,632,182,14,58,0.288,0.742,CIN,570000,No
Scooter Gennett,2B,154,0.951,584,181,23,92,0.31,0.847,CIN,5700000,No
Mookie Betts,RF,137,0.846,520,180,32,80,0.346,1.078,BOS,10500000,No
Trea Turner,SS,162,1.0,664,180,19,73,0.271,0.76,WSH,577200,No
Jean Segura,SS,146,0.901,586,178,10,63,0.304,0.755,SEA,9600000,No
Javier Baez,2B,161,0.988,606,176,34,111,0.29,0.881,CHC,657000,No
Nolan Arenado,3B,156,0.957,590,175,38,110,0.297,0.935,COL,17750000,No
Trevor Story,SS,158,0.969,598,174,37,108,0.291,0.914,COL,555000,No
Paul Goldschmidt,1B,158,0.975,593,172,33,83,0.29,0.922,ARI,11100000,No
Alex Bregman,3B,157,0.969,594,170,31,103,0.286,0.926,HOU,599000,No
Mitch Haniger,RF,158,0.975,596,170,26,93,0.285,0.859,SEA,560200,No
Miguel Andujar,3B,149,0.92,573,170,27,92,0.297,0.855,NYY,545800,No
Jose Altuve,2B,137,0.846,534,169,13,61,0.317,0.837,HOU,9000000,No
Andrew Benintendi,OF,148,0.914,579,168,16,87,0.29,0.83,BOS,620500,No
Ozzie Albies,2B,158,0.975,639,167,24,72,0.261,0.757,ATL,555000,No
Lorenzo Cain,CF,142,0.871,539,166,10,38,0.308,0.813,MIL,14300000,Si
Starlin Castro,2B,154,0.957,593,165,12,54,0.278,0.729,MIA,10857142,No
Giancarlo Stanton,DH,159,0.982,617,164,38,100,0.266,0.852,NYY,25000000,No
David Peralta,RF,147,0.907,560,164,30,87,0.293,0.868,ARI,3300000,No
Adam Jones,CF,146,0.901,580,163,15,63,0.281,0.732,BAL,17333333,No
Anthony Rendon,3B,137,0.846,529,163,24,92,0.308,0.909,WSH,12300000,No
Marcell Ozuna,LF,150,0.926,582,163,23,88,0.28,0.758,STL,9000000,No
Jose Martinez,1B,152,0.938,534,163,17,83,0.305,0.821,STL,560400,No
Andrelton Simmons,SS,148,0.914,554,162,11,75,0.292,0.754,LAA,11000000,No
Marcus Semien,SS,159,0.982,632,161,15,70,0.255,0.706,OAK,3125000,No
Eddie Rosario,LF,139,0.858,559,161,24,77,0.288,0.803,MIN,602500,No
Brian Anderson,RF,156,0.969,590,161,11,65,0.273,0.757,MIA,545000,No
Anthony Rizzo,1B,154,0.945,566,160,25,101,0.283,0.846,CHC,7285714,No
Jed Lowrie,2B,157,0.969,596,159,23,99,0.267,0.801,OAK,6000000,No
Ender Inciarte,CF,156,0.963,597,158,10,61,0.265,0.705,ATL,4700000,No
Yulieski Gurriel,1B,136,0.84,537,156,13,85,0.291,0.751,HOU,12400000,No
Eric Hosmer,1B,157,0.969,613,155,18,69,0.253,0.72,SD,21000000,Si
Starling Marte,CF,146,0.907,559,155,20,72,0.277,0.787,PIT,7833333,No
Eduardo Escobar,3B,152,0.938,566,154,23,84,0.272,0.824,ARI,4850000,No
Cesar Hernandez,2B,161,0.994,605,153,15,60,0.253,0.718,PHI,5100000,No
Matt Chapman,3B,145,0.895,547,152,24,68,0.278,0.864,OAK,547500,No
Corey Dickerson,LF,135,0.839,504,151,13,55,0.3,0.804,PIT,5950000,No
Dee Gordon,2B,142,0.877,556,149,4,36,0.268,0.637,SEA,10800000,No
Freddy Galvis,SS,162,1.0,602,149,13,67,0.248,0.68,SD,6825000,No
Eugenio Suarez,3B,144,0.889,527,149,34,104,0.283,0.892,CIN,2535714,No
Shin-Soo Choo,DH,146,0.901,560,148,21,62,0.264,0.812,TEX,20100000,No
Xander Bogaerts,SS,136,0.84,513,148,23,103,0.289,0.883,BOS,7050000,No
Matt Duffy,3B,133,0.821,503,148,4,44,0.294,0.727,TB,930000,No
Mike Trout,CF,140,0.864,471,147,39,79,0.312,1.088,LAA,34083333,No
D.J. LeMahieu,2B,129,0.791,533,147,15,62,0.276,0.749,COL,8500000,No
Joe Wendle,2B,139,0.858,487,146,7,61,0.3,0.789,TB,545000,No
Stephen Piscotty,RF,151,0.932,546,146,27,88,0.267,0.821,OAK,1333333,No
Andrew McCutchen,RF,155,0.957,569,145,20,65,0.255,0.792,NYY,14750000,No
Matt Carpenter,1B,156,0.963,564,145,36,81,0.257,0.897,STL,13750000,No
Yolmer Sanchez,3B,155,0.957,600,145,8,55,0.242,0.678,CHW,2350000,No
Cody Bellinger,1B,162,0.994,557,145,25,76,0.26,0.814,LAD,585000,No
Mike Moustakas,3B,153,0.939,573,144,28,95,0.251,0.774,MIL,7700000,Si
George Springer,CF,141,0.87,544,144,22,71,0.265,0.78,HOU,12000000,No
Joey Votto,1B,145,0.895,503,143,12,67,0.284,0.837,CIN,25075000,No
Asdrubal Cabrera,2B,148,0.914,546,143,23,75,0.262,0.774,PHI,8250000,No
Matt Olson,1B,162,1.0,580,143,29,84,0.247,0.788,OAK,547500,No
Khris Davis,DH,151,0.932,576,142,48,123,0.247,0.874,OAK,10500000,No
Mallex Smith,LF,141,0.87,480,142,2,40,0.296,0.773,TB,553000,No
Amed Rosario,SS,154,0.951,554,142,9,51,0.256,0.676,NYM,548940,No
Jon Jay,CF,143,0.883,527,141,3,40,0.268,0.678,ARI,4500000,No
Trey Mancini,LF,156,0.963,582,141,24,58,0.242,0.715,BAL,556500,No
Odubel Herrera,CF,148,0.914,550,140,22,71,0.255,0.73,PHI,3350000,No
Ben Zobrist,2B,140,0.859,455,139,9,58,0.306,0.817,CHC,16500000,No
Justin Upton,LF,146,0.901,533,137,30,85,0.257,0.808,LAA,16000000,No
Joe Mauer,1B,127,0.784,486,137,6,48,0.282,0.729,MIN,23000000,No
Bryce Harper,CF,160,0.988,550,137,34,100,0.249,0.889,WSH,21725000,No
Rhys Hoskins,LF,153,0.944,558,137,34,96,0.246,0.85,PHI,552500,No
Chris Taylor,SS,155,0.951,536,136,17,63,0.254,0.775,LAD,575000,No
Tommy Pham,CF,139,0.858,494,136,21,63,0.275,0.83,TB,570100,No
Yoan Moncada,2B,149,0.92,578,136,17,61,0.235,0.714,CHW,555000,No
Tim Anderson,SS,153,0.944,567,136,20,64,0.24,0.687,CHW,1000000,No
Brandon Crawford,SS,151,0.932,531,135,14,54,0.254,0.719,SF,15200000,No
Didi Gregorius,SS,134,0.827,504,135,27,86,0.268,0.829,NYY,8500000,No
Jesus Aguilar,1B,149,0.914,492,135,35,108,0.274,0.89,MIL,557200,No
Ketel Marte,2B,153,0.944,520,135,14,59,0.26,0.768,ARI,3000000,No
Matt Kemp,RF,146,0.896,462,134,21,85,0.29,0.818,LAD,21500000,No
Nelson Cruz,DH,146,0.901,519,133,37,97,0.256,0.85,SEA,14275000,No
Jurickson Profar,SS,146,0.901,524,133,20,77,0.254,0.792,TEX,1050000,No
Derek Dietrich,LF,149,0.926,499,132,16,45,0.265,0.751,MIA,2900000,No
Jose Abreu,1B,128,0.79,499,132,22,78,0.265,0.798,CHW,13000000,No
J.T. Realmuto,C,126,0.783,477,132,21,74,0.277,0.825,MIA,2900000,No
Michael Conforto,RF,153,0.944,543,132,28,82,0.243,0.797,NYM,605094,No
Ian Desmond,1B,160,0.982,555,131,22,88,0.236,0.729,COL,22000000,No
Josh Bell,1B,148,0.919,501,131,12,62,0.262,0.768,PIT,572500,No
Kyle Seager,3B,156,0.963,583,129,22,78,0.221,0.673,SEA,19000000,No
Kevin Pillar,CF,142,0.877,512,129,15,59,0.252,0.708,TOR,3250000,No
Carlos Gonzalez,RF,133,0.816,463,128,16,64,0.277,0.796,COL,8000000,Si
Carlos Santana,1B,161,0.994,560,128,24,86,0.229,0.766,PHI,18333333,Si
Eduardo Nunez,2B,127,0.784,480,127,10,44,0.265,0.677,BOS,4000000,Si
Albert Almora,CF,153,0.939,444,127,5,41,0.286,0.701,CHC,584500,No
C.J. Cron,DH,140,0.864,501,127,30,74,0.254,0.816,TB,2300000,No
Ronald Acuna Jr.,LF,111,0.685,433,127,26,64,0.293,0.917,ATL,545000,No
Nomar Mazara,RF,130,0.803,489,126,20,77,0.258,0.753,TEX,563560,No
Johan Camargo,3B,135,0.833,464,126,19,76,0.272,0.806,ATL,555000,No
Brett Gardner,LF,140,0.864,530,125,12,45,0.236,0.69,NYY,11500000,No
Alex Gordon,LF,142,0.877,506,124,13,54,0.245,0.694,KC,20000000,No
Miguel Rojas,SS,154,0.957,488,123,11,53,0.252,0.643,MIA,1180000,No
Justin Smoak,1B,147,0.907,505,122,25,77,0.242,0.808,TOR,4125000,No
Marwin Gonzalez,LF,145,0.895,489,121,16,68,0.247,0.733,HOU,5125000,No
Nick Ahmed,SS,153,0.944,516,121,16,70,0.235,0.7,ARI,1275000,No
Jonathan Villar,SS,141,0.87,466,121,14,46,0.26,0.709,BAL,2550000,No
Jeimer Candelario,3B,144,0.889,539,121,19,54,0.225,0.71,DET,548300,No
Juan Soto,LF,116,0.716,414,121,22,70,0.292,0.923,WSH,545000,No
Yadier Molina,C,124,0.765,459,120,20,74,0.261,0.75,STL,20000000,No
Salvador Perez,C,129,0.796,510,120,27,80,0.235,0.713,KC,8700000,No
Travis Shaw,3B,152,0.933,498,120,32,86,0.241,0.825,MIL,567400,No
Rougned Odor,2B,130,0.803,474,120,18,63,0.253,0.751,TEX,3333333,No
Jason Heyward,RF,128,0.785,440,119,8,57,0.271,0.731,CHC,28166667,No
Brian Dozier,2B,151,0.926,553,119,21,72,0.215,0.696,LAD,9000000,No
Aaron Hicks,CF,138,0.852,480,119,27,79,0.248,0.833,NYY,2825000,No
Billy Hamilton,CF,153,0.944,504,119,4,29,0.236,0.626,CIN,4600000,No
Max Kepler,CF,156,0.963,532,119,20,58,0.224,0.727,MIN,587500,No
Adrian Beltre,3B,120,0.741,433,118,15,65,0.273,0.763,TEX,18000000,No
Willson Contreras,C,138,0.847,474,118,10,54,0.249,0.73,CHC,604500,No
Victor Martinez,DH,133,0.821,467,117,9,54,0.251,0.651,DET,18000000,No
Evan Longoria,3B,126,0.778,480,117,16,54,0.244,0.694,SF,13500000,No
Ian Kinsler,2B,128,0.79,487,117,14,48,0.24,0.681,BOS,11000000,No
Wilson Ramos,C,111,0.685,382,117,15,70,0.306,0.845,PHI,10500000,No
Gregory Polanco,RF,131,0.814,461,117,23,81,0.254,0.839,PIT,4100000,No
Maikel Franco,3B,131,0.809,433,117,22,68,0.27,0.78,PHI,2950000,No
Manuel Margot,CF,141,0.87,477,117,8,51,0.245,0.675,SD,556900,No
Gleyber Torres,SS,124,0.765,431,117,24,77,0.272,0.82,NYY,545000,No
Jose Iglesias,SS,125,0.772,432,116,5,48,0.269,0.699,DET,6275000,No
Ryon Healy,1B,134,0.827,493,116,24,73,0.235,0.688,SEA,559200,No
Aaron Judge,RF,112,0.691,413,115,27,67,0.279,0.919,NYY,622300,No
Colin Moran,3B,145,0.901,415,115,11,58,0.277,0.747,PIT,550000,No
Albert Pujols,DH,117,0.722,465,114,19,64,0.245,0.7,LAA,30000000,No
Denard Span,LF,137,0.846,437,114,11,58,0.261,0.76,SEA,12500000,No
Gerardo Parra,LF,142,0.871,401,114,6,53,0.284,0.714,COL,10000000,No
Justin Turner,3B,103,0.632,365,114,14,52,0.312,0.924,LAD,12000000,No
Tucker Barnhart,C,138,0.852,460,114,10,46,0.248,0.699,CIN,4437500,No
Dansby Swanson,SS,136,0.84,478,114,14,59,0.239,0.699,ATL,565000,No
Brandon Nimmo,CF,141,0.87,433,114,17,47,0.263,0.886,NYM,555968,No
Teoscar Hernandez,LF,136,0.84,476,114,22,57,0.24,0.771,TOR,545000,No
Buster Posey,C,106,0.654,398,113,5,41,0.284,0.741,SF,22202777,No
Alcides Escobar,SS,140,0.864,485,112,4,34,0.231,0.593,KC,3775000,Si
Jackie Bradley Jr.,CF,144,0.889,474,111,13,59,0.234,0.717,BOS,6100000,No
Aledmys Diaz,SS,130,0.803,422,111,18,55,0.263,0.756,TOR,2000000,No
Jonathan Schoop,2B,132,0.81,473,110,21,61,0.233,0.682,MIL,8500000,No
Jose Pirela,2B,146,0.901,438,109,5,32,0.249,0.645,SD,556200,No
Niko Goodrum,2B,131,0.809,444,109,16,53,0.246,0.747,DET,545000,No
Yasiel Puig,RF,126,0.773,405,108,23,63,0.267,0.82,LAD,9214285,No
Robbie Grossman,DH,129,0.796,396,108,5,48,0.273,0.751,MIN,2000000,No
Rafael Devers,3B,121,0.747,450,108,21,66,0.24,0.731,BOS,564500,No
Yasmani Grandal,C,141,0.865,440,106,24,68,0.241,0.815,LAD,7900000,No
A.J. Pollock,CF,113,0.698,413,106,21,65,0.257,0.8,ARI,7750000,No
Kris Bryant,3B,102,0.626,389,106,13,52,0.273,0.834,CHC,10850000,No
Yangervis Solarte,3B,122,0.753,468,106,17,54,0.227,0.655,TOR,4125000,No
Josh Reddick,RF,135,0.833,433,105,17,47,0.243,0.718,HOU,13000000,No
Addison Russell,SS,131,0.804,420,105,5,38,0.25,0.657,CHC,3200000,No
Paul DeJong,SS,115,0.71,436,105,19,68,0.241,0.746,STL,1166666,No
Randal Grichuk,CF,124,0.765,424,104,25,61,0.245,0.803,TOR,2800000,No
Max Muncy,2B,137,0.841,395,104,35,79,0.263,0.973,LAD,545000,No
Nick Williams,RF,140,0.864,407,104,17,50,0.256,0.749,PHI,553000,No
Ryan Braun,LF,126,0.773,405,103,20,64,0.254,0.782,MIL,20000000,No
Kendrys Morales,DH,130,0.803,413,103,21,57,0.249,0.769,TOR,11000000,No
Wilmer Flores,1B,126,0.778,386,103,11,51,0.267,0.736,NYM,3400000,No
Enrique Hernandez,LF,145,0.89,402,103,21,52,0.256,0.806,LAD,1600000,No
Joey Gallo,LF,150,0.926,500,103,40,92,0.206,0.81,TEX,560000,No
Kole Calhoun,RF,137,0.846,491,102,19,57,0.208,0.652,LAA,8500000,No
Kyle Schwarber,LF,137,0.841,428,102,26,61,0.238,0.823,CHC,604500,No
Scott Kingery,SS,147,0.907,452,102,8,35,0.226,0.605,PHI,1000000,No
Elvis Andrus,SS,97,0.599,395,101,6,33,0.256,0.675,TEX,15250000,No
Brandon Belt,1B,112,0.691,399,101,14,46,0.253,0.756,SF,17200000,No
Adam Engel,CF,144,0.889,429,101,6,29,0.235,0.614,CHW,552000,No
Jonathan Lucroy,C,126,0.778,415,100,4,51,0.241,0.617,OAK,6500000,Si
Harrison Bader,RF,138,0.852,379,100,12,37,0.264,0.756,STL,545000,No
Hunter Renfroe,RF,117,0.722,403,100,26,68,0.248,0.805,SD,553800,No
Daniel Palka,LF,124,0.765,417,100,27,67,0.24,0.778,CHW,545000,No
Mitch Moreland,1B,125,0.772,404,99,15,68,0.245,0.758,BOS,6500000,Si
Jordy Mercer,SS,118,0.733,394,99,6,39,0.251,0.696,PIT,6750000,No
Matt Davidson,DH,128,0.79,434,99,20,62,0.228,0.738,CHW,570000,No
Daniel Murphy,2B,92,0.564,328,98,12,42,0.299,0.79,CHC,17500000,No
Joc Pederson,LF,148,0.908,395,98,25,56,0.248,0.843,LAD,2600000,No
Gorkys Hernandez,LF,142,0.877,414,97,15,40,0.234,0.676,SF,561500,No
Scott Schebler,RF,107,0.661,380,97,17,49,0.255,0.777,CIN,580000,No
Adam Eaton,RF,96,0.593,319,96,5,33,0.301,0.808,WSH,6000000,No
Carlos Correa,SS,111,0.685,402,96,15,65,0.239,0.728,HOU,1000000,No
Justin Bour,1B,141,0.87,423,96,20,59,0.227,0.746,PHI,3400000,No
Robinson Cano,2B,80,0.494,310,94,10,50,0.303,0.845,SEA,24000000,No
Kurt Suzuki,C,105,0.648,347,94,12,50,0.271,0.776,ATL,3850000,No
James McCann,C,118,0.728,427,94,8,39,0.22,0.581,DET,2375000,No
Wilmer Difo,SS,148,0.914,408,94,7,42,0.23,0.649,WSH,557900,No
Isiah Kiner-Falefa,3B,111,0.685,356,93,4,34,0.261,0.684,TEX,545000,No
Shohei Ohtani,DH,114,0.704,326,93,22,61,0.285,0.925,LAA,545000,No
Evan Gattis,C,128,0.79,407,92,25,78,0.226,0.736,HOU,6700000,No
Jedd Gyorko,3B,125,0.772,351,92,11,47,0.262,0.762,STL,9000000,No
Joe Panik,2B,103,0.636,358,91,4,24,0.254,0.639,SF,3450000,No
Mark Canha,LF,123,0.759,365,91,17,52,0.249,0.778,OAK,547500,No
Ronald Guzman,1B,123,0.759,387,91,16,58,0.235,0.722,TEX,545000,No
Jorge Alfaro,C,108,0.667,344,90,10,37,0.262,0.731,PHI,547000,No
Ian Happ,CF,142,0.871,387,90,15,44,0.233,0.761,CHC,570000,No
Travis Jankowski,RF,118,0.728,347,90,4,17,0.259,0.678,SD,555000,No
Brock Holt,2B,109,0.673,321,89,7,46,0.277,0.774,BOS,2225000,No
Jacoby Jones,CF,129,0.796,429,89,11,34,0.208,0.63,DET,549400,No
Kolten Wong,2B,127,0.784,353,88,9,38,0.249,0.72,STL,4000000,No
Adam Frazier,2B,113,0.702,318,88,10,35,0.277,0.798,PIT,571000,No
Todd Frazier,3B,115,0.71,408,87,18,59,0.213,0.695,NYM,8000000,Si
Jorge Polanco,SS,77,0.475,302,87,6,42,0.288,0.773,MIN,575000,No
Francisco Cervelli,C,106,0.658,332,86,12,57,0.259,0.809,PIT,10500000,No
Mark Trumbo,DH,90,0.556,330,86,17,44,0.261,0.764,BAL,12500000,No
Josh Harrison,2B,98,0.609,344,86,8,37,0.25,0.656,PIT,10250000,No
Logan Forsythe,2B,120,0.741,371,86,2,27,0.232,0.604,MIN,9000000,No
Cameron Maybin,CF,129,0.796,342,85,4,28,0.249,0.662,SEA,3250000,Si
Austin Jackson,CF,116,0.716,347,85,3,32,0.245,0.624,NYM,545000,Si
Tim Beckham,SS,96,0.593,369,85,12,35,0.23,0.661,BAL,3350000,No
Martin Maldonado,C,119,0.735,373,84,9,44,0.225,0.627,HOU,3900000,No
Ehire Adrianza,SS,115,0.71,335,84,6,39,0.251,0.68,MIN,1000000,No
Avisail Garcia,RF,93,0.574,356,84,19,49,0.236,0.719,CHW,6700000,No
Jesse Winker,RF,90,0.556,281,84,7,43,0.299,0.836,CIN,545000,No
Curtis Granderson,RF,123,0.755,343,83,13,38,0.242,0.782,MIL,5000000,Si
Daniel Descalso,3B,138,0.852,349,83,13,57,0.238,0.789,ARI,2000000,No
David Freese,3B,113,0.693,280,83,11,51,0.296,0.83,LAD,4250000,No
Christian Villanueva,3B,111,0.685,351,83,20,46,0.237,0.75,SD,548500,No
Devon Travis,2B,104,0.642,357,83,11,44,0.233,0.656,TOR,1450000,No
Hunter Dozier,1B,104,0.642,362,83,11,34,0.229,0.673,KC,545000,No
Orlando Arcia,SS,119,0.73,348,82,3,30,0.236,0.576,MIL,559600,No
Mitch Garver,C,103,0.636,302,81,7,45,0.268,0.749,MIN,547500,No
Yairo Munoz,SS,108,0.667,293,81,8,42,0.277,0.763,STL,545000,No
Robinson Chirinos,C,114,0.704,360,80,18,65,0.222,0.757,TEX,2250000,No
Hernan Perez,2B,132,0.81,316,80,9,29,0.253,0.676,MIL,1975000,No
Charlie Culberson,3B,113,0.698,296,80,12,45,0.27,0.792,ATL,575000,No
Wil Myers,LF,84,0.519,312,80,11,39,0.256,0.776,SD,4500000,No
Michael Taylor,CF,134,0.827,353,80,6,28,0.227,0.644,WSH,2525000,No
Willy Adames,SS,86,0.531,288,80,10,34,0.278,0.754,TB,545000,No
Chris Davis,1B,129,0.796,470,79,16,49,0.168,0.539,BAL,21065362,No
Lucas Duda,1B,108,0.667,328,79,14,50,0.241,0.731,ATL,3800000,Si
David Fletcher,SS,80,0.494,284,78,1,25,0.275,0.678,LAA,545000,No
Manuel Pina,C,98,0.601,306,77,9,28,0.252,0.702,MIL,560100,No
Omar Narvaez,C,97,0.599,280,77,9,30,0.275,0.794,CHW,560000,No
Chad Pinder,LF,110,0.679,298,77,13,27,0.258,0.769,OAK,550000,No
Ryan Zimmerman,1B,86,0.531,288,76,13,51,0.264,0.824,WSH,14000000,No
Neil Walker,2B,113,0.698,347,76,11,46,0.219,0.664,NYY,4000000,Si
Adalberto Mondesi,SS,75,0.463,275,76,14,37,0.276,0.804,KC,545000,No
Jake Cave,RF,91,0.562,283,76,13,45,0.269,0.797,MIN,545000,No
Lewis Brinson,CF,109,0.677,382,76,11,42,0.199,0.577,MIA,545000,No
Carlos Gomez,RF,118,0.728,360,75,9,32,0.208,0.634,TB,4400000,Si
Mike Zunino,C,114,0.704,373,75,20,44,0.201,0.669,SEA,2975000,No
Adam Duvall,LF,138,0.852,384,75,15,61,0.195,0.639,ATL,645000,No
John Hicks,1B,81,0.5,288,75,9,32,0.26,0.715,DET,551300,No
Alen Hanson,2B,110,0.679,294,74,8,39,0.252,0.699,SF,545000,No
Daniel Robertson,SS,88,0.543,282,74,9,34,0.262,0.797,TB,548300,No
Jeff McNeil,3B,63,0.389,225,74,3,19,0.329,0.852,NYM,545000,No
Adeiny Hechavarria,SS,94,0.58,296,73,6,31,0.247,0.624,NYY,5900000,No
Matt Adams,1B,121,0.747,306,73,21,57,0.239,0.786,STL,4000000,Si
Franmil Reyes,RF,87,0.537,261,73,16,31,0.28,0.838,SD,545000,No
Delino DeShields,CF,107,0.661,334,72,2,22,0.216,0.591,TEX,561500,No
Kevin Kiermaier,CF,89,0.549,332,72,7,29,0.217,0.653,TB,5666666,No
Elias Diaz,C,82,0.509,252,72,10,34,0.286,0.792,PIT,559000,No
Jay Bruce,RF,95,0.586,319,71,9,37,0.223,0.68,NYM,11000000,Si
J.T. Riddle,SS,104,0.646,308,71,9,36,0.231,0.653,MIA,545000,No
Leury Garcia,RF,82,0.506,258,70,4,32,0.271,0.679,CHW,1175000,No
Cory Spangenberg,2B,116,0.716,298,70,7,25,0.235,0.661,SD,1700000,No
Austin Hedges,C,92,0.568,303,70,14,37,0.231,0.711,SD,553100,No
Ben Gamel,LF,102,0.63,257,70,1,19,0.272,0.728,SEA,558100,No
Lourdes Gurriel Jr.,2B,65,0.401,249,70,11,35,0.281,0.755,TOR,1428571,No
Guillermo Heredia,CF,125,0.772,292,69,5,19,0.236,0.661,SEA,782000,No
Nick Hundley,C,96,0.593,282,68,10,31,0.241,0.706,SF,2500000,Si
David Dahl,OF,77,0.472,249,68,16,48,0.273,0.859,COL,550000,No
Chris Iannetta,C,110,0.675,299,67,11,36,0.224,0.73,COL,3600000,Si
Tony Kemp,LF,97,0.599,255,67,6,30,0.263,0.743,HOU,545000,No
Jose Bautista,RF,122,0.753,325,66,13,48,0.203,0.727,PHI,545000,Si
Rosell Herrera,SS,86,0.531,278,65,1,20,0.234,0.602,KC,545000,No
Jake Bauers,1B,96,0.593,323,65,11,48,0.201,0.7,TB,545000,No
Steven Pearce,LF,77,0.475,215,61,11,42,0.284,0.89,BOS,6250000,No
Renato Nunez,LF,73,0.451,236,61,8,22,0.259,0.741,BAL,545000,No
Nicky Delmonico,LF,90,0.556,284,61,8,25,0.215,0.669,CHW,553000,No
Gary Sanchez,C,89,0.549,323,60,18,53,0.186,0.697,NYY,620400,No
Logan Morrison,DH,95,0.586,318,59,15,39,0.186,0.644,MIN,5500000,Si
Austin Romine,C,78,0.482,242,59,10,42,0.244,0.713,NYY,1100000,No
Jorge Soler,LF,61,0.377,223,59,9,28,0.265,0.82,KC,4666667,No
Caleb Joseph,C,84,0.519,265,58,3,17,0.219,0.575,BAL,1250000,No
Chris Owings,RF,106,0.654,281,58,4,22,0.206,0.574,ARI,3400000,No
Tyler White,DH,66,0.407,210,58,12,42,0.276,0.888,HOU,545000,No
Pablo Sandoval,3B,92,0.568,230,57,9,40,0.248,0.727,SF,545000,No
Tyler Flowers,C,82,0.506,251,57,8,30,0.227,0.7,ATL,4300000,No
Russell Martin,C,90,0.556,289,56,10,25,0.194,0.663,TOR,20000000,No
Matt Wieters,C,76,0.469,235,56,8,30,0.238,0.704,WSH,10500000,No
Domingo Santana,RF,85,0.522,211,56,5,20,0.265,0.74,MIL,572400,No
Tyler Austin,1B,69,0.426,244,56,17,47,0.23,0.767,MIN,558600,No
Phillip Ervin,CF,78,0.482,218,55,7,31,0.252,0.728,CIN,545000,No
Eric Thames,1B,96,0.589,247,54,16,37,0.219,0.783,MIL,5000000,No
Devin Mesoraco,C,85,0.525,244,54,11,33,0.221,0.7,NYM,13125000,No
Greg Bird,1B,82,0.506,272,54,11,38,0.199,0.672,NYY,582000,No
Hunter Pence,RF,97,0.599,235,53,4,24,0.226,0.59,SF,18500000,No
Jorge Bonifacio,RF,70,0.432,236,53,4,23,0.225,0.672,KC,561900,No
Steven Souza,RF,72,0.444,241,53,5,29,0.22,0.678,ARI,3550000,No
Miguel Sano,3B,71,0.438,266,53,13,41,0.199,0.679,MIN,602500,No
Dexter Fowler,CF,90,0.556,289,52,8,31,0.18,0.576,STL,16500000,No
Christian Vazquez,C,80,0.494,251,52,3,16,0.207,0.54,BOS,1425000,No
Joey Rickard,LF,79,0.488,213,52,8,23,0.244,0.713,BAL,545000,No
Mark Reynolds,3B,86,0.531,206,51,13,40,0.248,0.803,WSH,1000000,No
Austin Meadows,CF,59,0.364,178,51,6,17,0.287,0.785,TB,545000,No
Kevan Smith,C,52,0.321,171,50,3,21,0.292,0.728,CHW,545000,No
Max Stassi,C,88,0.543,221,50,8,27,0.226,0.71,HOU,557100,No
Ji-Man Choi,1B,61,0.377,190,50,10,32,0.263,0.863,TB,850000,No
Kevin Plawecki,C,79,0.488,238,50,7,30,0.21,0.685,NYM,557471,No
Luke Maile,C,69,0.426,202,50,3,27,0.248,0.7,TOR,558400,No
Austin Slater,LF,74,0.457,199,50,1,23,0.251,0.64,SF,545000,No
Zack Cozart,SS,59,0.364,224,49,5,18,0.219,0.658,LAA,12666666,Si
Johnny Field,OF,84,0.519,221,49,9,21,0.222,0.657,MIN,545000,No
Martin Prado,3B,54,0.335,197,48,1,18,0.244,0.592,MIA,13500000,No
Erik Kratz,C,67,0.411,203,48,6,23,0.237,0.634,MIL,545000,No
Sandy Leon,C,90,0.556,265,47,5,22,0.177,0.511,BOS,1950000,No
Jim Adduci,CF,59,0.364,176,47,3,21,0.267,0.676,DET,545000,No
Victor Reyes,LF,100,0.617,212,47,1,12,0.222,0.526,DET,545000,No
Howie Kendrick,LF,40,0.247,152,46,4,12,0.303,0.805,WSH,3000000,Si
Jake Lamb,3B,56,0.346,207,46,6,31,0.222,0.655,ARI,4275000,No
Ryan LaMarre,CF,76,0.469,165,46,2,18,0.279,0.704,CHW,580000,No
Luke Voit,1B,47,0.29,143,46,15,36,0.322,1.069,NYY,545000,No
Tommy La Stella,3B,124,0.761,169,45,1,19,0.266,0.672,CHC,950000,No
Jake Marisnick,CF,103,0.636,213,45,10,28,0.211,0.674,HOU,1900000,No
Mikie Mahtook,LF,67,0.414,223,45,9,29,0.202,0.635,DET,560400,No
Ramon Laureano,OF,48,0.296,156,45,5,19,0.289,0.832,OAK,545000,No
Nick Martini,RF,55,0.34,152,45,1,19,0.296,0.811,OAK,545000,No
Welington Castillo,C,50,0.309,170,44,6,15,0.259,0.71,CHW,7250000,Si
