Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2,Agente libre
Freddie Freeman,1B,159,0.982,597,176,38,121,0.295,0.938,ATL,21000000,21409375,21409375,25281,0.964324,356409,30976,1444,14641,0.08702499999999999,0.8798439999999998,No
Jonathan Villar,2B,162,1.0,642,176,24,73,0.274,0.791,BAL,4825000,4825000,4825000,26244,1.0,412164,30976,576,5329,0.07507600000000002,0.625681,No
Mookie Betts,RF,151,0.932,597,176,29,80,0.295,0.915,BOS,20000000,20100000,20100000,22801,0.8686240000000001,356409,30976,841,6400,0.08702499999999999,0.8372250000000001,No
J.D. Martinez,DH,148,0.914,575,175,36,105,0.304,0.939,BOS,23750000,23750000,23750000,21904,0.835396,330625,30625,1296,11025,0.092416,0.8817209999999999,No
Trey Mancini,LF,154,0.951,602,175,35,97,0.291,0.899,BAL,575500,575500,575500,23716,0.9044009999999999,362404,30625,1225,9409,0.08468099999999999,0.8082010000000001,No
Ronald Acuna Jr.,LF,156,0.963,626,175,41,101,0.28,0.883,ATL,1000000,1000000,1000000,24336,0.9273689999999999,391876,30625,1681,10201,0.07840000000000001,0.779689,No
Anthony Rendon,3B,146,0.901,545,174,34,126,0.319,1.01,WSH,18800000,18800000,18800000,21316,0.811801,297025,30276,1156,15876,0.101761,1.0201,No
Trevor Story,SS,145,0.895,588,173,35,85,0.294,0.917,COL,5000000,5000000,5000000,21025,0.801025,345744,29929,1225,7225,0.08643599999999999,0.8408890000000001,No
David Fletcher,2B,154,0.951,596,173,6,49,0.29,0.734,LAA,561500,561500,561500,23716,0.9044009999999999,355216,29929,36,2401,0.0841,0.538756,No
Starlin Castro,2B,162,1.0,636,172,22,86,0.27,0.736,MIA,11000000,11857142,11857142,26244,1.0,404496,29584,484,7396,0.0729,0.541696,No
Eduardo Escobar,3B,158,0.975,636,171,35,118,0.269,0.831,ARI,6000000,6166666,6166666,24964,0.9506249999999999,404496,29241,1225,13924,0.07236100000000001,0.690561,No
Cesar Hernandez,2B,161,0.994,612,171,14,71,0.279,0.741,PHI,7750000,7750000,7750000,25921,0.988036,374544,29241,196,5041,0.07784100000000002,0.549081,No
Cody Bellinger,RF,156,0.963,558,170,47,115,0.305,1.035,LAD,605000,605000,605000,24336,0.9273689999999999,311364,28900,2209,13225,0.093025,1.0712249999999999,No
Yulieski Gurriel,1B,146,0.901,564,168,31,104,0.298,0.884,HOU,10000000,10400000,10400000,21316,0.811801,318096,28224,961,10816,0.088804,0.781456,No
Tim Anderson,SS,126,0.783,498,167,18,56,0.335,0.865,CHW,1400000,1400000,1400000,15876,0.613089,248004,27889,324,3136,0.11222500000000002,0.748225,No
Elvis Andrus,SS,147,0.907,600,165,12,72,0.275,0.707,TEX,15000000,15250000,15250000,21609,0.8226490000000001,360000,27225,144,5184,0.07562500000000001,0.49984899999999993,No
Eric Hosmer,1B,160,0.988,619,164,22,99,0.265,0.735,SD,20000000,21000000,21000000,25600,0.976144,383161,26896,484,9801,0.07022500000000001,0.540225,No
Alex Bregman,3B,157,0.969,554,164,41,112,0.296,1.015,HOU,640500,2307166,2307166,24649,0.9389609999999999,306916,26896,1681,12544,0.08761599999999999,1.0302249999999997,No
Jeff McNeil,2B,133,0.821,510,162,23,75,0.318,0.916,NYM,567714,567714,567714,17689,0.6740409999999999,260100,26244,529,5625,0.101124,0.839056,No
Jean Segura,SS,146,0.901,576,161,12,60,0.28,0.743,PHI,14250000,14950000,14950000,21316,0.811801,331776,25921,144,3600,0.07840000000000001,0.552049,No
Leury Garcia,CF,143,0.888,577,161,8,40,0.279,0.688,CHW,1550000,1550000,1550000,20449,0.788544,332929,25921,64,1600,0.07784100000000002,0.47334399999999993,No
Christian Yelich,LF,131,0.809,489,161,44,97,0.329,1.1,MIL,9750000,9750000,9750000,17161,0.6544810000000001,239121,25921,1936,9409,0.108241,1.2100000000000002,No
Yoan Moncada,2B,132,0.82,511,161,25,79,0.315,0.915,CHW,575000,575000,575000,17424,0.6723999999999999,261121,25921,625,6241,0.09922500000000001,0.8372250000000001,No
Hanser Alberto,SS,140,0.864,524,160,12,51,0.305,0.751,BAL,578000,578000,578000,19600,0.7464959999999999,274576,25600,144,2601,0.093025,0.564001,No
Starling Marte,CF,133,0.821,539,159,23,82,0.295,0.845,PIT,10000000,10333334,10333334,17689,0.6740409999999999,290521,25281,529,6724,0.08702499999999999,0.7140249999999999,No
Adam Eaton,RF,151,0.932,566,158,15,49,0.279,0.792,WSH,8400000,8400000,8400000,22801,0.8686240000000001,320356,24964,225,2401,0.07784100000000002,0.627264,No
Kevin Pillar,CF,161,0.994,611,158,21,88,0.259,0.719,SF,5800000,5800000,5644085,25921,0.988036,373321,24964,441,7744,0.067081,0.516961,No
Jorge Soler,DH,162,1.0,589,156,48,117,0.265,0.922,KC,4000000,4666667,4666667,26244,1.0,346921,24336,2304,13689,0.07022500000000001,0.8500840000000001,No
Eugenio Suarez,3B,159,0.982,575,156,49,103,0.271,0.93,CIN,7000000,7285714,7285714,25281,0.964324,330625,24336,2401,10609,0.073441,0.8649000000000001,No
Paul Goldschmidt,1B,161,0.994,597,155,34,97,0.26,0.821,STL,14500000,15500000,15500000,25921,0.988036,356409,24025,1156,9409,0.06760000000000001,0.6740409999999999,No
Tommy Pham,CF,146,0.901,567,155,21,68,0.273,0.818,TB,4100000,4100000,4100000,21316,0.811801,321489,24025,441,4624,0.07452900000000001,0.6691239999999999,No
Eddie Rosario,LF,137,0.846,562,155,32,109,0.276,0.8,MIN,4190000,4190000,4190000,18769,0.7157159999999999,315844,24025,1024,11881,0.07617600000000001,0.6400000000000001,No
Trea Turner,SS,122,0.753,521,155,19,57,0.298,0.85,WSH,3725000,3725000,3725000,14884,0.567009,271441,24025,361,3249,0.088804,0.7224999999999999,No
Pete Alonso,1B,161,0.994,597,155,53,120,0.26,0.941,NYM,555000,555000,555000,25921,0.988036,356409,24025,2809,14400,0.06760000000000001,0.8854809999999999,No
Bryan Reynolds,OF,135,0.833,491,154,16,68,0.314,0.88,PIT,555000,555000,486392,18225,0.693889,241081,23716,256,4624,0.098596,0.7744,No
Adam Frazier,2B,153,0.944,554,154,10,50,0.278,0.753,PIT,584000,584000,584000,23409,0.8911359999999999,306916,23716,100,2500,0.07728400000000002,0.567009,No
Austin Meadows,CF,139,0.858,530,154,33,89,0.291,0.922,TB,557400,557400,557400,19321,0.7361639999999999,280900,23716,1089,7921,0.08468099999999999,0.8500840000000001,No
Kris Bryant,3B,148,0.914,543,153,31,77,0.282,0.903,CHC,12900000,12900000,12900000,21904,0.835396,294849,23409,961,5929,0.07952399999999998,0.815409,No
Juan Soto,LF,152,0.938,542,153,34,110,0.282,0.949,WSH,578300,578300,578300,23104,0.8798439999999998,293764,23409,1156,12100,0.07952399999999998,0.9006009999999999,No
Kevin Newman,SS,130,0.803,493,152,12,64,0.308,0.8,PIT,557500,557500,557500,16900,0.6448090000000001,243049,23104,144,4096,0.094864,0.6400000000000001,No
Gleyber Torres,SS,144,0.889,546,152,38,90,0.278,0.871,NYY,605200,605200,605200,20736,0.790321,298116,23104,1444,8100,0.07728400000000002,0.758641,No
Anthony Rizzo,1B,146,0.901,512,150,27,94,0.293,0.924,CHC,11000000,11285714,11285714,21316,0.811801,262144,22500,729,8836,0.085849,0.8537760000000001,No
Manny Machado,3B,156,0.963,587,150,32,85,0.256,0.796,SD,10000000,12000000,12000000,24336,0.9273689999999999,344569,22500,1024,7225,0.065536,0.6336160000000001,Si
Shin-Soo Choo,DH,151,0.932,563,149,24,61,0.265,0.826,TEX,21000000,21000000,21000000,22801,0.8686240000000001,316969,22201,576,3721,0.07022500000000001,0.6822759999999999,No
Bryce Harper,RF,157,0.969,573,149,35,114,0.26,0.882,PHI,10000000,11538462,11538462,24649,0.9389609999999999,328329,22201,1225,12996,0.06760000000000001,0.7779240000000001,Si
Jose Altuve,2B,124,0.765,500,149,31,74,0.298,0.903,HOU,6500000,9500000,9500000,15376,0.585225,250000,22201,961,5476,0.088804,0.815409,No
Javier Baez,SS,141,0.87,531,149,29,85,0.281,0.847,CHC,5200000,5200000,5200000,19881,0.7569,281961,22201,841,7225,0.07896100000000002,0.717409,No
Alex Gordon,LF,150,0.926,556,148,13,76,0.266,0.741,KC,20000000,20000000,20000000,22500,0.8574760000000001,309136,21904,169,5776,0.07075600000000001,0.549081,No
J.T. Realmuto,C,145,0.895,538,148,25,83,0.275,0.82,PHI,5900000,5900000,5900000,21025,0.801025,289444,21904,625,6889,0.07562500000000001,0.6723999999999999,No
Lorenzo Cain,CF,148,0.914,562,146,11,48,0.26,0.697,MIL,15000000,15025000,15025000,21904,0.835396,315844,21316,121,2304,0.06760000000000001,0.48580899999999994,No
Josh Bell,1B,143,0.883,527,146,37,116,0.277,0.936,PIT,587000,587000,587000,20449,0.779689,277729,21316,1369,13456,0.07672900000000002,0.8760960000000001,No
Hunter Dozier,3B,139,0.858,523,146,26,84,0.279,0.87,KC,567225,567225,567225,19321,0.7361639999999999,273529,21316,676,7056,0.07784100000000002,0.7569,No
Jose Iglesias,SS,146,0.901,504,145,11,59,0.288,0.724,CIN,2500000,2500000,2500000,21316,0.811801,254016,21025,121,3481,0.08294399999999999,0.524176,No
Freddy Galvis,SS,148,0.914,557,145,23,70,0.26,0.734,CIN,4000000,4000000,1053745,21904,0.835396,310249,21025,529,4900,0.06760000000000001,0.538756,Si
Andrew Benintendi,LF,138,0.852,541,144,13,68,0.266,0.774,BOS,717500,717500,717500,19044,0.725904,292681,20736,169,4624,0.07075600000000001,0.599076,No
Matt Chapman,3B,156,0.963,582,144,36,91,0.247,0.846,OAK,580000,580000,580000,24336,0.9273689999999999,338724,20736,1296,8281,0.061009,0.7157159999999999,No
Josh Donaldson,3B,157,0.969,549,142,37,94,0.259,0.9,ATL,23000000,23000000,23000000,24649,0.9389609999999999,301401,20164,1369,8836,0.067081,0.81,Si
Nelson Cruz,DH,120,0.741,454,141,41,108,0.311,1.031,MIN,14000000,14000000,14000000,14400,0.549081,206116,19881,1681,11664,0.096721,1.0629609999999998,Si
Nick Ahmed,SS,159,0.982,556,141,19,82,0.254,0.755,ARI,3662500,3662500,3662500,25281,0.964324,309136,19881,361,6724,0.064516,0.570025,No
Michael Conforto,RF,151,0.932,549,141,33,92,0.257,0.856,NYM,4025000,4025000,4025000,22801,0.8686240000000001,301401,19881,1089,8464,0.066049,0.7327359999999999,No
George Springer,CF,122,0.753,479,140,39,96,0.292,0.974,HOU,12000000,12000000,12000000,14884,0.567009,229441,19600,1521,9216,0.08526399999999999,0.948676,No
Miguel Cabrera,1B,137,0.851,492,139,12,59,0.283,0.745,DET,30000000,30000000,30000000,18769,0.724201,242064,19321,144,3481,0.08008899999999998,0.555025,No
Justin Turner,3B,136,0.84,479,139,27,67,0.29,0.881,LAD,18000000,19000000,19000000,18496,0.7055999999999999,229441,19321,729,4489,0.0841,0.776161,No
Giovanny Urshela,3B,132,0.815,442,139,21,74,0.315,0.89,NYY,555000,555000,528168,17424,0.664225,195364,19321,441,5476,0.09922500000000001,0.7921,No
Victor Robles,OF,156,0.963,546,139,17,65,0.255,0.745,WSH,557800,557800,557800,24336,0.9273689999999999,298116,19321,289,4225,0.065025,0.555025,No
Josh Reddick,RF,142,0.877,501,138,14,56,0.275,0.728,HOU,13000000,13000000,13000000,20164,0.769129,251001,19044,196,3136,0.07562500000000001,0.529984,No
Avisail Garcia,RF,126,0.778,489,138,20,72,0.282,0.796,TB,3500000,4500000,4500000,15876,0.605284,239121,19044,400,5184,0.07952399999999998,0.6336160000000001,Si
Joey Votto,1B,145,0.895,525,137,15,47,0.261,0.768,CIN,25000000,25000000,25000000,21025,0.801025,275625,18769,225,2209,0.068121,0.589824,No
Mike Trout,CF,136,0.84,470,137,45,104,0.292,1.083,LAA,16000000,17666667,17666667,18496,0.7055999999999999,220900,18769,2025,10816,0.08526399999999999,1.1728889999999998,No
Miguel Rojas,SS,132,0.815,483,137,5,46,0.284,0.71,MIA,3155000,3155000,3155000,17424,0.664225,233289,18769,25,2116,0.08065599999999999,0.5041,No
Christian Walker,1B,152,0.938,529,137,29,73,0.259,0.825,ARI,559800,559800,559800,23104,0.8798439999999998,279841,18769,841,5329,0.067081,0.6806249999999999,No
Wilson Ramos,C,142,0.877,473,136,14,72,0.288,0.768,NYM,6250000,7750000,7750000,20164,0.769129,223729,18496,196,5184,0.08294399999999999,0.589824,Si
Kolten Wong,2B,148,0.914,478,136,11,59,0.285,0.784,STL,6500000,6500000,6500000,21904,0.835396,228484,18496,121,3481,0.08122499999999999,0.6146560000000001,No
Randal Grichuk,CF,151,0.932,586,136,31,80,0.232,0.738,TOR,7000000,8000000,8000000,22801,0.8686240000000001,343396,18496,961,6400,0.053824000000000004,0.544644,No
Paul DeJong,SS,159,0.982,583,136,30,78,0.233,0.762,STL,1500000,1666666,1666666,25281,0.964324,339889,18496,900,6084,0.054289000000000004,0.580644,No
Willy Adames,SS,153,0.944,531,135,20,52,0.254,0.735,TB,562400,562400,562400,23409,0.8911359999999999,281961,18225,400,2704,0.064516,0.540225,No
Daniel Santana,2B,130,0.803,474,134,28,81,0.283,0.858,TEX,555000,555000,507280,16900,0.6448090000000001,224676,17956,784,6561,0.08008899999999998,0.7361639999999999,No
Mike Moustakas,3B,143,0.883,523,133,35,87,0.254,0.845,MIL,7000000,7050000,7050000,20449,0.779689,273529,17689,1225,7569,0.064516,0.7140249999999999,Si
Christian Vazquez,C,138,0.852,482,133,23,72,0.276,0.798,BOS,2850000,2850000,2850000,19044,0.725904,232324,17689,529,5184,0.07617600000000001,0.636804,No
Corey Seager,SS,135,0.833,489,133,19,87,0.272,0.817,LAD,4000000,4000000,4000000,18225,0.693889,239121,17689,361,7569,0.07398400000000001,0.6674889999999999,No
Kyle Schwarber,LF,155,0.957,529,132,38,92,0.25,0.871,CHC,3390000,3390000,3390000,24025,0.9158489999999999,279841,17424,1444,8464,0.0625,0.758641,No
Max Kepler,CF,136,0.84,524,132,36,90,0.252,0.855,MIN,6000000,6000000,6000000,18496,0.7055999999999999,274576,17424,1296,8100,0.063504,0.7310249999999999,No
Renato Nunez,3B,151,0.932,541,132,31,90,0.244,0.771,BAL,562000,562000,562000,22801,0.8686240000000001,292681,17424,961,8100,0.059536,0.594441,No
Ryan Braun,LF,144,0.889,459,131,22,75,0.285,0.849,MIL,18000000,19000000,19000000,20736,0.790321,210681,17161,484,5625,0.08122499999999999,0.7208009999999999,No
Jason Heyward,RF,148,0.914,513,129,21,62,0.252,0.772,CHC,20000000,22500000,22500000,21904,0.835396,263169,16641,441,3844,0.063504,0.5959840000000001,No
Colin Moran,3B,149,0.92,466,129,13,80,0.277,0.751,PIT,579500,579500,579500,22201,0.8464,217156,16641,169,6400,0.07672900000000002,0.564001,No
Matt Olson,1B,127,0.784,482,129,36,91,0.268,0.897,OAK,575000,575000,575000,16129,0.6146560000000001,232324,16641,1296,8281,0.07182400000000001,0.804609,No
Rhys Hoskins,1B,160,0.988,570,129,29,85,0.226,0.819,PHI,575000,575000,575000,25600,0.976144,324900,16641,841,7225,0.051076,0.6707609999999999,No
Kole Calhoun,RF,152,0.938,552,128,33,74,0.232,0.792,LAA,10500000,10500000,10500000,23104,0.8798439999999998,304704,16384,1089,5476,0.053824000000000004,0.627264,No
Adam Jones,CF,137,0.846,485,126,16,67,0.26,0.728,ARI,3000000,4500000,4500000,18769,0.7157159999999999,235225,15876,256,4489,0.06760000000000001,0.529984,Si
Yasmani Grandal,C,153,0.944,513,126,28,77,0.246,0.848,MIL,16000000,16000000,16000000,23409,0.8911359999999999,263169,15876,784,5929,0.060516,0.719104,Si
Vladimir Guerrero Jr.,3B,124,0.765,464,126,15,69,0.272,0.772,TOR,555000,555000,468488,15376,0.585225,215296,15876,225,4761,0.07398400000000001,0.5959840000000001,No
J.D. Davis,3B,140,0.864,410,126,22,57,0.307,0.895,NYM,561420,561420,561420,19600,0.7464959999999999,168100,15876,484,3249,0.094249,0.801025,No
Yolmer Sanchez,3B,149,0.926,496,125,2,43,0.252,0.638,CHW,4625000,4625000,4625000,22201,0.8574760000000001,246016,15625,4,1849,0.063504,0.407044,No
Eloy Jimenez,OF,123,0.764,468,125,31,79,0.267,0.829,CHW,1000000,1833333,1833333,15129,0.583696,219024,15625,961,6241,0.071289,0.6872409999999999,No
Ramon Laureano,OF,123,0.759,434,125,24,67,0.288,0.86,OAK,557500,557500,557500,15129,0.5760810000000001,188356,15625,576,4489,0.08294399999999999,0.7395999999999999,No
Brett Gardner,LF,142,0.877,491,123,28,74,0.251,0.829,NYY,7500000,7500000,7500000,20164,0.769129,241081,15129,784,5476,0.063001,0.6872409999999999,No
Brandon Belt,1B,157,0.969,526,123,17,57,0.234,0.742,SF,16000000,17200000,17200000,24649,0.9389609999999999,276676,15129,289,3249,0.054756000000000006,0.5505639999999999,No
Daniel Murphy,1B,132,0.815,438,122,13,78,0.279,0.78,COL,10000000,10000000,10000000,17424,0.664225,191844,14884,169,6084,0.07784100000000002,0.6084,Si
Max Muncy,1B,142,0.877,487,122,35,98,0.251,0.889,LAD,575000,575000,575000,20164,0.769129,237169,14884,1225,9604,0.063001,0.790321,No
Dansby Swanson,SS,128,0.79,483,121,17,65,0.251,0.748,ATL,585000,585000,585000,16384,0.6241000000000001,233289,14641,289,4225,0.063001,0.559504,No
Albert Pujols,1B,131,0.809,491,120,23,93,0.244,0.734,LAA,28000000,28000000,28000000,17161,0.6544810000000001,241081,14400,529,8649,0.059536,0.538756,No
James McCann,C,119,0.739,439,120,18,60,0.273,0.789,CHW,2500000,2500000,2500000,14161,0.546121,192721,14400,324,3600,0.07452900000000001,0.6225210000000001,Si
Ryan McMahon,2B,141,0.87,480,120,24,83,0.25,0.779,COL,560000,560000,560000,19881,0.7569,230400,14400,576,6889,0.0625,0.6068410000000001,No
Brian Anderson,3B,126,0.778,459,120,20,66,0.261,0.811,MIA,585000,585000,585000,15876,0.605284,210681,14400,400,4356,0.068121,0.6577210000000001,No
Omar Narvaez,C,133,0.821,428,119,22,55,0.278,0.813,SEA,581200,581200,581200,17689,0.6740409999999999,183184,14161,484,3025,0.07728400000000002,0.6609689999999999,No
Nick Markakis,RF,116,0.716,414,118,9,62,0.285,0.776,ATL,4000000,4000000,4000000,13456,0.512656,171396,13924,81,3844,0.08122499999999999,0.602176,Si
Marcell Ozuna,LF,131,0.809,485,118,29,89,0.243,0.804,STL,12250000,12250000,12250000,17161,0.6544810000000001,235225,13924,841,7921,0.059049,0.6464160000000001,No
Scott Kingery,SS,126,0.778,458,118,19,55,0.258,0.788,PHI,1250000,1500000,1500000,15876,0.605284,209764,13924,361,3025,0.066564,0.620944,No
Raimel Tapia,CF,139,0.858,426,117,9,44,0.275,0.724,COL,560000,560000,560000,19321,0.7361639999999999,181476,13689,81,1936,0.07562500000000001,0.524176,No
Asdrubal Cabrera,2B,132,0.815,447,116,18,91,0.26,0.783,WSH,555000,555000,164120,17424,0.664225,199809,13456,324,8281,0.06760000000000001,0.613089,Si
Dexter Fowler,CF,150,0.926,487,116,19,67,0.238,0.754,STL,14500000,16500000,16500000,22500,0.8574760000000001,237169,13456,361,4489,0.05664399999999999,0.568516,No
C.J. Cron,1B,125,0.772,458,116,25,78,0.253,0.78,MIN,4800000,4800000,4800000,15625,0.5959840000000001,209764,13456,625,6084,0.064009,0.6084,No
Mallex Smith,LF,134,0.827,510,116,6,37,0.228,0.635,SEA,578400,578400,528700,17956,0.6839289999999999,260100,13456,36,1369,0.051984,0.403225,No
Harold Ramirez,RF,119,0.735,421,116,11,50,0.276,0.728,MIA,555000,555000,423728,14161,0.540225,177241,13456,121,2500,0.07617600000000001,0.529984,No
Howie Kendrick,LF,122,0.753,334,115,17,62,0.344,0.966,WSH,4000000,4000000,4000000,14884,0.567009,111556,13225,289,3844,0.11833599999999998,0.933156,No
Evan Longoria,3B,130,0.803,453,115,20,69,0.254,0.762,SF,14500000,14500000,12500000,16900,0.6448090000000001,205209,13225,400,4761,0.064516,0.580644,No
Eric Sogard,2B,112,0.691,396,115,13,40,0.29,0.81,TB,555000,555000,190976,12544,0.47748099999999993,156816,13225,169,1600,0.0841,0.6561000000000001,No
Nomar Mazara,RF,117,0.722,429,115,19,66,0.268,0.786,TEX,3300000,3300000,3300000,13689,0.521284,184041,13225,361,4356,0.07182400000000001,0.617796,No
Brandon Crawford,SS,147,0.907,500,114,11,59,0.228,0.654,SF,15000000,15200000,15200000,21609,0.8226490000000001,250000,12996,121,3481,0.051984,0.42771600000000004,No
Domingo Santana,RF,122,0.753,451,114,21,69,0.253,0.77,SEA,1950000,1950000,1950000,14884,0.567009,203401,12996,441,4761,0.064009,0.5929,No
Yadier Molina,C,113,0.698,419,113,10,57,0.27,0.711,STL,20000000,20000000,20000000,12769,0.4872039999999999,175561,12769,100,3249,0.0729,0.505521,No
Ian Desmond,CF,140,0.864,443,113,20,65,0.255,0.788,COL,15000000,15000000,15000000,19600,0.7464959999999999,196249,12769,400,4225,0.065025,0.620944,No
Jorge Alfaro,C,131,0.809,431,113,18,57,0.262,0.736,MIA,570000,570000,570000,17161,0.6544810000000001,185761,12769,324,3249,0.06864400000000001,0.541696,No
David Dahl,LF,101,0.624,374,113,15,61,0.302,0.877,COL,560000,560000,560000,10201,0.389376,139876,12769,225,3721,0.091204,0.769129,No
Luke Voit,1B,118,0.728,429,113,21,62,0.263,0.842,NYY,573200,573200,573200,13924,0.529984,184041,12769,441,3844,0.06916900000000001,0.7089639999999999,No
Todd Frazier,3B,133,0.821,447,112,21,67,0.251,0.772,NYM,9000000,9000000,9000000,17689,0.6740409999999999,199809,12544,441,4489,0.063001,0.5959840000000001,No
Marwin Gonzalez,3B,116,0.716,425,112,15,55,0.264,0.736,MIN,12000000,12000000,12000000,13456,0.512656,180625,12544,225,3025,0.06969600000000001,0.541696,Si
Joc Pederson,LF,149,0.92,450,112,36,74,0.249,0.876,LAD,5000000,5000000,5000000,22201,0.8464,202500,12544,1296,5476,0.062001,0.767376,No
Mark Canha,CF,126,0.778,409,112,26,59,0.274,0.916,OAK,2050000,2050000,2050000,15876,0.605284,167281,12544,676,3481,0.07507600000000002,0.839056,No
Jonathan Schoop,2B,122,0.753,433,111,23,59,0.256,0.777,MIN,7500000,7500000,7500000,14884,0.567009,187489,12321,529,3481,0.065536,0.6037290000000001,Si
Jackie Bradley Jr.,CF,148,0.914,494,111,21,62,0.225,0.738,BOS,8550000,8550000,8550000,21904,0.835396,244036,12321,441,3844,0.050625,0.544644,No
Orlando Arcia,SS,152,0.938,494,110,15,59,0.223,0.633,MIL,565700,565700,565700,23104,0.8798439999999998,244036,12100,225,3481,0.049729,0.400689,No
Shohei Ohtani,DH,106,0.654,384,110,18,62,0.287,0.848,LAA,650000,650000,650000,11236,0.42771600000000004,147456,12100,324,3844,0.08236899999999998,0.719104,No
Adalberto Mondesi,SS,102,0.63,415,109,9,62,0.263,0.715,KC,576000,576000,576000,10404,0.39690000000000003,172225,11881,81,3844,0.06916900000000001,0.5112249999999999,No
Luis Arraez,2B,92,0.568,326,109,4,28,0.334,0.838,MIN,555000,555000,361064,8464,0.32262399999999997,106276,11881,16,784,0.11155600000000002,0.702244,No
Dee Gordon,2B,118,0.728,393,108,3,34,0.275,0.663,SEA,13000000,13300000,13300000,13924,0.529984,154449,11664,9,1156,0.07562500000000001,0.43956900000000004,No
Brian Goodwin,RF,136,0.84,413,108,17,47,0.262,0.796,LAA,583500,583500,583500,18496,0.7055999999999999,170569,11664,289,2209,0.06864400000000001,0.6336160000000001,No
Joe Panik,2B,142,0.877,438,107,5,39,0.244,0.651,NYM,555000,555000,152184,20164,0.769129,191844,11449,25,1521,0.059536,0.42380100000000004,Si
Rougned Odor,2B,146,0.901,522,107,30,93,0.205,0.721,TEX,7500000,7833333,7833333,21316,0.811801,272484,11449,900,8649,0.04202499999999999,0.519841,No
Ji-Man Choi,1B,127,0.784,410,107,19,63,0.261,0.822,TB,850000,850000,850000,16129,0.6146560000000001,168100,11449,361,3969,0.068121,0.675684,No
Garrett Cooper,RF,108,0.667,381,107,15,50,0.281,0.791,MIA,555000,555000,555000,11664,0.44488900000000003,145161,11449,225,2500,0.07896100000000002,0.625681,No
Melky Cabrera,LF,133,0.821,378,106,7,47,0.28,0.713,PIT,1150000,1150000,1150000,17689,0.6740409999999999,142884,11236,49,2209,0.07840000000000001,0.508369,No
Khris Davis,DH,136,0.84,480,106,23,73,0.221,0.681,OAK,16500000,16500000,16500000,18496,0.7055999999999999,230400,11236,529,5329,0.048841,0.4637610000000001,No
Fernando Tatis Jr.,SS,84,0.519,334,106,22,53,0.317,0.969,SD,555000,555000,555000,7056,0.269361,111556,11236,484,2809,0.10048900000000001,0.9389609999999999,No
