Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2,Agente libre
Whit Merrifield,2B,162,1.0,681,206,16,74,0.303,0.811,KC,1000000,1000000,1000000,26244,1.0,463761,42436,256,5476,0.091809,0.6577210000000001,No
Rafael Devers,3B,156,0.963,647,201,32,115,0.311,0.916,BOS,614500,614500,614500,24336,0.9273689999999999,418609,40401,1024,13225,0.096721,0.839056,No
D.J. LeMahieu,2B,145,0.895,602,197,26,102,0.327,0.893,NYY,12000000,12000000,12000000,21025,0.801025,362404,38809,676,10404,0.10692900000000001,0.7974490000000001,Si
Xander Bogaerts,SS,155,0.957,614,190,33,117,0.309,0.939,BOS,12000000,12000000,12000000,24025,0.9158489999999999,376996,36100,1089,13689,0.095481,0.8817209999999999,No
Ozzie Albies,2B,160,0.988,640,189,24,86,0.295,0.852,ATL,1000000,1000000,1000000,25600,0.976144,409600,35721,576,7396,0.08702499999999999,0.725904,No
Marcus Semien,SS,162,1.0,656,187,33,92,0.285,0.893,OAK,5900000,5900000,5900000,26244,1.0,430336,34969,1089,8464,0.08122499999999999,0.7974490000000001,No
Ketel Marte,2B,145,0.895,569,187,32,92,0.329,0.981,ARI,2000000,2000000,2000000,21025,0.801025,323761,34969,1024,8464,0.108241,0.962361,No
Jorge Polanco,SS,153,0.944,631,186,22,79,0.295,0.841,MIN,3583333,3583333,3583333,23409,0.8911359999999999,398161,34596,484,6241,0.08702499999999999,0.7072809999999999,No
Nolan Arenado,3B,155,0.957,588,185,41,118,0.315,0.962,COL,26000000,26050000,26050000,24025,0.9158489999999999,345744,34225,1681,13924,0.09922500000000001,0.9254439999999999,No
Charlie Blackmon,RF,140,0.864,580,182,32,86,0.314,0.94,COL,21000000,21333333,21333333,19600,0.7464959999999999,336400,33124,1024,7396,0.098596,0.8835999999999999,No
Jose Abreu,DH,159,0.988,634,180,33,123,0.284,0.834,CHW,16000000,16015000,16015000,25281,0.976144,401956,32400,1089,15129,0.08065599999999999,0.695556,No
Michael Brantley,LF,148,0.914,575,179,22,90,0.311,0.875,HOU,15000000,16000000,16000000,21904,0.835396,330625,32041,484,8100,0.096721,0.765625,Si
Nick Castellanos,RF,155,0.957,615,178,27,73,0.289,0.863,CHC,9950000,9950000,2859700,24025,0.9158489999999999,378225,31684,729,5329,0.08352099999999998,0.744769,No
Amed Rosario,SS,157,0.969,616,177,15,72,0.287,0.755,NYM,575500,575500,575500,24649,0.9389609999999999,379456,31329,225,5184,0.08236899999999998,0.570025,No
