Jugador,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Agente libre
Trea Turner,0.983,41,0.335,0.982,WSH,7450000,No
Marcell Ozuna,1.0,56,0.338,1.067,ATL,18000000,Si
Jose Abreu,1.0,60,0.317,0.987,CHW,12781666,No
Freddie Freeman,1.0,53,0.341,1.102,ATL,22559375,No
D.J. LeMahieu,0.833,27,0.364,1.011,NYY,12000000,No
Whit Merrifield,1.0,30,0.282,0.764,KC,5000000,No
Manny Machado,1.0,47,0.304,0.95,SD,32000000,No
Trevor Story,0.983,28,0.289,0.874,COL,9000000,No
Charlie Blackmon,0.983,42,0.303,0.804,COL,21333333,No
Tim Anderson,0.817,21,0.322,0.886,CHW,4000000,No
David Fletcher,0.817,18,0.319,0.801,LAA,593500,No
Dansby Swanson,1.0,35,0.274,0.809,ATL,3150000,No
Michael Conforto,0.9,31,0.322,0.927,NYM,8000000,No
Corey Seager,0.867,41,0.307,0.943,LAD,7600000,No
Mookie Betts,0.917,39,0.292,0.927,LAD,32000000,No
Lourdes Gurriel Jr.,0.95,33,0.308,0.882,TOR,2928571,No
Eloy Jimenez,0.917,41,0.296,0.891,CHW,2333333,No
Donovan Solano,0.9,29,0.326,0.828,SF,1375000,No
Maikel Franco,1.0,38,0.278,0.778,KC,3340000,Si
Hanser Alberto,0.9,22,0.283,0.698,BAL,1650000,No
Alex Verdugo,0.883,15,0.309,0.844,BOS,601500,No
Fernando Tatis Jr.,0.983,45,0.277,0.937,SD,591800,No
Didi Gregorius,1.0,40,0.284,0.827,PHI,14000000,Si
Xander Bogaerts,0.933,28,0.301,0.867,BOS,20000000,No
David Peralta,0.9,34,0.301,0.773,ARI,7000000,No
Rafael Devers,0.95,43,0.263,0.793,BOS,692500,No
Kevin Pillar,0.9,26,0.289,0.798,COL,4250000,Si
Randal Grichuk,0.917,35,0.273,0.793,TOR,13000000,No
Christian Walker,0.95,34,0.271,0.792,ARI,589500,No
Raimel Tapia,0.85,17,0.321,0.772,COL,573500,No
Luke Voit,0.933,52,0.277,0.948,NYY,634000,No
Isiah Kiner-Falefa,0.983,10,0.28,0.699,TEX,587000,No
Paul Goldschmidt,1.0,21,0.304,0.883,STL,26000000,No
Vladimir Guerrero Jr.,1.0,33,0.262,0.791,TOR,579300,No
Wil Myers,0.917,40,0.288,0.959,SD,22500000,No
Mike Yastrzemski,0.9,35,0.297,0.968,SF,569750,No
Jeff McNeil,0.867,23,0.312,0.836,NYM,617676,No
