Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Equipo_anterior,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
MIL,6.3,2016,6,1,1,1,0,0,1,8,34,Milwaukee Brewers,MIN,Wisconsin,0,0,61,161,3721,Blaine Boyer,0.0,0.0,1,225,4,0.0,0.0,0.377,0.142129,RP,0.4472049689440994,0,0,UFA,950000,950000,950000,40.47,1637.8209,950000,8100000,950000,72,0.6,0.36,0,13.764217263576723,13.764217263576723,13.764217263576723
CIN,6.5,2016,6,1,2,4,0,0,2,8,30,Cincinnati Reds,PIT,Ohio,0,0,70,161,4900,Blake Wood,0.0,0.0,10,233,15,0.0,0.0,0.432,0.18662399999999998,RP,0.422360248447205,0,0,UFA,600000,600000,600000,41.04,1684.2816,600000,3400000,600000,68,0.53,0.28090000000000004,5,13.304684934198283,13.304684934198283,13.304684934198283
LAD,6.7,2015,6,4,13,169,0,0,5,8,32,Los Angeles Dodgers,NYY,California,0,0,10,161,100,Brandon McCarthy,0.133,0.017689000000000003,25,225,30,0.0,0.0,0.062,0.0038439999999999998,SP,0.5652173913043478,1,1,UFA,12500000,11000000,12500000,0.0,0.0,48000000,79750000,12000000,91,-0.03,0.0009,6,16.34123920227253,16.213405830762646,16.34123920227253
STL,5.9,2016,6,2,13,169,2,4,2,5,34,St. Louis Cardinals,CIN,Missouri,0,0,9,161,81,Brayan Pena,0.445,0.198025,23,242,28,0.154,0.023716,0.056,0.0031360000000000003,C,0.5279503105590062,0,0,UFA,2500000,2500000,2500000,0.0,0.0,5000000,94000000,2500000,85,-0.24,0.0576,11,14.73180128983843,14.73180128983843,14.73180128983843
NYY,6.3,2014,6,5,429,184041,104,10816,2,4,32,New York Yankees,ATL,New York,20,400,130,161,16900,Brian McCann,0.748,0.559504,40,225,52,0.242,0.058564,0.803,0.6448090000000001,C,0.5217391304347826,58,3364,UFA,17000000,17000000,17000000,17.85,318.62250000000006,85000000,1049914,17000000,84,0.94,0.8835999999999999,27,16.64872390202049,16.64872390202049,16.64872390202049
TEX,6.1,2014,6,3,552,304704,163,26569,2,10,39,Texas Rangers,STL,Texas,29,841,151,161,22801,Carlos Beltran,0.85,0.7224999999999999,2,213,8,0.295,0.08702499999999999,0.932,0.8686240000000001,DH,0.5900621118012422,93,8649,UFA,15000000,15000000,2500000,45.07,2031.3049,45000000,20165000,15000000,95,1.94,3.7636,0,16.523560759066484,16.523560759066484,14.73180128983843
SD,6.2,2016,6,1,4,16,0,0,5,13,32,San Diego Padres,STL,California,0,0,51,161,2601,Carlos Villanueva,0.0,0.0,2,215,5,0.0,0.0,0.315,0.09922500000000001,RP,0.422360248447205,0,0,UFA,1500000,1500000,1500000,4.18,17.472399999999997,1500000,12120000,1500000,68,-1.07,1.1449,0,14.22097566607244,14.22097566607244,14.22097566607244
NYY,6.2,2015,6,4,467,218089,117,13689,2,4,32,New York Yankees,NYY,New York,14,196,140,161,19600,Chase Headley,0.712,0.506944,40,215,52,0.251,0.063001,0.864,0.7464959999999999,3B,0.5217391304347826,51,2601,UFA,13750000,13000000,13750000,28.43,808.2649,52000000,1049914,13000000,84,2.64,6.969600000000001,27,16.436549382076855,16.38045991542581,16.436549382076855
LAD,6.1,2016,6,1,512,262144,128,16384,5,8,37,Los Angeles Dodgers,LAD,California,14,196,138,161,19044,Chase Utley,0.708,0.5012639999999999,25,195,30,0.25,0.0625,0.852,0.725904,2B,0.5652173913043478,50,2500,UFA,7000000,7000000,7000000,34.13,1164.8569000000002,7000000,79750000,7000000,91,1.85,3.4225000000000003,6,15.761420707019587,15.761420707019587,15.761420707019587
MIL,6.4,2016,6,1,549,301401,122,14884,1,8,29,Milwaukee Brewers,HOU,Wisconsin,41,1681,160,161,25600,Chris Carter,0.821,0.6740409999999999,1,245,4,0.222,0.049284,0.988,0.976144,1B,0.4472049689440994,94,8836,UFA,2500000,2500000,2500000,71.35,5090.822499999999,2500000,8100000,2500000,72,0.88,0.7744,0,14.73180128983843,14.73180128983843,14.73180128983843
BAL,6.3,2016,6,7,566,320356,125,15625,1,8,30,Baltimore Orioles,BAL,Maryland,38,1444,157,161,24649,Chris Davis,0.792,0.627264,7,245,14,0.221,0.048841,0.969,0.9389609999999999,1B,0.546583850931677,84,7056,UFA,21065362,17000000,21065362,41.5,1722.25,161000000,220260000,23000000,88,3.08,9.4864,3,16.863140638151464,16.64872390202049,16.863140638151464
