Acronimo,Agente libre,Altura,Anio,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad_agentes_libres,Edad,Equipo,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato_total,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
MIL,No,0.0,1,563,316969,187,34969,1,27,Milwaukee Brewers,33,1089,150,162,22500,Ryan Braun,0.994,0.988036,1,205,4,0.332,0.11022400000000002,0.926,0.8574760000000001,LF,0.5925925925925926,111,12321,5000000,4000000,5000000,96.43,9298.744900000002,775000,96,7.74,59.9076,0,15.424948470398375,15.201804919084164,15.424948470398375
MIL,No,6.6,1,492,242064,140,19600,1,29,Milwaukee Brewers,26,676,130,162,16900,Corey Hart,0.866,0.749956,1,240,4,0.285,0.08122499999999999,0.803,0.6448090000000001,RF,0.5925925925925926,63,3969,6833333,6500000,6833333,68.72,4722.4384,775000,96,3.18,10.112400000000001,0,15.737323106660037,15.687312734865866,15.737323106660037
MIL,No,6.1,1,546,298116,122,14884,1,28,Milwaukee Brewers,13,169,155,162,24025,Casey McGehee,0.626,0.391876,1,220,4,0.223,0.049729,0.957,0.9158489999999999,3B,0.5925925925925926,67,4489,468000,468000,468000,8.77,76.9129,775000,96,-0.74,0.5476,0,13.056223574899784,13.056223574899784,13.056223574899784
MIL,No,0.0,1,378,142884,115,13225,1,30,Milwaukee Brewers,4,16,119,162,14161,Nyjer Morgan,0.778,0.605284,1,0,4,0.304,0.092416,0.735,0.540225,CF,0.5925925925925926,37,1369,450000,450000,450000,58.06,3370.9636,775000,96,2.95,8.7025,0,13.017002861746503,13.017002861746503,13.017002861746503
MIL,No,6.0,1,430,184900,114,12996,1,25,Milwaukee Brewers,12,144,136,162,18496,Jonathan Lucroy,0.703,0.49420899999999995,1,200,4,0.265,0.07022500000000001,0.84,0.7055999999999999,C,0.5925925925925926,59,3481,424000,424000,424000,21.82,476.11240000000004,775000,96,1.02,1.0404,0,12.957488734214095,12.957488734214095,12.957488734214095
MIL,No,6.3,1,231,53361,52,2704,1,25,Milwaukee Brewers,8,64,94,162,8836,Carlos Gomez,0.679,0.4610410000000001,1,220,4,0.225,0.050625,0.58,0.3364,CF,0.5925925925925926,24,576,1500000,1500000,1500000,0.0,0.0,775000,96,2.27,5.1529,0,14.22097566607244,14.22097566607244,14.22097566607244
MIL,No,6.0,1,111,12321,28,784,1,28,Milwaukee Brewers,5,25,49,162,2401,George Kottaras,0.771,0.594441,1,202,4,0.252,0.063504,0.303,0.091809,C,0.5925925925925926,17,289,440000,440000,440000,0.0,0.0,775000,96,,,0,12.994530005894443,12.994530005894443,12.994530005894443
MIL,No,6.2,1,68,4624,15,225,1,25,Milwaukee Brewers,1,1,33,162,1089,Yovani Gallardo,0.577,0.332929,1,205,4,0.221,0.048841,0.204,0.04161599999999999,RP,0.5925925925925926,4,16,3500000,3250000,3500000,60.27,3632.4729,775000,96,2.25,5.0625,0,15.068273526459642,14.994165554305921,15.068273526459642
MIL,No,6.4,1,50,2500,13,169,1,29,Milwaukee Brewers,1,1,60,162,3600,Chris Dickerson,0.656,0.43033600000000005,1,230,4,0.26,0.06760000000000001,0.37,0.1369,LF,0.5925925925925926,7,49,414000,414000,414000,0.0,0.0,775000,96,0.3,0.09,0,12.933621252807452,12.933621252807452,12.933621252807452
MIL,No,0.0,1,61,3721,10,100,1,34,Milwaukee Brewers,0,0,33,162,1089,Randy Wolf,0.391,0.15288100000000002,1,0,4,0.164,0.026896000000000003,0.204,0.04161599999999999,SP,0.5925925925925926,0,0,9500000,9500000,9500000,43.6,1900.96,775000,96,2.5,6.25,0,16.06680235657077,16.06680235657077,16.06680235657077
MIL,No,6.0,1,59,3481,9,81,1,29,Milwaukee Brewers,1,1,33,162,1089,Shaun Marcum,0.456,0.207936,1,0,4,0.153,0.023409,0.204,0.04161599999999999,SP,0.5925925925925926,6,36,3950000,3950000,3950000,69.58,4841.3764,775000,96,2.93,8.584900000000001,0,15.189226136877304,15.189226136877304,15.189226136877304
MIL,No,6.3,1,49,2401,8,64,1,29,Milwaukee Brewers,0,0,30,162,900,Chris Narveson,0.416,0.173056,1,205,4,0.163,0.026569000000000002,0.185,0.034225,RP,0.5925925925925926,5,25,444150,444150,444150,0.0,0.0,775000,96,0.56,0.31360000000000005,0,13.003917622197847,13.003917622197847,13.003917622197847
MIL,No,6.2,1,49,2401,7,49,1,27,Milwaukee Brewers,1,1,29,162,841,Zack Greinke,0.396,0.156816,1,200,4,0.143,0.020448999999999995,0.179,0.032041,SP,0.5925925925925926,1,1,13500000,13500000,13500000,45.52,2072.0704,775000,96,1.4,1.9599999999999997,0,16.41820024340866,16.41820024340866,16.41820024340866
MIL,No,6.0,1,12,144,3,9,1,27,Milwaukee Brewers,0,0,43,162,1849,Marco Estrada,0.583,0.33988899999999994,1,180,4,0.25,0.0625,0.265,0.07022500000000001,SP,0.5925925925925926,0,0,414000,414000,414000,15.65,244.9225,775000,96,0.33,0.10890000000000001,0,12.933621252807452,12.933621252807452,12.933621252807452
MIL,No,6.0,1,2,4,1,1,1,29,Milwaukee Brewers,0,0,73,162,5329,Francisco Rodriguez,1.0,1.0,1,180,4,0.5,0.25,0.451,0.203401,RP,0.5925925925925926,0,0,12166667,11500000,2450819,9.28,86.1184,775000,96,0.94,0.8835999999999999,0,16.31421055728187,16.25785759333348,14.711932812374174
MIL,No,6.1,1,3,9,1,1,1,24,Milwaukee Brewers,0,0,8,162,64,Logan Schafer,0.833,0.693889,1,190,4,0.333,0.11088900000000002,0.049,0.0024010000000000004,LF,0.5925925925925926,0,0,414000,414000,414000,0.0,0.0,775000,96,0.08,0.0064,0,12.933621252807452,12.933621252807452,12.933621252807452
MIL,No,6.0,1,1,1,0,0,1,24,Milwaukee Brewers,0,0,3,162,9,Martin Maldonado,0.0,0.0,1,230,4,0.0,0.0,0.019,0.000361,C,0.5925925925925926,0,0,414000,414000,414000,0.0,0.0,775000,96,-0.03,0.0009,0,12.933621252807452,12.933621252807452,12.933621252807452
