"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Cash2023",""
"","Justin Verlander","SP","HOU","10.00","10.00","65.59","40.29","19.41","18.82","12.35","88.24","6.18","1.76","0.00","0.24","0.76","2.17","26.89","$43,333,333",""
"","Mike Minor","SP","TEX","10.00","9.70","63.13","57.58","26.06","25.15","20.61","60.61","4.24","3.03","0.00","0.38","1.09","2.43","28.72","$0",""
"","Lance Lynn","SP","TEX","10.00","10.00","63.13","59.09","26.97","25.76","17.88","74.55","4.85","3.33","0.00","0.37","1.11","2.34","28.74","$18,500,000",""
"","Zack Wheeler","SP","NYM","10.00","10.00","63.01","63.23","30.00","27.74","16.13","62.90","3.55","2.58","0.00","0.41","1.28","1.05","28.10","$24,500,000",""
"","Trevor Bauer","SP","CIN","10.00","10.00","62.65","54.12","34.71","31.18","24.12","74.41","3.24","3.82","0.00","0.37","1.32","0.52","12.78","$0",""
"","Jose Berrios","SP","MIN","10.00","10.00","62.60","60.63","29.38","25.63","15.94","60.94","4.38","2.50","0.00","0.38","1.15","1.11","27.26","$15,000,000",""
"","Gerrit Cole","SP","HOU","10.00","9.71","62.45","41.76","19.41","17.35","14.12","95.88","5.88","1.47","0.00","0.26","0.74","1.95","28.82","$36,000,000",""
"","Noah Syndergaard","SP","NYM","10.00","10.00","61.77","60.63","31.56","29.38","15.63","63.13","3.13","2.50","0.00","0.39","1.34","0.67","22.99","$13,000,000",""
"","Mike Leake","SP","ARI","10.00","10.00","61.56","70.94","35.63","29.38","8.44","39.69","3.75","3.44","0.00","0.40","1.34","0.48","10.30","$0",""
"","Clayton Kershaw","SP","LAD","10.00","9.66","61.49","50.00","21.72","20.69","14.14","65.17","5.52","1.72","0.00","0.36","1.04","1.15","21.70","$20,000,000",""
"","Stephen Strasburg","SP","WSH","10.00","9.71","61.47","47.35","23.24","22.65","16.47","73.82","5.29","1.76","0.00","0.31","0.98","1.66","26.46","$23,571,428",""
"","Patrick Corbin","SP","WSH","10.00","10.00","61.21","51.21","24.55","22.12","21.21","72.12","4.24","2.12","0.00","0.36","0.98","1.51","24.33","$24,000,000",""
"","Lucas Giolito","SP","CHW","10.00","10.00","60.92","45.17","23.79","23.10","19.66","78.62","4.83","3.10","0.00","0.37","1.18","1.88","33.35","$10,400,000",""
"","Hyun-Jin Ryu","SP","LAD","10.00","9.67","60.89","53.33","17.67","15.67","8.00","54.33","4.67","1.67","0.00","0.34","0.77","1.71","31.17","$20,000,000",""
"","Walker Buehler","SP","LAD","10.00","10.00","60.78","51.00","25.67","22.00","12.33","71.67","4.67","1.33","0.00","0.35","1.09","0.75","30.69","$8,025,000",""
"","Michael Soroka","SP","ATL","10.00","10.00","60.23","52.76","19.31","17.93","14.14","48.97","4.48","1.38","0.00","0.38","0.92","2.09","34.10","$2,800,000",""
"","Jacob deGrom","SP","NYM","10.00","9.41","60.00","45.29","17.35","16.18","12.94","75.00","3.24","2.35","0.00","0.29","0.71","2.12","27.39","$30,000,000",""
"","Frankie Montas","SP","OAK","10.00","10.00","60.00","52.50","21.88","17.50","14.38","64.38","5.63","1.25","0.00","0.70","1.64","1.62","0.00","$7,500,000",""
"","German Marquez","SP","COL","10.00","9.66","60.00","60.00","33.10","31.72","12.07","60.34","4.14","1.72","0.00","0.41","1.64","0.96","26.77","$15,000,000",""
"","Sandy Alcantara","SP","MIA","10.00","9.70","59.80","54.24","28.48","25.76","24.55","45.76","1.82","4.24","0.00","0.40","1.18","1.01","23.60","$6,000,000",""
"","Eduardo Rodriguez","SP","BOS","10.00","10.00","59.80","57.35","25.88","25.29","22.06","62.65","5.59","1.76","0.00","0.39","1.12","1.61","27.38","$14,000,000",""
"","Luis Castillo","SP","CIN","10.00","10.00","59.58","43.44","23.75","22.50","24.69","70.63","4.69","2.50","0.00","0.36","1.06","1.63","29.86","$17,000,000",""
"","Aaron Nola","SP","PHI","10.00","10.00","59.51","51.76","26.76","25.59","23.53","67.35","3.53","2.06","0.00","0.37","1.14","1.06","21.87","$16,000,000",""
"","Max Scherzer","SP","WSH","10.00","9.31","59.43","49.66","20.34","19.31","11.38","83.79","3.79","2.41","0.00","0.35","1.01","1.80","26.70","$43,333,333",""
"","Sean Manaea","SP","OAK","10.00","10.00","59.33","32.00","8.00","8.00","14.00","60.00","8.00","0.00","0.00","1.55","2.42","3.02","0.00","$12,500,000",""
"","Dallas Keuchel","SP","ATL","10.00","10.00","59.30","60.53","26.32","24.74","20.53","47.89","4.21","4.21","0.00","0.72","1.97","1.19","21.44","$0",""
"","Brad Keller","SP","KC","10.00","10.00","59.05","55.00","28.57","27.50","25.00","43.57","2.50","5.00","0.00","0.48","1.50","1.08","26.30","$5,775,000",""
"","Charlie Morton","SP","TB","10.00","10.00","58.99","46.67","21.52","20.00","17.27","72.73","4.85","1.82","0.00","0.33","0.92","1.49","26.81","$20,000,000",""
"","Chris Sale","SP","BOS","10.00","10.00","58.93","49.20","32.00","28.80","14.80","87.20","2.40","4.40","0.00","0.43","1.76","0.85","9.16","$27,500,000",""
"","Marco Gonzales","SP","SEA","10.00","10.00","58.00","60.00","30.29","25.71","16.00","42.00","4.57","3.71","0.00","0.37","1.14","0.84","23.34","$6,500,000",""
"","Zack Greinke","SP","HOU","10.00","9.17","57.96","48.61","20.28","18.89","8.33","51.94","5.00","1.39","0.00","0.27","0.81","1.19","20.48","$8,500,000",""
"","Yu Darvish","SP","CHC","10.00","10.00","57.63","45.16","26.45","25.48","18.06","73.87","1.94","2.58","0.00","0.35","1.28","0.96","14.92","$30,000,000",""
"","Marcus Stroman","SP","NYM","10.00","10.00","57.60","57.19","24.06","20.63","18.13","49.69","3.13","4.06","0.00","0.41","1.01","0.89","24.31","$25,000,000",""
"","Miles Mikolas","SP","STL","10.00","10.00","57.50","60.31","28.13","26.56","10.00","45.00","2.81","4.38","0.00","0.38","1.30","0.53","12.75","$15,750,000",""
"","Matt Shoemaker","SP","TOR","10.00","10.00","57.33","32.00","14.00","10.00","18.00","48.00","6.00","0.00","0.00","1.74","3.14","2.26","0.00","$0",""
"","Merrill Kelly","RP","ARI","10.00","10.00","57.29","57.50","29.69","28.13","17.81","49.38","4.06","4.38","0.00","0.41","1.38","0.37","19.06","$8,000,000",""
"","Kyle Hendricks","SP","CHC","10.00","9.68","57.10","54.19","25.16","21.94","10.32","48.39","3.55","3.23","0.00","0.36","1.12","1.07","25.10","$14,000,000",""
"","Masahiro Tanaka","SP","NYY","10.00","9.69","56.88","58.13","29.69","28.13","12.50","46.56","3.44","2.81","0.00","0.39","1.39","0.60","8.60","$0",""
"","Danny Duffy","SP","KC","10.00","10.00","56.81","54.35","30.00","27.39","20.00","50.00","3.04","2.61","0.00","0.57","1.89","0.95","16.77","$0",""
"","Jeff Samardzija","SP","SF","10.00","10.00","56.67","47.50","24.38","22.19","15.31","43.75","3.44","3.75","0.00","0.35","1.10","1.07","18.32","$0",""
"","Jake Junis","SP","KC","10.00","10.00","56.56","61.94","34.84","32.90","18.71","52.90","2.90","4.52","0.00","0.46","1.69","0.43","12.59","$2,800,000",""
"","Jake Arrieta","SP","PHI","10.00","10.00","56.53","62.08","31.67","29.17","21.25","45.83","3.33","3.33","0.00","0.61","1.93","0.29","6.96","$0",""
"","Matt Boyd","SP","DET","10.00","9.70","56.16","53.94","30.61","28.48","15.15","72.12","2.73","3.64","0.00","0.37","1.38","1.14","19.64","$10,000,000",""
"","Michael Pineda","SP","MIN","10.00","10.00","56.15","54.23","26.15","25.00","10.77","53.85","4.23","1.92","0.00","0.45","1.54","1.00","27.89","$0",""
"","Madison Bumgarner","SP","SF","10.00","9.19","56.13","51.62","26.76","24.32","11.62","54.86","2.43","2.43","0.00","0.30","1.05","0.78","19.72","$23,000,000",""
"","Trevor Williams","SP","PIT","10.00","10.00","56.03","62.31","35.77","33.46","16.92","43.46","2.69","3.46","0.00","0.54","2.07","0.15","13.44","$6,000,000",""
"","Reynaldo Lopez","SP","CHW","10.00","10.00","55.76","61.52","36.06","33.33","19.70","51.21","3.03","4.55","0.00","0.44","1.63","0.10","9.85","$3,625,000",""
"","Mike Foltynewicz","SP","ATL","10.00","10.00","55.71","51.90","30.95","28.10","17.62","50.00","3.81","2.86","0.00","0.59","2.16","0.54","22.85","$0",""
"","Jon Gray","SP","COL","10.00","9.26","55.56","54.44","25.93","23.70","20.74","55.56","4.07","2.96","0.00","0.50","1.42","1.34","30.57","$15,000,000",""
"","Anibal Sanchez","SP","WSH","10.00","10.00","55.33","51.00","25.67","23.67","19.33","44.67","3.67","2.67","0.00","0.42","1.28","1.05","23.56","$0",""
"","Brett Anderson","SP","OAK","10.00","9.69","55.00","56.56","25.00","23.75","15.31","28.13","4.06","2.81","0.00","0.41","1.22","0.91","24.38","$0",""
"","Ivan Nova","SP","CHW","10.00","10.00","55.00","66.18","31.47","28.82","13.82","33.53","3.24","3.53","0.00","0.43","1.39","0.56","11.72","$0",""
"","Joey Lucchesi","SP","SD","10.00","10.00","54.56","48.00","26.00","25.33","18.67","52.67","3.33","3.33","0.00","0.41","1.39","0.78","23.99","$1,150,000",""
"","Rick Porcello","SP","BOS","10.00","10.00","54.48","61.88","35.63","33.44","14.06","44.69","4.38","3.75","0.00","0.44","1.73","0.27","4.73","$0",""
"","Michael Fiers","SP","OAK","10.00","9.41","54.31","48.82","24.12","23.53","15.59","37.06","4.12","1.18","0.00","0.35","1.15","0.99","21.22","$0",""
"","Chris Paddack","SP","SD","10.00","10.00","54.10","41.15","22.31","20.00","11.92","58.85","3.46","2.69","0.00","0.38","1.28","1.12","33.70","$2,500,000",""
"","Dylan Bundy","SP","BAL","10.00","10.00","53.89","53.67","31.67","28.67","19.33","54.00","2.00","4.67","0.00","0.45","1.60","0.70","15.73","$0",""
"","Anthony DeSclafani","SP","CIN","10.00","10.00","53.76","48.71","24.84","23.23","15.81","53.87","2.90","2.90","0.00","0.39","1.25","1.05","23.81","$12,000,000",""
"","Jon Lester","SP","CHC","10.00","9.69","53.65","64.06","31.56","26.56","16.25","51.56","4.06","3.13","0.00","0.47","1.39","0.25","6.02","$0",""
"","Adam Wainwright","SP","STL","10.00","10.00","53.65","56.56","25.94","25.00","20.00","47.81","4.38","3.13","0.00","0.45","1.31","0.52","21.00","$7,500,000",""
"","Jose Quintana","SP","CHC","10.00","9.69","53.44","59.69","31.25","27.81","14.38","47.50","4.06","2.81","0.00","0.43","1.46","0.26","16.69","$13,000,000",""
"","Jameson Taillon","SP","PIT","10.00","10.00","53.33","48.57","34.29","24.29","11.43","42.86","2.86","4.29","0.00","1.61","5.86","0.33","0.00","$14,000,000",""
"","Tanner Roark","SP","OAK","10.00","10.00","53.33","58.06","27.10","25.81","16.45","50.97","3.23","3.23","0.00","0.45","1.41","0.63","12.26","$0",""
"","Zac Gallen","SP","ARI","10.00","10.00","53.33","41.33","17.33","16.67","24.00","64.00","2.00","4.00","0.00","0.82","1.87","0.89","0.00","$5,600,000",""
"","Pedro Avila","SP","SD","10.00","10.00","53.33","40.00","10.00","10.00","20.00","50.00","0.00","0.00","0.00","11.25","16.90","2.80","0.00","$0",""
"","Jake Odorizzi","SP","MIN","10.00","10.00","53.00","46.33","21.67","20.67","17.67","59.33","5.00","2.33","0.00","0.40","1.17","1.26","26.90","$4,500,000",""
"","Domingo German","SP","NYY","10.00","8.89","52.96","46.30","25.56","23.70","14.44","56.67","6.67","1.48","0.00","0.42","1.49","0.76","28.50","$2,600,000",""
"","Andrew Heaney","SP","LAA","10.00","10.00","52.96","51.67","29.44","28.89","16.67","65.56","2.22","3.33","0.00","0.72","2.73","0.69","20.83","$12,000,000",""
"","Dakota Hudson","SP","STL","10.00","9.70","52.93","48.48","24.24","19.70","26.06","41.21","4.85","2.12","0.30","0.43","1.02","0.64","23.27","$2,650,000",""
"","Cole Hamels","SP","CHC","10.00","10.00","52.47","52.22","23.70","22.22","20.74","52.96","2.59","2.59","0.00","0.52","1.41","0.99","13.40","$0",""
"","Dinelson Lamet","SP","SD","10.00","10.00","52.14","44.29","27.14","23.57","21.43","75.00","2.14","3.57","0.00","0.90","2.91","0.46","0.00","$5,000,000",""
"","James Paxton","SP","NYY","10.00","10.00","51.95","47.59","24.48","22.07","18.97","64.14","5.17","2.07","0.00","0.44","1.32","0.83","21.82","$4,000,000",""
"","Martin Perez","SP","MIN","10.00","9.06","51.67","57.50","32.50","29.38","20.94","42.19","3.13","2.19","0.00","0.47","1.60","0.13","10.14","$19,650,000",""
"","Jack Flaherty","SP","STL","10.00","8.68","51.67","35.53","16.32","15.79","14.47","60.79","2.89","2.11","0.00","0.25","0.72","1.51","25.70","$5,400,000",""
"","Sonny Gray","SP","CIN","10.00","9.12","51.57","35.88","17.35","16.47","20.00","60.29","3.24","2.35","0.00","0.32","0.85","1.81","27.09","$12,700,000",""
"","Chris Bassitt","SP","OAK","10.00","8.93","51.43","44.64","23.57","21.79","16.79","50.36","3.57","1.79","0.00","0.43","1.36","0.76","24.83","$21,000,000",""
"","Yonny Chirinos","SP","TB","10.00","6.92","51.28","43.08","23.46","21.92","10.77","43.85","3.46","1.92","0.00","0.40","1.48","0.81","30.70","$1,275,000",""
"","Robbie Ray","SP","ARI","10.00","9.71","51.27","44.12","26.76","24.71","24.71","69.12","3.53","2.35","0.00","0.39","1.28","0.47","14.03","$21,000,000",""
"","Caleb Smith","SP","MIA","10.00","9.33","51.11","42.67","27.33","25.67","20.00","56.00","3.33","3.67","0.00","0.41","1.51","0.53","19.65","$0",""
"","Zach Eflin","SP","PHI","10.00","8.75","51.04","53.75","27.50","23.44","15.00","40.31","3.13","4.06","0.00","0.42","1.29","0.40","18.59","$11,000,000",""
"","Corey Kluber","SP","TEX","10.00","10.00","50.95","62.86","37.14","32.86","21.43","54.29","2.86","4.29","0.00","2.36","8.29","-0.53","0.00","$10,000,000",""
"","Alex Wood","SP","CIN","10.00","10.00","50.95","58.57","35.71","32.86","12.86","42.86","1.43","4.29","0.00","2.00","8.29","-0.24","0.00","$12,500,000",""
"","Wade Miley","SP","HOU","10.00","10.00","50.71","49.70","25.15","22.42","18.48","42.42","4.24","1.82","0.00","0.41","1.21","0.48","19.49","$3,500,000",""
"","Pablo Lopez","SP","MIA","10.00","9.55","50.61","50.45","29.09","28.64","12.27","43.18","2.27","3.64","0.00","0.56","2.31","0.30","22.31","$5,450,000",""
"","Ryan Yarbrough","SP","TB","10.00","5.00","50.60","43.21","24.64","23.21","7.14","41.79","3.93","2.14","0.00","0.36","1.48","0.50","27.55","$3,000,000",""
"","Tyler Glasnow","SP","TB","10.00","10.00","50.56","33.33","10.83","10.00","11.67","63.33","5.00","0.83","0.00","0.74","1.48","2.10","0.00","$5,350,000",""
"","Yusei Kikuchi","SP","SEA","10.00","10.00","50.52","60.94","34.06","30.63","15.63","36.25","1.88","3.44","0.00","0.47","1.71","0.04","2.05","$10,000,000",""
"","Tyson Ross","SP","DET","10.00","10.00","50.48","58.57","40.00","34.29","25.71","35.71","1.43","7.14","0.00","2.39","8.73","-0.01","0.00","$0",""
"","J.A. Happ","SP","NYY","10.00","9.06","50.42","50.00","27.50","27.50","15.31","43.75","3.75","2.50","0.00","0.40","1.53","0.43","7.24","$0",""
"","Kolby Allard","SP","TEX","10.00","10.00","50.37","57.78","28.89","27.78","21.11","36.67","4.44","2.22","0.00","1.74","5.51","0.97","0.00","$0",""
"","Jordan Lyles","SP","MIL","10.00","10.00","50.36","46.79","25.71","23.21","19.64","52.14","4.29","2.86","0.00","0.47","1.48","0.06","17.91","$8,500,000",""
"","Matt Moore","SP","DET","10.00","10.00","50.00","15.00","0.00","0.00","5.00","45.00","0.00","0.00","0.00","2.00","0.00","3.70","0.00","$0",""
"","John Means","RP","BAL","10.00","8.71","50.00","44.52","21.94","20.00","12.26","39.03","3.87","3.55","0.00","0.37","1.16","1.41","0.00","$2,975,000",""
"","Julio Teheran","SP","ATL","10.00","9.43","49.90","42.29","23.14","21.14","23.71","46.29","2.86","3.14","0.00","0.38","1.09","0.90","18.41","$0",""
"","Jason Vargas","SP","PHI","10.00","9.67","49.89","47.00","28.00","25.00","21.00","41.33","2.33","3.00","0.00","0.45","1.50","0.46","13.45","$0",""
"","Eric Lauer","SP","SD","10.00","9.67","49.89","52.67","27.33","24.67","17.00","46.00","2.67","3.33","0.00","0.47","1.48","0.45","17.35","$5,075,000",""
"","Antonio Senzatela","SP","COL","10.00","10.00","49.87","64.40","39.60","37.20","22.80","30.40","4.40","4.40","0.00","0.70","2.68","-0.30","7.60","$7,250,000",""
"","Chris Archer","SP","PIT","10.00","9.58","49.86","47.50","30.42","28.75","22.92","59.58","1.25","3.75","0.00","0.59","2.16","0.30","11.54","$0",""
"","Carlos Rodon","SP","CHW","10.00","10.00","49.52","47.14","31.43","28.57","24.29","65.71","4.29","2.86","0.00","2.06","7.41","0.06","0.00","$27,000,000",""
"","Luke Weaver","SP","ARI","10.00","9.23","49.49","42.31","16.92","16.15","10.77","53.08","3.08","2.31","0.00","0.83","2.26","1.32","0.00","$2,000,000",""
"","Homer Bailey","SP","OAK","10.00","9.39","49.49","49.09","25.45","25.15","16.06","45.15","3.94","2.73","0.00","0.40","1.38","0.37","18.61","$0",""
"","Spencer Turnbull","SP","DET","10.00","9.67","49.44","51.33","28.67","25.33","19.67","48.67","1.00","5.67","0.00","0.48","1.54","0.84","16.56","$2,150,000",""
"","Jordan Yamamoto","P","MIA","10.00","9.38","49.17","33.75","26.25","24.38","22.50","51.25","2.50","3.13","0.00","0.72","2.79","0.64","0.00","$0",""
"","Clay Buchholz","SP","TOR","10.00","10.00","49.17","60.00","36.67","35.83","13.33","32.50","1.67","4.17","0.00","1.24","5.47","-0.43","0.00","$0",""
"","Alex Young","SP","ARI","10.00","8.82","49.02","42.35","23.53","19.41","15.88","41.76","4.12","2.94","0.00","0.70","2.09","0.45","37.98","$0",""
"","Dario Agrazal","SP","PIT","10.00","9.33","48.89","54.67","28.67","26.67","12.00","27.33","2.67","3.33","0.00","0.91","3.27","0.39","0.00","$0",""
"","David Price","SP","BOS","10.00","10.00","48.79","49.55","25.91","23.18","14.55","58.18","3.18","2.27","0.00","0.60","1.95","0.70","5.92","$0",""
"","Jacob Waguespack","SP","TOR","10.00","8.13","48.75","46.88","26.88","23.75","18.13","39.38","3.13","3.13","0.00","0.83","2.74","0.41","0.00","$0",""
"","Jordan Zimmermann","SP","DET","10.00","10.00","48.70","63.04","38.70","37.39","10.87","35.65","0.43","5.65","0.00","0.66","3.00","-0.03","0.52","$0",""
"","Dylan Cease","SP","CHW","10.00","10.00","48.67","52.00","34.00","30.67","23.33","54.00","2.67","4.67","0.00","1.03","3.78","-0.17","0.00","$5,700,000",""
"","Tom Milone","SP","SEA","10.00","3.04","48.55","44.35","26.52","25.65","10.00","40.87","1.74","4.35","0.00","0.49","2.07","0.54","20.06","$0",""
"","Austin Voth","SP","WSH","10.00","8.89","48.52","36.67","17.78","17.78","14.44","48.89","2.22","1.11","0.00","1.17","3.67","1.24","0.00","$1,850,000",""
"","Asher Wojciechowski","SP","BAL","10.00","9.41","48.43","47.06","27.06","26.47","16.47","47.06","2.35","4.71","0.00","0.77","2.89","0.77","15.45","$0",""
"","Trent Thornton","SP","TOR","10.00","9.06","48.23","48.75","27.19","25.94","19.06","46.56","1.88","2.81","0.00","0.44","1.51","0.38","14.53","$1,000,000",""
"","Tyler Mahle","SP","CIN","10.00","9.26","48.02","50.37","30.37","27.41","12.59","47.78","1.11","4.44","0.00","0.49","1.90","0.11","12.38","$7,500,000",""
"","Felix Hernandez","SP","SEA","10.00","10.00","47.78","56.67","38.67","34.00","16.67","38.00","0.67","5.33","0.00","1.02","4.27","-0.51","0.00","$0",""
"","Tim Melville","SP","COL","10.00","10.00","47.62","48.57","25.71","25.71","20.00","34.29","2.86","4.29","0.00","2.06","6.94","0.77","0.00","$0",""
"","Griffin Canning","SP","LAA","10.00","8.95","47.54","42.11","24.21","24.21","15.79","50.53","2.63","3.16","0.00","0.64","2.41","0.69","25.89","$850,000",""
"","Kyle Freeland","SP","COL","10.00","10.00","47.42","57.27","38.64","35.45","17.73","35.91","1.36","5.00","0.00","0.72","3.06","-0.50","3.65","$10,500,000",""
"","Kyle Gibson","SP","MIN","10.00","8.53","47.06","51.47","29.12","25.29","16.47","47.06","3.82","2.06","0.00","0.42","1.42","0.10","8.51","$10,000,000",""
