"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Cash2023",""
"","Trevor Bauer","SP","LAD","10.00","10.00","63.33","41.76","21.18","18.24","21.76","80.59","4.71","2.94","0.00","0.59","1.52","1.76","25.74","$0",""
"","Tyler Glasnow","SP","TB","10.00","10.00","62.86","39.29","18.57","18.57","19.29","87.86","3.57","1.43","0.00","0.67","1.90","1.63","0.00","$5,350,000",""
"","Sandy Alcantara","SP","MIA","10.00","10.00","62.32","51.82","25.76","22.12","15.15","60.91","2.42","4.55","0.00","0.33","0.97","1.24","28.04","$6,000,000",""
"","Framber Valdez","SP","HOU","10.00","10.00","61.21","50.00","23.64","21.36","26.36","56.82","5.00","2.73","0.00","0.57","1.43","1.13","39.89","$6,800,000",""
"","Walker Buehler","SP","LAD","10.00","9.71","61.08","43.82","17.94","16.76","15.29","62.35","4.71","1.18","0.00","0.28","0.73","1.95","29.23","$8,025,000",""
"","Adam Wainwright","SP","STL","10.00","9.41","60.69","49.41","21.18","20.59","14.71","51.18","5.00","2.06","0.00","0.31","0.90","1.06","26.95","$7,500,000",""
"","Gerrit Cole","SP","NYY","10.00","10.00","60.44","50.33","23.00","21.67","13.67","81.00","5.33","2.67","0.00","0.35","1.08","1.90","20.07","$36,000,000",""
"","Robbie Ray","SP","TOR","10.00","10.00","60.42","46.88","19.38","19.06","16.25","77.50","4.06","2.19","0.00","0.33","0.89","2.06","29.53","$21,000,000",""
"","Colin Rea","SP","MIL","10.00","0.00","60.00","70.00","50.00","50.00","0.00","50.00","0.00","0.00","0.00","11.67","75.00","-1.10","0.00","$0",""
"","Jose Berrios","SP","TOR","10.00","10.00","60.00","49.69","25.94","23.44","14.06","63.75","3.75","2.81","0.00","0.33","1.10","0.58","22.76","$15,000,000",""
"","Max Scherzer","SP","LAD","10.00","10.00","59.78","39.67","17.67","16.33","12.00","78.67","5.00","1.33","0.00","0.29","0.82","1.08","22.09","$43,333,333",""
"","Brandon Woodruff","SP","MIL","10.00","10.00","59.78","43.33","18.00","17.00","14.33","70.33","3.00","3.33","0.00","0.32","0.85","1.88","32.71","$10,800,000",""
"","Corbin Burnes","SP","MIL","10.00","10.00","59.64","43.93","16.79","16.07","12.14","83.57","3.93","1.79","0.00","0.34","0.87","1.99","35.56","$12,713,840",""
"","Josh Rogers","SP","WSH","10.00","10.00","59.44","53.33","21.67","21.67","23.33","36.67","3.33","3.33","0.00","2.15","5.47","1.27","0.00","$0",""
"","Kyle Gibson","SP","PHI","10.00","9.68","58.71","50.97","25.16","24.19","20.65","50.00","3.23","2.90","0.00","0.39","1.20","1.00","24.08","$10,000,000",""
"","Zach Eflin","SP","PHI","10.00","10.00","58.70","64.44","28.89","27.22","8.89","55.00","2.22","3.89","0.00","0.69","2.32","1.09","30.36","$11,000,000",""
"","Merrill Kelly","SP","ARI","10.00","10.00","58.52","60.37","30.37","28.89","15.19","48.15","2.59","4.07","0.00","0.48","1.64","0.92","23.73","$8,000,000",""
"","Frankie Montas","SP","OAK","10.00","10.00","58.44","51.25","24.69","21.88","17.81","64.69","4.06","2.81","0.00","0.37","1.05","1.14","27.55","$7,500,000",""
"","Chris Bassitt","SP","OAK","10.00","10.00","58.27","47.04","20.37","20.37","14.44","58.89","4.44","1.48","0.00","0.39","1.17","1.47","33.77","$21,000,000",""
"","Julio Urias","SP","LAD","10.00","10.00","58.02","47.19","20.94","19.06","11.88","60.94","6.25","0.94","0.00","0.32","0.93","1.39","30.61","$14,250,000",""
"","Chris Flexen","SP","SEA","10.00","10.00","57.96","59.68","23.87","23.23","12.90","40.32","4.52","1.94","0.00","0.40","1.16","1.13","27.18","$8,000,000",""
"","Lucas Giolito","SP","CHW","10.00","10.00","57.63","46.77","23.87","22.58","16.77","64.84","3.55","2.90","0.00","0.36","1.14","1.35","27.89","$10,400,000",""
"","Marco Gonzales","SP","SEA","10.00","10.00","57.33","50.00","25.60","25.20","16.80","43.20","4.00","2.40","0.00","0.47","1.58","0.88","21.47","$6,500,000",""
"","Zack Greinke","SP","HOU","10.00","9.67","57.00","54.67","27.33","26.33","12.00","40.00","3.67","2.00","0.00","0.39","1.39","0.40","3.41","$8,500,000",""
"","Nathan Eovaldi","SP","BOS","10.00","10.00","56.98","56.88","25.31","23.75","10.94","60.94","3.44","2.81","0.00","0.37","1.17","1.39","20.45","$18,000,000",""
"","Luis Castillo","SP","CIN","10.00","10.00","56.87","54.85","28.48","25.15","22.73","58.18","2.42","4.85","0.00","0.41","1.21","1.35","24.00","$17,000,000",""
"","Mike Minor","SP","KC","10.00","10.00","56.67","55.71","32.86","31.79","14.64","53.21","2.86","4.29","0.00","0.44","1.80","0.39","11.18","$0",""
"","Kyle Hendricks","SP","CHC","10.00","10.00","56.56","62.50","31.56","30.00","13.75","40.94","4.38","2.19","0.00","0.42","1.49","0.28","7.41","$14,000,000",""
"","Kevin Gausman","SP","SF","10.00","9.71","56.47","44.12","19.41","17.65","14.71","66.76","4.12","1.76","0.00","0.31","0.83","1.50","25.55","$21,000,000",""
"","John Means","SP","BAL","10.00","10.00","56.41","48.08","24.62","22.69","10.00","51.54","2.31","3.46","0.00","0.40","1.39","1.43","31.93","$2,975,000",""
"","Jordan Lyles","SP","TEX","10.00","9.38","56.25","60.63","32.50","32.19","17.50","45.63","3.13","4.06","0.00","0.43","1.61","-0.02","4.85","$8,500,000",""
"","German Marquez","SP","COL","10.00","10.00","56.25","51.56","28.75","27.50","20.00","55.00","3.75","3.44","0.00","0.40","1.38","0.72","22.17","$15,000,000",""
"","Lance Lynn","SP","CHW","10.00","10.00","56.07","43.93","18.57","16.79","16.07","62.86","3.93","2.14","0.00","0.38","0.96","1.91","33.14","$18,500,000",""
"","Sean Manaea","SP","OAK","10.00","10.00","56.04","55.94","24.69","24.38","12.81","60.63","3.44","3.13","0.00","0.38","1.22","0.98","21.84","$12,500,000",""
"","Antonio Senzatela","SP","COL","10.00","10.00","55.95","63.57","30.00","27.50","11.43","37.50","1.43","3.57","0.00","0.48","1.58","0.63","18.76","$7,250,000",""
"","Alek Manoah","SP","TOR","10.00","10.00","55.83","38.50","22.00","20.00","20.00","63.50","4.50","1.00","0.00","0.52","1.61","1.37","44.78","$0",""
"","Cole Irvin","SP","OAK","10.00","10.00","55.73","60.94","29.38","26.25","13.13","39.06","3.13","4.69","0.00","0.42","1.33","0.42","18.22","$0",""
"","Spencer Turnbull","SP","DET","10.00","10.00","55.56","41.11","20.00","17.78","13.33","48.89","4.44","2.22","0.00","1.09","3.20","1.47","0.00","$2,150,000",""
"","Yu Darvish","SP","SD","10.00","10.00","55.44","46.00","27.00","26.00","14.67","66.33","2.67","3.67","0.00","0.36","1.41","0.48","8.31","$30,000,000",""
"","Patrick Corbin","SP","WSH","10.00","10.00","55.38","61.94","36.77","35.81","19.35","46.13","2.90","5.16","0.00","0.47","1.88","-0.38","0.55","$24,000,000",""
"","Carlos Rodon","SP","CHW","10.00","10.00","55.28","37.92","16.25","14.58","15.00","77.08","5.42","2.08","0.00","0.40","0.99","2.11","40.86","$27,000,000",""
"","Aaron Nola","SP","PHI","10.00","9.70","54.75","50.00","28.79","28.18","11.82","67.58","2.73","2.73","0.00","0.34","1.40","0.74","17.02","$16,000,000",""
"","Charlie Morton","SP","ATL","10.00","9.71","54.61","40.00","22.65","20.29","17.06","63.53","4.12","1.76","0.00","0.31","0.99","1.20","24.77","$20,000,000",""
"","Tyler Mahle","SP","CIN","10.00","10.00","54.55","47.88","23.64","22.73","19.39","63.64","3.94","1.82","0.00","0.37","1.14","1.56","26.97","$7,500,000",""
"","Hyun-Jin Ryu","SP","TOR","10.00","10.00","54.52","54.84","27.42","26.45","11.94","46.13","4.52","3.23","0.00","0.40","1.41","0.58","9.92","$20,000,000",""
"","Wade Miley","SP","CIN","10.00","9.33","54.33","55.33","21.33","20.33","16.67","41.67","4.00","2.33","0.00","0.44","1.12","1.85","30.00","$3,500,000",""
"","Marcus Stroman","SP","NYM","10.00","10.00","54.24","48.79","21.21","18.18","13.33","47.88","3.03","3.94","0.00","0.35","0.92","1.02","20.30","$25,000,000",""
"","Yusei Kikuchi","SP","SEA","10.00","10.00","54.14","50.00","28.28","26.55","21.38","56.21","2.41","3.10","0.00","0.45","1.52","0.60","8.94","$10,000,000",""
"","Lance McCullers","SP","HOU","10.00","9.33","54.11","40.67","19.67","19.00","25.33","61.67","4.33","1.67","0.00","0.41","1.05","1.13","22.40","$15,250,000",""
"","Tyler Anderson","SP","SEA","10.00","10.00","53.87","54.84","28.06","27.10","12.26","43.23","2.26","3.55","0.00","0.40","1.46","0.44","16.34","$13,000,000",""
"","Jose Urquidy","SP","HOU","10.00","10.00","53.50","43.00","21.50","21.50","9.50","45.00","4.00","1.50","0.00","0.49","1.81","0.99","40.42","$3,025,000",""
