"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Cash2023",""
"","James Shields","SP","TB","10.00","10.00","75.56","59.09","25.15","23.64","19.70","68.18","4.85","3.64","0.00","0.32","0.85","1.75","28.33","$0",""
"","C.C. Sabathia","SP","NYY","10.00","10.00","71.92","69.70","26.36","23.94","18.48","69.70","5.76","2.42","0.00","0.37","0.91","1.95","19.39","$0",""
"","Jered Weaver","SP","LAA","10.00","10.00","71.41","55.15","19.70","19.09","16.97","60.00","5.45","2.42","0.00","0.31","0.73","2.10","28.90","$0",""
"","Felix Hernandez","SP","SEA","10.00","10.00","70.81","66.06","30.00","27.27","20.30","67.27","4.24","4.24","0.00","0.37","1.05","1.08","14.78","$0",""
"","Ervin Santana","SP","LAA","10.00","10.00","69.29","62.73","28.79","26.06","21.82","53.94","3.33","3.64","0.00","0.37","1.03","0.86","14.98","$0",""
"","Dan Haren","SP","LAA","10.00","9.71","68.10","60.29","26.00","24.00","9.43","54.86","4.57","2.86","0.00","0.29","0.91","1.19","22.61","$0",""
"","Doug Fister","SP","SEA","10.00","9.69","67.60","60.31","23.75","21.25","11.56","45.63","3.44","4.06","0.00","0.33","0.88","0.79","29.38","$0",""
"","Daniel Hudson","RP/CL","ARI","10.00","10.00","67.27","65.76","29.70","26.06","15.15","51.21","4.85","3.64","0.00","0.36","1.06","0.45","0.00","$6,500,000",""
"","Cliff Lee","SP","PHI","10.00","9.14","66.48","56.29","18.86","17.71","12.00","68.00","4.86","2.29","0.00","0.29","0.69","2.43","24.12","$0",""
"","Mark Buehrle","SP","CHW","10.00","10.00","66.24","71.29","30.00","26.45","14.52","35.16","4.19","2.90","0.00","0.42","1.16","1.23","16.29","$0",""
"","Jair Jurrjens","SP","ATL","10.00","10.00","66.09","61.74","22.61","21.74","19.13","39.13","5.65","2.61","0.00","0.53","1.29","1.38","36.48","$0",""
"","David Price","SP","TB","10.00","10.00","65.98","56.47","27.35","25.59","18.53","64.12","3.53","3.82","0.00","0.33","1.03","0.97","22.57","$0",""
"","Tim Lincecum","RP","SF","10.00","10.00","65.76","53.33","22.42","20.00","26.06","66.67","3.94","4.24","0.00","0.37","0.83","1.12","0.00","$0",""
"","C.J. Wilson","SP","TEX","10.00","10.00","65.69","56.18","26.18","21.47","21.76","60.59","4.71","2.06","0.00","0.35","0.86","1.44","24.54","$0",""
"","Cole Hamels","SP","PHI","10.00","9.39","65.45","51.21","20.61","20.30","13.33","58.79","4.24","2.73","0.00","0.30","0.85","1.95","28.37","$0",""
"","Ian Kennedy","SP","ARI","10.00","9.71","65.29","54.71","21.47","20.88","16.18","58.24","6.18","1.18","0.00","0.32","0.85","1.42","28.45","$0",""
"","Jeremy Hellickson","SP","TB","10.00","10.00","65.17","50.34","22.07","21.38","24.83","40.34","4.48","3.45","0.00","0.40","1.02","1.47","27.23","$0",""
"","Tim Hudson","SP","ATL","10.00","10.00","65.15","57.27","26.06","23.33","16.97","47.88","4.85","3.03","0.00","0.35","0.98","0.90","23.55","$0",""
"","Johnny Cueto","SP","CIN","10.00","10.00","65.00","51.25","21.25","16.67","19.58","43.33","3.75","2.08","0.00","0.45","0.96","1.52","35.85","$6,000,000",""
"","Blake Beavan","RP","SEA","10.00","10.00","64.67","70.67","30.67","30.67","10.00","28.00","3.33","4.00","0.00","0.83","2.85","","0.00","$0",""
"","Randy Wolf","SP","MIL","10.00","10.00","64.34","64.85","28.79","26.36","20.00","40.61","3.94","3.03","0.00","0.40","1.12","0.76","13.21","$0",""
"","Josh Beckett","SP","BOS","10.00","10.00","64.33","48.67","21.67","20.67","17.33","58.33","4.33","2.33","0.00","0.34","0.96","1.94","17.64","$0",""
"","Joe Saunders","SP","ARI","10.00","10.00","64.24","63.64","28.48","26.36","20.30","32.73","3.64","3.94","0.00","0.40","1.12","0.48","11.92","$0",""
"","Brett Anderson","SP","OAK","10.00","10.00","64.10","66.15","30.77","28.46","19.23","46.92","2.31","4.62","0.00","1.02","3.08","0.88","0.00","$0",""
"","Luke Hochevar","RP","KC","10.00","10.00","63.87","61.94","35.48","33.23","20.00","41.29","3.55","3.55","0.00","0.41","1.51","0.29","0.00","$0",""
"","Matt Garza","SP","CHC","10.00","10.00","63.87","60.00","29.03","23.55","20.32","63.55","3.23","3.23","0.00","0.41","1.07","0.88","22.16","$0",""
